source_id,field_dir,cand_type,ra,dec,score,max_event_depth,n_dip_events,asymmetry,period_power,secular_sigma,secular_total_mag,hr_class,W1_W2,K_W2,simbad_otype,ir_verdict,frac_confirmed,n_bands,dips_per_band,secular_confirmed,verdict
1614203300008739,fp133p0p20p0,dipper,132.2159655,18.8349531,0.5084743147752968,0.1381188151967964,1,1.5991950631513117,0.1907112337550683,1.1794233534332248,0.0136860446449091,main_sequence,-0.10299969,-0.0710001,,clean,0.0,3,"{'g': 1, 'r': 2, 'i': 0}",False,single_band_artifact
1664204200007555,fp143p0p28p0,dipper,142.9853241,26.8542557,0.404779730360132,0.1264059407779958,1,1.5057412006094877,0.2865358247539003,5.087322315126321,0.1321505627252331,main_sequence,-0.029000282,0.019000053,,clean,0.0,3,"{'g': 0, 'r': 1, 'i': 0}",False,single_band_artifact
724146024570408064,fp160p0p25p0,dipper,160.1879554128484,24.73727851628109,0.8276303199443893,0.4065271497054897,5,1.8423656379437063,0.0430387277741101,,,main_sequence,-0.010000229,0.029000282,,clean,0.047619047619047616,2,"{'g': 12, 'r': 21}",False,single_band_artifact
724402275203766784,fp160p0p25p0,dipper,158.91707217040445,24.964731767154227,0.7500073650879951,0.3340906022258527,2,1.9841931883726696,0.0301474207145502,,,main_sequence,-0.13400078,0.022999763,*,clean,0.0,3,"{'g': 1, 'r': 8, 'i': 0}",False,single_band_artifact
724761029527242240,fp160p0p25p0,dipper,160.62307865207333,26.14958576596666,0.6279349649377864,0.240918834050528,2,1.5327170287763556,0.2224930130767092,,,main_sequence,-0.03999996,-0.048000336,,clean,0.0,2,"{'g': 1, 'r': 3}",False,single_band_artifact
1711215300007434,fp160p0p40p0,dipper,160.8125259,39.1207418,0.8052521289637057,0.8758791514411034,1,6.71694831214123,0.1491595701209814,0.5180920508520692,0.0044955572374268,main_sequence,-0.09700012,0.032999992,,clean,0.0,3,"{'g': 0, 'r': 2, 'i': 0}",False,single_band_artifact
1711215300008262,fp160p0p40p0,dipper,160.6934158,39.04465585,0.7294663319665327,0.955104330117104,1,9.509230777597844,0.2396822068022847,4.425826222532295,0.0294789713779524,main_sequence,-0.044000626,-0.012000084,,clean,0.0,3,"{'g': 0, 'r': 2, 'i': 0}",False,single_band_artifact
755211200004560,fp185p0p50p0,dipper,183.564229,49.1233848,0.9572472615339508,0.7482060006323037,5,6.67025936603999,0.042509128220164,0.3611554240263274,-0.0015320738549639,main_sequence,-0.105000496,-0.022999763,,clean,0.2857142857142857,3,"{'g': 10, 'r': 28, 'i': 14}",False,single_band_artifact
755211200005068,fp185p0p50p0,dipper,183.5477878,49.0769576,0.7698048915454362,0.5069197131055649,1,2.8288227117034537,0.0330815705225701,1.3024802598763403,-0.0070064375749085,main_sequence,-0.04900074,-0.010000229,,clean,0.2222222222222222,3,"{'g': 7, 'r': 9, 'i': 2}",False,single_band_artifact
1465238680125904256,fp190p0p30p0,dipper,192.5754479759531,30.34960534252203,0.7023400988648147,0.3033568421524132,1,1.6569332260743548,0.0235863156654884,,,main_sequence,0.034000397,0.18200016,,clean,0.07692307692307693,3,"{'g': 26, 'r': 13, 'i': 0}",False,single_band_artifact
