n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
1067,0.49616844024690065,11,0.010309278350515464,1.431779039513354,0.5027562280886669,0.02668039057694878,0.8379026251977166,10,0.0,717869221926380544,132.2570977494385,36.5453732256784,13.31483268737793,0.7085285186767578,0.7329742374487375,giant,False,False
1043,0.4389231165476837,14,0.013422818791946308,1.2604845040746684,1.0004493094778697,0.036342337791989546,0.8157655468743641,12,0.002986940677506427,710011458999749376,130.63705876056486,32.58273009414161,14.525325775146484,1.2279386520385742,2.086718513752848,main_sequence,False,False
222,0.20158720525875806,14,0.06306306306306306,1.2108954270800276,0.3022145607951021,0.09087982830121431,0.8053897771344374,12,0.0,710374950671807744,130.49300877772816,33.267760168086845,17.750425338745117,1.7868518829345703,0.7646703374053848,giant,False,False
226,0.1998202436847546,8,0.035398230088495575,0.9442137913682442,0.40775775142845705,0.048376694218056765,0.8050795440866935,7,0.0,710717684765345024,128.6653617150269,33.322173256541525,18.371240615844727,1.646505355834961,0.2798365872069785,unknown,False,False
219,0.20602421744496802,10,0.045662100456621,1.1856023192411678,0.14189781374698554,0.09251143448477686,0.8033827088090371,10,0.0,711045377886440448,129.63593330665333,33.25641905942623,17.954200744628906,1.1996574401855469,0.544047683932275,unknown,False,False
207,0.23305119340859803,9,0.043478260869565216,1.0964338388870936,0.28986285430279946,0.08166649881095787,0.8012860806899383,8,0.0,710293174495736832,129.89452728001743,33.298405133413524,17.54998779296875,1.1297740936279297,0.24874396060166373,unknown,False,False
140,0.2169160550634056,8,0.05714285714285714,0.8878385273126336,0.16510552830880323,0.0827709571774456,0.7951687128467664,8,0.0,710718406319852416,128.83206095806864,33.324251530978174,17.999879837036133,0.9312686920166016,0.5784995525447819,unknown,False,False
220,0.23136900036491947,7,0.031818181818181815,0.9484948615881041,0.4320188600798477,0.09578648487282504,0.7912640545381525,7,0.0,710155937403056000,131.5198844642598,33.30404711572354,17.83884620666504,2.0710792541503906,1.227880886633052,giant,False,False
227,0.2213945200983719,9,0.039647577092511016,0.8366222505899839,0.16536097159330948,0.09778453592941633,0.7906646392211751,8,0.0,710714351870706944,128.53384527319614,33.26762304260332,18.13899040222168,1.453226089477539,0.5870591380525098,unknown,False,False
205,0.3170850565404877,15,0.07317073170731707,1.0579406072691213,0.10054073698929113,0.08392266668617761,0.7854424935731511,14,0.0,710899516500554112,127.90067401467259,33.431065564747065,18.38585090637207,1.6310997009277344,0.7274643944064847,unknown,False,False
931,0.22483327823006838,20,0.021482277121374866,0.9353576069675436,0.49871592575122864,0.04129451714964131,0.769040216283679,18,0.0,710932196907669376,128.18482432526284,33.66364370946048,18.06437873840332,2.003997802734375,1.0356029911212408,giant,False,False
905,0.27519235077544635,23,0.02541436464088398,0.885818550193699,0.39895483379120644,0.02214622469507427,0.7554989897343349,21,0.0,710700195658434176,128.92253948206982,33.095067367739986,18.03306007385254,0.7496604919433594,-0.09010826440770832,unknown,False,False
122,0.23402926696119863,5,0.040983606557377046,0.8286989657186042,0.5514520237864239,0.11755191036076532,0.7547344268917704,5,0.0,710950304489756672,127.71169716689458,33.53294170045764,18.38058090209961,1.1725921630859375,0.7796849115546944,unknown,False,False
802,0.26722133545829385,24,0.029925187032418952,0.8540106320418019,0.12683289199277414,0.02973614951129208,0.7467934408608982,22,0.0,711001668003162624,127.86369635748734,33.99337841621487,17.82428741455078,1.1276473999023438,0.412031153381252,unknown,False,False
937,0.1929082277417582,24,0.025613660618996798,0.826118039258183,0.16249844646031966,0.022397735799117493,0.7457774240463453,20,0.0,710314541954937216,130.96258395542674,33.154790459934944,18.317659378051758,1.124624252319336,0.28660558255922014,unknown,False,False
