source_id,ra,dec,dist_pc,phot_g_mean_mag,bp_rp,radial_velocity,sep_now_pc,v_rel_kms,t_enc_myr,d_min_pc,transfer_score,comoving
4358031335898505472,249.09140230088192,-2.3259612815161246,9.893947947441871,5.5535517,1.0146093,-13.105756,37.0687572879769,26.8847080799489,-1.347552427399172,1.1348215269434903,0.0012191630286175318,False
621324434489486464,145.57844858373957,18.36141256827545,58.80115660926843,13.936505,2.7055855,23.464487,31.119842394512954,23.156914893081105,-1.3123950819251797,1.549007912969901,0.0012038848927543647,False
3913239815437281536,177.93614516808728,10.739970720133865,35.74975651453549,13.681211,2.7078018,-16.882572,4.574369844558357,32.26894390597809,-0.1358799809038254,0.9033306912504275,0.0010631235285985946,False
798861000776133888,143.4211082721717,36.38420008782941,51.23031612978084,14.796912,2.9176407,21.349998,32.39829383864507,30.52672923092122,-1.0372325608070936,1.012781391016716,0.0010595555676846252,False
624498350897398016,157.3180778936658,19.453717786097144,56.471598764384204,14.962607,2.8161697,21.012556,23.943736049339567,23.357769501814136,-0.9996982907351307,1.7312138110355184,0.0010587332561536665,False
1231492609822865152,210.49523172354156,15.494626755208127,29.348683437785063,10.644015,2.0879211,-9.99174,23.38608272308158,27.64543951340244,-0.8258110155138958,1.3266156579131074,0.000986297388915275,False
6290789738904058112,208.46990728641606,-19.174363709748366,51.71363602044079,12.178929,2.0976257,17.541845,36.17294729512879,32.133819581332354,-1.099933165679108,1.3481362255582279,0.0007183589704671101,False
3593457028981244032,175.10539647376163,-6.403802726606618,36.25289223302628,15.188681,3.2218008,1.5895743,9.360129916482393,38.531869822555365,-0.23612654552219917,1.0140180395508411,0.0006642233673629361,False
608215408323505280,132.42309108189906,13.167993289884517,35.386201162878194,13.159911,2.5438957,18.918747,25.126521533269354,37.775147794671994,-0.6498077326172813,1.0615038732364033,0.0006601856383344369,False
627474557074514816,147.25290787741406,19.629385236315397,61.925016250336654,15.123032,2.764844,33.73681,33.119012733335076,35.83770285454531,-0.9025867346777904,1.580117800360913,0.0004927540540170987,False
3910084904260136960,175.25125731701692,7.420812358722244,39.78738759252188,15.001929,2.9604511,27.339586,2.531154113356615,40.05714383087798,-0.05289535506181569,1.3080613744616447,0.0004764440620583076,False
646555688021656192,145.5991252040358,25.55941333597581,49.76152802888009,10.433245,1.4867353,28.704525,26.27155924860201,38.019603558475296,-0.6744189526411979,1.5882391667102276,0.0004355810025988224,False
3736635776747656960,197.83163544912736,12.009642657748351,39.4291962327187,12.980899,2.4882479,8.04557,17.003728917059888,46.22115821851475,-0.35755024895778714,1.8595954687201097,0.0002517096541359859,False
5475518466957387648,156.67134816233713,-21.721846067356356,64.42807486539782,15.196973,2.8839464,55.683716,38.68886121877493,54.40650540197763,-0.6946181798028881,1.731844553836309,0.0001950695260287065,False
5475516920769156352,156.64544431687324,-21.756801090463263,64.38181825842557,9.1383095,0.93708515,53.279,38.6754788330423,52.09871051131102,-0.7249331653481166,1.9581131199805832,0.0001881517552363324,False
