source_id,dist_pc,phot_g_mean_mag,bp_rp,v_rel_kms,t_enc_myr,d_min_pc,d_min_au,v_esc_at_dmin_kms,within_reservoir,capturable,focusing_factor,transfers
3913239815437281536,35.74975651453549,13.681211,2.7078018,32.26894390597809,-0.1358799809038254,0.9033306912504276,186325.32978461537,0.05854952952965081,False,False,1.0000032921325683,False
798861000776133888,51.23031612978084,14.796912,2.9176407,30.52672923092122,-1.0372325608070936,1.012781391016716,208901.1571384731,0.05529539135759211,False,False,1.0000032810838049,False
3593457028981244032,36.25289223302628,15.188681,3.2218008,38.531869822555365,-0.2361265455221991,1.0140180395508411,209156.23420845458,0.055261663246616716,False,False,1.0000020568742216,False
608215408323505280,35.386201162878194,13.159911,2.5438957,37.775147794672,-0.6498077326172813,1.0615038732364033,218950.89048135534,0.05401147045601437,False,False,1.0000020443707458,False
4358031335898505472,9.893947947441871,5.5535517,1.0146093,26.8847080799489,-1.347552427399172,1.1348215269434905,234073.74209962285,0.052237575263137014,False,False,1.0000037753339144,False
3910084904260136960,39.78738759252188,15.001929,2.9604511,40.05714383087798,-0.0528953550618156,1.3080613744616447,269807.0256394245,0.04865558872548514,False,False,1.0000014753854765,False
1231492609822865152,29.348683437785063,10.644015,2.0879211,27.64543951340244,-0.8258110155138958,1.3266156579131074,273634.1213160095,0.048314137747378465,False,False,1.0000030542281013,False
6290789738904058112,51.71363602044079,12.178929,2.0976257,32.133819581332354,-1.099933165679108,1.348136225558228,278073.05702634016,0.04792696227952682,False,False,1.0000022245138018,False
621324434489486464,58.80115660926843,13.936505,2.7055855,23.156914893081105,-1.3123950819251795,1.549007912969901,319505.81666120153,0.044711575616104164,False,False,1.0000037280227154,False
627474557074514816,61.925016250336654,15.123032,2.764844,35.83770285454531,-0.9025867346777904,1.580117800360913,325922.6915485905,0.04426923935426349,False,False,1.0000015258919832,False
646555688021656192,49.76152802888009,10.433245,1.4867353,38.019603558475296,-0.6744189526411979,1.5882391667102276,327597.8436030868,0.04415591023425443,False,False,1.000001348846457,False
624498350897398016,56.47159876438421,14.962607,2.8161697,23.357769501814136,-0.9996982907351308,1.7312138110355184,357088.4808777619,0.04229328691446847,False,False,1.0000032785373854,False
5475518466957387648,64.42807486539782,15.196973,2.8839464,54.40650540197763,-0.6946181798028881,1.731844553836309,357218.5809192028,0.04228558454432433,False,False,1.0000006040640832,False
3736635776747656960,39.4291962327187,12.980899,2.4882479,46.22115821851475,-0.3575502489577871,1.8595954687201095,383569.09859403246,0.04080727108033915,False,False,1.000000779459327,False
5475516920769156352,64.38181825842557,9.1383095,0.93708515,52.09871051131102,-0.7249331653481166,1.9581131199805832,403889.82281884976,0.03976746467569892,False,False,1.0000005826420961,False
3596148182473970816,37.50358796012871,12.599279,2.4066782,78.76354514527365,-0.1408012225618473,2.066497099161972,426245.62325820694,0.03871055453058817,False,False,1.0000002415506855,False
3882639032446600064,42.38786300338337,14.371294,2.9218922,26.33666119177717,-0.4234244634269209,2.0922499719192977,431557.5345614394,0.038471578623225325,False,False,1.0000021338239287,False
639182156887569920,64.33560797309039,15.236555,2.827901,28.840992074404777,-1.3303851738696224,2.179212094983458,449494.7600046166,0.03769615394128166,False,False,1.0000017083375787,False
3912923396606531968,39.34670101950323,13.33428,2.6498508,42.75799676166322,-0.0360630688387559,2.207883506384973,455408.6631150962,0.03745059440262184,False,False,1.0000007671543112,False
3637195631598257024,44.34905780965675,13.8776045,2.7952452,27.32621407421071,-0.8345720594921837,2.250434206083858,464185.37493365095,0.03709485112589057,False,False,1.0000018427581148,False
619893286962005632,63.78700698936024,8.97713,0.8238411,12.91326102924647,-2.570589874437476,2.279103363724594,470098.8131726009,0.03686080212155664,False,False,1.0000081481253826,False
3866462708140957824,37.17968121157332,9.302998,1.2356529,44.88144571595755,-0.079605581679079,2.317393711922677,477996.76441535086,0.0365550077689932,False,False,1.000000663376504,False
3871570729926034432,43.52065500848199,6.425882,0.5993967,44.054902805101634,-0.1744228618498616,2.350572081703404,484840.2944215688,0.036296103596748404,False,False,1.000000678783875,False
3865921576621491968,42.22089901074246,11.416572,1.9774542,47.85899147871301,-0.1416404715478557,2.369319569867641,488707.24143075245,0.03615222005580609,False,False,1.0000005706145725,False
3592903184358440960,56.371716562285,14.518691,2.904642,55.59268664292388,-0.3847194221455601,2.399393618436721,494910.4592244883,0.035924939292740425,False,False,1.0000004175964137,False
1455918635453186688,47.080824768480106,15.547516,3.2210312,11.294938885602884,-2.424058719739593,2.400574620715493,495154.05843040475,0.03591610127239596,False,False,1.0000101113840059,False
720913494744623744,57.50777708242805,12.717311,2.0852356,54.8951899129957,-0.4492869770312028,2.4460395385147717,504531.87088007893,0.035580746556931775,False,False,1.0000004201085582,False
3864686550185590528,36.32235049095189,13.30078,2.6111536,36.04683406976695,-0.1329824121417249,2.4530476754716344,505977.40288990765,0.03552988470490171,False,False,1.0000009715235703,False
3916077070833037568,37.57759878802415,8.688777,1.0734892,15.14550021407188,-0.0810570994784297,2.501008785537409,515870.0919531693,0.03518756253189182,False,False,1.0000053977296042,False
698638488678348032,53.28278774017765,13.9382105,2.7233877,29.405762019266653,-1.0959005923026974,2.53541491442425,522966.8654532246,0.034947995594029134,False,False,1.0000014124714174,False
3563713143506203904,58.51565663733263,14.221916,2.6283798,51.71831560965571,-0.5256148997830397,2.5384532383284117,523593.56474388164,0.03492707436509666,False,False,1.000000456074377,False
3866482391975888256,41.022919504183726,12.998409,2.3987446,37.526743950151534,-0.1127669423508253,2.652824699402911,547184.3719743498,0.0341658725448194,False,False,1.0000008289021476,False
3866388559825590400,40.94214006264546,12.980638,2.4037457,38.312530504808855,-0.1088072542972301,2.6582753525158203,548308.6498812573,0.03413082691285222,False,False,1.0000007936187967,False
3963645895220096768,32.064083070024324,15.330805,3.4048376,214.0679214130269,-0.0282019733171085,2.7053077443105127,558009.7770505055,0.03383283998873886,False,False,1.0000000249789238,False
762920503987026816,22.82874403476417,12.363995,2.7490149,16.747798235921685,-1.2408159617133174,2.7211266368393225,561272.6578490953,0.033734355385607734,False,False,1.0000040572277873,False
3734670056115812352,35.971066305471695,14.334696,2.7182627,30.049847774197776,-0.4174344130809621,2.7384443974727186,564844.7023864972,0.033627519175719996,False,False,1.000001252290556,False
3982529560750513664,44.51146333094571,14.412277,2.9930706,28.14102561011408,-0.3975842901496346,2.747199617539284,566650.5961550146,0.033573891605898624,False,False,1.0000014233887373,False
3867561120257177728,40.700162649605886,13.757735,2.5498571,29.522725796365883,-0.194164434923649,2.770776963610652,571513.7728684202,0.03343074143038692,False,False,1.0000012822689066,False
3711120235035327104,43.58436764934066,15.607668,3.2733335,40.22480329510313,-0.5477791339630586,2.7795840343284968,573330.3616014648,0.033377737007365474,False,False,1.0000006885348371,False
771710863228139392,40.805519695533405,7.7256756,0.7543454,37.2687892574432,-0.6225513106352988,2.7853249445164465,574514.5093276456,0.03334332137656216,False,False,1.0000008004369867,False
3921020612550678784,45.08654502364615,15.296303,3.0981283,20.78148243482821,-0.5284782757752585,2.8355232578287155,584868.654684528,0.03304685886740545,False,False,1.0000025287583074,False
3507598188897755008,56.41022721427907,12.707912,2.3225746,39.30756115974327,-0.8456347128664845,2.8753562181218904,593084.7925118054,0.0328171577609738,False,False,1.00000069702721,False
3748348324361601536,27.07208299997694,13.152808,2.8443747,32.49846154301158,-0.5789350578127015,2.989027426893085,616531.1623367814,0.03218709950398549,False,False,1.0000009809301442,False
787058018328947712,38.56351958483048,15.29984,3.1851158,47.93202155126547,-0.5268944122242624,3.0061887573989,620070.9408442652,0.032095095294587886,False,False,1.000000448358954,False
3742073205344419200,52.9323032424275,14.769821,2.1310825,24.79516429181172,-1.1761851538620482,3.034248582738174,625858.6952742644,0.031946347671082384,False,False,1.0000016600013721,False
1266981821511147008,31.56267497525704,14.524095,2.975543,22.36902727538474,-1.273125836469562,3.0368763505129053,626400.7112845324,0.03193252330999959,False,False,1.0000020378502996,False
3835416485502250368,52.933296394047005,14.475404,2.7504358,48.54272897851105,-0.4257105763821197,3.146900446026714,649094.8100010137,0.03136933344608205,False,False,1.0000004176016497,False
3787596285269705344,51.93870991420391,14.585053,2.8501987,63.63909289990748,-0.2762127933012803,3.1748327050640754,654856.2519924968,0.03123103448712292,False,False,1.0000002408378705,False
3682196172918163072,46.22684624295765,10.2254925,1.4475975,46.4841043549054,-0.3623787563103956,3.2981323456456626,680288.6284369276,0.03064169273161157,False,False,1.0000004345268043,False
3956451240884029440,50.40758186144904,14.927282,2.9406576,25.807724655666725,-0.868003644968537,3.346835994620247,690334.4771441623,0.030417924464418874,False,False,1.000001389183835,False
3795594270288562304,34.90327315104776,11.496789,2.028986,53.95293466613347,-0.0997442596537317,3.34904694433305,690790.5182577494,0.030407882263501697,False,False,1.000000317645133,False
3748348324361602432,27.06543559926691,11.291124,2.3695955,33.806451062905964,-0.5547779486943022,3.3713909044292447,695399.2908522628,0.030306950331955677,False,False,1.000000803683979,False
777055589250635520,32.70491760073511,10.237135,1.6430054,17.792518243626965,-1.1234133937383817,3.395635161158573,700400.0277631519,0.030198563287279618,False,False,1.0000028806979508,False
3890268436257017088,64.93783364488633,8.693719,0.8325596,32.90003418135895,-0.9290257396494708,3.471039132293656,715953.2132409593,0.029868749300064,False,False,1.0000008242166378,False
3771184150079043200,30.68051641405486,14.226643,3.0836048,33.941305391342375,-0.5405263580292873,3.514573340942847,724932.7883423482,0.0296831842202786,False,False,1.0000007648281992,False
3700430301954664320,52.84524788012733,15.440575,3.0711498,36.91084847379348,-0.5032438300528635,3.577634642558057,737940.1154861171,0.02942041530571816,False,False,1.0000006353156317,False
3711120269395065600,43.37586746954744,14.149548,2.8586903,38.47289354835131,-0.5672504274188714,3.57842905956068,738103.9757550461,0.029417149434709154,False,False,1.0000005846439657,False
3883571517091026048,36.229412177914135,9.870178,1.4692202,41.42999498772162,-0.2535368148908923,3.585689655349088,739601.5811367865,0.029387351225295337,False,False,1.0000005031426416,False
3736063584024889216,39.98233371195124,14.343591,2.8506603,31.00360101252451,-0.5048526948954895,3.651641675156169,753205.1617076022,0.02912076067613392,False,False,1.000000882228639,False
3917563193941033344,38.04950788249947,11.86414,2.134944,63.70333787639397,-0.0057079743139888,3.667851138609389,756548.6035421448,0.02905634222505432,False,False,1.0000002080451071,False
3853562099557084672,40.453170662403295,14.32364,2.7235289,30.971703021482945,-0.5064356228377644,3.677421621382374,758522.6573146408,0.029018508055500155,False,False,1.0000008778493412,False
3883570761176322048,36.22625911431388,11.788341,2.169508,41.4066369750317,-0.253491296632199,3.678954648805079,758838.8669185778,0.029012461391679064,False,False,1.0000004909409215,False
1495959619122182272,41.70720422197617,15.697134,3.1601696,30.72282834730157,-0.9925890939341172,3.6959972431593977,762354.154336808,0.028945494497184036,False,False,1.0000008876455044,False
3921083593951125632,50.40876617964735,10.65514,1.420371,68.80596330513553,-0.2206038039511016,3.715808100676452,766440.4370192569,0.028868229819585183,False,False,1.0000001760305919,False
3680035220252277248,47.54388896386321,8.823035,1.0006657,45.1063410057894,-0.3948887746644101,3.725011128603627,768338.6977892682,0.028832546782193356,False,False,1.0000004085928973,False
3965607870640939008,38.39040011650869,14.370442,2.8418837,87.54760832865068,-0.0037829269121661,3.788815319656588,781499.2568787942,0.028588743902680572,False,False,1.0000001066354427,False
3933207393274156800,36.37619378513029,15.172416,3.1683187,8.253086150852072,-1.1610927008298468,3.79036629723304,781819.1689677114,0.028582894199235293,False,False,1.0000119944308876,False
3632554356794772864,50.97892678287099,14.039336,2.3808174,50.818938017871446,-0.5588163777793935,3.80688823273767,785227.0627893184,0.028520801722743284,False,False,1.0000003149722467,False
1233902704963092608,46.193776892508176,5.9191113,0.37057257,27.06398439322317,-1.1112092557366773,3.808615429729528,785583.3227417677,0.028514333935425993,False,False,1.0000011100511577,False
592674498659416320,52.434297603744106,14.006428,2.6282215,19.3707033100587,-1.4152636368502345,3.810869377219,786048.2327834179,0.02850590025389975,False,False,1.0000021656024976,False
3788446276476758144,40.19630291554461,12.882081,2.6404715,17.17250531540561,-0.507065399704008,3.929860749428429,810591.9650878696,0.02807102116897485,False,False,1.0000026720778343,False
3963325490659915392,34.72287011503568,8.045288,0.9372821,20.978263645047956,-0.0645342080517387,3.993736210446577,823767.2246629384,0.027845633623924747,False,False,1.0000017618751535,False
3780317037256044032,63.31328249020893,14.490991,2.8564005,45.458662409907504,-0.6633160463579253,4.043897052150025,834113.6409456969,0.027672394931218636,False,False,1.000000370561409,False
