source_id,ra,dec,dist_pc,phot_g_mean_mag,bp_rp,sep_now_pc,v_rel_kms,t_enc_myr,d_min_pc,abs_g,lum_class,dest_score,cross_yr_0.001c,cross_yr_0.01c,cross_yr_0.1c,known_planet_host,n_planets,has_temperate_planet,has_hycean_candidate,host_name
939072613334579328,103.70012922713916,33.266408018167255,5.584628669736241,8.863551,2.5611715,36.32102819451681,23.0596560284745,-0.7882139069227587,31.203769304326837,10.128579492371069,main_sequence,2.4993771971576866,101773.08438654359,10177.308438654358,1017.7308438654359,True,2,True,True,GJ 251
1372215976327300480,239.57754339419824,35.408158262718665,15.82963371804538,11.506599,2.645566,34.99257095704984,37.03330048655284,-0.0196722925691421,34.98463781892999,10.509244670815228,main_sequence,2.4991424091166454,114104.628266333,11410.4628266333,1141.04628266333,True,2,True,True,GJ 3929
3767281845873242112,154.64485490553795,-11.717835368459564,22.027792585840835,11.837257,2.683506,20.70925855270209,28.49603599836583,-0.6652643441431692,7.278762820743002,10.122402107487478,main_sequence,2.4971226384568754,23740.14932492126,2374.0149324921263,237.40149324921262,True,2,False,True,LTT 3780
5271055243163629056,124.53289609935436,-68.31451297878304,10.608238227245772,10.605513,2.503687,38.20537629474979,35.09741376037504,-0.0949817848692054,38.05295331772201,10.477296679794282,main_sequence,2.4961741990920645,124112.13502417199,12411.213502417198,1241.12135024172,True,5,True,True,L 98-59
4330690742322011520,247.57481416249277,-12.66785108081103,4.307764238399739,8.801877,2.7315807,37.30763294679149,15.121094288178822,-1.0798111915548316,33.3618131438924,10.630617367125456,main_sequence,2.492871200470473,108811.68205248364,10881.168205248363,1088.1168205248362,True,3,True,True,Wolf 1061
5664814198431308288,144.00748512333524,-21.665200855258018,9.435839717133272,9.891662,2.3962393,31.45031859373369,63.19086570000132,-0.2978501687102584,24.8717302700486,10.017759224559478,main_sequence,2.482989959443991,81120.73509215473,8112.073509215473,811.2073509215472,True,3,True,True,GJ 357
1560676770454324224,208.4587570725272,52.60276007079844,41.02172061769822,13.98809,2.8136215,35.77642529964891,34.70035382908327,-0.5429187831920375,30.1450075439901,10.923020637549119,main_sequence,2.4813195976894935,98319.86535620502,9831.986535620501,983.1986535620501,True,1,False,True,TOI-5713
5412250540681250560,146.12137189336056,-45.77909735114582,9.41861860705471,9.158753,2.31528,34.04207695944834,42.44809064133706,-0.2458095983266976,32.32630482848815,9.288816944276672,main_sequence,2.467056718107259,105434.30561636214,10543.430561636214,1054.3430561636212,True,3,False,True,GJ 367
5975663354131618304,259.75125274377365,-34.997795092684065,7.242898429833418,9.386162,2.2938309,38.96144778128256,44.37151998705885,-0.8004567272965442,14.09076900833466,10.086600025240497,main_sequence,2.462005281764572,45957.942111746226,4595.794211174622,459.57942111746223,True,5,True,True,GJ 667 C
3478160727866058368,173.8619077285848,-32.543748247776854,9.076792989426956,8.896746,2.2076273,31.631212013040347,32.56601168458148,-0.4517189866380571,27.82422769758666,9.107083846059723,main_sequence,2.43836308510562,90750.493821406,9075.0493821406,907.50493821406,True,3,True,True,GJ 433
4550763526539955712,264.4766236517814,18.596087654354623,8.159628009669527,8.74288,2.1102657,38.80309112875643,57.7283838351995,-0.3627906134365976,32.355942465520805,9.184528199509082,main_sequence,2.4056455200853972,105530.97066042539,10553.09706604254,1055.309706604254,True,1,False,True,Gl 686
3738099879558957952,202.50420163284343,10.372389574126087,7.627686798494671,8.205292,2.0878701,31.623500326672094,65.98462834883851,-0.1000291932785689,30.89464753271987,8.793327739429355,main_sequence,2.3972875139894265,100764.86400647843,10076.486400647844,1007.6486400647843,True,1,True,True,GJ 514
1412645602995521920,255.85040248888004,51.40906417008386,9.90811551200435,11.981026,3.1607075,37.57264265162081,60.60968946533019,-0.1430867131189515,36.51077952319006,12.001070694558145,main_sequence,2.378170580034967,119082.23680261795,11908.223680261795,1190.8223680261794,True,1,False,True,GJ 3988
3460438662009633408,178.5780409728862,-37.553376934847535,27.152437488004527,10.742868,2.023222,27.12005548183068,64.82690401379212,-0.1122981499911484,26.07805871316341,8.573823887452342,main_sequence,2.371562131035257,85055.25227312835,8505.525227312835,850.5525227312836,True,2,False,True,TOI-776
1573086442800134272,183.0886931780873,54.48616586319348,15.248745053295494,9.043074,1.8885117,29.952345075876003,35.2832047672802,-0.498830314085316,23.94034920390573,8.126903482849983,main_sequence,2.3112491972972165,78082.97632281775,7808.297632281774,780.8297632281774,True,1,False,True,HD 238090
3796690380302214272,172.3353838821948,-1.4551471562439675,43.980440275310826,11.474142,1.8417053,8.780313838458426,45.128198400764624,-0.100015905387893,7.469002278686494,8.257844136792817,main_sequence,2.288511892622427,24360.627454281377,2436.0627454281375,243.60627454281376,True,3,True,True,K2-3
5213167330349528064,117.3008524617764,-76.70272278517169,10.890123790817183,10.162108,2.5644093,39.53685892251124,24.75871836605362,-0.3977974357289626,38.23225105586288,9.976943917399614,main_sequence,1.4994767080697622,124696.92603631415,12469.692603631414,1246.9692603631415,True,1,False,False,COCONUTS-2 A
5400949450924312576,164.5865308722478,-36.85810967114435,46.24741868628548,13.073343,2.5355873,33.1780562357783,22.047033199003465,-0.0901152539190395,33.11577881268641,9.74790551263421,main_sequence,1.4982870077244257,108009.22538426497,10800.922538426496,1080.0922538426496,True,1,False,False,TOI-674
3094290054327367168,120.5935504526876,3.337110091341309,27.314545724409516,12.454006,2.693244,30.156783894360814,59.89552298128966,-0.3803493755854381,19.146936808959182,10.272036089791069,main_sequence,1.496413700924305,62448.955976988786,6244.895597698878,624.4895597698878,True,2,False,False,GJ 3473
3857872051994269824,160.59412066807997,4.441375637350389,31.124504592299058,13.413598,2.49049,10.098634486006295,29.05873027607229,-0.0713353610212443,9.87360308968784,10.948085762459847,main_sequence,1.4950567047386287,32203.38641289401,3220.338641289401,322.0338641289401,True,3,False,False,K2-239
