donor_mass_msun,reservoir_pc,n_past,v_rel_min_kms,v_rel_median_kms,d_min_min_pc,d_min_min_au,n_within_reservoir,n_capturable,n_transfers,closest_pass_speed_excess,max_focusing_factor
0.36,0.5,4984,2.9736696012313364,36.24873838251983,0.9033306912504276,186325.32978461537,0,0,0,551.1392519326114,1.0000206630762114
0.36,0.2,4984,2.9736696012313364,36.24873838251983,0.9033306912504276,186325.32978461537,0,0,0,551.1392519326114,1.0000206630762114
0.36,0.1,4984,2.9736696012313364,36.24873838251983,0.9033306912504276,186325.32978461537,0,0,0,551.1392519326114,1.0000206630762114
0.36,0.03,4984,2.9736696012313364,36.24873838251983,0.9033306912504276,186325.32978461537,0,0,0,551.1392519326114,1.0000206630762114
0.36,0.0048,4984,2.9736696012313364,36.24873838251983,0.9033306912504276,186325.32978461537,0,0,0,551.1392519326114,1.0000206630762114
0.36,0.00024,4984,2.9736696012313364,36.24873838251983,0.9033306912504276,186325.32978461537,0,0,0,551.1392519326114,1.0000206630762114
