source_id,ra,dec,l_deg,b_deg,dist_pc,R_gal_kpc,z_gal_kpc,selection_weight,is_anomaly
503214400007895,30.8941392,13.8246675,148.31185791181042,-45.462329662368255,,,,0.00992357705030227,True
503214400007468,30.7420045,13.8686841,148.09345564349226,-45.47962378555008,,,,0.00992357705030227,True
503215400014214,29.406738,13.9876291,146.31143603293322,-45.85795205068286,,,,0.00992357705030227,True
503214300020761,30.06339535,13.96501735,147.17174018900263,-45.643024028030744,,,,0.00992357705030227,True
503215400008130,29.1395162,13.8325428,146.04424239293698,-46.09639242775841,,,,0.00992357705030227,True
503214300008305,29.9716797,13.8156348,147.13405018545342,-45.81492495996142,,,,0.00992357705030227,True
503214400027141,30.86942745,13.888752,148.24456894008017,-45.412800457229764,,,,0.00992357705030227,True
503214300008121,29.924146,13.83240335,147.06363608686945,-45.816700915668335,,,,0.00992357705030227,True
503214300007045,30.4541792,13.9295057,147.6922640712195,-45.53163915442487,,,,0.00992357705030227,True
503215400020986,29.1222464,13.90989605,145.98162832661686,-46.03023268727543,,,,0.00992357705030227,True
503215400014668,29.33149275,13.9393014,146.2389232613913,-45.929511091448795,,,,0.00992357705030227,True
503215400006604,28.8340318,13.96813735,145.57509231276103,-46.075400176143454,,,,0.00992357705030227,True
503215400006694,29.4059229,13.96262465,146.32345046328493,-45.88152885527711,,,,0.00992357705030227,True
503214300007682,29.9411433,13.8721571,147.06421268328143,-45.77365969694705,,,,0.00992357705030227,True
503215400006690,29.366497,13.9628209,146.27214463567825,-45.89526222273363,,,,0.00992357705030227,True
503214300006509,30.1217132,13.9845498,147.23615803809955,-45.60359745073154,,,,0.00992357705030227,True
503215400006917,29.0649321,13.9411213,145.8907145902204,-46.02101535527096,,,,0.00992357705030227,True
503215400008114,28.808794,13.831668,145.61158988851136,-46.211725583934054,,,,0.00992357705030227,True
503214300006974,30.5603858,13.93580525,147.82455645395703,-45.48613782387871,,,,0.00992357705030227,True
503214300008018,30.3714869,13.840594,147.6350571540725,-45.644540851577275,,,,0.00992357705030227,True
503214400007928,31.22022665,13.81867295,148.72938116209352,-45.34248835050016,,,,0.00992357705030227,True
503215400007650,29.6204371,13.8762152,146.64723978469098,-45.88563873768173,,,,0.00992357705030227,True
503215400007316,29.50989985,13.9068423,146.48769039292276,-45.896596558573066,,,,0.00992357705030227,True
503214400007702,30.8638995,13.8430245,148.26308278145612,-45.45697089830077,,,,0.00992357705030227,True
503215400006379,29.5555397,13.99265915,146.50168903148773,-45.800516412145484,,,,0.00992357705030227,True
503215400006355,29.409827,13.9942071,146.31200691207624,-45.85073428303716,,,,0.00992357705030227,True
503214300006559,30.32654265,13.9802974,147.50115019151679,-45.53211814440842,,,,0.00992357705030227,False
503214300008272,30.258155,13.8175971,147.50208270768533,-45.70783942804922,,,,0.00992357705030227,False
1549207400004806,29.4084229,13.8340532,146.39409417060875,-46.00036987250168,,,,0.00992357705030227,False
503215400020888,28.8243773,13.9190826,145.58743209841464,-46.124603358857904,,,,0.00992357705030227,False
1549207300018451,28.82438845,13.9190675,145.58745440166743,-46.124613663335516,,,,0.00992357705030227,False
1549207300025348,28.780589,13.990041,145.4940050573096,-46.07318287107198,,,,0.00992357705030227,False
503214300007160,30.01008455,13.9211189,147.12676363152494,-45.703160719636266,,,,0.00992357705030227,False
1549207400003773,29.40560365,13.9487064,146.33031700771292,-45.894604391372944,,,,0.00992357705030227,False
1549207300033837,29.0533875,13.8225883,145.93679236682732,-46.13570645912819,,,,0.00992357705030227,False
503214300008436,30.24399325,13.80249735,147.49211139415493,-45.72703998540304,,,,0.00992357705030227,False
503215400008306,29.1005695,13.8171562,146.00131567052588,-46.124344749639285,,,,0.00992357705030227,False
503214300027404,30.4469388,13.9743591,147.65843664447056,-45.49291853214759,,,,0.00992357705030227,False
503214300034408,30.5689907,13.84338895,147.88651929961944,-45.56815109285691,,,,0.00992357705030227,False
503214300006871,29.8659818,13.9497432,146.92566864412123,-45.72897435496508,,,,0.00992357705030227,False
503215400029139,28.8901237,13.94068825,145.66249175551113,-46.08182060689488,,,,0.00992357705030227,False
1549207400025112,29.19706815,13.97456375,146.04569373462542,-45.94378208483856,,,,0.00992357705030227,False
503215400020760,28.83245835,13.9369628,145.58890703132002,-46.10510525663795,,,,0.00992357705030227,False
