source_id,origin,hip,ra,dec,l,b,ecl_lat,parallax,distance_pc,phot_g_mean_mag,bp_rp,j_m,ks_m,e_ks,jk,lum_class,pred_s09_jy,pred_s18_jy,pred_f12_jy,pred_f25_jy,tmass_read1_regime,n_neigh_30,n_neigh_60,etz,nearby,predicted_over_akari_limit,caveat
-80763,hipparcos2,80763,247.35194829,-26.43194598,351.9472015238298,15.064337060294733,-4.56989137389317,5.89,169.77928692699493,0.9757,,-2.85,-4.1,0.16,1.25,unknown,2926.5062142619217,724.0006283830832,2217.2812222482585,582.4400889024885,True,,,False,False,58530.12428523843,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
6870038822635780864,gaia_dr3,,294.2639734629757,-18.231120267902124,21.232807935091756,-18.04730806636605,3.2905512929646674,7.5451975855096185,132.53463393993516,5.266877174377441,1.389439582824707,3.649,2.826,0.244,0.8229999542236328,giant,4.461432146624557,1.0771763383888546,3.3514135857147918,0.836682376510682,True,0.0,0.0,False,False,89.22864293249114,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
6793555586916034816,gaia_dr3,,309.57101616443254,-30.953262925292105,12.723806288033074,-35.2823837889254,-12.06039821945345,4.8542956369002885,206.00311039946266,7.344288349151611,1.380587100982666,5.626,4.87,0.023,0.7560000419616699,giant,0.6764170819089759,0.16188087917800942,0.5048595571047011,0.12719326479419682,True,0.0,0.0,False,False,13.528341638179517,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
3217427488256683392,gaia_dr3,,85.01661336494381,-1.4254684661185018,205.89091874031493,-16.49657316207157,-24.769862330348126,1.418093481014052,705.1721296151215,6.770411491394043,1.0177435874938965,5.369,4.92,0.02,0.44899988174438477,giant,0.6425701636944963,0.15205442816291503,0.4721930369411216,0.12142644162427643,True,0.0,0.0,False,False,12.851403273889925,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
6770313530317154560,gaia_dr3,,288.8890362583546,-24.179808123405238,13.455328084233107,-15.786607167509402,-1.8605062556335665,36.31153546833892,27.539457836255067,6.119344234466553,0.6959900856018066,5.296,4.936,0.018,0.3600001335144043,dwarf,0.630796343295872,0.14924011301683215,0.46399780125621504,0.11028499276898776,True,0.0,0.0,False,True,12.615926865917439,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
904221908664746624,gaia_dr3,,124.94826832981988,35.20131889049774,186.7103236822988,32.43380524918054,15.216163378946133,6.150470461999846,162.58918828704475,7.005074977874756,1.1311488151550293,5.509,4.969,0.021,0.5399999618530273,giant,0.6141007901313188,0.14660675509025506,0.453323206256355,0.11608317639907513,True,0.0,0.0,False,False,12.282015802626375,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
3599492076508072704,gaia_dr3,,178.46677126496564,-3.7770604471980365,276.51794420952,56.11368958797303,-4.074789819949942,4.841302277790734,206.5559931234736,7.11098051071167,1.1116366386413574,5.67,5.066,0.026,0.6040000915527344,giant,0.561832371471786,0.13358278085433692,0.4157868102496696,0.1045915900675505,True,0.0,0.0,False,False,11.236647429435719,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
2600160251672843008,gaia_dr3,,333.2760567945606,-13.871233789841314,44.60535974373618,-50.82555348946012,-2.653583402928636,4.935371279593171,202.61900135756986,7.330015659332275,1.2297120094299316,5.778,5.085,0.018,0.6929998397827148,giant,0.5536064987904219,0.13254626439611952,0.41204010804347363,0.10369187357780207,True,0.0,0.0,False,False,11.072129975808437,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
6243032008973309440,gaia_dr3,,243.41750928990655,-21.399925176308457,353.34998237413487,21.103124210291792,-0.20418026786226146,25.995048691372954,38.4688642776758,6.525451183319092,0.8082742691040039,5.524,5.125,0.021,0.3990001678466797,dwarf,0.5291032660110118,0.12469919405131236,0.3902543310800825,0.09380415657425996,True,0.0,0.0,True,True,10.582065320220234,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
6795891125710265088,gaia_dr3,,311.9702118762478,-27.75009805586832,17.18142770007172,-36.547820324419355,-9.524230018989428,5.178917199917508,193.0905556891175,7.294518947601318,1.1997151374816895,5.813,5.135,0.021,0.6779999732971191,giant,0.5276481356719418,0.12664971557163746,0.3931848852324743,0.09822665484922768,True,0.0,0.0,False,False,10.552962713438836,no AKARI/IRC PSC and no IRAS PSC source within the match radius; IRC survey sky coverage ~96 % and PSC detection-count cuts can also do this — check the IRC image/coverage at this position before believing it
