source_id,vet_set,hip,ra,dec,ks_m,jk,pred_s09_jy,etz,nearby,pm_source,verdict,note,n_in_cone,wise_id,sep_arcsec,w1,w2,w3,e_w3,w3snr,w3rchi2,w4,e_w4,w4snr,cc_flags,ph_qual,ext_flg,resid_w3,sig_w3,resid_w4,sig_w4,nearest_wide_sep_arcsec,nearest_wide_cc_flags,nearest_wide_w1,artefact_region_plausible
-80763,missing,80763.0,247.35194829,-26.43194598,-4.1,1.25,2926.5062142619217,False,False,unknown_assumed_zero,saturated_beyond_all_catalogues,brighter than every catalogue's saturation; not queried,,,,,,,,,,,,,,,,,,,,,,,
6870038822635780864,missing,,294.2639734629757,-18.231120267902124,2.826,0.8229999542236328,4.461432146624557,False,False,gaia_lookup,INCONCLUSIVE,w3: saturated (2.78 < 3.8),1.0,J193703.35-181352.2,0.28002083558348484,1.7829999923706055,1.3940000534057617,2.7809998989105225,0.013000000268220901,84.30000305175781,2.79,2.6489999294281006,0.02199999988079071,49.2,hh00,UUAA,1.0,-0.00715889686524817,-0.029298187526424543,0.05937814399060176,0.2423698661493906,,,,
6793555586916034816,missing,,309.57101616443254,-30.953262925292105,4.87,0.7560000419616699,0.6764170819089759,False,False,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,2.0,J203817.03-305711.1,0.3331893636414874,,4.739999771118164,4.863999843597412,0.014000000432133675,76.69999694824219,3.192,4.788000106811523,0.02800000086426735,39.0,HHH0,XAAA,1.0,-0.038248797225877186,-1.420524655291168,-0.027608774803427147,-0.7619294554529388,,,,
3217427488256683392,missing,,85.01661336494381,-1.4254684661185018,4.92,0.4489998817443847,0.6425701636944963,False,False,gaia_lookup,INCONCLUSIVE,,1.0,J054003.99-012531.6,0.07572796670683164,4.834000110626221,4.605999946594238,4.826000213623047,0.017999999225139618,60.20000076293945,0.7974,4.666999816894531,0.027000000700354576,39.9,00h0,BBAA,0.0,0.08599543059203571,3.1959950697224286,0.18010905081999734,5.360293368476347,,,,
6770313530317154560,missing,,288.8890362583546,-24.17980812340524,4.936,0.3600001335144043,0.630796343295872,False,True,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J191533.32-241046.3,0.3850584612207555,4.940000057220459,4.801000118255615,4.97599983215332,0.014999999664723873,70.69999694824219,2.242,4.929999828338623,0.03099999949336052,34.9,0000,BAAA,0.0,-0.03749683158868548,-1.573423557169205,-0.05624649896913986,-1.569075844791726,,,,
904221908664746624,missing,,124.94826832981988,35.20131889049774,4.969,0.5399999618530273,0.6141007901313188,False,False,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J081947.57+351204.7,0.08971733357497423,4.955999851226807,4.801000118255615,4.9710001945495605,0.014999999664723873,74.30000305175781,1.086,4.938000202178955,0.03200000151991844,34.5,0000,BAAA,0.0,-0.020748066901159455,-0.8039712679905254,-0.05277503787458861,-1.3788268342046686,,,,
3599492076508072704,missing,,178.46677126496564,-3.777060447198037,5.066,0.6040000915527344,0.561832371471786,False,False,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J115352.04-034637.1,0.22010501551806208,4.954999923706055,4.877999782562256,5.043000221252441,0.014000000432133675,78.30000305175781,1.762,4.978000164031982,0.03200000151991844,33.4,0000,BAAA,0.0,-0.0033039820480696078,-0.11188694953092773,-0.0034294812295221494,-0.08317713497553568,,,,
2600160251672843008,missing,,333.2760567945606,-13.871233789841314,5.085,0.6929998397827148,0.5536064987904219,False,False,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J221306.25-135216.4,0.2107942573412473,5.03000020980835,4.916999816894531,5.091000080108643,0.014999999664723873,71.0,1.474,5.000999927520752,0.035999998450279236,30.4,0000,BAAA,0.0,-0.042811197253822895,-1.7964223486580713,-0.018073706373246137,-0.44904486053042036,,,,
6243032008973309440,missing,,243.41750928990652,-21.399925176308457,5.125,0.3990001678466797,0.5291032660110118,True,True,gaia_lookup,INCONCLUSIVE,,1.0,J161340.30-212359.3,0.9240515857425324,5.192999839782715,4.973999977111816,5.2789998054504395,0.02199999988079071,48.900001525878906,4.549,5.111000061035156,0.032999999821186066,32.9,HHH0,BAAA,1.0,-0.15610116912866823,-5.132574838939194,-0.052911175984314066,-1.35270065517408,,,,
6795891125710265088,missing,,311.9702118762478,-27.75009805586832,5.135,0.6779999732971191,0.5276481356719418,False,False,gaia_lookup,PHOTOSPHERE_PRESENT_AT_12_22_UM,,1.0,J204752.83-274500.5,0.04386029335702388,5.0269999504089355,4.931000232696533,5.086999893188477,0.01600000075995922,68.4000015258789,0.9891,5.02400016784668,0.03099999949336052,34.6,hh00,BAAA,0.0,0.012959881668785346,0.4908905136848376,0.010720052798698435,0.2863010378867607,,,,
