z_max_lo,z_max_hi,n,n_sparse,n_dense,n_normal,sparse_frac,median_z_rest_rms
2,3.0,27019,0,0,27012,0.0,0.9334738030208176
3,4.0,8498,0,0,8490,0.0,1.191686719909584
4,6.0,4359,569,867,2895,0.13053452626749254,1.5050858862581824
6,8.0,1424,515,886,0,0.3616573033707865,1.9499123365165723
8,12.0,871,234,629,0,0.26865671641791045,2.431864655787746
12,inf,242,23,216,0,0.09504132231404959,3.69669876619274
