element,family,n_fit,n_clipped,robust_scatter_dex,sigma_global_dex,sigma_best_cell_dex
O,alpha,69536,1285,0.10982,0.1123,0.08815
Na,odd_z,72972,812,0.05398,0.05473,0.04849
Mg,alpha,72685,1075,0.04503,0.04594,0.03754
Al,odd_z,71107,729,0.08883,0.08991,0.0789
Si,alpha,72409,1115,0.03445,0.03514,0.02893
K,odd_z,71087,1685,0.08814,0.09089,0.07
Ca,alpha,72564,1208,0.04854,0.04952,0.0407
Sc,odd_z,72418,1272,0.04872,0.04975,0.04374
Ti,alpha,72375,814,0.03815,0.03872,0.03259
V,fe_peak,72378,571,0.05704,0.05758,0.05308
Cr,fe_peak,72304,1398,0.02792,0.02856,0.02503
Mn,fe_peak,73071,718,0.0418,0.0423,0.03539
Co,fe_peak,72566,801,0.05178,0.05249,0.04267
Ni,fe_peak,73067,667,0.02924,0.02956,0.02608
Cu,fe_peak,72890,626,0.0702,0.0709,0.05688
Zn,fe_peak,72803,814,0.08338,0.08446,0.06497
Sr,s_light,3642,0,0.29675,0.29675,0.17219
Y,s_light,71251,1443,0.08134,0.08351,0.06982
Zr,s_light,18597,74,0.20251,0.20357,0.15519
Ba,s_heavy,72598,1146,0.10995,0.11249,0.0966
La,s_heavy,25346,235,0.16977,0.1716,0.13023
Ce,s_heavy,12855,30,0.25966,0.26041,0.16486
Nd,r_mixed,61196,398,0.15747,0.15885,0.13988
Sm,r_mixed,11715,11,0.22454,0.22476,0.12655
Eu,r_process,808,0,0.24968,0.24968,0.12636
