mass,sensitivity_-2,sensitivity_-1,sensitivity_0,sensitivity_1,sensitivity_2,upper_limit
10.0,1.0205349471774205e-41,2.0958669441181903e-41,4.668749999514441e-41,8.353585074393537e-41,1.314570713280589e-40,2.9638650631247017e-41
10.476157527896646,7.825440637766763e-42,1.605847900484911e-41,3.5436039473899525e-41,6.339910589148776e-41,9.82621821109935e-41,2.2535602377861647e-41
10.974987654930562,6.11285772934121e-42,1.253167963370325e-41,2.7432385046944917e-41,4.907770390146802e-41,7.512048107352754e-41,1.753276121577556e-41
11.497569953977358,4.860436208378642e-42,9.952428844820386e-42,2.1640491714563732e-41,3.8715102225699744e-41,5.866841114783858e-41,1.3942058864433916e-41
12.045035402587825,3.930452800129216e-42,8.037380836490357e-42,1.7380696592549228e-41,3.1093947253406013e-41,4.675508049160763e-41,1.1319415386008496e-41
12.618568830660204,3.229886098421105e-42,6.595024719217686e-42,1.4199565688391187e-41,2.5402401684545583e-41,3.797836924075946e-41,9.372741048461296e-42
13.219411484660286,2.694945700594965e-42,5.49395970308638e-42,1.1789682371124931e-41,2.1090232961446087e-41,3.140735353679768e-41,7.906418877684851e-42
13.84886371393873,2.2812449840643057e-42,4.642719219935468e-42,9.9393879284059e-42,1.7778693891132598e-41,2.6413041061076697e-41,6.787168702866612e-42
14.508287784959396,1.9574642368108027e-42,3.976747561852828e-42,8.500784410196098e-42,1.5203178942280322e-41,2.2563268327867877e-41,5.922678211849307e-42
15.19911082952934,1.701205009241458e-42,3.449872369444762e-42,7.369050273402375e-42,1.3176171619166123e-41,1.95562983306355e-41,5.2479941598486885e-42
15.922827933410924,1.4962400751937838e-42,3.028643672083716e-42,6.468871509666011e-42,1.1562947692523757e-41,1.7178168128877818e-41,4.7167114154763385e-42
16.68100537200059,1.3306646861265669e-42,2.68852591052481e-42,5.745414292697851e-42,1.0265416228570855e-41,1.5274855112597178e-41,4.295177032988337e-42
17.47528400007684,1.1956377128071415e-42,2.411303699427141e-42,5.158237422133664e-42,9.211226280335672e-42,1.3733837701636588e-41,3.958618747791871e-42
18.30738280295368,1.0845138666126797e-42,2.1832928136837978e-42,4.677133745576914e-42,8.34632758613523e-42,1.2471703823370189e-41,3.688520273690109e-42
19.179102616724887,9.92238444457767e-43,1.994092000849316e-42,4.279254004060574e-42,7.629826994290249e-42,1.1425711101566545e-41,3.470816122637074e-42
20.09233002565047,9.149205312747688e-43,1.8357025732626784e-42,3.947094587838076e-42,7.030391202816502e-42,1.0547968685913485e-41,3.2946331776192665e-42
21.049041445120206,8.49637739944615e-43,1.7021119092716566e-42,3.667581175245329e-42,6.52465951695061e-42,9.803385991011163e-42,3.151918490128723e-42
22.051307399030456,7.943835001564183e-43,1.589161840052179e-42,3.431827889178584e-42,6.096882744619814e-42,9.169880843326688e-42,3.0376958848936e-42
23.101297000831604,7.475949371670855e-43,1.4936118313811992e-42,3.232949381909073e-42,5.7348593300322905e-42,8.630568506611333e-42,2.9482437112745484e-42
24.201282647943824,7.080043450705931e-43,1.4128379035771947e-42,3.0653779565719333e-42,5.4287012644351525e-42,8.171674161296824e-42,2.880584439919906e-42
25.353644939701116,6.745787361122853e-43,1.3447058094191768e-42,2.924589743265596e-42,5.1703587052971296e-42,7.781913629591084e-42,2.8323332459250918e-42
26.560877829466865,6.4647277913855994e-43,1.2874724700789964e-42,2.8068923094432747e-42,4.953250265233439e-42,7.452007831958493e-42,2.8015796135230638e-42
27.825594022071243,6.229919396447674e-43,1.2397089139227985e-42,2.7092588594504807e-42,4.7719737356870526e-42,7.174300001618751e-42,2.786793789513205e-42
29.15053062825177,6.035634330259127e-43,1.200239663933957e-42,2.6291979526941798e-42,4.622078356757247e-42,6.942452245773154e-42,2.7867519600686323e-42
30.538555088334157,5.87713190708235e-43,1.1680947693253677e-42,2.564650433252359e-42,4.4998844096621444e-42,6.75120365934473e-42,2.8004755203218025e-42
31.99267137797385,5.750474740851148e-43,1.1424716005439297e-42,2.513907298968557e-42,4.4023393573911524e-42,6.596176391532569e-42,2.8271809054647548e-42
33.516026509388425,5.652380951463793e-43,1.1227042132902773e-42,2.4755437460814566e-42,4.326902323651376e-42,6.473719214000132e-42,2.8662372676228162e-42
35.11191734215131,5.580104451820304e-43,1.1082386001219897e-42,2.4483657495304358e-42,4.271450617796572e-42,6.380780514863247e-42,2.917129894397992e-42
36.78379771828634,5.531337154808408e-43,1.0986125336251199e-42,2.431366382192077e-42,4.234203455396838e-42,6.314804443710751e-42,2.979427730663124e-42
38.53528593710529,5.504128321607599e-43,1.0934389963529256e-42,2.4236897128364538e-42,4.213659114753209e-42,6.273645305378163e-42,3.052753727368088e-42
40.370172585965534,5.4968173258024735e-43,1.092392414047697e-42,2.424600606657315e-42,4.208542599705453e-42,6.255496351474228e-42,3.13675703134177e-42
42.29242874389499,5.5079769158351886e-43,1.0951970779366705e-42,2.4334591234448658e-42,4.217761515177485e-42,6.2588299283174e-42,3.2310862720634534e-42
44.306214575838816,5.53636468342486e-43,1.1016172723110346e-42,2.4496984960319297e-42,4.2403683533001307e-42,6.282346567276501e-42,3.3353634131539586e-42
46.4158883361278,5.58088093396973e-43,1.1114487249732616e-42,2.472805897199916e-42,4.275527771314956e-42,6.324931093022169e-42,3.449157831587089e-42
48.62601580065353,5.640531541330632e-43,1.124511077822756e-42,2.5023053829391135e-42,4.322487745231996e-42,6.385614210471657e-42,3.571960476586808e-42
50.9413801481638,5.714402807915964e-43,1.1406424326485619e-42,2.53774709024471e-42,4.380559702320552e-42,6.463544060411229e-42,3.703170026566229e-42
53.3669923120631,5.801942540045049e-43,1.1597428475646292e-42,2.5788674822162365e-42,4.4493240025111283e-42,6.558174338724711e-42,3.842533702571344e-42
55.90810182512222,5.9030559059084864e-43,1.1817887938588255e-42,2.625646353679041e-42,4.528699762008601e-42,6.669322414100611e-42,3.990360076537688e-42
58.570208180566674,6.0177268937510355e-43,1.2067720762695138e-42,2.6780976213514626e-42,4.618665833668838e-42,6.796895083197427e-42,4.147007718676253e-42
61.35907273413176,6.1459830946325425e-43,1.2346933014676519e-42,2.736251390773716e-42,4.7192340513275136e-42,6.940857105974255e-42,4.312845924256308e-42
64.28073117284322,6.287887503738939e-43,1.2655596535031668e-42,2.8001510301349177e-42,4.8304423385825906e-42,7.101219077178834e-42,4.488253441619133e-42
67.34150657750821,6.443530436879591e-43,1.2993826805088676e-42,2.8698502608348858e-42,4.952347893150744e-42,7.278025540144139e-42,4.673616990565412e-42
70.54802310718645,6.613021422976149e-43,1.3361760562728006e-42,2.9454102179386255e-42,5.085020332522238e-42,7.471343128589378e-42,4.869329549836802e-42
73.90722033525779,6.796480949372135e-43,1.375953285526385e-42,3.0268964385474784e-42,5.228534700891425e-42,7.681248550689987e-42,5.075788392213259e-42
77.4263682681127,6.994031951797141e-43,1.4187253268725297e-42,3.1143757406981174e-42,5.382964250854087e-42,7.907816256402297e-42,5.2933928457819897e-42
81.11308307896871,7.205790955420363e-43,1.464498112409183e-42,3.2079129599233704e-42,5.548372926704269e-42,8.151105655058886e-42,5.522541760245114e-42
84.97534359086447,7.431858788280651e-43,1.5132699484822458e-42,3.307567515239623e-42,5.724807489879823e-42,8.411147776719738e-42,5.763630657780529e-42
89.02150854450387,7.672310804004626e-43,1.56502878779233e-42,3.413389781244062e-42,5.912289241656507e-42,8.687931298545398e-42,6.017048549009616e-42
93.260334688322,7.927186567632998e-43,1.6197493694272725e-42,3.5254172483658395e-42,6.110805314005302e-42,8.981387887431977e-42,6.283174396111557e-42
97.70099572992255,8.196478976996614e-43,1.6773902304082866e-42,3.6436704592495394e-42,6.32029951695363e-42,9.291376842970848e-42,6.562373207108958e-42
102.35310218990269,8.480140524843675e-43,1.7378952303295918e-42,3.768155675151253e-42,6.540677510121698e-42,9.617692869370198e-42,6.854998623871362e-42
107.22672220103232,8.778477769285194e-43,1.801296769627563e-42,3.899019980201623e-42,6.772135617278676e-42,9.960596100106092e-42,7.161547812237784e-42
112.33240329780276,9.092214255405398e-43,1.867732874946987e-42,4.036575800272503e-42,7.015213605829588e-42,1.032089754650844e-41,7.482693528143909e-42
117.6811952434999,9.422130969893825e-43,1.93735337822424e-42,4.181159565204546e-42,7.270495076080333e-42,1.0699475916090784e-41,7.819148398966299e-42
123.2846739442066,9.769051191650564e-43,2.0103158106953058e-42,4.333125822377891e-42,7.538594653815187e-42,1.1097256795884624e-41,8.171659942991008e-42
129.1549665014884,1.0133842547586946e-42,2.086785782608881e-42,4.492848116665127e-42,7.82015951033556e-42,1.1515214931078872e-41,8.541012244999287e-42
135.30477745798075,1.0517419155729004e-42,2.166937380229076e-42,4.660719908228657e-42,8.115870949025305e-42,1.1954376600560688e-41,8.928027708633552e-42
141.74741629268047,1.092074385709736e-42,2.2509535807324317e-42,4.8371555289023234e-42,8.426446060096977e-42,1.2415822091311499e-41,9.333568888761746e-42
148.49682622544648,1.1344830537662806e-42,2.339026685607457e-42,5.0225911778245456e-42,8.752639445091413e-42,1.2900688273446271e-41,9.758540407156352e-42
155.56761439304722,1.1790746541441877e-42,2.4313587731694137e-42,5.217485956914424e-42,9.095245012611763e-42,1.3410171277478418e-41,1.0203890954922504e-41
162.97508346206433,1.2259615175537709e-42,2.528162170801742e-42,5.422322946679552e-42,9.455097846663063e-42,1.3945529275157099e-41,1.0670615385224836e-41
170.7352647470692,1.2752618307634e-42,2.629659947536421e-42,5.637610322740301e-42,9.833076148828456e-42,1.4508085364950608e-41,1.1159756899979149e-41
178.8649529057435,1.3270999056101175e-42,2.7360864275792968e-42,5.86388251331972e-42,1.0230103255360891e-41,1.509923056293161e-41,1.1672409334287488e-41
187.3817422860385,1.3816064572501744e-42,2.847687725380413e-42,6.101701397812302e-42,1.0647149730091044e-41,1.5720426899472475e-41,1.220971954252545e-41
196.30406500402725,1.438918891583331e-42,2.9647223028394876e-42,6.351657546375307e-42,1.1085235533837172e-41,1.6373210621753324e-41,1.2772889890102543e-41
