n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,resists_mundane,is_candidate
62,0.6444930626138812,5,0.0806451612903225,1.5733894566258515,0.1012318020183597,0.2852043712927097,0.6188420560097382,1,0.0,0.6444930626138812,628213100039567,214.8346363,29.151502200000003,,,,unknown,False,True
51,0.2006435566794814,10,0.196078431372549,1.9761921838456784,0.1391086766141476,0.3851431480412661,0.602220123890236,1,0.0036028209093749,0.2006435566794814,1673207200005154,213.8843244,29.112768,21.04068946838379,1.71563720703125,,unknown,False,True
799,0.3393815540523703,22,0.0275344180225281,1.5875631341265464,0.1129492858864627,0.0198966943719848,0.4871112731003456,1,0.0066446138143811,0.1151883830033051,629216200005110,215.1635811,29.1286845,15.083589553833008,0.875981330871582,1.0107745877875565,main_sequence,True,True
