grain_id,meteorite,grain_type,class,grade,d29si,d29si_err,d30si,d30si_err,n_partners_measured,partners_solar,partners_anomalous,flags,reason,mixing_line_distance
SiC-2000-HOP-000025,,X,ORDINARY,,-661.5,58.9,-770.0,48.3,2,c12c13,n14n15,,inside_envelope,0.0
SiC-2001-BES-000002,,X,ORDINARY,,-593.74358974359,32.04337475111,-716.66666666667,25.976891093198,1,d44ca,,,inside_envelope,16.64071650109407
SiC-2018-HOP-001202,,X,ORDINARY,,-493.64827312426,11.115522032553,-789.52150211993,8.7825560266505,1,,c12c13,,inside_envelope,140.0409437305296
SiC-1996-NIT-100075,,X,ORDINARY,,-645.0,6.0,-612.0,6.0,1,,c12c13,,inside_envelope,90.4438810763914
SiC-2015-XUY-000079,,X,ORDINARY,,-555.409251157457,3.5762992969282,-693.570940782414,2.63672700177419,4,,c12c13|n14n15|al26al27|d44ca,,inside_envelope,30.66814560058365
SiC-2010-HOP-000854,,X,ORDINARY,,-563.0,38.0,-669.0,41.0,1,c12c13,,,inside_envelope,8.898889030884607
SiC-1996-HOP-100001,,X,ORDINARY,,-746.5,16.0,-474.7,32.9,2,,al26al27|ti44ti48,,inside_envelope,256.9048236352453
SiC-2024-LIU-000030,,X,ORDINARY,,-651.581005053148,7.36012427334178,-567.631181230268,9.95992308338028,3,,c12c13|n14n15|al26al27,,inside_envelope,124.348365075184
SiC-2012-HOP-001669,,X,ORDINARY,,-514.1265419817,7.1309192200557,-704.38648488441,6.7397747480735,1,,c12c13,,inside_envelope,69.03002482833287
SiC-2008-MAR-000114,,X,ORDINARY,,-569.0,3.0,-647.0,2.0,2,,c12c13|n14n15,,inside_envelope,9.988408183832952
SiC-2001-BES-000033,,X,ORDINARY,,-665.28925619835,54.753157942509,-549.52076677316,55.38637324126,1,d44ca,,,inside_envelope,146.54795078692416
SiC-2003-BES-000036,,X,ORDINARY,,-499.0,7.0,-709.0,7.0,1,,ti44ti48,,inside_envelope,83.51026393531859
SiC-2008-MAR-000105,,X,ORDINARY,,-685.0,2.0,-520.0,3.0,2,,c12c13|n14n15,,inside_envelope,180.73605695427105
SiC-2017-LIU-200034,,X,ORDINARY,,-541.710431893552,41.2627339226882,-658.594247508561,37.0436476472421,2,,c12c13|n14n15,,inside_envelope,18.266746281468
SiC-2024-HOP-000031,,X,ORDINARY,,-633.890805764157,1.11144306880455,-562.749368686869,1.51165404040404,2,,c12c13|n14n15,,inside_envelope,114.11108702020488
SiC-2015-XUY-000470,,X,ORDINARY,,-588.094125642441,3.35983164565561,-604.89089785698,3.43605979260666,4,d44ca,c12c13|n14n15|al26al27,,inside_envelope,51.91189136277976
SiC-2012-ORT-000244,,X,ORDINARY,,-531.4,5.0,-659.3,4.7,2,,c12c13|n14n15,,inside_envelope,26.547375385936604
SiC-2024-LIU-000018,,X,ORDINARY,,-497.846826249537,8.6547980683602,-690.242614553191,5.07694857383785,3,,c12c13|n14n15|al26al27,,inside_envelope,72.16186131617268
SiC-2024-LIU-000022,,X,ORDINARY,,-475.243838095437,8.74615192962095,-709.034230622353,4.36362217023968,3,,c12c13|n14n15|al26al27,,inside_envelope,101.5522363614339
SiC-2015-XUY-000362,,X,ORDINARY,,-682.517096376842,2.58116252484082,-500.699164254821,4.25981594797859,4,,c12c13|n14n15|al26al27|ti44ti48,,inside_envelope,191.42996036757185
SiC-2002-LIN-000012,,X,ORDINARY,,-684.0,3.0,-490.0,4.0,4,,c12c13|n14n15|al26al27|ti44ti48,,inside_envelope,199.5268144972084
SiC-1996-NIT-100030,,X,ORDINARY,,-450.53,3.8937499253488,-718.54,6.39514749781787,2,,c12c13|n14n15,,inside_envelope,126.4926909589382
SiC-2024-HOP-000018,,X,ORDINARY,,-513.363369245837,1.54159255631734,-647.033164027487,1.61111144308336,3,,c12c13|n14n15|al26al27,,inside_envelope,32.23503348082122
SiC-1996-NIT-100013,,X,ORDINARY,,-454.85,9.26224842317021,-704.78,6.70651579789991,2,,c12c13|n14n15,,inside_envelope,114.24925395613592
SiC-0000-GYN-000058,,X,ORDINARY,,-491.949194919492,4.07939485529555,-665.615141955836,4.10936075470058,1,,c12c13,,inside_envelope,60.5870531555965
