kepoi_name,kepler_name,kepid,tic_id,class,koi_period,koi_depth_in_tess_band_ppm,epoch_search_snr_best,epoch_search_n_trials,epoch_offset_minutes,epoch_offset_sigma,control_status,pdc_depth_ppm,pdc_total_err_ppm,pdc_z,pdc_control_n_phases_measured,pdc_control_snr_max,pdc_control_snr_median,pdc_control_depth_max_ppm,pdc_control_depth_median_ppm,pdc_snr_excess,pdc_depth_excess_over_control_ppm,pdc_control_verdict,sap_depth_ppm,sap_total_err_ppm,sap_z,sap_control_n_phases_measured,sap_control_snr_max,sap_control_snr_median,sap_control_depth_max_ppm,sap_control_depth_median_ppm,sap_snr_excess,sap_depth_excess_over_control_ppm,sap_control_verdict,control_verdict
K03678.01,Kepler-1513 b,4150804,394177315,deeper_tess,160.88452,7316.2039,24.28957,10,-54.429008,12.900288,OK,12266.044,504.9922,7.9731975,6,15.536538,3.0715415,9228.4313,1204.6005,8.7530324,-4278.5912,ABOVE_CONTROL,18546.346,502.58544,16.342308,6,15.319971,3.1440449,17917.86,1407.5944,8.9695993,-6687.7174,ABOVE_CONTROL,ABOVE_CONTROL
K00370.01,Kepler-145 c,8494142,159721091,deeper_tess,42.88248,397.25531,7.3298227,10,-48.774488,3.3533365,OK,846.98817,239.12209,2.6391024,6,4.1080892,0.75011786,490.67503,92.547085,3.2217335,-40.942167,ABOVE_CONTROL,1781.3034,196.31416,12.358646,6,7.3253666,1.8350902,738.26308,150.46977,0.0044561289,645.78501,ABOVE_CONTROL,ABOVE_CONTROL
