source_id,spt,spt_num,w1_n_epochs,w1_chi2_red,w1_amp_mag,w1_mean_mag,w1_duty_cycle_high,w1_two_state_sep_mag,w1_parity_frac,w1_parity_z,w1_mean_n_exp,w2_n_epochs,w2_chi2_red,w2_amp_mag,w2_mean_mag,w2_duty_cycle_high,w2_two_state_sep_mag,w2_parity_frac,w2_parity_z,w2_mean_n_exp,w2_chi2_threshold,w1_w2_mean,w1_w2_expected,colour_identity_ok,pm_known,duty_cycle_veto,duty_cycle_candidate,duty_cycle_flag,status
WISE J103907.73-160002.9,T7.5,27.5,17,21.50486008727722,0.3039999008178711,16.11070005817541,0.6470588235294118,0.14728001392248657,0.021204040467773484,0.6227606803176172,5.176470588235294,17,4.0511763583823726,0.44050025939941584,14.191425376923684,0.35294117647058826,0.17293180841388,0.05244898273754074,1.2635950224400943,5.176470588235294,10.145520425155123,1.9192746812517267,2.4000000000000004,True,True,,False,False,TESTED
WISEPC J104245.23-384238.3,T8.5,28.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.8,True,True,,False,False,NO_EPOCHS
ULAS J104355.37+104803.4,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
2MASSI J1047538+212423,T6.5,26.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.05,True,False,,False,False,NO_EPOCHS
WISE J105047.90+505606.2,T8,28.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.6,True,True,,False,False,NO_EPOCHS
WISE J105130.01-213859.7,T8.5,28.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.8,True,True,,False,False,NO_EPOCHS
WISE J105257.95-194250.2,T7.5,27.5,14,4.4330050707898945,0.5000004768371582,16.213474166484854,0.6428571428571429,0.2871555646260582,0.061729765427928164,1.410817561385416,4.785714285714286,14,2.8231043044438713,0.3275003433227539,14.178535528790366,0.8571428571428571,0.22895864645639996,0.019814538972206096,0.5447261839077772,4.785714285714286,10.145520425155123,2.034938637694488,2.4000000000000004,True,True,,False,False,TESTED
WISEA J105553.62-165216.5,T9.5,29.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.25,True,True,,False,False,NO_EPOCHS
WISE J111239.24-385700.7,T9,29.0,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,3.0,True,True,,False,False,NO_EPOCHS
2MASS J11145133-2618235,T7.5,27.5,0,,,,,,,,,0,,,,,,,,,10.145520425155123,,2.4000000000000004,True,True,,False,False,NO_EPOCHS
