name,ra,dec,plx,spt,spt_num,source_id,pmra,pmdec,astrometry_source
WISE J000517.48+373720.5,1.3244294,37.6219468,,T9,29.0,WISE J000517.48+373720.5,1374.6199951171875,-447.71002197265625,catwise2020
WISE J001505.87-461517.6,3.7754656,-46.255762,,T8,28.0,WISE J001505.87-461517.6,420.0899963378906,-675.3900146484375,catwise2020
WISE J003231.09-494651.4,8.128605,-49.7815728,,T8.5,28.5,WISE J003231.09-494651.4,-633.9600219726562,-770.9000244140625,catwise2020
ULAS J003402.77-005206.7,8.5115458,-0.8694735,68.7,T8.5,28.5,ULAS J003402.77-005206.7,-61.57999801635742,-366.69000244140625,catwise2020
2MASS J00345157+0523050,8.7149,5.38475,,T6.5,26.5,2MASS J00345157+0523050,,,none
WISE J003829.05+275852.1,9.6210919,27.9812174,,T9,29.0,WISE J003829.05+275852.1,-6.589999675750732,59.959999084472656,catwise2020
Gl 27B,9.82879,21.25467,89.7891,T8,28.0,Gl 27B,,,none
WISE J004024.88+090054.8,10.1036684,9.0150902,,T7,27.0,WISE J004024.88+090054.8,-29.689998626708984,-64.58999633789062,catwise2020
WISE J004945.61+215120.0,12.44203,21.85567,,T8.5,28.5,WISE J004945.61+215120.0,,,none
2MASS J00501994-3322402,12.5832504,-33.3779372,94.6,T7,27.0,2MASS J00501994-3322402,-26.020000457763672,21.110000610351562,catwise2020
CFBDS J005910.90-011401.3,14.79359,-1.23348,103.2,T8.5,28.5,CFBDS J005910.90-011401.3,,,none
WISEPA J012333.21+414203.9,20.8898452,41.7013992,,T7,27.0,WISEPA J012333.21+414203.9,678.0899658203125,176.3300018310547,catwise2020
CFBDS J013302.27+023128.4,23.2610478,2.5245318,,T8.5,28.5,CFBDS J013302.27+023128.4,563.2899780273438,-108.08000183105469,catwise2020
WISE J014656.66+423410.0AB,26.7354468,42.5695057,,Y0,30.0,WISE J014656.66+423410.0AB,-485.7900085449219,52.630001068115234,catwise2020
WISEPC J014807.25-720258.7,27.0353633,-72.0496333,91.1,T9.5,29.5,WISEPC J014807.25-720258.7,1793.419921875,60.130001068115234,catwise2020
ULAS J015024.37+135924.0,27.6016259,13.9899379,,T7.5,27.5,ULAS J015024.37+135924.0,-26.09000015258789,-8.729999542236328,catwise2020
WISEP J022105.94+384202.9,35.2750321,38.700924,,T6.5,26.5,WISEP J022105.94+384202.9,86.31999969482422,-84.33999633789062,catwise2020
WISEPC J022322.39-293258.1,35.8441942,-29.549886,,T7.5,27.5,WISEPC J022322.39-293258.1,1033.489990234375,-705.2000122070312,catwise2020
WISEPA J022623.98-021142.8AB,36.5996095,-2.1957598,,T7,27.0,WISEPA J022623.98-021142.8AB,-250.8400115966797,-399.9800109863281,catwise2020
WISE J023318.05+303030.5,38.3250939,30.508426,,T6,26.0,WISE J023318.05+303030.5,-118.66000366210938,-65.19000244140625,catwise2020
WISE J024124.73-365328.0,40.3535386,-36.8909651,,T7,27.0,WISE J024124.73-365328.0,253.87001037597656,130.19000244140625,catwise2020
2MASSI J0243137-245329,40.8057425,-24.8924995,93.62,T6,26.0,2MASSI J0243137-245329,-289.3800048828125,-194.82000732421875,catwise2020
WISE J024512.62-345047.8,41.3024073,-34.8467117,59.0,T8,28.0,WISE J024512.62-345047.8,-85.27000427246094,-15.229999542236328,catwise2020
WISE J024714.52+372523.5,41.8106678,37.4230249,,T8,28.0,WISE J024714.52+372523.5,53.55000305175781,-97.77999877929688,catwise2020
WISEPA J025409.45+022359.1,43.533332,2.4002689,,T8,28.0,WISEPA J025409.45+022359.1,-10.59999942779541,23.380001068115234,catwise2020
WISEA J030237.53-581740.3,45.6561403,-58.2946178,,Y0:,30.0,WISEA J030237.53-581740.3,33.16999816894531,-38.09000015258789,catwise2020
WISE J030449.03-270508.3,46.2044587,-27.0849343,,Y0pec,30.0,WISE J030449.03-270508.3,98.1300048828125,481.5899963378906,catwise2020
WISEA J030919.70-501614.2,47.3330068,-50.270546,,[T7],27.0,WISEA J030919.70-501614.2,1248.3399658203125,414.4499816894531,catwise2020
WISEPA J031325.96+780744.2,48.3589139,78.1290698,,T8.5,28.5,WISEPA J031325.96+780744.2,88.38999938964844,56.80999755859375,catwise2020
WISE J031624.35+430709.1,49.102411,43.1187122,,T8,28.0,WISE J031624.35+430709.1,366.239990234375,-287.94000244140625,catwise2020
WISEA J032309.12-590751.0,50.789047,-59.1303172,,[T6],26.0,WISEA J032309.12-590751.0,955.1099853515625,932.8499755859375,catwise2020
WISEPC J032337.53-602554.9,50.9079275,-60.432062,,T8.5,28.5,WISEPC J032337.53-602554.9,545.6199951171875,-192.90000915527344,catwise2020
WISE J032504.33-504400.3,51.2684247,-50.733617,,T8,28.0,WISE J032504.33-504400.3,105.6199951171875,-147.40000915527344,catwise2020
WISE J032517.69-385454.1,51.3242273,-38.9151605,,T9,29.0,WISE J032517.69-385454.1,307.9100036621094,-114.62999725341797,catwise2020
WISE J032547.72+083118.2,51.4490479,8.5216485,,T7,27.0,WISE J032547.72+083118.2,116.69000244140625,-61.779998779296875,catwise2020
WISE J033515.01+431045.1,53.8138579,43.1784056,,T9,29.0,WISE J033515.01+431045.1,1028.0599365234375,-964.5199584960938,catwise2020
WISE J033605.05-014350.4,54.0210739,-1.7320363,,Y0,30.0,WISE J033605.05-014350.4,-91.33000183105469,-1188.02001953125,catwise2020
2MASS J03480772-6022270,57.03217,-60.37418,,T7,27.0,2MASS J03480772-6022270,,,none
WISE J035000.32-565830.2,57.5008701,-56.9758506,,Y1,31.0,WISE J035000.32-565830.2,-191.47999572753906,-580.56005859375,catwise2020
WISE J035934.06-540154.6,59.8917359,-54.0328069,,Y0,30.0,WISE J035934.06-540154.6,-119.18000030517578,-670.050048828125,catwise2020
WISE J040443.48-642029.9,61.1810106,-64.3417306,,T9,29.0,WISE J040443.48-642029.9,-2.5999999046325684,-81.97000122070312,catwise2020
WISEPA J041022.71+150248.5,62.595335,15.0448172,,Y0,30.0,WISEPA J041022.71+150248.5,425.6199951171875,-1965.800048828125,catwise2020
WISE J041358.14-475039.3,63.4925407,-47.8438889,,T9,29.0,WISE J041358.14-475039.3,102.36000061035156,303.8399963378906,catwise2020
2MASSI J0415195-093506,63.8308939,-9.5861766,175.2,T8,28.0,2MASSI J0415195-093506,-54.82999801635742,51.19999694824219,catwise2020
WISE J043052.92+463331.6,67.7209028,46.5589035,,T8,28.0,WISE J043052.92+463331.6,405.7200012207031,259.4000244140625,catwise2020
WISEPA J045853.89+643452.9AB,74.7253446,64.581691,,T8.5,28.5,WISEPA J045853.89+643452.9AB,217.70001220703125,299.5199890136719,catwise2020
WISEPA J050003.05-122343.2,75.0123045,-12.3948835,,T8,28.0,WISEPA J050003.05-122343.2,-664.5,582.739990234375,catwise2020
WISE J051208.66-300404.4,78.0371599,-30.0674143,,T8.5,28.5,WISE J051208.66-300404.4,611.2400512695312,189.8699951171875,catwise2020
WISEPA J051317.28+060814.7,78.32198,6.13862,,T6.5,26.5,WISEPA J051317.28+060814.7,,,none
WISE J052126.29+102528.4,80.3596269,10.4244473,171.0,T7.5,27.5,WISE J052126.29+102528.4,344.92999267578125,-584.7200317382812,catwise2020
UGPS J052127.27+364048.6,80.3609588,36.6837096,,T8.5,28.5,UGPS J052127.27+364048.6,8.59000015258789,1.4800000190734863,catwise2020
