kepoi_name,tic_id,era,scope,sector,author,exptime_s,flux_column,n_points,status,median_flux,smeared,no_flat_core,exptime_over_duration,n_transits,n_transits_seen,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,reduction_author,reduction_flux_column
K00897.01,268924036.0,tess,primary,41,SPOC,120.0,PDCSAP_FLUX,18322,OK,79.47888946533203,False,False,0.016042609169955403,13,13,29810.368640207133,3819.4928439625155,bootstrap,75974.25566629275,,
K00897.01,268924036.0,tess,primary,54,SPOC,120.0,PDCSAP_FLUX,17897,OK,84.28904724121094,False,False,0.016042609169955403,12,12,35498.01786635231,4326.914817895407,bootstrap,95973.37020794865,,
K00897.01,268924036.0,tess,primary,55,SPOC,120.0,PDCSAP_FLUX,18882,OK,85.01567077636719,False,False,0.016042609169955403,14,14,32908.4030626651,3179.7041497583746,bootstrap,67151.88263487842,,
K00897.01,268924036.0,tess,primary,74,SPOC,120.00000000000097,PDCSAP_FLUX,18603,OK,85.67475891113281,False,False,0.01604260916995553,12,13,33881.77428257829,7242.839519899403,bootstrap,74837.78902813443,,
K00897.01,268924036.0,tess,primary,75,SPOC,120.00000000000097,PDCSAP_FLUX,19473,OK,101.4555892944336,False,False,0.01604260916995553,13,13,25425.052243823848,4385.654178592579,bootstrap,62237.796595707034,,
K00897.01,268924036.0,tess,primary,81,SPOC,120.00000000000097,PDCSAP_FLUX,18409,OK,112.49906158447266,False,False,0.01604260916995553,11,12,28712.908991523243,1802.8539138252568,bootstrap,62865.84136451942,,
K00897.01,268924036.0,tess,primary,82,SPOC,120.00000000000097,PDCSAP_FLUX,18138,OK,104.18102264404297,False,False,0.01604260916995553,12,13,25676.23780590911,2685.912709553626,bootstrap,53939.97314915737,,
K00897.01,268924036.0,tess,ensemble,41,SPOC,120.0,PDCSAP_FLUX,18322,OK,79.47888946533203,False,False,0.016042609169955403,13,13,29810.36864020715,3819.4928439624914,bootstrap,75974.25566629267,SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,54,SPOC,120.0,PDCSAP_FLUX,17897,OK,84.28904724121094,False,False,0.016042609169955403,12,12,35498.01786635231,4326.914817895422,bootstrap,95973.37020794864,SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,55,SPOC,120.0,PDCSAP_FLUX,18882,OK,85.01567077636719,False,False,0.016042609169955403,14,14,32908.40306266502,3179.7041497583864,bootstrap,67151.88263487842,SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,74,SPOC,120.00000000000097,PDCSAP_FLUX,18603,OK,85.67475891113281,False,False,0.01604260916995553,12,13,33881.7742825784,7242.839519899394,bootstrap,74837.78902813431,SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,75,SPOC,120.00000000000097,PDCSAP_FLUX,19473,OK,101.4555892944336,False,False,0.01604260916995553,13,13,25425.052243823826,4385.654178592569,bootstrap,62237.79659570695,SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,81,SPOC,120.00000000000097,PDCSAP_FLUX,18409,OK,112.49906158447266,False,False,0.01604260916995553,11,12,28712.908991523298,1802.853913825267,bootstrap,62865.8413645195,SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,82,SPOC,120.00000000000097,PDCSAP_FLUX,18138,OK,104.18102264404297,False,False,0.01604260916995553,12,13,25676.237805909062,2685.9127095536182,bootstrap,53939.97314915737,SPOC,PDCSAP_FLUX
K00897.01,268924036.0,tess,ensemble,41,SPOC,120.0,SAP_FLUX,18322,OK,145.98767852783203,False,False,0.016042609169955403,13,13,10745.70614760628,1459.1964277664174,bootstrap,26580.314502768564,SPOC,SAP_FLUX
