Unnamed: 0.1,Unnamed: 0,Names,Class,[H/Fe],[C/Fe],[O/Fe],[Na/Fe],[Mg/Fe],[Al/Fe],[Si/Fe],[P/Fe],[S/Fe],[K/Fe],[Ca/Fe],[Ti/Fe],[Cr/Fe],[Mn/Fe],[Fe/Fe],[Co/Fe],[Ni/Fe],[Cu/Fe],[Zn/Fe],[He/Fe],[Li/Fe],[Be/Fe],[B/Fe],[N/Fe],[F/Fe],[Ne/Fe],[Cl/Fe],[Ar/Fe],[Sc/Fe],[V/Fe],[Ga/Fe],[Ge/Fe]
234,234,Serra_de_Mage,EUC,-1.2277,,1.166,-1.4867,0.1252,0.2478,0.6243,-1.8457,-1.4787,-2.6457,0.0131,-1.8977,-1.6107,-1.5117,0.0,,-3.1177,,,,,,,,,,,,,,,
235,235,Y791195,EUC,-1.5655,,1.0385,-1.3125,-0.1139,0.0161,0.5285,-2.7635,-1.6005,-2.4605,-0.1277,-1.8765,-1.7645,-1.4925,0.0,,,,,,,,,,,,,,,,,
236,236,Y791195,EUC,,,,-1.2649,-0.1031,0.0365,0.5331,,,-2.6709,-0.1074,-1.8839,-1.7339,-1.4669,0.0,,,,,,,,,,,,,,,,,
237,237,Y791195,EUC,,,,-1.2689,-0.0825,0.0764,0.5781,,,-2.4509,-0.0955,-1.9069,-1.7339,-1.4669,0.0,-4.3419,-5.0359,,-5.2019,,,,,,,,,,,,,
238,238,Y791195,EUC,-0.3101,,1.0424,-1.3054,-0.1174,0.0193,0.5166,-2.5454,-2.2974,-2.4644,-0.1217,-2.2164,-1.7304,-1.5204,0.0,,-4.0164,,,,,,,,,,,,,,,
239,239,Y791195,EUC,-1.0438,,1.0399,-1.2698,-0.1005,0.0432,0.5192,-1.8798,-1.2438,-2.3648,-0.1177,-2.2938,-2.2718,-1.7948,0.0,,-3.8378,,,,,,,,,,,,,,,
240,240,Binda,EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,241,Binda,EUC,,,,-1.5548,0.274,-0.2348,0.5542,-2.6298,,-3.0328,-0.3534,-1.9038,-1.3778,-1.4888,0.0,,-4.3598,,,,,,,,,,,,,,,
242,242,Binda,EUC,,,,-1.6883,0.2793,-0.2192,0.5597,-2.8593,,-2.9603,-0.3688,-1.9023,-1.3683,-1.4953,0.0,,,,,,,,,,,,,,,,,
243,243,Binda,EUC,,-1.5994,,-1.4044,0.2377,-0.1257,0.5596,-2.8554,-1.3264,-1.9154,-0.3244,,-1.3734,-1.5134,0.0,,,,,,,,,,,,,,,,,
244,244,Binda,EUC,,,1.0193,-2.1185,-0.147,0.0341,0.4905,-2.0805,-1.3715,-2.4765,-0.0786,-1.4325,-2.0305,-1.5755,0.0,,-3.8315,,,,,,,,,,,,,,,
245,245,A87272,EUC,-1.2272,,0.9724,-1.3172,-0.1921,-0.0337,0.4438,-1.8692,-1.4902,-2.4232,-0.1559,-2.0962,-2.2162,-1.7442,0.0,,-3.3262,,,,,,,,,,,,,,,
246,246,Adalia,EUC,,,,-1.3076,-0.1889,-0.0584,0.4974,,,,-0.1593,-1.4316,-1.7076,-1.5716,0.0,,,,,,,,,,,,,,,,,
247,247,Bereba,EUC,,,,-1.2582,-0.2138,-0.0425,0.4718,-2.2742,,-2.5632,-0.1692,-1.4972,-1.8142,-1.5512,0.0,,,,,,,,,,,,,,,,,
248,248,Bereba,EUC,,,,-1.2582,-0.2162,-0.0176,0.4988,-2.3342,-1.7072,-2.5532,-0.1496,-1.5782,-1.7792,-1.5242,0.0,-4.3222,,-5.2372,-5.0702,,,,,,,,,,,,,
249,249,Bereba,EUC,,,,-1.7476,-0.2198,-0.0464,0.4794,-2.2026,-1.6106,-1.7646,-0.1299,-1.5516,-1.3656,-1.8886,0.0,,,,,,,,,,,,,,,,,
250,250,Bereba,EUC,-1.3542,,1.0267,-1.2292,-0.1532,0.0125,0.5048,-2.1372,-1.5182,-2.2282,-0.0871,-1.3482,-2.0262,-1.5192,0.0,,-3.9382,,,,,,,,,,,,,,,
251,251,Bouvante,EUC,,,,-1.174,-0.2453,-0.1738,0.477,,,-2.219,-0.1728,-1.371,-1.861,-1.563,0.0,,,,,,,,,,,,,,,,,
252,252,Bouvante,EUC,,,,-1.2363,-0.2432,-0.0533,0.5007,,,-2.3013,-0.1424,-1.2883,-1.7983,-1.5513,0.0,-4.7663,,,,,,,,,,,,,,,,
253,253,Cachari,EUC,,,,-1.2066,-0.1757,-0.0227,0.4804,-2.3586,,-2.4036,-0.1624,-1.5256,-1.7976,-1.5036,0.0,,,,,,,,,,,,,,,,,
254,254,Cachari,EUC,,,,-1.2407,-0.1942,-0.025,0.4833,-2.5367,-2.6537,-2.4867,-0.1806,-1.5387,-1.7727,-1.5027,0.0,-4.5437,,,,,,,,,,,,,,,,
255,255,Cachari,EUC,,,,-0.974,-0.2156,-0.0077,0.462,-2.459,-2.65,-1.995,-0.2581,-2.523,-2.559,-1.406,0.0,,,,,,,,,,,,,,,,,
256,256,Camel_Donga,EUC,-1.5286,-2.0226,0.9997,-1.2206,-0.2251,-0.0304,0.4964,,-2.0846,-2.4906,-0.151,-1.4526,-1.7816,-1.5226,0.0,,,,,,,,,,,,,,,,,
257,257,Chervony_Kut,EUC,,,,-1.214,-0.1828,-0.0125,0.491,,,-2.313,-0.1424,-1.438,-1.775,-1.507,0.0,-4.191,-3.189,,,,,,,,,,,,,,,
258,258,Chervony_Kut,EUC,,,,-1.2681,-0.1672,-0.0417,0.5009,,,-2.5221,-0.1665,,-1.7921,-1.5091,0.0,-4.4411,,,,,,,,,,,,,,,,
259,259,Chervony_Kut,EUC,,,,-1.1851,-0.1762,0.0065,0.4949,,-1.9661,-2.0071,-0.1035,-1.4611,-1.9841,-1.4641,0.0,,,,,,,,,,,,,,,,,
260,260,Emmaville,EUC,,,,-1.193,-0.2301,-0.0322,0.531,,,-2.703,-0.1516,-1.49,-1.729,,0.0,,,,,,,,,,,,,,,,,
261,261,Emmaville,EUC,,,,-1.2287,-0.207,-0.0407,0.4823,,,,-0.1635,-1.4407,-1.9347,-1.5947,0.0,,,,,,,,,,,,,,,,,
262,262,Haraiya,EUC,-0.5579,,0.9687,-1.3779,-0.2179,-0.0861,0.4501,,-1.9679,-2.6509,-0.2184,-1.6019,-1.8169,-1.6729,0.0,,,,,,,,,,,,,,,,,
263,263,Haraiya,EUC,,,,-1.2213,-0.1812,-0.0386,0.4807,-2.2953,,-2.5883,-0.1655,-1.5833,-1.8013,-1.5063,0.0,,,,,,,,,,,,,,,,,
264,264,Jonzac,EUC,,,,-1.3045,-0.1522,-0.029,0.5365,,,,-0.1216,-1.2995,-1.7435,-1.5735,0.0,,,,,,,,,,,,,,,,,
265,265,Jonzac,EUC,,,,-1.111,-0.1859,-0.0091,0.511,,,,-0.1424,-1.439,-1.888,-1.586,0.0,,,,,,,,,,,,,,,,,
266,266,Jonzac,EUC,,,,-0.9284,-0.1342,-0.0012,0.5066,-2.0444,-1.8634,-1.7354,-0.1272,-1.5874,-1.7534,-1.7964,0.0,,,,,,,,,,,,,,,,,
267,267,Juvinas,EUC,,,,-1.2925,-0.1927,-0.0273,0.4925,-2.3105,-1.6495,-2.4115,-0.1569,-1.4895,-1.8155,-1.5485,0.0,,,,,,,,,,,,,,,,,
268,268,Juvinas,EUC,,,,-1.2395,-0.1633,0.0116,0.4995,,,-2.5235,-0.1312,-1.5455,,,0.0,,,,,,,,,,,,,,,,,
269,269,Juvinas,EUC,,,,-1.2399,-0.1856,-0.0204,0.4911,,,-2.4119,-0.1517,-1.5459,,-1.5939,0.0,,,,,,,,,,,,,,,,,
270,270,Juvinas,EUC,,,,-1.2357,-0.1625,-0.0115,0.4963,-2.3067,,-2.4787,-0.1507,-1.5167,-1.7727,-1.5207,0.0,,,,,,,,,,,,,,,,,
271,271,Juvinas,EUC,,,,-1.2775,-0.1662,0.0264,0.5185,-2.0145,-1.8995,-1.8395,-0.1117,-1.5295,-1.7865,-1.9285,0.0,,,,,,,,,,,,,,,,,
272,272,Juvinas,EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,273,Juvinas,EUC,,,,-1.3292,-0.1981,0.0058,0.4988,,,-2.6602,-0.1308,,-1.8102,-1.5532,0.0,-4.4212,,-5.0002,-5.1882,,,,,,,,,,,,,
274,274,Juvinas,EUC,-1.3628,,1.0178,-1.2098,-0.1587,-0.0017,0.4962,-2.1458,-1.7088,-2.2368,-0.1133,-1.3478,-2.0338,-1.5438,0.0,,-3.9218,,,,,,,,,,,,,,,
275,275,Kirbyville,EUC,,,,-1.2575,-0.1768,-0.046,0.5045,,,,-0.1629,-1.4925,-1.6985,-1.5305,0.0,,,,,,,,,,,,,,,,,
276,276,Lakangaon,EUC,,,,,-0.3387,-0.147,0.4097,-2.5953,,-2.2883,-0.2392,-1.4763,,-1.5713,0.0,,,,,,,,,,,,,,,,,
277,277,Lakangaon,EUC,,,,-1.2454,-0.3036,-0.086,0.4626,,,-2.4234,-0.1999,-1.4444,-1.8734,-1.5714,0.0,-4.5344,-5.1094,,,,,,,,,,,,,,,
278,278,Lakangaon,EUC,,,,-1.2399,-0.2963,-0.0888,0.4561,,,-2.3679,-0.1849,-1.3889,-1.8969,-1.5709,0.0,-4.5119,,,,,,,,,,,,,,,,
279,279,LEW86002,EUC,,,,-1.3077,-0.2021,-0.0472,0.4803,,,-2.6237,-0.1932,-1.5527,-1.8207,-1.5257,0.0,-4.4217,,,,,,,,,,,,,,,,
280,280,Millbillillie,EUC,,,,-1.3352,-0.1804,-0.0051,0.5318,,,,-0.1455,-1.4732,-1.7592,-1.4732,0.0,,,,,,,,,,,,,,,,,
281,281,Nuevo_Laredo,EUC,,,,-1.1883,-0.3183,-0.0859,0.4657,-2.2593,-2.0523,-2.4403,-0.1814,-1.3743,-1.8643,-1.5563,0.0,,,,,,,,,,,,,,,,,
282,282,Nuevo_Laredo,EUC,,,,-1.2246,-0.292,-0.0694,0.4774,,,-2.4276,-0.1714,-1.4276,-1.8686,-1.5246,0.0,-4.8716,-4.7436,,,,,,,,,,,,,,,
283,283,Nuevo_Laredo,EUC,,,,-1.217,-0.2992,-0.0434,0.485,,,-2.391,-0.1715,-1.413,-1.865,-1.515,0.0,-4.876,,,,,,,,,,,,,,,,
284,284,Padvarninkai,EUC,,,,-1.3352,-0.1847,-0.0051,0.5098,,,,-0.1372,-1.4832,-1.7792,-1.5012,0.0,,,,,,,,,,,,,,,,,
285,285,Padvarninkai,EUC,,-0.8486,,-0.8156,-0.0538,-0.0894,0.4924,,-1.2016,-1.1436,-0.066,,,,0.0,,,,,,,,,,,,,,,,,
286,286,Palo_Blanco_Creek,EUC,,,,,-0.197,0.0174,0.5003,-2.3087,,-2.2767,-0.1394,-1.5577,,-1.4957,0.0,,,,-4.2707,,,,,,,,,,,,,
287,287,Palo_Blanco_Creek,EUC,,,,-1.454,-0.1899,-0.0685,0.455,,,,-0.228,-1.792,-1.892,-1.504,0.0,,,,,,,,,,,,,,,,,
288,288,Pasamonte,EUC,,,,-0.9898,-0.1846,0.033,0.5942,,,-1.7148,-0.0421,-1.2448,,-2.0038,0.0,,,,,,,,,,,,,,,,,
289,289,Pasamonte,EUC,,,,-1.2797,-0.2117,-0.04,0.4713,-2.2837,-2.6417,-2.4267,-0.1746,-1.5257,-1.7907,-1.5427,0.0,,,,,,,,,,,,,,,,,
290,290,Pasamonte,EUC,,,,-1.2509,-0.1748,0.0018,0.5461,,-2.2949,-2.4409,-0.1138,,-1.9499,-1.5519,0.0,,,,,,,,,,,,,,,,,
291,291,Pasamonte,EUC,,,,-1.2064,-0.2147,-0.0436,0.4786,-2.2464,,-2.4664,-0.1629,-1.4714,-1.8184,-1.5244,0.0,,-4.4944,,,,,,,,,,,,,,,
292,292,Pasamonte,EUC,,,,,-0.1952,-0.0292,0.4909,-2.2201,,-2.4841,-0.1553,-1.4621,,-1.5321,0.0,,,,,,,,,,,,,,,,,
293,293,Pasamonte,EUC,,,,-1.4569,-0.2518,-0.021,0.4471,,-2.1179,-2.3499,-0.1955,-1.5349,-1.8509,-1.6789,0.0,,,,,,,,,,,,,,,,,
294,294,Pasamonte,EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,295,Pasamonte,EUC,,,1.0108,-1.2107,-0.2426,-0.0323,0.5033,-2.3857,-1.9007,-2.3647,-0.151,-1.4427,-1.8007,-1.5257,0.0,-4.3457,,-3.9757,-4.1237,,,,,,,,,,,,,
296,296,PCA91007,EUC,,,,-1.2314,-0.2317,0.0056,0.5166,,,-2.4634,-0.1359,-1.4394,-1.8104,-1.5254,0.0,-4.3944,,,-3.8204,,,,,,,,,,,,,
297,297,Peramiho,EUC,,,,-1.3429,-0.2095,-0.1147,0.4561,,-1.5019,-1.7279,-0.1719,-1.7409,,,0.0,,,,,,,,,,,,,,,,,
298,298,Pomozdino,EUC,,,,-1.2844,-0.0066,-0.0534,0.5026,-1.8494,-0.8974,-2.6904,-0.1166,-1.4364,-2.2834,-1.5264,0.0,-4.1704,,,,,,,,,,,,,,,,
299,299,Pomozdino,EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,300,Pomozdino,EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,301,Pomozdino,EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,302,Pomozdino,EUC,,,,-1.1314,-0.041,-0.0307,0.5566,-2.0494,,-2.2644,-0.1079,-1.5604,-1.6894,-1.5094,0.0,,,,,,,,,,,,,,,,,
303,303,Pomozdino,EUC,,,,-1.1811,-0.0474,-0.0321,0.5349,,,-2.3741,-0.1465,-1.2651,-1.6291,-1.5241,0.0,-4.4561,-5.1041,,-4.0861,,,,,,,,,,,,,
304,304,Pomozdino,EUC,,,,-1.3171,-0.1261,-0.1529,0.4529,,,-2.5381,-0.2486,-1.4041,-1.6171,-1.5741,0.0,-4.1011,-4.7421,,-3.8331,,,,,,,,,,,,,
305,305,RKPA80205,EUC,,,,-1.2862,-0.1844,-0.0099,0.5018,,,-2.2962,-0.151,-1.4292,-1.7852,-1.5072,0.0,-4.5902,-5.4992,,-5.1782,,,,,,,,,,,,,
306,306,Sioux_County,EUC,,,,-1.285,-0.1703,-0.0137,0.499,-2.304,-1.717,-2.53,-0.147,-1.539,-1.809,-1.542,0.0,,,,,,,,,,,,,,,,,
307,307,Sioux_County,EUC,,,,-1.2749,-0.144,-0.0064,0.5121,-2.2939,-2.9109,-2.5199,-0.1478,-1.5939,-1.7229,-1.5319,0.0,,,,,,,,,,,,,,,,,
308,308,Sioux_County,EUC,,,,-1.2127,-0.2134,0.0723,0.5123,,,-2.5227,-0.0962,-1.5437,-1.7717,,0.0,,,,,,,,,,,,,,,,,
309,309,Sioux_County,EUC,,,,-1.2559,-0.1659,-0.0113,0.4991,-2.3129,,-2.5349,-0.1464,-1.5249,-1.7479,-1.5169,0.0,,-4.0669,,,,,,,,,,,,,,,
310,310,Sioux_County,EUC,,,,,-0.1551,-0.0052,0.5022,-2.3098,,-2.5248,-0.1452,-1.5158,,-1.5258,0.0,,,,,,,,,,,,,,,,,
311,311,Sioux_County,EUC,,,,-1.2914,-0.1763,0.003,0.5046,,-2.0954,-2.5694,-0.1423,-1.5444,-1.7894,-1.5184,0.0,-4.4554,,,,,,,,,,,,,,,,
312,312,Sioux_County,EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,313,Stannern,EUC,,,,-1.1203,-0.2131,-0.0275,0.5027,-2.1463,-1.5023,-2.1583,-0.1358,-1.3283,-1.8493,-1.5603,0.0,,,,,,,,,,,,,,,,,
314,314,Stannern,EUC,,,,-1.2271,-0.0991,-0.0096,0.5469,,-1.2391,-2.3811,-0.1023,,-1.8691,-1.5781,0.0,,,,,,,,,,,,,,,,,
315,315,Stannern,EUC,,,,,-0.2548,-0.05,0.4498,,,,-0.1668,,-1.8522,-1.6512,0.0,-2.4872,,,-4.6712,,,,,,,,,,,,,
316,316,Stannern,EUC,,,,-1.092,-0.156,-0.0098,0.524,-2.236,,-2.245,-0.1141,-1.304,-1.748,-1.524,0.0,,,,,,,,,,,,,,,,,
317,317,Stannern,EUC,,,,-1.0737,-0.2119,-0.119,0.4413,-2.1667,-1.4747,-2.0117,-0.194,-1.7427,-1.7967,,0.0,,,,,,,,,,,,,,,,,
318,318,Stannern,EUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,319,Stannern,EUC,-1.0526,,1.0277,-1.2376,-0.1579,0.0049,0.5064,-2.0746,-1.5176,-2.2946,-0.089,-1.2806,-2.0246,-1.5346,0.0,,-3.9916,,,,,,,,,,,,,,,
320,320,Vetluga,EUC,,,,-1.1458,-0.2576,-0.0108,0.4702,-2.6278,-1.6008,-2.5388,-0.1906,-1.5158,-1.8318,-1.4788,0.0,,-3.7288,,,,,,,,,,,,,,,
321,321,Vetluga,EUC,,,,-1.3281,-0.2436,-0.084,0.4699,-2.4571,,-2.5581,-0.1793,-1.5001,-1.8371,-1.5201,0.0,,,,,,,,,,,,,,,,,
322,322,Vetluga,EUC,,,,-1.3773,-0.2344,-0.1212,0.4507,-2.6523,,-2.7533,-0.2135,-1.4993,-1.9233,-1.5123,0.0,,,,,,,,,,,,,,,,,
323,323,Y74356,EUC,-0.6394,,0.9433,-1.4124,-0.1715,-0.146,0.4166,-2.8514,-1.7984,-2.5484,-0.2506,-1.5604,-1.8274,-1.5364,0.0,-3.7714,,,,,,,,,,,,,,,,
324,324,Y791186,EUC,,,,-1.2026,-0.1313,-0.054,0.5124,,,-2.2926,-0.1661,-1.3646,-1.6886,-1.5146,0.0,-4.5556,-5.4866,,-5.2696,,,,,,,,,,,,,
325,325,Y791186,EUC,-0.203,,1.0094,-1.2232,-0.1265,-0.0784,0.4818,-2.2732,-1.3492,-2.1922,-0.1799,-1.3702,-1.6592,-1.5322,0.0,,-3.5472,,,,,,,,,,,,,,,
326,326,Y792510,EUC,-0.149,,1.0028,-1.2593,-0.2189,-0.0548,0.4717,-2.3783,-1.4453,-2.4043,-0.1817,-1.4633,-1.8193,-1.5573,0.0,,-3.5173,,,,,,,,,,,,,,,
327,327,Y792511,EUC,,,,,-0.2303,-0.047,0.4533,,,-2.4337,-0.2087,-1.5677,-1.8167,-1.5207,0.0,-4.6117,,,,,,,,,,,,,,,,
328,328,Y792511,EUC,-0.3086,,1.0041,-1.2649,-0.2018,-0.0461,0.4791,-2.1629,-1.6769,-2.2539,-0.1737,-1.4779,-1.7889,-1.5289,0.0,,-3.5929,,,,,,,,,,,,,,,
329,329,Y793164,EUC,,,,,-0.2794,-0.0551,0.4717,,,-2.5523,-0.1609,-1.3703,-1.8313,-1.5243,0.0,,,,,,,,,,,,,,,,,
330,330,Y793164,EUC,,,,,-0.3311,-0.0935,0.4367,,,-2.2093,-0.2172,-1.3793,-1.8163,-1.5393,0.0,-4.3873,,,,,,,,,,,,,,,,
331,331,Y793164,EUC,-0.697,,0.9732,-1.028,-0.2774,-0.0866,0.453,-2.155,-1.594,-2.22,-0.1723,-1.389,-1.869,-1.553,0.0,,-3.639,,,,,,,,,,,,,,,
332,332,Y82066,EUC,,,,-1.2496,-0.1452,0.043,0.5184,-2.5826,,-2.5076,-0.1289,-1.5676,-1.7866,-1.5096,0.0,,,,,,,,,,,,,,,,,
333,333,Y82066,EUC,-0.5676,,1.0384,-1.1926,-0.1356,0.0422,0.5084,-2.0966,-1.4996,-2.3656,-0.1058,-1.5086,-1.7166,-1.5436,0.0,,-3.9566,,,,,,,,,,,,,,,
334,334,ALH76005,EUC,-0.0781,-0.9417,1.0408,-1.2517,-0.1702,-0.0136,0.5173,-2.4667,-1.9057,-2.2887,-0.1585,-1.4327,-1.6827,-1.4967,0.0,,,,,,,,,,,,,,,,,
335,335,ALH76005,EUC,,,,-1.2287,-0.2048,-0.0434,0.4993,,,,-0.1743,-1.4407,-1.8167,-1.5297,0.0,,,,,,,,,,,,,,,,,
336,336,ALH76005,EUC,,,,-1.1615,-0.144,-0.0503,0.4815,-2.3115,-2.1365,-2.3165,-0.2136,-1.4315,-1.7075,-1.5605,0.0,,-3.2575,,,,,,,,,,,,,,,
337,337,ALH76005,EUC,,,,-1.2839,-0.1779,-0.0359,0.4741,-2.9189,,-2.1449,-0.182,-1.3139,-1.7819,-1.5239,0.0,,,,,,,,,,,,,,,,,
338,338,ALH765,EUC,-0.2405,,1.0079,-1.1666,-0.1442,-0.0503,0.4814,-2.2736,-2.1366,-2.3176,-0.2136,-1.4336,-1.7016,-1.5576,0.0,,-3.2546,,,,,,,,,,,,,,,
339,339,ALH77302,EUC,,,,-1.3961,-0.0686,-0.0424,0.4929,-2.6041,,-2.2431,-0.2051,-1.5261,-1.6991,-1.4911,0.0,,,,,,,,,,,,,,,,,
340,340,ALH77302,EUC,-0.3349,,0.9935,-1.3268,-0.103,-0.111,0.4672,-2.2098,-2.2448,-2.6338,-0.2291,-1.4828,-1.6648,-1.5638,0.0,,-3.5438,,,,,,,,,,,,,,,
341,341,ALH78040,EUC,,,,-1.2491,-0.1359,0.0156,0.5009,-2.4201,,-2.2351,-0.1602,-1.4331,-1.7241,-1.4651,0.0,,,,,,,,,,,,,,,,,
342,342,ALH78040,EUC,-0.5989,,1.0148,-1.2439,-0.1459,-0.018,0.4901,-2.3629,-1.9219,-2.3109,-0.1523,-1.4039,-1.7519,-1.5509,0.0,,-3.3269,,,,,,,,,,,,,,,
343,343,ALH78132,EUC,,,,-1.3031,-0.1298,0.0159,0.5259,-2.4021,,-2.3571,-0.1363,-1.3531,-1.7241,-1.4651,0.0,,,,,,,,,,,,,,,,,
344,344,ALH78132,EUC,,,,-1.3545,-0.0737,-0.0159,0.5025,-2.4215,,-2.3015,-0.1996,-1.5445,-1.7265,-1.4485,0.0,,,,,,,,,,,,,,,,,
345,345,ALH78132,EUC,-0.1527,,1.0368,-1.2546,-0.0581,-0.0109,0.5024,-1.8866,,-2.3716,-0.1873,-1.5076,-1.6346,-1.5576,0.0,,,,,,,,,,,,,,,,,
346,346,ALH78158,EUC,,,,-1.3755,-0.1457,-0.0936,0.4635,-2.9355,,-2.2175,-0.226,-1.3765,-1.7135,-1.5215,0.0,,,,,,,,,,,,,,,,,
347,347,ALH78165,EUC,,,,-1.3268,-0.1656,-0.012,0.4992,-2.4258,,-2.1298,-0.1658,-1.4698,-1.8978,-1.4708,0.0,,,,,,,,,,,,,,,,,
348,348,Brient,EUC,,,,-1.4965,0.0565,-0.055,0.5215,,-1.5945,-2.1375,-0.2026,-1.3985,-1.5035,-1.4765,0.0,,,,,,,,,,,,,,,,,
349,349,EETA79004,EUC,,,,,-0.0733,-0.0568,0.5152,,,-2.0848,-0.2094,-1.5018,-1.6558,-1.5408,0.0,,,,,,,,,,,,,,,,,
350,350,EETA79005,EUC,,,,,-0.0457,-0.0293,0.5255,,,-2.3205,-0.1888,-1.4795,-1.6575,-1.5435,0.0,,,,,,,,,,,,,,,,,
351,351,EETA79011,EUC,,,,,-0.0654,-0.0397,0.5274,,,-2.2746,-0.1744,-1.5016,-1.6616,-1.5416,0.0,,,,,,,,,,,,,,,,,
352,352,Jodzie,EUC,,,,-1.5907,0.1534,-0.213,0.5003,,,,-0.3315,-1.6227,-1.4877,-1.5537,0.0,,,,,,,,,,,,,,,,,
353,353,LEW87010,EUC,,,,-1.2669,-0.2099,-0.0247,0.4851,,,-2.4999,-0.184,-1.5049,-1.7659,-1.4939,0.0,-4.3899,-5.5929,,-5.3969,,,,,,,,,,,,,
354,354,Macibini,EUC,,-1.8885,,-1.1095,-0.0907,-0.0495,0.5015,-2.2995,-1.5945,-2.3035,-0.1462,-1.4475,-1.6645,-1.5595,0.0,,,,,,,,,,,,,,,,,
355,355,Macibini,EUC,,,,-1.2119,-0.0887,-0.03,0.5081,-2.2159,,-2.3959,-0.156,-1.4529,-1.6599,-1.5259,0.0,,-3.8129,,,,,,,,,,,,,,,
356,356,Nobleborough,EUC,,,,1.119,0.228,2.29716,2.362,,,-0.124,1.9516,-0.911,,,0.0,,,,,,,,,,,,,,,,,
357,357,Nobleborough,EUC,,,,-1.2417,-0.1637,-0.0215,0.5093,,,,-0.16,-1.4197,-1.6957,-1.5947,0.0,,,,,,,,,,,,,,,,,
358,358,Petersburg,EUC,-1.5091,-1.4801,1.026,-1.3471,0.0452,-0.0731,0.5129,-2.3481,-1.4751,-2.5961,-0.22,-1.5471,-1.5331,-1.5351,0.0,,-2.3241,,,,,,,,,,,,,,,
359,359,Petersburg,EUC,,,,-1.0434,-0.2191,-0.1307,0.4466,,-2.1944,,-0.2608,,,-2.6044,0.0,,,,,,,,,,,,,,,,,
360,360,Y74159,EUC,-0.8795,,0.9934,-1.1585,-0.1172,-0.1226,0.4815,-2.4365,-2.1985,-2.2585,-0.2022,-1.2955,-1.6675,-1.5565,0.0,,-3.8265,,,,,,,,,,,,,,,
361,361,Y74450,EUC,,,,-1.3262,-0.1585,-0.0277,0.5018,,-1.7882,-2.3752,-0.1538,,-1.6202,-1.4922,0.0,,,,,,,,,,,,,,,,,
362,362,Y74450,EUC,,,,-1.1943,-0.1381,-0.0616,0.4927,,-1.5453,-2.3513,-0.1633,-1.3603,-1.6953,-1.5383,0.0,-4.1033,,-4.8693,-5.0693,,,,,,,,,,,,,
363,363,Y74450,EUC,-0.8277,,1.007,-1.2007,-0.1164,-0.0903,0.4973,-2.2687,-1.5547,-2.3127,-0.1874,-1.3027,-1.7797,-1.5607,0.0,-3.7107,-3.8137,,,,,,,,,,,,,,,
364,364,Y75011,EUC,,,,,-0.1885,-0.0412,0.4805,,,-2.3225,-0.2105,-1.4565,-1.8225,-1.5455,0.0,-4.3545,,,,,,,,,,,,,,,,
365,365,Y75011,EUC,-1.1372,,0.9821,-1.1892,-0.1654,-0.109,0.4668,-2.1132,-1.3562,-2.4122,-0.1776,-1.3272,-1.7162,-1.5562,0.0,,,,,,,,,,,,,,,,,
366,366,Y75015,EUC,,,,-1.2972,-0.0925,-0.003,0.5058,,,-2.2122,-0.1676,-1.4352,-1.7162,,0.0,,,,,,,,,,,,,,,,,
367,367,Y75015,EUC,-0.7395,,0.9906,-1.2765,-0.1444,-0.087,0.4675,-2.3345,-2.4675,-2.5095,-0.1887,-1.4435,-1.7275,-1.5645,0.0,,-3.4285,,,,,,,,,,,,,,,
368,368,Y790006,EUC,-0.7735,,1.007,-1.2055,-0.1184,-0.0699,0.4875,-1.9505,,-2.3165,-0.1667,-1.4045,-1.7005,-1.5405,0.0,,-3.4145,,,,,,,,,,,,,,,
369,369,Y790007,EUC,-0.5724,,1.0066,-1.2014,-0.1131,-0.0773,0.4886,-1.9674,-1.0234,-2.2454,-0.1604,-1.3204,-1.7074,-1.5364,0.0,,-2.9834,,,,,,,,,,,,,,,
370,370,Y790020,EUC,-0.683,,1.0028,-1.256,-0.1303,-0.0762,0.481,-2.048,,-2.401,-0.1667,-1.411,-1.74,-1.538,0.0,,-3.481,,,,,,,,,,,,,,,
371,371,Y790113,EUC,-0.4333,,1.0164,-1.242,-0.1252,-0.0478,0.493,-2.185,-1.84,-2.308,-0.1597,-1.362,-1.692,-1.532,0.0,,-3.735,,,,,,,,,,,,,,,
372,372,Y790122,EUC,0.0478,,1.0127,-1.2503,-0.134,-0.1036,0.4757,-2.0413,-1.0953,-2.2493,-0.1704,-1.3233,-1.7343,-1.5403,0.0,,-3.1583,,,,,,,,,,,,,,,
373,373,Y790260,EUC,-0.8756,,1.0307,-1.1906,-0.1368,0.0319,0.5064,-2.4036,-1.6346,-2.2936,-0.1312,-1.3666,-1.7106,-1.5416,0.0,,-3.6916,,,,,,,,,,,,,,,
