recno,Star,Paper,Identifier,Teff,e_Teff,logg,e_logg,atmosphere,Mass,e_Mass,RAJ2000,DEJ2000,Gaia,plx,e_plx,Massmz,B,e_B,IRexcess,gascomp,bin,binSep,Time,Ref,Comm,log(H/H(e)),l_log(H/H(e)),e_log(H/H(e)),log(He/H(e)),e_log(He/H(e)),log(Li/H(e)),e_log(Li/H(e)),AccRateLi,SinTimeLi,MassFracLi,log(Be/H(e)),e_log(Be/H(e)),SinTimeBe,log(C/H(e)),e_log(C/H(e)),AccRateC,SinTimeC,MassFracC,log(N/H(e)),e_log(N/H(e)),AccRateN,SinTimeN,MassFracN,log(O/H(e)),e_log(O/H(e)),AccRateO,AccRateOInc,AccRateODec,SinTimeO,MassFracO,log(Na/H(e)),e_log(Na/H(e)),AccRateNa,AccRateNaInc,AccRateNaDec,SinTimeNa,MassFracNa,log(Mg/H(e)),e_log(Mg/H(e)),AccRateMg,n_AccRateMg,AccRateMgInc,AccRateMgDec,SinTimeMg,MassFracMg,log(Al/H(e)),e_log(Al/H(e)),AccRateAl,AccRateAlInc,AccRateAlDec,SinTimeAl,MassFracAl,log(Si/H(e)),e_log(Si/H(e)),AccRateSi,AccRateSiInc,AccRateSiDec,SinTimeSi,MassFracSi,log(P/H(e)),e_log(P/H(e)),AccRateP,SinTimeP,MassFracP,log(S/H(e)),e_log(S/H(e)),AccRateS,SinTimeS,MassFracS,log(Cl/H(e)),e_log(Cl/H(e)),AccRateCl,SinTimeCl,MassFracCl,log(Ar/H(e)),e_log(Ar/H(e)),log(K/H(e)),e_log(K/H(e)),AccRateK,SinTimeK,log(Ca/H(e)),e_log(Ca/H(e)),AccRateCa,AccRateCaInc,AccRateCaDec,SinTimeCa,MassFracCa,log(Sc/H(e)),e_log(Sc/H(e)),AccRateSc,SinTimeSc,MassFracSc,log(Ti/H(e)),e_log(Ti/H(e)),AccRateTi,AccRateTiInc,AccRateTiDec,SinTimeTi,MassFracTi,log(V/H(e)),e_log(V/H(e)),AccRateV,SinTimeV,MassFracV,log(Cr/H(e)),e_log(Cr/H(e)),AccRateCr,AccRateCrInc,AccRateCrDec,SinTimeCr,MassFracCr,log(Mn/H(e)),e_log(Mn/H(e)),AccRateMn,AccRateMnInc,AccRateMnDec,SinTimeMn,MassFracMn,log(Fe/H(e)),e_log(Fe/H(e)),AccRateFe,AccRateFeInc,AccRateFeDec,SinTimeFe,MassFracFe,log(Co/H(e)),e_log(Co/H(e)),AccRateCo,SinTimeCo,MassFracCo,log(Ni/H(e)),e_log(Ni/H(e)),AccRateNi,AccRateNiInc,AccRateNiDec,SinTimeNi,MassFracNi,log(Cu/H(e)),e_log(Cu/H(e)),AccRateCu,SinTimeCu,MassFracCu,log(Zn/H(e)),e_log(Zn/H(e)),AccRateZn,SinTimeZn,log(Ga/H(e)),e_log(Ga/H(e)),AccRateGa,SinTimeGa,MassFracGa,log(Ge/H(e)),e_log(Ge/H(e)),AccRateGe,SinTimeGe,MassFracGe,log(As/H(e)),e_log(As/H(e)),log(Se/H(e)),e_log(Se/H(e)),log(Sr/H(e)),e_log(Sr/H(e)),AccRateSr,SinTimeSr,MassFracSr,log(Sn/H(e)),e_log(Sn/H(e)),log(I/H(e)),e_log(I/H(e)),log(Ba/H(e)),e_log(Ba/H(e)),AccRateTot,AccRateTotInc,AccRateTotDec
816,WD0307+149,Koester 2014,WD0307+149 Koester 2014,21976.0,298.0,7.983,0.089,H,0.619,0.048,47.47480390156,15.08939770774,Gaia DR3 31047257726638592,12.26319077,0.044738803,,,,,,WD companion: Gaia DR3 31047184711544832,841,,https://ui.adsabs.harvard.edu/abs/2014A%26A...566A..34K/abstract,"""Abundances likely supported by radiative levitation, but recent accretion necessary""",,,,,,,,,,,,,,-8.3,-1.0,14791.0838816821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.85,0.15,24547.0891568503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,"Gaia J0347+1624 (Phot, Opt)",Rogers 2023,"""Gaia J0347+1624 (Phot, Opt) Rogers 2023""",18850.0,164.0,7.84,0.03,H,0.69,,56.90288357401,16.40270462486,Gaia DR3 43629828277884160,7.0991,0.0648,8.66367529705755e+16,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3437R/abstract,Upper limit for Ca since non-photospheric lines at same radial velocity as photosphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.05,0.16,,,,,523725.797901516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.92,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200000.0,,
1170,"Gaia J0347+1624 (Phot, UV)",Rogers 2023,"""Gaia J0347+1624 (Phot, UV) Rogers 2023""",18850.0,164.0,7.84,0.03,H,0.69,,56.90288357401,16.40270462486,Gaia DR3 43629828277884160,7.0991,0.0648,8.66367529705755e+16,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3437R/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523725.797901516,,-7.26,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17200000.0,,
1171,"Gaia J0347+1624 (Spec, Opt)",Rogers 2023,"""Gaia J0347+1624 (Spec, Opt) Rogers 2023""",21820.0,305.0,8.1,0.04,H,0.69,,56.90288357401,16.40270462486,Gaia DR3 43629828277884160,7.0991,0.0648,8.66367529705755e+16,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3437R/abstract,Gaseous emission present for upper limit of Fe and upper limit for Ca since non-photospheric lines are at same radial velocity as photosphere for Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.78,0.16,,,,,370769.470797597,,-5.2,-1.0,,,,,,-5.3,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.68,-1.0,,,,,,,,,,,-6.43,-1.0,,,,,,,,,,,-5.47,-1.0,,,,,,,,,,,,,-4.38,-1.0,,,,,,,,,,,-4.67,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60400000.0,,
1172,"Gaia J0347+1624 (Spec, UV)",Rogers 2023,"""Gaia J0347+1624 (Spec, UV) Rogers 2023""",21820.0,305.0,8.1,0.04,H,0.69,,56.90288357401,16.40270462486,Gaia DR3 43629828277884160,7.0991,0.0648,8.66367529705755e+16,,,disc,gas,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.3437R/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370769.470797597,,-7.34,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60400000.0,,
1164,Gaia DR3 637527525030988160,Blouin 2022,Gaia DR3 637527525030988160 Blouin 2022,6240.0,45.0,8.159,0.025,H,0.688,0.016,59.61039108483,21.95726685198,Gaia DR3 53278867446391040,,,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2022MNRAS.510.1059B/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.14,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1258925411.79417,,
1281,J0358+2157,Caron 2023,J0358+2157 Caron 2023,6765.0,30.0,8.218,0.008,H,0.712,0.007,59.61039108483,21.95726685198,Gaia DR3 53278867446391040,27.67340102,0.07140552,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,J0202+1602,Caron 2023,J0202+1602 Caron 2023,4392.0,9.0,7.864,0.008,He,0.488,0.006,30.54415090389,16.03425499388,Gaia DR3 78649033103283584,30.98869207,0.113236524,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2023MNRAS.519.4529C/abstract,,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3506,WDJ020210.60+160203.31,Tremblay 2020,WDJ020210.60+160203.31 Tremblay 2020,5380.0,60.0,8.4,0.02,He,,,30.54415090389,16.03425499388,Gaia DR3 78649033103283584,31.0,0.1,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2020MNRAS.497..130T/abstract,"""If H-dominated atmosphere, Teff=4910+/-50 and logg=8.13+/-0.03 instead""",-1.46,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.43,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,SDSS J014732.99+154104.6,Coutu 2019,SDSS J014732.99+154104.6 Coutu 2019,8762.0,1288.0,8.0,,He,,,26.88746,15.68461,,1.5151515152,0.314738292,,,,,,,,,https://ui.adsabs.harvard.edu/abs/2019ApJ...885...74C/abstract,,-5.42,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.58,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
