Teff,Li,Be,B,C,N,O,F,Ne,Na,Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn
5000.0,606736329.5885047,586138164.5140296,612350391.7247746,794328234.7242821,682338694.141669,597035286.5838366,422668614.2656024,459198012.8368695,365594791.61312544,377572190.925416,320626932.45054674,334195040.02611357,283791902.84415525,293089324.52503246,243781081.8368755,195433945.57753962,226986485.18838212,232809125.76650128,185780445.5091699,170215850.839495,157036280.43335515,158854674.85977808,147910838.8168207,149968483.55023742,139636836.10559362,147231250.24327165,129121927.3613536,126473634.74711522
5250.0,535796657.51334065,518800038.9289609,540754322.9455816,695024317.5887976,598411595.0603186,527229861.4228222,375837404.28844357,407380277.8041122,326587832.1723353,336511569.3754901,286417796.9906586,299226463.66081953,254683025.25850445,262421854.33844447,219785987.27848276,177010895.83174184,204644463.67246738,209411245.58508915,167880401.8122559,154525443.95384142,142560759.3602188,144211535.1524871,134276496.11378643,136144468.2465951,126765186.58578448,133967668.74259372,117760597.35208066,115345325.78210907
5500.0,472063041.26359,457088189.6148752,476430986.8054166,608135001.2787188,526017266.3907063,463446919.7362884,334195040.02611357,360578643.02164274,291071711.80666083,299916251.8987653,256448403.65177214,266685866.45214808,228034207.2000421,234963282.08483097,197696964.0111858,159955802.86146712,184501541.91794738,188364908.9489802,152054752.9732497,139958732.25726208,129419584.14499864,130617088.81318404,122179966.0164871,123879658.6530369,115345325.78210907,121618600.06463704,107151930.52376048,104954242.86523242
5750.0,414954042.63436323,402717034.3254595,419758983.9910069,529663443.89165807,460256573.5813563,407380277.8041122,296483138.95243394,319153785.5100758,259417936.21188125,266685866.45214808,229086765.276777,238231946.9358694,204644463.67246738,210377843.97664773,177418948.0890168,144543977.0745928,165958690.7437563,169433780.04473254,137404197.5012515,126765186.58578448,117489755.49395303,118576874.81671597,110917481.5262401,112460497.39669268,104954242.86523242,110407861.99020712,97723722.09558111,95719407.12948442
6000.0,368128973.64253205,357272838.15192956,372391706.2545683,467735141.2871981,407380277.8041122,362242998.41669804,266072505.9798814,285759054.3374944,233345806.22810045,239883291.90194947,206538015.5810527,214783047.41305375,184926861.8978076,190107827.99232996,161064563.5178273,131825673.85564047,151008015.41641492,154170045.29495615,125602996.36948754,115877735.61551262,107646521.3629835,108642562.36170645,101624869.28706948,103038612.04416159,96382902.36239704,101391138.57366799,89742879.45007491,88104887.30080147
6250.0,326587832.1723353,318419752.17261255,331894457.552611,413999674.81973124,362242998.41669804,322849412.1712638,239331575.6405385,257039578.27688646,210862814.99332887,216271852.37270245,187499450.8067417,194536008.16226614,168267406.10704708,172583789.1990204,146892627.76438662,120503594.03717962,137720946.88939443,140604752.4129913,115080038.89444356,106414301.82243142,98855309.4656939,100000000.0,93540567.41475521,94841846.33008978,88920111.78579481,93325430.07969905,82794216.37123345,81283051.61640994
6500.0,293764965.19615304,286417796.9906586,297851642.9429191,368977598.57015043,323593656.9296281,289734358.7701321,216271852.37270245,231739464.99684796,190985325.85662407,195884467.3505989,170215850.839495,176603782.0686164,153461698.2799294,157398286.44662166,134586035.4055947,110917481.5262401,126182753.45906731,128824955.16931322,105925372.51772897,98174794.30199844,91411324.14702508,92257142.71547629,86496791.87756938,87700082.1143634,82224264.99470712,86297854.77669702,76736148.93618186,75335556.3733717
6750.0,267916832.4819037,261818300.8218981,272897778.28080404,335737614.2429545,295801246.65515465,265460556.19755363,199986186.96327448,213796208.95022324,177418948.0890168,181551566.2773137,158489319.2461111,164058977.3199539,142889395.85111007,146554784.09559128,125892541.17941661,103992016.58290578,118304155.57251658,120503594.03717962,99540541.73515275,92469817.3938223,86099375.21846,86896042.92863019,81658237.13585922,82603794.95771784,77624711.66286911,81470428.40208387,72610595.74351543,71285303.0126519
7000.0,243781081.8368755,238231946.9358694,248313310.52955678,304789498.9627983,269153480.3926914,242661009.50824144,183653834.33483437,196336027.68360433,163305194.78943312,167494287.60264382,146554784.09559128,151705036.74593338,132739445.77297375,135831344.65871513,116949939.10198699,97050996.72454898,110153930.95414145,112201845.43019652,92896638.67799363,86496791.87756938,80537844.1199066,81470428.40208387,76559660.69112569,77624711.66286911,72945751.02545695,76383578.35776907,68233869.4141669,66988460.94165258
7250.0,226986485.18838212,222330989.06514007,232273679.6357105,283791902.84415525,252348077.24805704,227509743.0772067,173380399.7754141,185353162.34148142,154881661.89124796,158854674.85977808,139315680.29453036,144211535.1524871,126182753.45906731,129419584.14499864,111686324.77805611,92896638.67799363,105438689.63912581,107398941.23412462,89125093.8133746,82985076.75144216,77446179.78025192,78162780.45883292,73620709.7494736,74644875.8410067,70145529.84199713,73620709.7494736,65765783.73554199,64714261.57485831
