Unnamed: 0.1,Unnamed: 0,Names,Class,[H/Mg],[C/Mg],[O/Mg],[Na/Mg],[Mg/Mg],[Al/Mg],[Si/Mg],[P/Mg],[S/Mg],[K/Mg],[Ca/Mg],[Ti/Mg],[Cr/Mg],[Mn/Mg],[Fe/Mg],[Co/Mg],[Ni/Mg],[Cu/Mg],[Zn/Mg],[He/Mg],[Li/Mg],[Be/Mg],[B/Mg],[N/Mg],[F/Mg],[Ne/Mg],[Cl/Mg],[Ar/Mg],[Sc/Mg],[V/Mg],[Ga/Mg],[Ge/Mg]
11,11,LEW87051,ANG,,,0.7293,-2.8047,0.0,-0.4263,0.1453,-2.6297,,,-0.414,-1.7217,-2.3587,-2.1527,-0.251,-4.0147,-3.7977,,-5.5487,,,,,,,,,,,,,
12,12,Sahara_99555,ANG,,,1.1472,-2.5183,0.0,0.1475,0.5657,-1.9173,,-3.1913,0.1881,-1.1853,-2.4573,-1.6783,0.265,-3.5213,,,,,,,,,,,,,,,,
13,13,Cumberland,ANOM,-0.71585,-1.84875,0.55335,-1.18475,0.0,-1.18975,0.03125,-2.28175,-0.86505,-2.33775,-1.21475,-2.41275,-1.96775,-1.84275,-0.27925,-2.80275,-1.59775,,,,,,,,,,,,,,,
14,14,Weatherford,ANOM,-0.52233,-1.96373,0.52447,-1.64673,0.0,-1.07173,-0.02873,,-1.66073,-2.75373,-1.22273,-2.54973,-2.00073,-2.34573,-0.89803,,-2.69473,,,,,,,,,,,,,,,
15,15,ALH78113,AUB,-1.10405,,0.48155,-2.30405,0.0,-2.44005,-0.01005,,-2.04605,,-1.94505,,-3.09105,-2.60905,-1.64105,,-3.05805,,,,,,,,,,,,,,,
16,16,Aubres,AUB,,,0.48816,-2.36174,0.0,-2.32974,0.01126,,-1.85274,,-2.05174,-2.58574,-3.56474,-2.99074,-1.73074,,-3.75274,,,,,,,,,,,,,,,
17,17,Bishopville,AUB,,,0.53471,-1.24329,0.0,-1.20929,0.05671,,-2.04729,-2.70629,-1.67229,-3.36129,-3.51629,-3.78729,-1.99629,,,,,,,,,,,,,,,,,
18,18,Bishopville,AUB,,,0.53471,-1.24329,0.0,-1.20929,0.05671,,-2.04729,-2.70629,-1.67229,-3.36129,-3.51629,-3.78729,-1.99629,,,,,,,,,,,,,,,,,
19,19,Bustee,AUB,,,0.491413,-1.987787,0.0,-1.894787,0.006213,,-1.967787,-3.645787,-1.361787,-3.273787,-3.552787,-2.869787,-1.696787,,-3.264787,,,,,,,,,,,,,,,
20,20,Cumberland_Falls,AUB,,,0.479633,-2.568367,0.0,-2.365367,-0.001367,,-1.736367,,-1.929367,-3.581367,-3.161367,-2.928367,-1.320367,-3.750367,-2.748367,,,,,,,,,,,,,,,
21,21,Khor_Temiki,AUB,,,0.50029,-1.69221,0.0,-1.58221,0.02079,,-2.74021,-3.34421,-1.84521,-3.17521,-3.85321,-3.22121,-2.18321,,-3.74121,,,,,,,,,,,,,,,
