halo,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,expected_events_2p84ty_at_1e-45,sigma_n_for_one_event_cm2,energy_density_at_event_per_keV,peak_date,trough_date,fractional_modulation,fraction_of_year_on
shm_lz,50,0.0,188.54511940605445,185.59053560618207,1.0159199055610353,527.0771211215571,1.89725556266248e-48,1.282046318014206e-16,2023-05-31,2023-12-02,0.017043683272580434,1.0
shm_lz,50,10.0,145.53676208686053,140.97437509198966,1.0323632361689405,400.3672252612506,2.49770694728439e-48,9.309264241817933e-18,2023-05-31,2023-12-02,0.03432164953389489,1.0
shm_lz,50,20.0,104.83428522849582,99.67227067588446,1.051789876137138,283.06924871951185,3.532704469042774e-48,4.669034710961777e-19,2023-05-31,2023-12-02,0.054564159091745786,1.0
shm_lz,50,30.0,70.16169523981104,65.35729304354005,1.0735098100386495,185.61471224365374,5.387503974832095e-48,1.474349994173666e-20,2023-05-31,2023-12-02,0.07697842786005722,1.0
shm_lz,50,40.0,43.58145643422989,39.723114975405956,1.0971308886831452,112.81364653015291,8.864175840045373e-48,2.5737152274391493e-22,2023-05-31,2023-12-02,0.10107858474639544,1.0
shm_lz,50,50.0,25.17399156244547,22.419687405405988,1.1228520321106414,63.671912231353005,1.5705512288785713e-47,2.051325990942437e-24,2023-05-31,2023-12-02,0.12703199317075192,1.0
shm_lz,50,60.0,13.552718313594331,11.766001943691004,1.1518541623955258,33.41544552008245,2.992628062968686e-47,5.578755484194748e-27,2023-05-31,2023-12-02,0.1559959867242946,1.0
shm_lz,50,70.0,6.789757719983582,5.7200230953043,1.187015787673559,16.24486559066421,6.155791160098558e-47,3.018699094187512e-30,2023-05-31,2023-12-02,0.19074614311438215,1.0
shm_lz,50,80.0,3.1344455568852054,2.5404700483827782,1.2338053577449348,7.21493493740709,1.3860138846371647e-46,9.653696413918705e-35,2023-05-31,2023-12-02,0.2363193890028896,1.0
shm_lz,50,90.0,1.3018613179509222,0.9980584586668438,1.3043938525303247,2.834486022613836,3.5279764727075445e-46,1.9919569523914865e-38,2023-05-31,2023-12-02,0.30353825840980203,1.0
shm_lz,50,100.0,0.4590769047852867,0.3210161491158846,1.430074175550474,0.9116858634891123,1.0968690423397603e-45,7.919181177157313e-44,2023-05-31,2023-12-02,0.4174361133934047,1.0
shm_lz,50,110.0,0.11992264281557512,0.07005851949529524,1.7117496013261955,0.19896619536663845,5.0259794039750454e-45,3.0936201672757796e-52,2023-05-31,2023-12-02,0.6405348189834852,1.0
shm_lz,50,120.0,0.014889001186505817,0.005626373722027306,2.6462872752684805,0.015978901370557547,6.258252534448852e-44,1.8140832801932811e-66,2023-05-31,2023-12-02,0.9946001732035122,1.0
shm_lz,50,130.0,2.875017968523382e-06,4.71532083324146e-07,6.097184200607203,1.3391511166405745e-06,7.467417138915756e-40,7.849871572306001e-102,2023-05-31,2023-01-01,1.0,0.2328767123287671
shm_lz,50,140.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,150.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,160.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,170.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,180.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,190.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,200.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,210.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,220.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,230.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,240.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,250.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,260.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,270.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,280.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
shm_lz,50,290.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0
