m_chi_gev,delta_keV,v_min_at_event_kms,v_threshold_kms,E_star_keV,shm_lz_v_max_kms,shm_lz_allowed_at_event,shm_lz_E_max_keV,shm_lz_reachable_fraction_of_year,shm_lz_reachable_first,shm_lz_reachable_last,shm_pp_v_max_kms,shm_pp_allowed_at_event,shm_pp_E_max_keV,shm_pp_reachable_fraction_of_year,shm_pp_reachable_first,shm_pp_reachable_last,shm_vesc_low_v_max_kms,shm_vesc_low_allowed_at_event,shm_vesc_low_E_max_keV,shm_vesc_low_reachable_fraction_of_year,shm_vesc_low_reachable_first,shm_vesc_low_reachable_last,shm_vesc_high_v_max_kms,shm_vesc_high_allowed_at_event,shm_vesc_high_E_max_keV,shm_vesc_high_reachable_fraction_of_year,shm_vesc_high_reachable_first,shm_vesc_high_reachable_last
50,0.0,1040.3954432321184,0.0,0.0,810.0424177617658,False,150.33853730969295,0.0,,,789.0595356802943,False,142.65084324828987,0.0,,,766.0424177617658,False,134.44988487285303,0.0,,,866.0424177617658,False,171.84350635962906,0.0,,
50,10.0,1052.5632454360575,225.02734026893688,2.900449983904486,810.0424177617658,False,144.47941029006918,0.0,,,789.0595356802943,False,136.78844239662158,0.0,,,766.0424177617658,False,128.58355966614903,0.0,,,866.0424177617658,False,165.99192555248933,0.0,,
50,20.0,1064.7310476399969,318.23671651307586,5.800899967808972,810.0424177617658,False,138.49376296341208,0.0,,,789.0595356802943,False,130.7917607419225,0.0,,,766.0424177617658,False,122.5735523010766,0.0,,,866.0424177617658,False,160.03143248023022,0.0,,
50,30.0,1076.8988498439357,389.75878643788866,8.701349951713459,810.0424177617658,False,132.36382696566565,0.0,,,789.0595356802943,False,124.64068929909386,0.0,,,766.0424177617658,False,116.39670702276587,0.0,,,866.0424177617658,False,153.9489975311921,0.0,,
50,40.0,1089.0666520478749,450.05468053787376,11.601799935617944,810.0424177617658,False,126.06723925979927,0.0,,,789.0595356802943,False,118.30953489168691,0.0,,,766.0424177617658,False,110.0228871685839,0.0,,,866.0424177617658,False,147.72876530701,0.0,,
50,50.0,1101.2344542518142,503.17642963731873,14.502249919522432,810.0424177617658,False,119.57518378486424,0.0,,,789.0595356802943,False,111.76457312326784,0.0,,,766.0424177617658,False,103.41161688410412,0.0,,,866.0424177617658,False,141.3511140898632,0.0,,
50,60.0,1113.402256455753,551.2021618345409,17.402699903426917,810.0424177617658,False,112.84943815183976,0.0,,,789.0595356802943,False,104.96002135384184,0.0,,,766.0424177617658,False,96.50630712776575,0.0,,,866.0424177617658,False,134.7912699132537,0.0,,
50,70.0,1125.5700586596922,595.3663805419176,20.303149887331404,810.0424177617658,False,105.83741552621667,0.0,,,789.0595356802943,False,97.8309709052138,0.0,,,766.0424177617658,False,89.22352680045735,0.0,,,866.0424177617658,False,128.0171866314407,0.0,,
50,80.0,1137.7378608636313,636.4734330261517,23.203599871235888,810.0424177617658,False,98.4632352268504,0.0,,,789.0595356802943,False,90.27988956719975,0.0,,,766.0424177617658,False,81.43085411315722,0.0,,,866.0424177617658,False,120.98615230849242,0.0,,
50,90.0,1149.9056630675705,675.0820208068106,26.104049855140378,810.0424177617658,False,90.61006537570611,0.0,,,789.0595356802943,False,82.1476638361871,0.0,,,766.0424177617658,False,72.89362283605051,0.0,,,866.0424177617658,False,113.6390393560203,0.0,,
