tail,v_esc,v0,m_chi_gev,delta_keV,rate_at_event_per_ty,mean_rate_livetime_per_ty,bayes_factor_timing,energy_density_at_event_per_keV,peak_date,fractional_modulation,fraction_of_year_on
sharp,500.0,220.0,10000.0,380.0,7.735886031146277e-13,1.2716806092022752e-13,6.083198859184457,0.005674027462670423,2023-05-31,1.0,0.2328767123287671
sharp,500.0,220.0,10000.0,400.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,10000.0,420.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,10000.0,440.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,10000.0,460.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,220.0,10000.0,480.0,0.0,0.0,0.0,0.0,,,0.0
sharp,500.0,238.0,200.0,0.0,81.51076161146307,82.84702579233901,0.9838707042516485,3.229683103343828e-06,2023-12-02,0.016853822268476676,1.0
sharp,500.0,238.0,200.0,20.0,61.77477902672253,61.415994979202246,1.0058418665632916,3.215716194850617e-06,2023-05-31,0.0065372015567563705,1.0
sharp,500.0,238.0,200.0,40.0,38.576343302026125,37.21506237293161,1.0365787625304275,3.786701044562741e-06,2023-05-31,0.03885263394408995,1.0
sharp,500.0,238.0,200.0,60.0,20.057086151159368,18.748115612214054,1.0698187789119746,5.204171896889591e-06,2023-05-31,0.07328758615107799,1.0
sharp,500.0,238.0,200.0,80.0,9.0281938961912,8.17708390028906,1.1040847820910888,7.995635166436036e-06,2023-05-31,0.10824624541691301,1.0
sharp,500.0,238.0,200.0,100.0,3.6354531711974447,3.1847013219883658,1.1415366163529748,1.321134734370763e-05,2023-05-31,0.14591222430042025,1.0
sharp,500.0,238.0,200.0,120.0,1.3202098398266844,1.1123427366006955,1.1868732508302504,2.307523187817323e-05,2023-05-31,0.19074424867578454,1.0
sharp,500.0,238.0,200.0,140.0,0.42819749387193057,0.3432753660980641,1.2473877713369232,4.2379383881623153e-05,2023-05-31,0.24921099244212108,1.0
sharp,500.0,238.0,200.0,160.0,0.12097395983968288,0.0906203064838281,1.3349542120702453,8.173729131542178e-05,2023-05-31,0.3304645713545302,1.0
sharp,500.0,238.0,200.0,180.0,0.029221182951557383,0.02002445544559657,1.4592747868198932,0.0001602079002011804,2023-05-31,0.43768614340121803,1.0
sharp,500.0,238.0,200.0,200.0,0.006353029466117642,0.003936537214224217,1.6138624177517522,0.00026877311929807395,2023-05-31,0.5589355353982665,1.0
sharp,500.0,238.0,200.0,220.0,0.0012866740983740054,0.0006409819422556559,2.007348434569183,0.0002512561956256315,2023-05-31,0.8256386578684476,1.0
sharp,500.0,238.0,200.0,240.0,7.24356644969992e-05,1.918932521281003e-05,3.774789561054707,4.403344415672711e-05,2023-05-31,1.0,0.6027397260273972
