key,main_id,ra,dec,sptype,plx_mas
HD 100623,*  20 Crt,173.62286018472832,-32.83133966483639,K0V,104.6133
HD 102365,HD 102365,176.62946888804873,-40.50035718532611,G2V,107.3024
HD 102647,* bet Leo,177.26490975591017,14.572058064829658,A3Va,90.91
HD 102870,* bet Vir,177.67382714942332,1.7647226497586115,F9V,90.8945
HD 104731,HD 104731,180.91488506159706,-42.434058448510555,F5V,40.4345
HD  10476,* 107 Psc,25.624010521366664,20.26851268269722,K1V,130.8234
HD  10647,* q01 Eri,25.62214382373,-53.74083095924,F9V,57.6409
HD 106591,* del UMa,183.85649936126705,57.03261697773611,A2Vn,40.3279
HD  10700,* tau Cet,26.01701307163417,-15.93747989102139,G8V,273.8097
HD 108767,* del Crv,187.46606318416664,-16.515431261666667,A0IV(n)kB9,38.06
HD 109085,* eta Crv,188.01761000770082,-16.196005170938612,F2V,54.8135
HD 109787,* tau Cen,189.42568374919998,-48.54130535928,A1IVnn,24.2953
HD 115617,*  61 Vir,199.60130827686294,-18.311193819050562,G6.5V,117.1726
HD  12311,* alf Hyi,29.69224409758834,-61.56982215319751,F0IV,51.5547
HD  14412,HD  14412,34.743769923402496,-25.94568716478555,G8V,77.914
HD  15008,* del Hyi,35.43725985508,-68.65941858958,A2V,23.2796
HD  16160,HD  16160,39.020422237076254,6.886773237304166,K3V,138.34
HD    166,HD    166,1.6532666952450004,29.021503526080565,G8V,72.6419
HD  17925,HD  17925,43.13386744000459,-12.769713348950832,K1V,96.52
HD  20630,* kap01 Cet,49.840401739905,3.370198605523333,G5V,107.8023
HD  20766,* zet01 Ret,49.44234772895417,-62.575320126845554,G2.5VHdel1,83.024
HD  20794,* e Eri,49.9818788009275,-43.069781996785,G6V,165.5242
HD  20807,* zet02 Ret,49.55341201004875,-62.506362419731104,G1V,83.0606
HD  22001,* kap Ret,52.34448925269125,-62.937528939337504,F3IV/V,45.9103
HD  22049,* eps Eri,53.23268537982792,-9.458260970518056,K2V,310.5773
HD  22484,*  10 Tau,54.21826543507,0.40166447161916674,F9IV-V,71.837
HD   2262,* kap Phe,6.550838931848333,-43.67983065874444,A5IVn,41.7228
HD  23249,* del Eri,55.81208557481292,-9.763391932194168,K0+IV,110.0254
HD  28355,* b Tau,67.20901508874,13.04760199961,kA5hF0VmF0,20.7158
HD  30495,*  58 Eri,71.90121542891,-16.93445568682,G2.5IV-V,75.5289
HD  30652,* pi.03 Ori,72.46004668811875,6.961277950629445,F6V,124.6198
HD  33111,* bet Eri,76.96239535462041,-5.086496983969999,A3IV,36.2456
HD  33262,* zet Dor,76.37773197557,-57.47270469412,F9VFe-0.5,85.5233
HD  34411,* lam Aur,79.78531437463376,40.09905141137223,G1.5IV-VFe-1,79.6021
HD  35850,V* AF Lep,81.76984720067,-11.900962778400002,F8V(n)k:,37.2539
HD  38393,* gam Lep,86.115794237325,-22.448385487848334,F6V,112.296
HD  38678,* zet Lep,86.73892235277415,-14.82195015846389,A2IV-V(n),44.794
HD  39060,* bet Pic,86.82119870875,-51.066511426388885,A6V,50.9307
HD  39587,* chi01 Ori,88.59576245541668,20.276172788333334,G0V,115.43
HD  40136,* eta Lep,89.10122287687543,-14.167699537670277,F2V,66.8573
HD   4614,* eta Cas,12.276227476217503,57.81517728880999,F9V,168.8322
HD  48682,* psi05 Aur,101.68473722918002,43.57742456382,F9V,60.2024
HD  48737,* ksi Gem,101.32235202269875,12.895594959796389,F5IV-V,54.1894
HD  53705,HD  53705,105.988813423455,-43.608034961019165,G1.5V,58.6192
HD  56537,* lam Gem,109.52324549807,16.54038599479,A4IV,32.6068
HD  69830,HD  69830,124.59977903433628,-12.632171440980558,G8:V,79.4953
HD  71155,*  30 Mon,126.41513277136585,-3.9064272186819444,A0Va,25.3438
HD  72673,HD  72673,128.2145653347,-31.500851377865832,K1V,82.208
HD  75732,* rho01 Cnc,133.14921293501794,28.330820831797222,K0IV-V,79.4482
HD  76151,HD  76151,133.57477956862334,-5.434459527358611,G2V,59.3595
HD   7788,* kap Tuc,18.94203792959625,-68.8759448102925,F6V,42.9912
HD  81937,* h UMa,142.88211696306456,63.06185995089555,F0V,42.0904
HD  88955,* q Vel,153.68398203349875,-42.12194134188417,A2Va,31.6369
HD  89449,*  40 Leo,154.93403005227668,19.470912768482776,F6IV-V,47.1255
HD  90132,HD  90132,155.87206698759,-38.00984042183,A8V,24.2034
HD  91324,* Y Vel,157.84092029716916,-53.71548360761639,F9VFe-0.8CH-0.7,45.3276
HD  95418,* bet UMa,165.46033229797294,56.382433649496384,A1IVps,38.6031
HD  97603,* del Leo,168.52708926588556,20.523718139047475,A5IV(n),55.82
HD   9826,* ups And,24.199339768294585,41.40545871334139,F9V,74.194
HD  99211,* gam Crt,171.2205150667429,-17.684011879005833,A7V(n),37.7065
HD 116842,* g UMa,201.30640763875,54.98795966138889,A5V+M3-4V,39.91
HD 120136,* tau Boo,206.8155757166775,17.456891543222227,F7IV-V,64.047
HD 126660,* tet Boo,216.2991539590004,51.85074367335807,F7V,69.0686
HD 128167,* sig Boo,218.67007244468,29.745127131650005,F4VkF2mF1,63.4679
HD 131156,* ksi Boo,222.8474163722046,19.100472048411426,G7Ve+K5Ve,148.98
HD 135379,* bet Cir,229.37853938357503,-58.80120701859055,A3Va,33.8205
HD 139006,* alf CrB,233.67195203403162,26.714685000024716,A1IV,42.2408
HD 139664,* g Lup,235.29740336214545,-44.66120602675139,F4V,57.4759
HD 141004,* lam Ser,236.61089255068003,7.353068716340001,G0-V,83.9214
HD 141795,* eps Ser,237.7040219606796,4.477730970842778,kA2hA5mA7V,45.3293
HD 141891,* bet TrA,238.785675265,-63.43072653638888,F1V,80.4854
HD 142091,* kap CrB,237.8080470598467,35.65738158087722,K1IVa,33.3433
HD 142860,* gam Ser,239.11326107375749,15.661613772328334,F6V,89.5647
HD 146233,*  18 Sco,243.90529281485533,-8.369439479286111,G2Va,70.7371
HD 149661,*  12 Oph,249.08937370706997,-2.3245869511758324,K1V,101.0719
HD 152391,HD 152391,253.24501048327,-0.02642177669888889,G8.5Vk:,59.4805
HD 160032,* lam Ara,265.09927324399,-49.41558312680999,F4V,47.7045
HD 160915,*  58 Oph,265.857473075892,-21.68319414243306,F5V,58.2437
HD 161868,* gam Oph,266.9731691245113,2.7072791218991665,A1VnkA0mA0,33.6174
HD 162003,* psi01 Dra A,265.48359320893996,72.14886878277,F5IV-V,43.95
HD 164259,* zet Ser,270.12087522471666,-3.6902715468230562,F2V,43.4823
HD 165777,*  72 Oph,271.83743686336254,9.563846726640831,A5V,38.1263
HD 172167,* alf Lyr,279.234734787025,38.783688956244,A0V,130.23
HD 172555,HD 172555,281.3620874193479,-64.87125966888472,A7V,34.7355
HD 173667,* 110 Her,281.41552366368626,20.54630919062889,F5.5IV-V,51.6743
HD 177724,* zet Aql,286.35253339791666,13.86347728111111,A0IV-Vnn,38.2329
HD 178253,* alf CrA,287.3680896456666,-37.90447440014084,A2Va,27.0884
HD 182572,* b Aql,291.24249988095914,11.94441346681389,G7IVHdel1,67.0153
HD 185144,* sig Dra,293.0899592077504,69.66117661255723,K0V,173.4939
HD 185395,* tet Cyg,294.11055446568747,50.22110138999945,F3+V,54.2702
HD 187642,* alf Aql,297.69582729638694,8.868321196436963,A7Vn,194.95
HD 188228,* eps Pav,300.14813137628624,-72.9105035987675,A0Va,31.2593
HD 191408,HD 191408,302.7997448709225,-36.10120881266862,K2.5V,166.3272
HD 192425,* rho Aql,303.56924451093,15.197607338079997,A1Va,20.9054
HD 195627,* phi01 Pav,308.89520861537994,-60.58174912319,F0V,35.6214
HD 197157,* eta Ind,311.00972491813707,-51.92097035308806,A9IV,41.3357
HD 197692,* psi Cap,311.5238874801846,-25.27089819194861,F5V,68.337
HD 202730,* tet Ind,319.96662273615,-53.44942607516,A5IV-V,33.0546
HD 203280,* alf Cep,319.6448846972256,62.5855744637194,A8Vn,66.5
HD 203608,* gam Pav,321.61085409436373,-65.3661980715336,F9VFe-1.4CH-0.7,108.0102
HD 206860,V* HN Peg,326.13054144214,14.7719398035,G0V+,55.148
HD 207129,HD 207129,327.06562984757784,-47.30361608148555,G2V,64.2717
HD 209100,* eps Ind,330.8402234423433,-56.785978554364995,K5V,274.8431
HD 210027,* iot Peg,331.75277295908,25.345098996239997,F5V,84.0054
HD 210302,* tau PsA,332.53658414455214,-32.54840841508611,F6V,54.1773
HD 215648,* ksi Peg,341.67324939263915,12.172885794474443,F6V,60.9161
HD 216435,* tau01 Gru,343.40805145924,-48.59828442455,G0V,30.1918
HD 216956,* alf PsA,344.4126927211701,-29.622237033389442,A4V,129.81
HD 219482,HD 219482,349.24036453178,-62.00119779668,F6V,48.9174
HD 219571,* gam Tuc,349.35731852264,-58.23570137616001,F4V,44.0808
HD 222368,* iot Psc,354.9876691817333,5.626292753319723,F7V,73.237
HD 224392,* eta Tuc,359.39616103627,-64.29822981874,A1V,20.4208
