key,ra,dec,tmass_reached,wise_reached,ks,e_ks,h,j,tmass_qual,tmass_rflg,tmass_sep_arcsec,w1,e_w1,w2,e_w2,w3,e_w3,w4,e_w4,wise_qual,wise_cc,wise_ext,wise_sep_arcsec
HD   2262,6.550838931848333,-43.67983065874444,True,True,3.59,0.292,3.585,3.739,DDD,333,0.202503549311301,3.534,0.405,3.056,0.48,3.601,0.024,3.413,0.02,CCAA,HHH0,0,1.457441497617476
HD  23249,55.81208557481292,-9.763391932194168,True,True,1.619,0.292,1.729,2.06,DDD,333,0.8540989498224402,,,,,,,,,,,,
HD  28355,67.20901508874,13.04760199961,True,True,4.534,0.033,4.656,4.793,CCA,331,0.39716382982419346,4.555,0.209,4.317,0.145,4.56,0.014,4.296,0.027,BBAA,0000,0,1.3946415067388638
HD  30495,71.90121542891,-16.93445568682,True,True,3.999,0.036,4.116,4.466,DDE,331,0.1299983233089806,3.994,0.26,3.724,0.14,3.997,0.015,3.908,0.021,BBAA,0000,1,2.5576983347973483
HD  30652,72.46004668811875,6.961277950629445,True,True,1.6,0.196,1.757,1.984,DBC,333,0.3538028522321441,-0.029,,0.222,,2.136,0.012,2.09,0.018,UUAA,hh00,0,4.861250298466337
HD  33111,76.96239535462041,-5.086496983969999,True,True,2.397,0.22,2.439,2.47,DCD,333,0.5942124082356769,0.995,,0.983,,2.482,0.023,2.4,0.022,UUAA,HHH0,0,1.1372475672573636
HD  33262,76.37773197557,-57.47270469412,True,True,3.371,0.234,3.407,3.701,DCD,333,0.17656333651580347,3.425,0.488,3.128,0.396,3.424,0.011,3.336,0.019,CCAA,HHH0,1,1.3220922735695946
HD  34411,79.78531437463376,40.09905141137223,True,True,3.038,0.258,3.154,3.397,DCD,333,0.06234075072497856,,,,,,,,,,,,
HD  35850,81.76984720067,-11.900962778400002,True,True,4.926,0.021,5.087,5.268,AAA,111,0.171801250308954,4.915,0.179,4.783,0.06,4.904,0.015,4.803,0.029,BAAA,0000,1,0.40585117876772964
HD  38393,86.115794237325,-22.448385487848334,True,True,2.508,0.228,2.606,2.804,DDD,333,0.45215878186356234,,,,,,,,,,,,
HD  38678,86.73892235277415,-14.82195015846389,True,True,3.286,0.282,3.314,3.39,DDD,333,0.2226493250241414,3.347,0.426,2.991,0.347,3.221,0.014,2.388,0.019,CBAA,hh00,1,0.4710729301201186
HD  39060,86.82119870875,-51.066511426388885,True,True,3.526,0.222,3.544,3.669,DCD,333,0.04889398206367545,3.484,0.372,3.182,0.249,2.597,0.007,0.014,0.016,CBAA,hh00,1,1.0485873730311632
HD  39587,88.59576245541668,20.276172788333334,True,True,2.996,0.316,3.19,3.434,DCD,333,0.3469237164686716,2.092,,2.704,0.405,2.963,0.014,2.933,0.017,UCAA,0h00,0,2.2036770875138894
HD  40136,89.10122287687543,-14.167699537670277,True,True,2.993,0.254,2.985,3.063,DDD,333,0.07856523018232096,2.021,,1.749,,2.905,0.012,2.792,0.02,UUAA,hh00,1,1.6595754520087966
HD   4614,12.276227476217503,57.81517728880999,True,True,1.988,9.996,2.086,2.109,DDF,333,0.5742119142996855,,,,,,,,,,,,
HD  48682,101.68473722918002,43.57742456382,True,True,4.132,0.294,4.071,4.406,DDD,333,0.19688819745625677,3.872,0.297,3.439,0.191,3.954,0.016,3.825,0.022,BBAA,hhh0,0,1.9565301514666589
HD  48737,101.32235202269875,12.895594959796389,True,True,1.688,0.22,1.811,1.996,DCD,333,0.27531013659978537,,,,,,,,,,,,
HD  53705,105.988813423455,-43.608034961019165,True,True,4.037,0.036,3.99,4.405,DCE,331,0.35095863298334207,3.954,0.519,3.589,0.209,4.046,0.015,3.968,0.025,CBAA,HHH0,1,4.052170961516302
HD  56537,109.52324549807,16.54038599479,True,True,3.535,0.262,3.495,3.54,DDD,333,0.4116497010823069,3.357,0.461,2.115,0.312,3.343,0.012,3.317,0.021,CBAA,0000,1,0.5962279546388976
HD  69830,124.59977903433628,-12.632171440980558,True,True,4.165,0.036,4.364,4.953,DDE,331,1.8444500386332414,,,,,,,,,,,,
