n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,glint_max_brighten,glint_sigma,glint_events,glint_score,is_glint,resists_mundane,is_candidate,shared_epoch_frac,rejected_shared_epoch
92,0.7678372988614665,5,0.05434782608695652,7.371225286895687,0.14323083427402347,0.1867112794827506,0.8052474147828153,2,0.006246400457453192,0.7678372988614665,1616206400004438,150.1717286,21.10189995,,,,unknown,0.004225530587435911,0.6631304284206553,0.02855876022367092,0.04997783039142411,False,0.04438864173460888,2.9928997943733573,0,0.0,False,False,False,1.0,True
506,0.4610672198619671,23,0.045454545454545456,1.160225595642171,0.20491142120973235,0.06080674396954804,0.7813715125476658,5,0.0,0.4610672198619671,571216400007523,150.02572014999998,21.018905099999998,,,,unknown,0.006630214797416046,2.084137891462462,0.049435910257506196,0.14901284295063583,False,0.5828175609307964,7.497616966604815,5,0.0,False,False,False,0.9933774834437086,
578,0.3322745645322187,24,0.04152249134948097,1.0009939728121167,0.10807298571636932,0.033967579070778325,0.7198693646474936,3,0.0,0.3322745645322187,571216400006348,149.3741195,21.1197995,,,,unknown,0.0008948414527555417,0.7115408023591335,0.006672057317705865,0.03250943363931859,False,0.4416949592862107,11.4687430513843,1,0.427155639397056,False,False,False,0.8666666666666667,
556,0.35527878679364044,13,0.023381294964028777,0.7410855557866802,0.2886633703297997,0.04106950952073684,0.717679147143779,3,0.0,0.35527878679364044,571216400005630,149.42125875,21.19244045,,,,unknown,0.0019150197116684765,0.695055927584668,0.014278663345949811,0.024987660855412167,False,0.7044076703918729,12.365152944617119,10,0.0,False,False,False,0.9,
553,0.37680314066224885,33,0.059674502712477394,0.8780582718221392,0.9941963651648208,0.03757101708086439,0.672927612210829,4,0.02526702755497057,0.3534502084894857,571216400006024,149.6124823,21.1554492,,,,unknown,0.0047223835881700475,1.4385852694072523,0.03521074797926407,0.08245214229704545,False,0.528431712422867,9.677252486278025,4,0.27289577358248823,False,False,False,0.9556962025316456,
536,0.44870491576198057,61,0.11380597014925373,0.8461866352166424,0.3332094288466785,0.06508130133010803,0.6705859641916292,10,0.04329654846977949,0.32967125991583424,571216400024222,149.41994195,21.11242885,,,,unknown,0.0006480285116509518,0.19799715288058217,0.0048193961688716425,0.029267276628858703,False,0.7259132385628151,16.68293829799844,7,0.0,False,False,False,0.9847328244274809,
712,0.3991454420263626,25,0.0351123595505618,1.0980273605728381,0.3708172438129263,0.03814412999064799,0.6644384026371759,1,0.0,0.2249863350556448,570213400006047,148.943101,21.1291941,,,,unknown,0.00715257080474806,2.8313197309603906,0.05336982796609244,0.15589719894066173,False,0.37394693628844244,7.361376980812394,4,0.18023088672582102,False,False,False,0.5342465753424658,
719,0.2759647742486816,23,0.031988873435326845,0.9011053894431746,1.395637721667282,0.03111714319665348,0.660664857041004,1,0.0,0.2759647742486816,570213400005804,148.9461954,21.1514867,,,,unknown,0.002741710098080769,1.3155404820044658,0.020442635870366932,0.03577461277314213,False,0.4224707996455692,8.330068972304572,3,0.23438423371391004,False,False,False,0.5825242718446602,
545,0.2849367408782939,6,0.011009174311926606,0.8560242181543954,0.12252291585315973,0.03562557904785035,0.659312326285645,1,0.0,0.2849367408782939,571216400007342,149.187178,21.0202497,,,,unknown,-0.0009954520802717215,0.5238515443051717,-0.00742223437420469,0.0,False,0.6447169190809012,10.170837631434543,8,0.0,False,False,False,0.9931972789115646,
576,0.25260463539353906,15,0.026041666666666668,0.9790275191623787,0.11899369982151557,0.0370605007448981,0.6588818497765306,1,0.0,0.25260463539353906,571216400013245,149.5769195,21.1747627,,,,unknown,0.0031157115914646908,1.631574187131758,0.02323117840277921,0.04065456220486362,False,0.24816574640080402,5.6350321714939575,0,0.0,False,False,False,0.8367346938775511,
