kepoi_name,tic_id,family,author,flux_column,status,n_segments,segment_list,exptimes_s,n_transits,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,odd_even_sigma,smeared,is_primary_reduction
K04395.01,1.2139552e+08,sap,TESS-SPOC,SAP_FLUX,OK,3,"74,80,81",200,41,-962.12212,565.6456,bootstrap,16753.626,1.8050153,False,False
K07644.01,1.2214296e+08,pdc,SPOC,PDCSAP_FLUX,OK,3,"74,80,81",120,20,-320.06775,392.11453,bootstrap,21444.274,0.15208932,False,True
K07644.01,1.2214296e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"74,80,81",200,22,83.229919,650.36144,bootstrap,18061.341,1.4700673,False,False
K07644.01,1.2214296e+08,sap,SPOC,SAP_FLUX,OK,3,"74,80,81",120,24,5.974963,252.17904,bootstrap,11504.375,0.92590634,False,True
K07644.01,1.2214296e+08,sap,TESS-SPOC,SAP_FLUX,OK,3,"74,80,81",200,24,-82.924248,311.3029,bootstrap,8148.1262,1.0682855,False,False
K04144.01,1.2237589e+08,pdc,SPOC,PDCSAP_FLUX,OK,2,"74,81",120,96,-191.17523,560.18364,bootstrap,16843.482,0.99407063,False,True
K04144.01,1.2237589e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"74,81",200,99,-552.5739,591.90559,bootstrap,13428.655,0.71022674,False,False
K04144.01,1.2237589e+08,sap,SPOC,SAP_FLUX,OK,2,"74,81",120,106,-247.66841,202.40333,bootstrap,6074.4523,1.1942397,False,True
K04144.01,1.2237589e+08,sap,TESS-SPOC,SAP_FLUX,OK,2,"74,81",200,106,-137.45099,193.26772,bootstrap,4969.1607,0.13076038,False,False
K03343.01,3.5105906e+08,pdc,SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,1,74,120,0,,,none,,,False,True
K03343.01,3.5105906e+08,pdc,TESS-SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,1,74,200,0,,,none,,,False,False
K03343.01,3.5105906e+08,sap,SPOC,SAP_FLUX,NO_USABLE_TRANSIT,1,74,120,0,,,none,,,False,True
K03343.01,3.5105906e+08,sap,TESS-SPOC,SAP_FLUX,NO_USABLE_TRANSIT,1,74,200,0,,,none,,,False,False
K06331.01,1.3880837e+08,pdc,SPOC,PDCSAP_FLUX,OK,2,"74,75",120,8,5569.6578,1546.3728,bootstrap,71527.845,0.45668606,False,True
K06331.01,1.3880837e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"74,75",200,8,3361.285,1012.5245,bootstrap,56969.399,0.43873709,False,False
K06331.01,1.3880837e+08,sap,SPOC,SAP_FLUX,OK,2,"74,75",120,9,1181.9971,206.60232,bootstrap,16182.17,0.24733594,False,True
K06331.01,1.3880837e+08,sap,TESS-SPOC,SAP_FLUX,OK,2,"74,75",200,9,670.77305,217.40148,bootstrap,12002.419,0.62218873,False,False
K04999.01,1.3731867e+08,pdc,SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,1,74,120,0,,,none,,,False,True
K04999.01,1.3731867e+08,pdc,TESS-SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,1,74,200,0,,,none,,,False,False
K04999.01,1.3731867e+08,sap,SPOC,SAP_FLUX,NO_USABLE_TRANSIT,1,74,120,0,,,none,,,False,True
K04999.01,1.3731867e+08,sap,TESS-SPOC,SAP_FLUX,NO_USABLE_TRANSIT,1,74,200,0,,,none,,,False,False
K01206.01,1.3847954e+08,pdc,SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,3,"74,81,82",120,0,,,none,,,False,False
K01206.01,1.3847954e+08,pdc,TESS-SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,3,"74,81,82",200,0,,,none,,,False,False
K01206.01,1.3847954e+08,pdc,QLP,KSPSAP_FLUX,NO_USABLE_TRANSIT,3,"41,54,55",600,0,,,none,,,False,False
K01206.01,1.3847954e+08,pdc,QLP,DET_FLUX,OK,4,"74,75,81,82",200,1,-11.140561,802.94029,analytic,13148.188,,False,False
K01206.01,1.3847954e+08,sap,SPOC,SAP_FLUX,NO_USABLE_TRANSIT,3,"74,81,82",120,0,,,none,,,False,False
K01206.01,1.3847954e+08,sap,TESS-SPOC,SAP_FLUX,NO_USABLE_TRANSIT,3,"74,81,82",200,0,,,none,,,False,False
K01206.01,1.3847954e+08,sap,QLP,SAP_FLUX,OK,7,"41,54,55,74,75,81,82","200,600",1,-1613.7014,842.55845,analytic,13796.937,,False,True
K05006.01,1.3857034e+08,pdc,SPOC,PDCSAP_FLUX,OK,2,"40,41",120,1,-993.4797,939.48124,analytic,5160.4319,,False,False
K05006.01,1.3857034e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"40,41,55",600,2,786.39996,610.34362,analytic,2181.8165,2.6211951,False,False
K05006.01,1.3857034e+08,pdc,QLP,KSPSAP_FLUX,OK,4,"40,41,54,55",600,2,420.53178,782.60783,analytic,2740.6885,2.9683304,False,False
K05006.01,1.3857034e+08,pdc,QLP,DET_FLUX,OK,4,"74,75,81,82",200,1,2009.3443,1562.8146,analytic,6621.6846,,False,False
K05006.01,1.3857034e+08,sap,SPOC,SAP_FLUX,OK,2,"40,41",120,1,-925.09943,851.10811,analytic,4675.0113,,False,False
K05006.01,1.3857034e+08,sap,TESS-SPOC,SAP_FLUX,OK,3,"40,41,55",600,2,468.29794,497.85336,analytic,1763.7247,2.4182095,False,False
K05006.01,1.3857034e+08,sap,QLP,SAP_FLUX,OK,8,"40,41,54,55,74,75,81,82","200,600",3,587.65554,696.96572,analytic,3093.3128,3.4536738,False,True
K07676.01,1.2035564e+08,pdc,SPOC,PDCSAP_FLUX,OK,7,"40,41,53,54,74,80,81",120,29,533.99709,203.86369,bootstrap,8124.7904,0.84282999,False,False
K07676.01,1.2035564e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,7,"40,41,53,54,74,80,81","200,600",30,498.96871,234.94707,bootstrap,4616.1448,1.8572737,False,False
K07676.01,1.2035564e+08,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,53,54","1800,600",24,236.32845,425.35928,bootstrap,4772.7276,0.16816209,False,False
K07676.01,1.2035564e+08,pdc,QLP,DET_FLUX,OK,3,"74,80,81",200,12,543.71992,388.29121,bootstrap,9143.2278,0.066877474,False,False
K07676.01,1.2035564e+08,sap,SPOC,SAP_FLUX,OK,7,"40,41,53,54,74,80,81",120,31,357.25148,189.42605,bootstrap,6914.1553,1.467475,False,False
K07676.01,1.2035564e+08,sap,TESS-SPOC,SAP_FLUX,OK,7,"40,41,53,54,74,80,81","200,600",31,443.81607,202.30615,bootstrap,3577.6351,2.185069,False,False
K07676.01,1.2035564e+08,sap,QLP,SAP_FLUX,OK,8,"14,40,41,53,54,74,80,81","1800,200,600",36,403.92005,352.02058,bootstrap,5640.1875,0.20520858,False,True
K07546.01,1.3864598e+08,pdc,SPOC,PDCSAP_FLUX,OK,4,"74,75,81,82",120,3,1136.8652,402.89633,analytic,5633.0628,1.6189308,False,False
K07546.01,1.3864598e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,4,"74,75,81,82",200,3,940.39436,489.65857,analytic,4873.9349,0.89060052,False,False
K07546.01,1.3864598e+08,pdc,QLP,KSPSAP_FLUX,OK,4,"40,41,54,55",600,2,-1660.1106,693.48498,analytic,3299.9448,0.84291511,False,False
K07546.01,1.3864598e+08,pdc,QLP,DET_FLUX,OK,4,"74,75,81,82",200,3,100.09037,528.03693,analytic,5253.5941,0.34735417,False,False
K07546.01,1.3864598e+08,sap,SPOC,SAP_FLUX,OK,4,"74,75,81,82",120,3,710.14539,284.05808,analytic,3475.632,0.49170475,False,False
K07546.01,1.3864598e+08,sap,TESS-SPOC,SAP_FLUX,OK,4,"74,75,81,82",200,3,626.70761,267.86525,analytic,2788.2982,0.38735654,False,False
K07546.01,1.3864598e+08,sap,QLP,SAP_FLUX,OK,8,"40,41,54,55,74,75,81,82","200,600",5,287.39956,454.20937,analytic,4775.3398,5.409013,False,True
K00629.01,1.3741397e+08,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",4,-392.06599,210.81789,analytic,1845.1438,0.28800933,False,True
K00629.01,1.3741397e+08,pdc,QLP,DET_FLUX,OK,4,"74,75,81,82",200,2,544.88003,249.65118,analytic,2792.8757,2.8619545,False,False
K00629.01,1.3741397e+08,sap,QLP,SAP_FLUX,OK,9,"14,40,41,54,55,74,75,81,82","1800,200,600",6,28.030997,163.99447,analytic,1947.5674,0.80421162,False,True
K07708.01,3.5098905e+08,pdc,SPOC,PDCSAP_FLUX,OK,7,"40,41,53,54,74,80,81",120,26,19.537031,210.59495,bootstrap,4133.3628,1.5404769,False,False
K07708.01,3.5098905e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,7,"40,41,53,54,74,80,81","200,600",26,-6.4192831,259.09358,bootstrap,2408.1705,0.54023627,False,False
K07708.01,3.5098905e+08,pdc,QLP,KSPSAP_FLUX,OK,6,"14,26,40,41,53,54","1800,600",22,1296.4047,774.96869,bootstrap,1711.8978,1.8341569,True,False
K07708.01,3.5098905e+08,pdc,QLP,DET_FLUX,OK,3,"74,80,81",200,12,614.45848,367.51938,bootstrap,3960.9181,1.5179194,False,False
K07708.01,3.5098905e+08,sap,SPOC,SAP_FLUX,OK,7,"40,41,53,54,74,80,81",120,28,4.5979891,173.86791,bootstrap,4076.2756,1.7582172,False,False
K07708.01,3.5098905e+08,sap,TESS-SPOC,SAP_FLUX,OK,7,"40,41,53,54,74,80,81","200,600",28,-204.81221,171.25414,bootstrap,2072.6596,0.3040703,False,False
K07708.01,3.5098905e+08,sap,QLP,SAP_FLUX,OK,9,"14,26,40,41,53,54,74,80,81","1800,200,600",34,1293.9641,598.21093,bootstrap,2282.7279,2.2411222,True,True
K05092.01,1.2271425e+08,pdc,SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,4,"74,75,81,82",120,0,,,none,,,False,False
K05092.01,1.2271425e+08,pdc,TESS-SPOC,PDCSAP_FLUX,NO_USABLE_TRANSIT,4,"74,75,81,82",200,0,,,none,,,False,False
K05092.01,1.2271425e+08,pdc,QLP,KSPSAP_FLUX,NO_USABLE_TRANSIT,5,"14,40,41,54,55","1800,600",0,,,none,,,False,False
K05092.01,1.2271425e+08,pdc,QLP,DET_FLUX,NO_USABLE_TRANSIT,4,"74,75,81,82",200,0,,,none,,,False,False
K05092.01,1.2271425e+08,sap,SPOC,SAP_FLUX,NO_USABLE_TRANSIT,4,"74,75,81,82",120,0,,,none,,,False,False
K05092.01,1.2271425e+08,sap,TESS-SPOC,SAP_FLUX,NO_USABLE_TRANSIT,4,"74,75,81,82",200,0,,,none,,,False,False
K05092.01,1.2271425e+08,sap,QLP,SAP_FLUX,NO_USABLE_TRANSIT,9,"14,40,41,54,55,74,75,81,82","1800,200,600",0,,,none,,,False,True
K06475.01,1.8416408e+08,pdc,SPOC,PDCSAP_FLUX,OK,1,41,120,6,2387.1967,878.18682,analytic,11580.715,1.8054162,False,False
K06475.01,1.8416408e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,1,41,600,6,3161.4712,832.96802,analytic,5570.5146,0.7006639,False,False
K06475.01,1.8416408e+08,pdc,QLP,KSPSAP_FLUX,OK,5,"14,15,41,54,55","1800,600",28,5291.6955,4348.9716,bootstrap,28867.01,1.2412476,True,False
K06475.01,1.8416408e+08,pdc,QLP,DET_FLUX,OK,2,"81,82",200,11,33802.005,14117.571,bootstrap,37640.652,5.370003,False,False
K06475.01,1.8416408e+08,sap,SPOC,SAP_FLUX,OK,1,41,120,6,394.16878,187.22505,analytic,2494.2326,1.7005708,False,False
K06475.01,1.8416408e+08,sap,TESS-SPOC,SAP_FLUX,OK,1,41,600,6,453.16389,151.88307,analytic,951.41408,0.51308264,False,False
K06475.01,1.8416408e+08,sap,QLP,SAP_FLUX,OK,7,"14,15,41,54,55,81,82","1800,200,600",39,13725.553,9498.4519,bootstrap,36641.705,0.083488805,True,True
K04178.01,3.780887e+08,pdc,SPOC,PDCSAP_FLUX,OK,4,"74,75,81,82",120,14,-2998.6331,1752.1497,bootstrap,39505.281,0.17946314,False,True
K04178.01,3.780887e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,4,"74,75,81,82",200,14,-3948.0902,1806.9143,bootstrap,32070.056,0.034405968,False,False
K04178.01,3.780887e+08,sap,SPOC,SAP_FLUX,OK,4,"74,75,81,82",120,16,-56.629587,96.87142,bootstrap,2637.366,0.083583222,False,True
K04178.01,3.780887e+08,sap,TESS-SPOC,SAP_FLUX,OK,4,"74,75,81,82",200,16,-67.962845,103.64152,bootstrap,1978.8538,0.24968356,False,False
K05156.01,1.7109941e+08,pdc,SPOC,PDCSAP_FLUX,OK,4,"74,75,81,82",120,60,14636.919,2634.8552,bootstrap,22978.01,0.23133544,False,False
K05156.01,1.7109941e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,4,"74,75,81,82",200,61,15729.485,2846.9727,bootstrap,23174.293,0.42856252,False,False
K05156.01,1.7109941e+08,pdc,QLP,KSPSAP_FLUX,OK,5,"14,15,41,54,55","1800,600",71,322.37807,427.63765,bootstrap,3764.8229,1.1106714,False,False
K05156.01,1.7109941e+08,pdc,QLP,DET_FLUX,OK,4,"74,75,81,82",200,61,375.35911,96.589772,bootstrap,5027.4101,0.87929689,False,False
K05156.01,1.7109941e+08,sap,SPOC,SAP_FLUX,OK,4,"74,75,81,82",120,61,6401.7336,1190.8544,bootstrap,10295.088,0.18265426,False,False
K05156.01,1.7109941e+08,sap,TESS-SPOC,SAP_FLUX,OK,4,"74,75,81,82",200,61,6712.8588,1236.6135,bootstrap,10212.806,0.095778632,False,False
K05156.01,1.7109941e+08,sap,QLP,SAP_FLUX,OK,9,"14,15,41,54,55,74,75,81,82","1800,200,600",132,17487.845,2618.1829,bootstrap,19592.33,0.43253282,False,True
K06130.01,1.2025501e+08,pdc,SPOC,PDCSAP_FLUX,OK,3,"74,80,81",120,46,322.70054,2348.869,bootstrap,54410.1,1.2850377,False,True
K06130.01,1.2025501e+08,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"74,80,81",200,45,1122.5808,2257.846,bootstrap,40771.656,0.8845418,False,False
