kepoi_name,tic_id,family,author,flux_column,status,n_segments,segment_list,exptimes_s,n_transits,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,odd_even_sigma,smeared,is_primary_reduction
K04212.01,137488218,pdc,SPOC,PDCSAP_FLUX,OK,2,"74,75",120,8,-1748.237,388.42874,bootstrap,12212.591,1.0037795,False,False
K04212.01,137488218,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"74,75",200,8,-1771.9561,497.52343,bootstrap,10614.809,0.75849152,False,False
K04212.01,137488218,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",22,124.0264,740.55806,bootstrap,7489.1651,1.0066105,False,False
K04212.01,137488218,pdc,QLP,DET_FLUX,OK,3,"74,75,81",200,14,-2205.6437,600.71484,bootstrap,14174.447,0.98358021,False,False
K04212.01,137488218,sap,SPOC,SAP_FLUX,OK,2,"74,75",120,9,-992.00302,149.88494,bootstrap,5915.4011,1.1926332,False,False
K04212.01,137488218,sap,TESS-SPOC,SAP_FLUX,OK,2,"74,75",200,9,-814.43894,190.94324,bootstrap,4665.1807,1.2279655,False,False
K04212.01,137488218,sap,QLP,SAP_FLUX,OK,8,"14,40,41,54,55,74,75,81","1800,200,600",36,-864.14384,536.00249,bootstrap,10303.783,0.96916243,False,True
K04212.02,137488218,pdc,SPOC,PDCSAP_FLUX,OK,2,"74,75",120,4,1177.6636,662.33142,analytic,13188.946,0.86750603,False,False
K04212.02,137488218,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"74,75",200,4,393.67803,700.19622,analytic,10667.232,0.25421719,False,False
K04212.02,137488218,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",11,1943.8014,823.07311,bootstrap,8263.9124,0.53088793,False,False
K04212.02,137488218,pdc,QLP,DET_FLUX,OK,3,"74,75,81",200,7,195.39196,733.35795,analytic,13934.015,0.28099719,False,False
