kepoi_name,tic_id,family,author,flux_column,status,n_segments,segment_list,exptimes_s,n_transits,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,odd_even_sigma,smeared,is_primary_reduction
K04923.01,122673909,pdc,SPOC,PDCSAP_FLUX,OK,3,"74,75,81",120,3,33.46132,482.35774,analytic,7560.1332,0.49494231,False,False
K04923.01,122673909,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"74,75,81",200,3,464.5511,522.90808,analytic,5804.1706,0.15361711,False,False
K04923.01,122673909,pdc,QLP,KSPSAP_FLUX,OK,4,"14,40,41,54","1800,600",2,-627.05329,775.78877,analytic,4292.2353,0.60360547,False,False
K04923.01,122673909,pdc,QLP,DET_FLUX,OK,3,"74,75,81",200,3,203.98562,638.31644,analytic,8251.0436,0.36093736,False,False
K04923.01,122673909,sap,SPOC,SAP_FLUX,OK,3,"74,75,81",120,3,-12.96265,223.66992,analytic,3287.9774,0.037174752,False,False
K04923.01,122673909,sap,TESS-SPOC,SAP_FLUX,OK,3,"74,75,81",200,3,85.504787,250.61163,analytic,2905.3376,0.14516127,False,False
K04923.01,122673909,sap,QLP,SAP_FLUX,OK,7,"14,40,41,54,74,75,81","1800,200,600",5,-133.50355,484.53837,analytic,5553.1938,0.85002161,False,True
K00992.01,137307173,pdc,SPOC,PDCSAP_FLUX,OK,2,"74,75",120,5,1131.8979,2078.8646,analytic,44818.543,0.70740231,False,True
K00992.01,137307173,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"74,75",200,5,-1130.5006,2240.1829,analytic,37166.191,0.68107088,False,False
K00992.01,137307173,sap,SPOC,SAP_FLUX,OK,2,"74,75",120,5,272.86637,1085.8687,analytic,22932.114,0.49495518,False,True
K00992.01,137307173,sap,TESS-SPOC,SAP_FLUX,OK,2,"74,75",200,5,-303.19613,1061.7817,analytic,17288.506,0.40003257,False,False
K00992.02,137307173,pdc,SPOC,PDCSAP_FLUX,OK,2,"74,75",120,11,-838.71564,1701.6415,bootstrap,38428.381,1.6628979,False,True
