kepoi_name,tic_id,family,author,flux_column,status,n_segments,segment_list,exptimes_s,n_transits,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,odd_even_sigma,smeared,is_primary_reduction
K06263.01,122782423,pdc,SPOC,PDCSAP_FLUX,OK,1,74,120,2,-103.21933,462.04588,analytic,3677.3518,0.97351099,False,False
K06263.01,122782423,pdc,TESS-SPOC,PDCSAP_FLUX,OK,1,74,200,2,13.658062,485.60531,analytic,3237.6521,1.1162843,False,False
K06263.01,122782423,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",17,647.57188,287.61863,bootstrap,1768.0121,0.56332622,True,False
K06263.01,122782423,pdc,QLP,DET_FLUX,OK,1,74,200,3,111.09818,615.88482,analytic,4402.1649,1.164649,False,False
K06263.01,122782423,sap,SPOC,SAP_FLUX,OK,1,74,120,3,-6.6117759,345.85535,analytic,3319.8065,0.80603385,False,False
K06263.01,122782423,sap,TESS-SPOC,SAP_FLUX,OK,1,74,200,3,10.30862,354.3281,analytic,2760.9879,0.87684656,False,False
K06263.01,122782423,sap,QLP,SAP_FLUX,OK,6,"14,40,41,54,55,74","1800,200,600",20,602.28335,271.01298,bootstrap,1854.4897,0.049648429,True,True
K00103.01,137316027,pdc,SPOC,PDCSAP_FLUX,OK,4,"40,41,74,75",120,4,1064.4474,291.15806,analytic,4018.3716,1.3956167,False,False
K00103.01,137316027,pdc,TESS-SPOC,PDCSAP_FLUX,OK,4,"40,41,74,75","200,600",4,1194.1647,264.54786,analytic,2377.0165,1.0908761,False,False
K00103.01,137316027,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",8,1215.6866,380.99666,bootstrap,1905.8312,1.8453666,False,False
K00103.01,137316027,pdc,QLP,DET_FLUX,OK,2,"74,75",200,3,1503.7058,527.55043,analytic,4827.9405,0.41286621,False,False
K00103.01,137316027,sap,SPOC,SAP_FLUX,OK,4,"40,41,74,75",120,5,938.20959,216.23619,analytic,3268.0911,1.891179,False,False
K00103.01,137316027,sap,TESS-SPOC,SAP_FLUX,OK,4,"40,41,74,75","200,600",5,904.89057,224.30007,analytic,2587.2609,1.1339898,False,False
K00103.01,137316027,sap,QLP,SAP_FLUX,OK,7,"14,40,41,54,55,74,75","1800,200,600",11,1277.4815,303.22541,bootstrap,2149.64,1.6959208,False,True
K01824.01,137150039,pdc,SPOC,PDCSAP_FLUX,OK,1,74,120,7,591.86082,214.61242,analytic,3724.0605,3.1837489,False,False
K01824.01,137150039,pdc,TESS-SPOC,PDCSAP_FLUX,OK,5,"14,40,41,54,74","1800,200,600",35,510.15768,119.86622,bootstrap,1972.8589,1.1586011,False,False
K01824.01,137150039,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",38,404.71231,182.04198,bootstrap,2439.6081,0.2882476,False,False
K01824.01,137150039,pdc,QLP,DET_FLUX,OK,1,74,200,7,28.772517,328.12653,analytic,4806.4805,1.3549285,False,False
K01824.01,137150039,sap,SPOC,SAP_FLUX,OK,1,74,120,7,452.98185,204.44594,analytic,3522.7559,3.4995936,False,False
K01824.01,137150039,sap,TESS-SPOC,SAP_FLUX,OK,5,"14,40,41,54,74","1800,200,600",37,485.02196,128.48078,bootstrap,1715.6881,0.53094052,False,False
K01824.01,137150039,sap,QLP,SAP_FLUX,OK,6,"14,40,41,54,55,74","1800,200,600",45,359.34071,180.69308,bootstrap,2594.9668,0.51043106,False,True
K01824.02,137150039,pdc,SPOC,PDCSAP_FLUX,OK,1,74,120,12,148.88371,269.91957,bootstrap,3930.3707,0.24260802,False,False
K01824.02,137150039,pdc,TESS-SPOC,PDCSAP_FLUX,OK,5,"14,40,41,54,74","1800,200,600",65,-40.057213,127.02187,bootstrap,2066.6227,0.83401509,False,False
K01824.02,137150039,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",76,1.9051559,325.75653,bootstrap,2564.9612,1.1486095,False,False
K01824.02,137150039,pdc,QLP,DET_FLUX,OK,1,74,200,14,133.5183,231.27794,bootstrap,4983.9945,0.61633517,False,False
K01824.02,137150039,sap,SPOC,SAP_FLUX,OK,1,74,120,14,163.98795,235.44016,bootstrap,3953.9891,0.96273707,False,False
K01824.02,137150039,sap,TESS-SPOC,SAP_FLUX,OK,5,"14,40,41,54,74","1800,200,600",73,-142.18711,125.77699,bootstrap,1895.4644,0.018485517,False,False
K01824.02,137150039,sap,QLP,SAP_FLUX,OK,6,"14,40,41,54,55,74","1800,200,600",90,321.95828,305.50537,bootstrap,2757.3852,0.93114577,False,True
K06301.01,137635516,pdc,SPOC,PDCSAP_FLUX,OK,1,74,120,1,-5738.9729,6830.0665,analytic,63625.306,,False,True
K06301.01,137635516,pdc,TESS-SPOC,PDCSAP_FLUX,OK,1,74,200,1,-9927.0314,6817.0677,analytic,49127.052,,False,False
K06301.01,137635516,sap,SPOC,SAP_FLUX,OK,1,74,120,1,-1292.4013,1362.0906,analytic,12688.519,,False,True
K06301.01,137635516,sap,TESS-SPOC,SAP_FLUX,OK,1,74,200,1,-1924.3315,1195.7946,analytic,8617.4681,,False,False
K04145.01,121395463,pdc,SPOC,PDCSAP_FLUX,OK,3,"74,80,81",120,23,26.270689,508.94128,bootstrap,14606.287,1.2205347,False,True
K04145.01,121395463,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"74,80,81",200,24,-125.05835,487.13096,bootstrap,11738.972,1.7750734,False,False
K04145.01,121395463,sap,SPOC,SAP_FLUX,OK,3,"74,80,81",120,25,95.904428,176.14933,bootstrap,6220.2904,0.67616191,False,True
K04145.01,121395463,sap,TESS-SPOC,SAP_FLUX,OK,3,"74,80,81",200,25,16.079118,150.29896,bootstrap,4429.04,1.2272766,False,False
K01115.01,137150277,pdc,SPOC,PDCSAP_FLUX,OK,1,74,120,2,482.32635,821.76363,analytic,10746.188,0.68208274,False,False
K01115.01,137150277,pdc,TESS-SPOC,PDCSAP_FLUX,OK,1,74,200,2,469.33931,846.70842,analytic,8749.0465,0.65055111,False,False
K01115.01,137150277,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,54,55","1800,600",10,1365.9264,1127.6858,bootstrap,7251.2314,2.5372849,False,False
K01115.01,137150277,pdc,QLP,DET_FLUX,OK,1,74,200,2,213.11078,1300.1398,analytic,13171.98,0.62434416,False,False
K01115.01,137150277,sap,SPOC,SAP_FLUX,OK,1,74,120,2,105.39704,407.72572,analytic,5332.5418,0.62251064,False,False
K01115.01,137150277,sap,TESS-SPOC,SAP_FLUX,OK,1,74,200,2,191.91832,397.68005,analytic,4034.0343,0.70637846,False,False
K01115.01,137150277,sap,QLP,SAP_FLUX,OK,6,"14,40,41,54,55,74","1800,200,600",12,1474.1715,1094.7492,bootstrap,7521.2681,3.6059906,False,True
K01108.01,120891972,pdc,SPOC,PDCSAP_FLUX,OK,4,"40,54,80,81",120,6,2809.1238,925.37323,analytic,16744.629,0.76384892,False,True
K01108.01,120891972,pdc,TESS-SPOC,PDCSAP_FLUX,OK,4,"40,54,80,81","200,600",7,2474.2111,955.35866,analytic,9786.5382,0.17051229,False,False
K01108.01,120891972,sap,SPOC,SAP_FLUX,OK,4,"40,54,80,81",120,7,1564.9198,529.2531,analytic,10622.207,0.10310881,False,True
K01108.01,120891972,sap,TESS-SPOC,SAP_FLUX,OK,4,"40,54,80,81","200,600",7,1328.0597,519.55502,analytic,5288.0843,0.61577266,False,False
K01108.02,120891972,pdc,SPOC,PDCSAP_FLUX,OK,4,"40,54,80,81",120,66,-364.07451,367.53921,bootstrap,17850.407,1.2946629,False,True
K01108.02,120891972,pdc,TESS-SPOC,PDCSAP_FLUX,OK,4,"40,54,80,81","200,600",67,127.88823,438.88402,bootstrap,11321.466,0.96693885,False,False
K01108.02,120891972,sap,SPOC,SAP_FLUX,OK,4,"40,54,80,81",120,68,-68.987158,194.55293,bootstrap,9991.0388,1.5891951,False,True
K01108.02,120891972,sap,TESS-SPOC,SAP_FLUX,OK,4,"40,54,80,81","200,600",68,108.78349,220.92318,bootstrap,5189.2791,1.0217465,False,False
K01108.03,120891972,pdc,SPOC,PDCSAP_FLUX,OK,4,"40,54,80,81",120,23,614.70445,436.07968,bootstrap,18951.318,0.51255355,False,True
K01108.03,120891972,pdc,TESS-SPOC,PDCSAP_FLUX,OK,4,"40,54,80,81","200,600",22,706.51653,439.13174,bootstrap,13527.447,1.9059829,False,False
K01108.03,120891972,sap,SPOC,SAP_FLUX,OK,4,"40,54,80,81",120,24,298.80922,249.7987,bootstrap,10698.907,0.066924059,False,True
K01108.03,120891972,sap,TESS-SPOC,SAP_FLUX,OK,4,"40,54,80,81","200,600",23,409.19394,245.02839,bootstrap,6321.6014,1.0518635,False,False
