kepoi_name,kepler_name,kepid,tic_id,tic_route,koi_disposition,koi_pdisposition,koi_period,koi_time0bk,koi_duration,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_impact,koi_dor,koi_steff,koi_slogg,koi_kepmag,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_count,ra,dec,shard,lc_status,lc_route,not_measured_reason,n_products,product_authors,product_sectors,ld_band_ratio,ld_note,koi_depth_in_tess_band_ppm,koi_depth_in_tess_band_err_ppm,t0_btjd_nominal,t0_btjd_used,n_epochs_propagated,ephemeris_sigma_minutes,epoch_offset_minutes,epoch_offset_sigma,epoch_search_halfwidth_minutes,epoch_search_n_trials,epoch_search_snr_best,epoch_search_snr_nominal,depth_at_nominal_ephemeris_ppm,depth_at_best_offset_ppm,ephemeris_recovered,pdc_status,pdc_flux_column,pdc_primary_author,pdc_depth_ppm,pdc_depth_err_ppm,pdc_depth_err_method,pdc_total_err_ppm,pdc_depth_reduction_spread_ppm,pdc_depth_reduction_spread_status,pdc_n_members,pdc_n_members_measured,pdc_ensemble_members,pdc_n_transits,pdc_n_sectors,pdc_n_sectors_measured,pdc_sector_list,pdc_authors,pdc_exptimes_s,pdc_smeared,pdc_depth_is_lower_bound,pdc_oot_scatter_ppm,pdc_odd_even_diff_ppm,pdc_odd_even_sigma,pdc_sector_scatter_chi2_per_dof,pdc_n_sectors_dropped_duplicate,pdc_flags,pdc_ln_ratio,pdc_sigma_ln,pdc_z,pdc_z_lin,pdc_z_method,pdc_ratio,pdc_measured_snr,pdc_expected_snr,pdc_sigma_ln_expected,pdc_detectable_ln_ratio,pdc_detectable_depth_change_ppm,pdc_comparison_status,pdc_z_pop,sap_status,sap_flux_column,sap_primary_author,sap_depth_ppm,sap_depth_err_ppm,sap_depth_err_method,sap_total_err_ppm,sap_depth_reduction_spread_ppm,sap_depth_reduction_spread_status,sap_n_members,sap_n_members_measured,sap_ensemble_members,sap_n_transits,sap_n_sectors,sap_n_sectors_measured,sap_sector_list,sap_authors,sap_exptimes_s,sap_smeared,sap_depth_is_lower_bound,sap_oot_scatter_ppm,sap_odd_even_diff_ppm,sap_odd_even_sigma,sap_sector_scatter_chi2_per_dof,sap_n_sectors_dropped_duplicate,sap_flags,sap_ln_ratio,sap_sigma_ln,sap_z,sap_z_lin,sap_z_method,sap_ratio,sap_measured_snr,sap_expected_snr,sap_sigma_ln_expected,sap_detectable_ln_ratio,sap_detectable_depth_change_ppm,sap_comparison_status,sap_z_pop,sap_vs_pdcsap_verdict,sap_vs_pdcsap_n_pairs,sap_vs_pdcsap_authors,sap_minus_pdcsap_ppm,sap_minus_pdcsap_err_ppm,sap_minus_pdcsap_z,sap_minus_pdcsap_fraction,background_direction,ingress_fraction_used,t14_tess_hours,t14_tess_err_hours,t14_factor,t14_factor_err,duration_fit_depth_ppm,duration_fit_chi2_per_dof,duration_fit_n_points,duration_fit_status,duration_at_grid_edge,t14_ratio_observed,t14_ratio_expected_fixed_b,z_duration,b_implied_by_duration,duration_verdict,class,class_provisional,vetoes,would_be_candidate_without_vetoes,flags_classify,population_offset_pdc,population_offset_sap,population_scale_pdc,population_scale_sap,elapsed_s,pdc_depth_err_analytic_ppm,pdc_depth_err_bootstrap_ppm,pdc_n_transits_seen,pdc_chi2_per_dof,pdc_n_members_unavailable,pdc_ensemble_incomplete,pdc_ensemble_unavailable_reasons,pdc_depth_reduction_spread_fraction,pdc_depth_reduction_p16_ppm,pdc_depth_reduction_p84_ppm,pdc_depth_reduction_min_ppm,pdc_depth_reduction_max_ppm,pdc_depth_reduction_median_ppm,pdc_depth_reduction_max_offset_from_primary_ppm,pdc_spread_percentile,sap_depth_err_analytic_ppm,sap_depth_err_bootstrap_ppm,sap_n_transits_seen,sap_chi2_per_dof,sap_n_members_unavailable,sap_ensemble_incomplete,sap_ensemble_unavailable_reasons,sap_depth_reduction_spread_fraction,sap_depth_reduction_p16_ppm,sap_depth_reduction_p84_ppm,sap_depth_reduction_min_ppm,sap_depth_reduction_max_ppm,sap_depth_reduction_median_ppm,sap_depth_reduction_max_offset_from_primary_ppm,sap_spread_percentile,epoch_offset_days,background_n_agree
K04928.01,Kepler-1624 b,1873513,137683938,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,3.2903041,131.90944,1.7215,13552.6,64.8,-64.8,0.105209,0.09,16.097,3386,4.81,15.669,0,0,0,0,1,292.57986,37.376411,9,OK,lightkurve,,21,"QLP,SPOC,TESS-SPOC","40,41,54,55,74,75,81",0.92326624,teff_clamped_to_grid,12512.658,59.827652,3318.2342,3318.2342,1627,10.695329,0,0,57.908487,12,16.372928,16.372928,15055.704,15055.704,True,OK,PDCSAP_FLUX,SPOC,15055.704,1215.1081,bootstrap,1388.1476,671.16759,OK,4,4,SPOC/PDCSAP_FLUX=15056ppm;TESS-SPOC/PDCSAP_FLUX=14928ppm;QLP/KSPSAP_FLUX=12589ppm;QLP/DET_FLUX=15053ppm,53,7,7,"40,41,54,55,74,75,81",SPOC,120,False,False,33566.459,-587.05782,0.24535595,0.43714965,14,,0.18501612,0.1049945,1.7621507,1.6688902,ln,1.2032378,12.390423,10.297568,0.12178024,0.60890118,10490.74,OK,1.7621507,OK,SAP_FLUX,SPOC,4164.8262,361.03951,bootstrap,3325.3487,3305.6912,OK,3,3,SPOC/SAP_FLUX=4165ppm;TESS-SPOC/SAP_FLUX=3801ppm;QLP/SAP_FLUX=13524ppm,55,7,7,"40,41,54,55,74,75,81",SPOC,120,False,False,10394.769,-364.82742,0.51803904,0.91049725,14,,-1.1000662,0.80001469,-1.3750575,-2.4666936,ln,0.33284904,11.535652,34.657309,0.27046366,1.3523183,35866.014,OK,-1.3750575,BACKGROUND_TEST_DISAGREES,2,"SPOC,TESS-SPOC",-11005.237,909.96977,-12.094069,-0.73407615,PDC_DEEPER_THAN_SAP,0.095904571,1.6194878,0.049471748,0.94074229,0.028737582,14046.686,1.0455297,13664,OK,False,0.94074229,1.0093024,-1.1913149,0.38424509,fixed_b,consistent,consistent,,False,pdc_deeper_than_sap,0,0,1,1,0.5,919.54862,1215.1081,54,1.5544619,0,False,,0.044578959,13711.926,15054.261,12589.205,15055.704,14990.452,2466.499,84,265.72019,361.03951,56,1.6102623,0,False,,0.79371649,3917.6817,10529.064,3801.3783,13524,4164.8262,9359.1734,84,0,3
K01029.01,Kepler-1732 b,2164169,137547023,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,32.312287,133.867,6.569,677.8,22.6,-22.6,0.02967,0.934,16.32,5821,4.108,14.757,0,0,0,0,1,292.29099,37.580799,9,OK,lightkurve,,4,"SPOC,TESS-SPOC","74,75",1.0566813,,716.2186,23.880998,3330.7066,3330.7066,166,42.045635,0,,224.6719,9,0.4979644,-0.48268749,-993.12455,1020.7787,False,OK,PDCSAP_FLUX,SPOC,-993.12455,2057.4897,analytic,2057.4897,,TOO_FEW_MEMBERS,2,0,SPOC/PDCSAP_FLUX=OK;TESS-SPOC/PDCSAP_FLUX=OK,2,2,2,"74,75",SPOC,120,False,False,28455.966,1494.4986,0.35788815,0.12808393,2,,-2.3866221,2.8733405,-0.83060888,-0.83060888,linear,-1.3866221,-0.48268749,0.34810313,2.8733405,14.366702,1.2428677e+09,OK,-0.83060888,OK,SAP_FLUX,SPOC,-220.86473,715.14086,analytic,715.14086,,TOO_FEW_MEMBERS,2,0,SPOC/SAP_FLUX=OK;TESS-SPOC/SAP_FLUX=OK,2,2,2,"74,75",SPOC,120,False,False,9881.6647,479.68098,0.33088621,0.10948569,2,,-1.3083761,1.0003022,-1.3079809,-1.3079809,linear,-0.30837615,-0.30884088,1.001507,1.0003022,5.001511,105740.78,OK,-1.3079809,BACKGROUND_TEST_UNAVAILABLE,0,,,,,,,0.19657479,8.1348946,2.4305073,1.2383764,0.36999654,-1912.9313,0.99918876,1971,OK,False,1.2383764,,,0.87870137,inconclusive,not_measurable,not_measurable,,False,,0,0,1,1,0.1,2057.4897,520.96574,2,0.12808393,2,True,OK:2,,,,,,,,84,715.14086,167.10926,2,0.10948569,2,True,OK:2,,,,,,,,84,0,3
K07635.01,,2577353,351056285,tic_kic_crossid,CANDIDATE,CANDIDATE,60.458443,136.3553,8.43,175.2,26.5,-26.5,0.012311,0.451,49.7,5865,4.297,14.544,0,0,0,0,1,291.78079,37.811508,9,OK,lightkurve,,4,"SPOC,TESS-SPOC","74,75",0.97295091,,170.461,25.783199,3350.1567,3350.1567,89,233.52467,0,,827.02402,20,1.5956081,1.5092002,2788.5498,2829.6896,False,OK,PDCSAP_FLUX,SPOC,2788.5498,1847.7004,analytic,1969.8728,682.93635,OK,2,2,SPOC/PDCSAP_FLUX=2789ppm;TESS-SPOC/PDCSAP_FLUX=4797ppm,1,2,1,"74,75",SPOC,120,False,False,20247.85,,,,2,,15.358873,11.557248,1.3289386,1.3289386,linear,16.358873,1.5092002,0.092255757,11.557248,57.786238,2.1274981e+27,OK,1.3289386,OK,SAP_FLUX,SPOC,999.2667,498.4434,analytic,500.99954,50.544153,OK,2,2,SPOC/SAP_FLUX=999ppm;TESS-SPOC/SAP_FLUX=851ppm,1,2,1,"74,75",SPOC,120,False,False,5462.1447,,,,2,,1.7685152,0.52606782,3.3617627,1.6518796,ln,5.8621427,2.0047746,0.34198667,2.9434002,14.717001,4.1989162e+08,OK,3.3617627,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-2661.2939,1477.1693,-1.8016174,-0.7016574,PDC_DEEPER_THAN_SAP,0.02,21.075,0.92262623,2.5,0.10944558,2892.5168,1.0675876,1264,OK,True,2.5,1.0459984,5.9502072,,duration_inconsistent,not_measurable,not_measurable,,False,,0,0,1,1,0.1,1847.7004,,1,0,0,False,,0.24490735,3109.9316,4475.8043,2788.5498,4797.1861,3792.868,2008.6363,84,498.4434,,1,0,0,False,,0.050581244,874.39291,975.48121,850.60742,999.2667,924.93706,148.65927,84,0,3
K00299.01,Kepler-98 b,2692377,120629799,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,1.5416765,170.54372,1.9118,296.5,3.7,-3.7,0.015785,0.362,5.88,5533,4.337,12.899,0,0,0,0,1,285.66165,37.9645,9,OK,lightkurve,,14,"QLP,SPOC,TESS-SPOC","14,40,41,53,54,74,80,81",0.96461919,,286.00959,3.569091,3487.287,3487.2937,3557,5.8987387,9.5551764,1.6198677,46.373216,8,3.6761582,2.0231758,188.57074,342.21852,True,OK,PDCSAP_FLUX,QLP,342.21852,114.54209,bootstrap,188.02172,149.10491,OK,4,4,SPOC/PDCSAP_FLUX=401ppm;TESS-SPOC/PDCSAP_FLUX=673ppm;QLP/KSPSAP_FLUX=291ppm;QLP/DET_FLUX=609ppm,124,8,8,"74,80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",True,False,3272.1497,-253.78081,1.1294514,2.2575938,6,smeared,0.17942414,0.55183161,0.32514291,0.29803481,ln,1.1965281,2.9877097,2.4969824,0.65941334,3.2970667,7445.7523,OK,0.32514291,OK,SAP_FLUX,QLP,277.35626,71.253281,bootstrap,75.70587,25.58024,OK,3,3,SPOC/SAP_FLUX=288ppm;TESS-SPOC/SAP_FLUX=349ppm;QLP/SAP_FLUX=363ppm,129,8,8,"74,80,81,14,40,41,53,54","QLP,SPOC","120,1800,600",True,False,2884.9346,-171.94597,1.1938094,0.54018504,6,smeared,-0.030722528,0.27777749,-0.11060121,-0.11219543,ln,0.96974461,3.8925402,4.0139849,0.26966684,1.3483342,815.41483,OK,-0.11060121,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-205.04219,106.47947,-1.92565,-0.38179423,PDC_DEEPER_THAN_SAP,0.02,1.971093,0.060212504,1.0310142,0.03149519,294.6907,1.1171529,16473,OK,False,1.0310142,1.0016854,0.48386175,0.27258729,fixed_b,not_measurable,not_measurable,,False,,0,0,1,1,0.5,93.091348,114.54209,132,1.5029684,0,False,,0.43570089,343.90308,642.11291,291.01479,672.89917,504.97993,330.68065,84,69.946802,71.253281,136,1.3019058,0,False,,0.092228817,307.22962,358.3901,287.70093,362.93692,348.7281,85.580665,84,0.0066355392,3
K00794.01,Kepler-683 b,2713049,137149476,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,2.5391831,169.67494,2.4282,382.1,11.4,-11.4,0.017724,0.238,7.93,5519,4.35,15.026,0,0,0,0,1,291.43997,37.905659,9,OK,lightkurve,,2,"SPOC,TESS-SPOC",74,0.96012407,,366.86341,10.945414,3327.3419,3327.3419,2097,15.491132,0,,82.896396,12,0.9520497,0.83226192,1049.0101,1193.1531,False,OK,PDCSAP_FLUX,SPOC,1049.0101,636.55181,bootstrap,666.11323,196.23613,OK,2,2,SPOC/PDCSAP_FLUX=1049ppm;TESS-SPOC/PDCSAP_FLUX=1626ppm,9,1,1,74,SPOC,120,False,False,23482.826,-1609.3116,0.6195363,,1,,1.8594023,1.8166315,1.023544,1.023544,linear,2.8594023,1.6479571,0.57632921,1.8166315,9.0831576,3230132.3,OK,1.023544,OK,SAP_FLUX,SPOC,691.84223,450.91518,bootstrap,482.35454,171.29332,OK,2,2,SPOC/SAP_FLUX=692ppm;TESS-SPOC/SAP_FLUX=1196ppm,10,1,1,74,SPOC,120,False,False,18776.297,-724.79778,0.37666046,,1,,0.88583059,1.3160955,0.67307471,0.67307471,linear,1.8858306,1.5343068,0.81359737,1.3160955,6.5804775,264098.89,OK,0.67307471,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-392.9593,558.2442,-0.70392008,-0.293781,PDC_DEEPER_THAN_SAP,0.02,5.7107761,0.088557712,2.3518557,0.036470518,-1764.0916,0.98961627,2913,OK,False,2.3518557,1.0127935,14.732027,,duration_inconsistent,not_measurable,not_measurable,,False,,0,0,1,1,0.1,1260.4326,636.55181,9,0.40251477,0,False,,0.18706792,1141.3565,1533.8287,1049.0101,1626.1752,1337.5926,577.1651,84,952.87157,450.91518,10,0.33377721,0,False,,0.24759015,772.45086,1115.0375,691.84223,1195.6461,943.74418,503.80389,84,0,3
K02335.01,Kepler-1194 b,2990873,137317096,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,16.223785,136.02454,2.5462,262.3,14.5,-14.5,0.014927,0.413,45.1,5547,4.46,14.129,0,0,0,0,1,291.69955,38.145271,9,OK,lightkurve,,2,"SPOC,TESS-SPOC",74,0.96722668,,253.70356,14.024787,3322.8736,3322.9708,330,37.206986,140.01554,3.7631519,149.81396,13,3.7334923,-2.9336035,-3832.9094,4939.6582,True,OK,PDCSAP_FLUX,SPOC,4939.6582,1323.0664,analytic,1323.2332,21.010385,OK,2,2,SPOC/PDCSAP_FLUX=4940ppm;TESS-SPOC/PDCSAP_FLUX=5001ppm,2,1,1,74,SPOC,120,False,False,11254.641,-67.274507,0.025423482,,1,,2.9688849,0.27805635,10.677278,3.54093,ln,19.470197,3.7334923,0.19175422,5.2161993,26.080996,5.3846739e+13,OK,10.677278,OK,SAP_FLUX,SPOC,2958.0159,942.47449,analytic,946.68422,89.178736,OK,2,2,SPOC/SAP_FLUX=2958ppm;TESS-SPOC/SAP_FLUX=3220ppm,2,1,1,74,SPOC,120,False,False,8019.2766,-94.01276,0.049857357,,1,,2.4561075,0.32860566,7.4743311,2.8560452,ln,11.659339,3.1385633,0.26918878,3.7322026,18.661013,3.2262758e+10,OK,7.4743311,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-1896.6441,1232.9162,-1.5383398,-0.38157587,PDC_DEEPER_THAN_SAP,0.02,2.2533769,0.033892253,0.88499605,0.013310915,3553.4566,1.0236165,764,OK,False,0.88499605,1.0598759,-2.7759497,0.59740674,fixed_b,not_measurable,not_measurable,,False,,0,0,1,1,0.1,1323.0664,23.274105,2,0.00064635345,0,False,,0.0042534086,4949.5454,4991.5662,4939.6582,5001.4534,4970.5558,61.795249,84,942.47449,32.530817,2,0.0024857561,0,False,,0.03014816,2999.9824,3178.3398,2958.0159,3220.3063,3089.1611,262.2904,84,0.097233012,3
K00797.01,,3115833,137095438,tic_kic_crossid,CANDIDATE,CANDIDATE,10.181584,177.14189,3.5089,5741.1,53.2,-53.2,0.084708,0.92,12.776,5988,4.541,15.657,0,0,0,0,1,291.28195,38.241669,9,OK,lightkurve,,2,"SPOC,TESS-SPOC",74,1.0467645,,6009.5797,55.687872,3324.9287,3324.9409,522,4.7031087,17.537482,3.7289128,66.742826,7,3.3659986,2.8689228,11140.538,12508.281,True,OK,PDCSAP_FLUX,SPOC,12508.281,3716.0685,analytic,3776.5893,673.39575,OK,2,2,SPOC/PDCSAP_FLUX=12508ppm;TESS-SPOC/PDCSAP_FLUX=14489ppm,3,1,1,74,SPOC,120,False,False,42780.352,-3109.3806,0.40734362,,1,,0.7330361,0.30617945,2.3941388,1.7151797,ln,2.0813903,3.3659986,1.6171876,0.63048224,3.1524112,134568.91,OK,2.3941388,OK,SAP_FLUX,SPOC,3375.9181,1051.7442,analytic,1058.3527,118.08715,OK,2,2,SPOC/SAP_FLUX=3376ppm;TESS-SPOC/SAP_FLUX=3723ppm,3,1,1,74,SPOC,120,False,False,12206.185,-1318.7463,0.60560922,,1,,-0.57668751,0.3175981,-1.8157776,-2.3907835,ln,0.5617561,3.2098282,5.7139179,0.18330556,0.91652778,9017.9314,OK,-1.8157776,BACKGROUND_TEST_DISAGREES,2,"SPOC,TESS-SPOC",-10069.843,2520.7218,-3.9948251,-0.74599336,PDC_DEEPER_THAN_SAP,0.5,2.507608,1.679375,0.71464221,0.4786044,16110.279,0.93570756,1542,OK,True,0.71464221,1.1184169,-0.66685441,1.0039712,fixed_b,not_measurable,not_measurable,,False,,0,0,1,1,0.1,3716.0685,1836.7438,3,0.38040064,0,False,,0.053835994,12825.173,14171.965,12508.281,14488.857,13498.569,1980.5757,84,1051.7442,559.16933,3,0.44295163,0,False,,0.034979269,3431.4885,3667.6628,3375.9181,3723.2332,3549.5756,347.31513,84,0.012178807,3
K04548.01,,3223433,121535837,tic_kic_crossid,CANDIDATE,CANDIDATE,61.083322,132.494,10.396,227.5,23.8,-23.8,0.014504,0.649,35,5803,4.444,14.748,0,0,0,0,1,288.12555,38.347431,9,OK,lightkurve,,6,"SPOC,TESS-SPOC","74,80,81",0.98689411,,224.51841,23.48808,3462.993,3462.993,90,251.12504,0,,864,18,1.944169,0.39698107,589.01547,3014.4311,False,OK,PDCSAP_FLUX,SPOC,589.01547,1483.7369,analytic,1483.7369,,TOO_FEW_MEMBERS,2,1,SPOC/PDCSAP_FLUX=589ppm;TESS-SPOC/PDCSAP_FLUX=OK,1,3,1,"74,80,81",SPOC,120,False,False,18066.1,,,,3,,1.6234618,6.6095484,0.24562371,0.24562371,linear,2.6234618,0.39698107,0.15131955,6.6095484,33.047742,5.0547997e+16,OK,0.24562371,OK,SAP_FLUX,SPOC,409.87967,1204.389,analytic,1204.389,,TOO_FEW_MEMBERS,2,1,SPOC/SAP_FLUX=410ppm;TESS-SPOC/SAP_FLUX=OK,1,3,1,"74,80,81",SPOC,120,False,False,14664.737,,,,3,,0.82559494,5.3655748,0.15386887,0.15386887,linear,1.8255949,0.34032167,0.18641685,5.3655748,26.827874,1.0056563e+14,OK,0.15386887,BACKGROUND_TEST_AGREES,1,SPOC,-179.1358,1911.028,-0.093737921,-0.30412749,PDC_DEEPER_THAN_SAP,0.024452507,6.7789266,10.572746,0.65207066,1.0170014,2708.2293,0.83648377,1559,OK,True,0.65207066,1.0149545,-0.28311934,0.8778905,fixed_b,not_measurable,not_measurable,,False,,0,0,1,1,0.1,1483.7369,,1,0,1,True,OK:1,,,,,,,,84,1204.389,,1,0,1,True,OK:1,,,,,,,,84,0,3
K07648.01,,3232249,122518332,tic_kic_crossid,CANDIDATE,CANDIDATE,1.183505,131.75303,1.275,116.6,15.3,-15.3,0.00985,0.403,6.6,4832,4.592,15.424,0,0,0,0,1,290.6864,38.355598,9,OK,lightkurve,,2,"SPOC,TESS-SPOC",74,0.96138828,,112.09787,14.709241,3326.0307,3325.9288,4530,48.35843,-146.6352,3.0322572,164.20029,22,3.0760043,0.78372544,2510.2575,10302.693,True,OK,PDCSAP_FLUX,SPOC,10302.693,4083.5931,bootstrap,4088.0096,189.97383,OK,2,2,SPOC/PDCSAP_FLUX=10303ppm;TESS-SPOC/PDCSAP_FLUX=10861ppm,19,1,1,74,SPOC,120,False,False,63729.347,9621.5023,1.2309171,,1,,4.5207883,0.42090465,10.740647,2.4927828,ln,91.908018,2.5229481,0.027450794,36.468487,182.34244,1.7374474e+81,OK,10.740647,OK,SAP_FLUX,SPOC,1967.9353,852.43165,bootstrap,855.09279,67.408916,OK,2,2,SPOC/SAP_FLUX=1968ppm;TESS-SPOC/SAP_FLUX=2166ppm,21,1,1,74,SPOC,120,False,False,16861.603,2575.9429,1.6857438,,1,,2.8653678,0.4566392,6.2749055,2.1699669,ln,17.55551,2.3086136,0.13150365,7.6293834,38.146917,4.1361181e+18,OK,6.2749055,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-8459.3407,3374.6355,-2.506742,-0.79940345,PDC_DEEPER_THAN_SAP,0.02,0.78212382,0.1679153,0.61343045,0.13169828,12834.073,1.0509914,3544,OK,False,0.61343045,1.0996656,-2.2549551,0.8349638,fixed_b,not_measurable,not_measurable,,False,,0,0,1,1,0.2,3349.3755,4083.5931,19,1.380755,0,False,,0.018439239,10392.093,10772.041,10302.693,10861.44,10582.067,558.74656,84,812.35842,852.43165,21,1.0641729,0,False,,0.034253624,1999.6572,2134.475,1967.9353,2166.1968,2067.0661,198.26152,84,-0.10183,3
K00490.01,Kepler-167 b,3239945,137686948,tic_kic_crossid_over_name_planet,CONFIRMED,CANDIDATE,4.3931577,172.86753,2.4455,447.2,7.8,-7.8,0.01871,0.102,13.923,4799,4.631,14.023,0,0,0,0,4,292.65842,38.34539,9,OK,lightkurve,,22,"QLP,SPOC,TESS-SPOC","14,40,41,54,55,74,81,82",0.94978075,,424.74195,7.4082898,3317.1952,3317.1952,1209,9.6552062,0,,65.648119,9,0.27231205,-0.27771288,-76.26048,74.5077,False,OK,PDCSAP_FLUX,QLP,-76.26048,407.03144,bootstrap,416.01318,85.978907,OK,4,4,SPOC/PDCSAP_FLUX=64ppm;TESS-SPOC/PDCSAP_FLUX=269ppm;QLP/KSPSAP_FLUX=309ppm;QLP/DET_FLUX=358ppm,45,8,8,"40,41,54,55,74,81,82,14","QLP,SPOC","120,1800",True,False,10452.253,-111.48979,0.13093545,1.6045705,14,smeared,-1.1795454,0.98087972,-1.2025383,-1.2025383,linear,-0.17954544,-0.18735771,1.0435114,0.98087972,4.9043986,56865.203,OK,-1.2025383,OK,SAP_FLUX,QLP,-11.172548,251.03872,bootstrap,306.64326,176.09557,OK,3,3,SPOC/SAP_FLUX=21ppm;TESS-SPOC/SAP_FLUX=188ppm;QLP/SAP_FLUX=539ppm,45,8,8,"40,41,54,55,74,81,82,14","QLP,SPOC","120,1800",True,False,7646.4588,-249.31763,0.48726849,0.73040108,14,smeared,-1.0263043,0.72389141,-1.41776,-1.41776,linear,-0.02630432,-0.044505278,1.691938,0.72389141,3.6194571,15425.481,OK,-1.41776,BACKGROUND_TEST_AGREES,2,"SPOC,TESS-SPOC",-60.443547,339.10495,-0.17824437,-0.3630558,PDC_DEEPER_THAN_SAP,0.02,2.3719362,2.567775,0.9699187,1.05,-208.32361,1.1549851,14863,OK,True,0.9699187,,,0.26698945,inconclusive,not_measurable,not_measurable,,False,,0,0,1,1,0.4,274.60189,407.03144,49,2.425855,0,False,,0.2976937,162.40304,334.36086,64.422737,357.69242,288.81668,224.39395,84,203.61389,251.03872,49,1.8606791,0,False,,0.93669852,74.561679,426.75282,21.180823,539.10898,187.996,351.11298,84,0,3
