kepoi_name,tic_id,family,author,flux_column,status,n_segments,segment_list,exptimes_s,n_transits,depth_ppm,depth_err_ppm,depth_err_method,oot_scatter_ppm,odd_even_sigma,smeared,is_primary_reduction
K00889.01,122785299,pdc,SPOC,PDCSAP_FLUX,OK,6,"40,41,54,74,75,81",120,17,17840.553,1281.101,bootstrap,32321.293,1.0358256,False,True
K00889.01,122785299,pdc,TESS-SPOC,PDCSAP_FLUX,OK,6,"40,41,54,74,75,81","200,600",17,16796.997,1567.4902,bootstrap,22343.62,0.28941954,False,False
K00889.01,122785299,sap,SPOC,SAP_FLUX,OK,6,"40,41,54,74,75,81",120,17,4774.3193,514.79945,bootstrap,9558.3527,1.3234664,False,True
K00889.01,122785299,sap,TESS-SPOC,SAP_FLUX,OK,6,"40,41,54,74,75,81","200,600",17,4472.7404,492.06684,bootstrap,6478.1509,0.91740642,False,False
K03145.01,122515768,pdc,SPOC,PDCSAP_FLUX,OK,3,"40,74,81",120,15,-3750.8413,3338.9042,bootstrap,44008.979,0.53716218,False,True
K03145.01,122515768,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"40,74,81","200,600",16,-3235.2258,2968.1921,bootstrap,28051.514,0.016082747,False,False
K03145.01,122515768,sap,SPOC,SAP_FLUX,OK,3,"40,74,81",120,18,-341.71129,835.39485,bootstrap,11353.965,0.17008384,False,True
K03145.01,122515768,sap,TESS-SPOC,SAP_FLUX,OK,3,"40,74,81","200,600",18,-651.28953,688.40622,bootstrap,7814.339,0.006502137,False,False
K03145.02,122515768,pdc,SPOC,PDCSAP_FLUX,OK,3,"40,74,81",120,74,-909.79406,1184.3903,bootstrap,42755.633,0.62172303,False,True
K03145.02,122515768,pdc,TESS-SPOC,PDCSAP_FLUX,OK,3,"40,74,81","200,600",75,-320.45754,1308.4402,bootstrap,29768.441,0.22799361,False,False
K03145.02,122515768,sap,SPOC,SAP_FLUX,OK,3,"40,74,81",120,79,-174.57579,311.07747,bootstrap,10856.346,0.58538895,False,True
K03145.02,122515768,sap,TESS-SPOC,SAP_FLUX,OK,3,"40,74,81","200,600",79,-63.946206,309.36261,bootstrap,7513.9542,0.10056566,False,False
K02403.01,120964116,pdc,SPOC,PDCSAP_FLUX,OK,2,"80,81",120,4,-385.9404,303.77339,analytic,4499.8059,1.8566889,False,False
K02403.01,120964116,pdc,TESS-SPOC,PDCSAP_FLUX,OK,2,"80,81",200,4,-264.25453,315.37153,analytic,3676.6993,1.6765918,False,False
K02403.01,120964116,pdc,QLP,KSPSAP_FLUX,OK,5,"14,40,41,53,54","1800,600",10,3270.5716,3586.7759,bootstrap,2739.0256,9.5427533,False,False
