oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
537112400005818,44950321,2458204.0039721853,58203.503217600002,16.4207001,0.0137269935,0,zg,268.66208549999999,12.4523174,1.55599999,-0.0549999997,20180326503206,537,0xc,0x4,20.9799995,26.2925644,0.017576823,-0.0297227055,8.31670332e-06,30,1.15600002,1
537112400005818,45251006,2458207.0110642272,58206.510069399999,16.4238663,0.0137368217,0,zg,268.6620709,12.452307100000001,1.50699997,-0.0799999982,20180329510035,537,0xc,0x4,20.5200005,26.2795467,0.0186139606,-0.0356513783,9.07776757e-06,30,1.12100005,1
537112400005818,45551259,2458210.0138250985,58209.512592599996,16.4395523,0.013785962,0,zg,268.66208289999997,12.4523449,0.360000014,-0.0240000002,20180401512558,537,0xc,0x4,19.4699993,26.2542477,0.031268876,-0.00995790306,2.62756184e-05,30,1.10300004,1
537112400005818,45552370,2458210.0249370765,58209.523703699997,16.4075203,0.0136864036,0,zg,268.66207229999998,12.4523742,1.10699999,-0.0270000007,20180401523692,537,0xc,0x4,19.2900009,26.2811584,0.0359648801,0.00700103072,3.45952976e-05,30,1.08899999,1
537112400005818,48241869,2458236.9218586525,58236.4186921,16.4354897,0.0137731628,0,zg,268.66206829999999,12.4523235,0.660000026,-0.0189999994,20180428418623,537,0xc,0x4,19.6800003,26.2524185,0.0274192281,-0.0169660784,2.01492694e-05,30,1.14199996,1
537112400005818,48248048,2458236.9836565186,58236.480486100001,16.4059372,0.0136815635,0,zg,268.66208979999999,12.452370999999999,0.797999978,-0.00800000038,20180428480475,537,0xc,0x4,19.6399994,26.2650242,0.0285076648,-0.00605046051,2.17213947e-05,30,1.07599998,1
537112400005818,49043510,2458244.9387425035,58244.435104199998,16.3875122,0.0136257717,0,zg,268.6620613,12.452316,0.876999974,-0.0370000005,20180506435104,537,0xc,0x4,20.5400009,26.230072,0.0181760285,-0.0362244137,8.92504704e-06,30,1.08399999,1
537112400005818,49337798,2458247.8817819995,58247.3779861,16.3622208,0.0135508012,0,zg,268.6620886,12.452317799999999,1.53199995,-0.075000003,20180509377975,537,0xc,0x4,21.2900009,26.2810116,0.0178258996,-0.0330637917,8.50752076e-06,30,1.171,1
537112400005818,49845734,2458252.96139606,58252.4573495,16.4453945,0.0138044581,0,zg,268.66207320000001,12.452309,0.975000024,-0.075000003,20180514457338,537,0xc,0x4,21.5599995,26.2863159,0.0150073264,-0.047045555,6.00872318e-06,30,1.08800006,1
537112400005818,50139813,2458255.9023152473,58255.398136600001,16.4387321,0.0137833739,0,zg,268.6620795,12.4523098,1.48899996,-0.105999999,20180517398125,537,0xc,0x4,21.2700005,26.2943821,0.0154424245,-0.0305530019,6.37152152e-06,30,1.09000003,1
537112400005818,50435731,2458258.8616162748,58258.3573148,16.3988533,0.0136599923,0,zg,268.66204959999999,12.4523428,1.63999999,-0.050999999,20180520357303,537,0xc,0x4,21.0400009,26.2300644,0.018271314,-0.0181974564,8.82930181e-06,30,1.14600003,1
537112400005818,50742042,2458261.9248459013,58261.420428199999,16.4211731,0.0137284612,0,zg,268.66208929999999,12.452325099999999,0.595000029,-0.0399999991,20180523420428,537,0xc,0x4,21.2399998,26.2485981,0.0192570407,-0.0285535883,9.79598553e-06,30,1.079,1
537112400005818,51239821,2458266.9027998392,58266.398217599999,16.4095345,0.0136925709,0,zg,268.66207020000002,12.4523025,0.903999984,-0.0379999988,20180528397917,537,0xc,0x4,19.7900009,26.2892323,0.0253564715,-0.0484793894,1.69917876e-05,30,1.07700002,1
537112400005818,51531520,2458269.8198726354,58269.315208300002,16.3925476,0.0136409197,0,zg,268.66207400000002,12.452311699999999,1.04299998,-0.0540000014,20180531315208,537,0xc,0x4,19.6900005,26.2690125,0.026653327,-0.0363482796,1.87396527e-05,30,1.17900002,1
537112400005818,52439509,2458278.8999427361,58278.395092600003,16.4435863,0.0137987221,0,zg,268.66206940000001,12.452295299999999,1.09000003,-0.0670000017,20180609395081,537,0xc,0x4,21.5400009,26.2840042,0.0142384376,-0.051318951,5.6163567e-06,30,1.09800005,1
537112400005818,52738189,2458281.88678568,58281.3818981,16.4276924,0.0137487371,0,zg,268.6620638,12.4523011,0.792999983,-0.0469999984,20180612381887,537,0xc,0x4,21.5400009,26.2904949,0.0150168734,-0.048900757,6.00951944e-06,30,1.09200001,1
537112400005818,53035966,2458284.8645774159,58284.359664399999,16.4825439,0.0139245475,32768,zg,268.66205880000001,12.452314700000001,0.510999978,-0.0340000018,20180615359653,537,0xc,0x4,20.3299999,25.4317989,0.045919273,-0.0361734591,5.58368556e-05,30,1.08099997,1
537112400005818,53333685,2458287.8417784162,58287.3368519,16.4574165,0.0138428491,0,zg,268.66206560000001,12.452303199999999,0.523999989,-0.0250000004,20180618336852,537,0xc,0x4,21.6900005,26.3143673,0.0146847153,-0.0612237267,5.83753581e-06,30,1.07700002,1
537112400005818,53640238,2458290.9073122381,58290.402384300003,16.4218369,0.0137305167,0,zg,268.66206080000001,12.4523119,1.19299996,0.00999999978,20180621402350,537,0xc,0x4,21.3299999,26.2847805,0.0177521277,-0.0570084639,8.58812291e-06,30,1.18700004,1
537112400005818,53933908,2458293.8440031521,58293.339085599997,16.4419746,0.0137936184,0,zg,268.66207370000001,12.452310900000001,0.912999988,-0.074000001,20180624339051,537,0xc,0x4,20.5900002,26.3058338,0.0178624149,-0.0496986024,8.54692189e-06,30,1.08399999,1
537112400005818,54237712,2458296.8820242905,58296.377129599998,16.4206886,0.0137269562,0,zg,268.66206030000001,12.452307599999999,0.566999972,-0.0489999987,20180627376748,537,0xc,0x4,19.6499996,26.2802887,0.026720332,-0.0462375656,1.89255006e-05,30,1.16100001,1
537112400005818,54629428,2458300.7991296495,58300.294282399998,16.4365616,0.0137765352,0,zg,268.66206670000003,12.4523042,0.781000018,-0.00899999961,20180701294271,537,0xc,0x4,20.4400005,26.2319202,0.0187192038,-0.0479192995,9.54970619e-06,30,1.079,1
537112400005818,54928607,2458303.7908738405,58303.2860764,16.4362259,0.01377548,0,zg,268.66206579999999,12.4523025,0.634000003,-0.0610000007,20180704286065,537,0xc,0x4,21.2000008,26.2458363,0.0150700156,-0.0533722565,6.20577475e-06,30,1.08000004,1
537112400005818,55231569,2458306.8204295314,58306.3156944,16.445118,0.0138035808,0,zg,268.66206449999999,12.452301,1.04400003,-0.0489999987,20180707315683,537,0xc,0x4,21.4799995,26.1229229,0.0191623438,-0.0554123744,9.7768725e-06,30,1.097,1
537112400005818,55632547,2458310.8301090021,58310.325474500001,16.4468384,0.0138090448,0,zg,268.66202079999999,12.452341000000001,1.53900003,-0.0939999968,20180711325475,537,0xc,0x4,21.0499992,26.1199608,0.0213942993,-0.025138922,1.24303842e-05,30,1.13,1
537112400005818,56535939,2458319.8637323338,58319.359398100001,16.3927803,0.013641621,0,zg,268.6620163,12.4523438,0.801999986,-0.00899999961,20180720359363,537,0xc,0x4,20.2999992,26.2053261,0.0219379738,-0.0209426172,1.29897762e-05,30,1.35399997,1
