oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
500106300001670,58647903,2458340.9825660358,58340.479039400001,16.0362492,0.0183124468,0,zg,8.9870512999999992,10.474540299999999,1.278,-0.0680000037,20180810479028,500,0x6,0x3,21.3500004,25.9652195,0.0373846143,-0.0423239246,4.04830353e-05,30,1.08700001,1
500106300001670,58941884,2458343.9225977282,58343.418842599996,16.0515518,0.0183371734,0,zg,8.9870508000000005,10.474549400000001,1.04799998,-0.0480000004,20180813418843,500,0x6,0x3,21.8500004,26.2042713,0.0296727028,-0.0505437218,2.46418767e-05,30,1.10800004,1
500106300001670,59140306,2458345.9069714635,58345.4030671,16.0468292,0.0183294471,0,zg,8.9870535,10.4745499,0.744000018,-0.074000001,20180815403056,500,0x6,0x3,21.7600002,26.1710358,0.0297883842,-0.0454567522,2.46789041e-05,30,1.12600005,3
500106300001670,59235712,2458346.8611042043,58346.357129600001,16.0571022,0.0183463618,0,zg,8.9870716000000002,10.474546800000001,1.62100005,-0.118000001,20180816357118,500,0x6,0x3,21.6900005,26.1020126,0.029848408,-0.032866016,2.54749666e-05,30,1.25800002,3
500106300001670,59235804,2458346.8620186714,58346.358044000001,16.0255508,0.0182956886,0,zg,8.9870680000000007,10.474561,0.635999978,-0.0179999992,20180816358032,500,0x6,0x3,21.6299992,26.1023216,0.031924326,-0.0320740975,2.97868846e-05,30,1.25399995,1
500106300001670,59346206,2458347.9661149695,58347.4620602,16.047163,0.0183299892,0,zg,8.9870467000000005,10.4745597,2.43300009,-0.140000001,20180817462025,500,0x6,0x3,21.5900002,26.1986465,0.0341669619,-0.0307885222,3.25664005e-05,30,1.08899999,3
500106300001670,59439254,2458348.8966674879,58348.392546299998,16.0479984,0.0183313489,0,zg,8.9870543000000005,10.474546500000001,1.38999999,-0.0979999974,20180818392546,500,0x6,0x3,21.75,26.1938725,0.0312475581,-0.0377295427,2.72283069e-05,30,1.13199997,3
500106300001670,59541376,2458349.9179545706,58349.413761600001,16.0334778,0.0183080621,0,zg,8.9870500999999994,10.474550499999999,1.53199995,-0.140000001,20180819413750,500,0x6,0x3,21.6599998,26.220211,0.0300090928,-0.0229287371,2.53748331e-05,30,1.09599996,3
500106300001670,59541467,2458349.9188689343,58349.4146759,16.0468197,0.0183294285,0,zg,8.9870546999999998,10.4745548,0.883000016,-0.063000001,20180819414664,500,0x6,0x3,21.9200001,26.2345905,0.0257531758,-0.0419697352,1.82809872e-05,30,1.09500003,1
500106300001670,59642353,2458350.9277928621,58350.423530100001,16.055912,0.01834438,0,zg,8.9870508000000005,10.474546,1.273,-0.0949999988,20180820423518,500,0x6,0x3,21.9599991,26.2417603,0.0249628052,-0.0462474339,1.72654891e-05,30,1.08700001,3
500106300001670,59742248,2458351.9268190297,58351.4224884,16.0548058,0.0183425453,0,zg,8.9870456999999995,10.474552600000001,1.84399998,-0.128999993,20180821422477,500,0x6,0x3,21.9200001,26.2270184,0.0318395197,-0.0313427076,2.82500641e-05,30,1.08599997,3
500106300001670,59841634,2458352.9207395716,58352.416342600001,16.0609703,0.0183528364,0,zg,8.9870625000000004,10.4745445,0.927999973,-0.0390000008,20180822416331,500,0x6,0x3,22.0300007,26.2199306,0.0270320475,-0.0479551852,2.04532807e-05,30,1.08800006,1
500106300001670,60740162,2458361.9065609453,58361.4016204,16.031208,0.0183044914,0,zg,8.9870646999999995,10.474544,1.32200003,-0.101000004,20180831401609,500,0x6,0x3,20.7199993,26.2817459,0.0378435962,-0.0140978619,5.80710839e-05,30,1.07599998,1
500106300001670,60740253,2458361.9074752955,58361.402534699999,16.0363159,0.0183125548,0,zg,8.9870575000000006,10.4745478,2.22399998,-0.189999998,20180831402523,500,0x6,0x3,20.75,26.2958889,0.0372762121,-0.0206098985,5.15836909e-05,30,1.07500005,3
500106300001670,60847031,2458362.9753106022,58362.470312500001,16.0256901,0.0182959009,0,zg,8.9870485999999996,10.4745542,1.30499995,-0.0839999989,20180901470312,500,0x6,0x3,20.8700008,26.2592697,0.0377288796,-0.0154579747,5.21628826e-05,30,1.16400003,3
500106300001670,60935880,2458363.8638526765,58363.358807899996,16.0131664,0.01827682,0,zg,8.9870712000000008,10.474574199999999,2.11199999,-0.0820000023,20180902358773,500,0x6,0x3,20.6599998,26.2197437,0.038124118,-0.0148085849,5.71570854e-05,30,1.10899997,3
500106300001670,61027586,2458364.7809598362,58364.275868099998,16.0349083,0.0183103215,0,zg,8.9870806000000005,10.4745437,1.40400004,-0.0549999997,20180903275868,500,0x6,0x3,21.5100002,26.1423378,0.0313101374,-0.0355232991,2.75456405e-05,30,1.42900002,1
500106300001670,61041619,2458364.921290983,58364.416192099998,16.0243073,0.0182937626,0,zg,8.9870464000000005,10.474547400000001,1.58099997,-0.101999998,20180903416192,500,0x6,0x3,21.1700001,26.2067242,0.0331580155,-0.0153314462,3.42393978e-05,30,1.08099997,3
500106300001670,61141181,2458365.9169654753,58365.411817100001,16.0902805,0.0184037834,0,zg,8.9870569000000007,10.474549400000001,0.753000021,-0.00899999961,20180904411806,500,0x6,0x3,21.5900002,26.2920017,0.0299776252,-0.069244884,2.53986254e-05,30,1.08000004,3
500106300001670,61239913,2458366.9043279523,58366.399131899998,16.0022697,0.0182606895,0,zg,8.9870806000000005,10.4745451,1.85899997,-0.115000002,20180905399097,500,0x6,0x3,21.4200001,26.2786961,0.0330849029,-0.0326112695,3.10722098e-05,30,1.07599998,3
500106300001670,61340015,2458367.9053934487,58367.400150499998,16.1395226,0.0184970908,0,zg,8.9870585999999992,10.474554599999999,1.73800004,0.107000001,20180906400150,500,0x6,0x3,21.9599991,26.3154068,0.0278550833,-0.109732218,2.13389885e-05,30,1.07700002,1
500106300001670,61340199,2458367.9072337332,58367.401990699997,16.1048832,0.0184304286,0,zg,8.9870651000000006,10.474548499999999,1.19200003,0.064000003,20180906401991,500,0x6,0x3,22.0200005,26.2996025,0.0269890856,-0.0859753415,1.990071e-05,30,1.07799995,3
500106300001670,61438343,2458368.8887250829,58368.383437500001,16.093092,0.0184088461,0,zg,8.9870608000000001,10.474546699999999,1.03100002,-0.023,20180907383426,500,0x6,0x3,21.9799995,26.2998219,0.0278284419,-0.0771135315,2.13808053e-05,30,1.07500005,3
500106300001670,61532160,2458369.8269376154,58369.321608799997,16.0933323,0.0184092838,0,zg,8.9870757999999995,10.4745385,0.615999997,-0.023,20180908321493,500,0x6,0x3,21.9300003,26.2691002,0.0259600095,-0.074468933,1.84047021e-05,30,1.153,3
500106300001670,61636733,2458370.8727112543,58370.367337999996,16.1219959,0.0184627511,0,zg,8.9870599999999996,10.474543300000001,1.90600002,0.0500000007,20180909367326,500,0x6,0x3,22.0300007,26.3120632,0.0285256077,-0.0940337926,2.18685309e-05,30,1.079,1
500106300001670,61636824,2458370.8736139918,58370.368240700001,16.116291,0.0184518453,0,zg,8.9870605999999995,10.474544099999999,1.68900001,0.074000001,20180909368241,500,0x6,0x3,22.0100002,26.3093166,0.0264490861,-0.0813564286,1.91920772e-05,30,1.079,3
500106300001670,61735949,2458371.864904569,58371.359490700001,16.1419849,0.0185020175,0,zg,8.9870617999999993,10.474563399999999,1.43299997,0.0540000014,20180910359479,500,0x6,0x3,21.8299999,26.3310871,0.0269021206,-0.0996557921,2.01073344e-05,30,1.08200002,3
500106300001670,61840510,2458372.9105592445,58372.405104199999,16.1603146,0.018539479,0,zg,8.9870590000000004,10.4745527,1.32200003,-0.00300000003,20180911405093,500,0x6,0x3,21.6900005,26.3234978,0.0328770727,-0.0948982164,3.00852571e-05,30,1.09099996,3
500106300001670,61939185,2458373.8973442586,58373.3918519,16.1403961,0.0184988342,0,zg,8.9870674000000008,10.47456,0.626999974,0.0199999996,20180912391840,500,0x6,0x3,21.6100006,26.3132496,0.0325368121,-0.0896053612,2.91312463e-05,30,1.08099997,3
500106300001670,61939276,2458373.8982585925,58373.392766199999,16.128479,0.0184753072,0,zg,8.987069,10.4745534,0.730000019,0.00100000005,20180912392755,500,0x6,0x3,21.7399998,26.3113003,0.0299623813,-0.0822701007,2.45869614e-05,30,1.08200002,1
500106300001670,62041123,2458374.9167677127,58374.411238399996,16.1581287,0.018534936,0,zg,8.9870505999999999,10.4745671,1.528,0.0489999987,20180913411238,500,0x6,0x3,21.6399994,26.3321609,0.0334485956,-0.0972209498,3.09070347e-05,30,1.10599995,3
500106300001670,62142431,2458375.9298815266,58375.424317099998,16.1208344,0.0184605159,0,zg,8.9870633000000009,10.474553999999999,1.80599999,0.0659999996,20180914424294,500,0x6,0x3,21.8099995,26.3125706,0.0266603231,-0.0840622485,1.96321253e-05,30,1.13699996,3
500106300001670,62232638,2458376.831983245,58376.326388900001,16.1068687,0.0184341203,0,zg,8.9870690999999994,10.474542899999999,2.09100008,0.0869999975,20180915326377,500,0x6,0x3,22.0100002,26.3137512,0.0277293846,-0.0845879093,2.10166345e-05,30,1.10399997,3
500106300001670,62232729,2458376.8328860747,58376.327291699999,16.099432,0.0184203871,0,zg,8.9870769999999993,10.4745367,1.25800002,-0.0189999994,20180915327292,500,0x6,0x3,22.0699997,26.3042812,0.0277192537,-0.0804291591,2.0921847e-05,30,1.10300004,1
500106300001670,62335129,2458377.8569230735,58377.351296300003,16.0877247,0.0183992051,0,zg,8.9870698999999998,10.4745331,1.18400002,0.0489999987,20180916351296,500,0x6,0x3,22.0100002,26.2904396,0.0296828989,-0.0790524483,2.39413766e-05,30,1.07799995,3
500106300001670,62434903,2458378.8546961308,58378.349039399996,16.1427689,0.0185035877,0,zg,8.9870625000000004,10.474545900000001,1.19700003,-0.00499999989,20180917349039,500,0x6,0x3,21.9300003,26.3157578,0.0278494786,-0.0858763158,2.14393458e-05,30,1.07700002,3
500106300001670,62535944,2458379.8651298448,58379.359444399997,16.1898842,0.0186029114,0,zg,8.9870751999999996,10.474572500000001,1.62300003,0.0320000015,20180918359444,500,0x6,0x3,21.6499996,26.3469639,0.0285429414,-0.119503334,2.29191119e-05,30,1.07500005,3
500106300001670,62536035,2458379.8660442708,58379.360358799997,16.1171875,0.0184535496,0,zg,8.9870760000000001,10.4745461,1.23899996,-0.00100000005,20180918360359,500,0x6,0x3,21.6900005,26.3239727,0.029665865,-0.0907235295,2.42485658e-05,30,1.07500005,1
500106300001670,62636479,2458380.8705040873,58380.364791699998,16.1266327,0.0184717122,0,zg,8.9870611999999994,10.4745323,0.875999987,-0.0209999997,20180919364780,500,0x6,0x3,21.6499996,26.3136463,0.0278138444,-0.0729446039,2.05158212e-05,30,1.07700002,3
500106300001670,62839217,2458382.8979376387,58382.3921759,16.1077003,0.0184356738,0,zg,8.9870614999999994,10.4745332,0.901000023,-0.0780000016,20180921392153,500,0x6,0x3,21.0100002,26.2805405,0.0376405157,-0.0626281276,4.50794796e-05,30,1.11099994,3
500106300001670,62839313,2458382.8988983603,58382.393136600003,16.1052055,0.0184310302,0,zg,8.9870643000000001,10.4745265,1.64100003,-0.120999999,20180921393102,500,0x6,0x3,21.1399994,26.2670364,0.0345350504,-0.0577602573,3.68704023e-05,30,1.11300004,1
500106300001670,62942501,2458383.9307958963,58383.425011599997,16.1599636,0.018538747,0,zg,8.9870593999999997,10.4745367,1.49100006,-0.00100000005,20180922425000,500,0x6,0x3,20.5100002,26.2622719,0.0466584861,-0.0750011802,9.47754961e-05,30,1.20200002,3
500106300001670,63033629,2458384.8420990887,58384.336296300004,16.0824471,0.0183898415,0,zg,8.9870771000000005,10.47453,0.941999972,-0.0329999998,20180923335741,500,0x6,0x3,20.4300003,26.2122631,0.0436033159,-0.0401374325,9.02195388e-05,30,1.07599998,3
500106300001670,63137929,2458385.8851162489,58385.379293999998,16.1474609,0.0185130574,0,zg,8.9870626999999992,10.4745341,1.24399996,-0.023,20180924379282,500,0x6,0x3,19.8999996,26.2975655,0.038023755,-0.0790609047,0.000113041744,30,1.10300004,3
500106300001670,63138787,2458385.8936927984,58385.387870400002,16.1664619,0.0185523573,0,zg,8.9870508000000005,10.474541200000001,1.31500006,-0.0689999983,20180924387674,500,0x6,0x3,20.0499992,26.2327175,0.0559763163,-0.0524080656,0.000186391131,30,1.11800003,1
500106300001670,63435781,2458388.8636804516,58388.357812499999,16.2102661,0.0186488349,0,zg,8.9870484000000008,10.4745369,1.977,0.0500000007,20180927357778,500,0x6,0x3,20.2199993,26.3507729,0.0453978553,-0.110497281,0.000115754461,30,1.08700001,1
500106300001670,64334408,2458397.8500013468,58397.344085600002,16.086235,0.0183965489,0,zg,8.9870672000000003,10.474523,1.04400003,-0.0289999992,20181006344062,500,0x6,0x3,21.8600006,26.2452393,0.0285455529,-0.0670777187,2.22845756e-05,30,1.10000002,1
500106300001670,67119442,2458425.6996228117,58425.194421300002,16.1068764,0.0184341334,0,zg,8.9871022000000007,10.474513699999999,0.933000028,0.023,20181103194410,500,0x6,0x3,21.5900002,26.0636959,0.0365327559,-0.07764218,3.89756715e-05,30,1.11000001,1
500106300001670,67421380,2458428.7188571892,58428.2138079,16.0538883,0.0183410272,0,zg,8.9870900999999996,10.4745165,1.49199998,-0.0520000011,20181106213796,500,0x6,0x3,21.5,26.2901363,0.0324746333,-0.0565683171,3.08349881e-05,30,1.08500004,1
500106300001670,67721278,2458431.7176740472,58431.2127894,16.0597191,0.0183507353,0,zg,8.9870900000000002,10.4745115,0.583999991,0.00899999961,20181109212778,500,0x6,0x3,20.2600002,26.2575626,0.0413437225,-0.0537194461,8.22988077e-05,30,1.08299994,1
500106300001670,68015114,2458434.6558565656,58434.151145800002,16.0574799,0.0183469933,0,zg,8.9871073999999993,10.474525099999999,0.467000008,-0.00600000005,20181112151134,500,0x6,0x3,21,26.266304,0.0347003825,-0.0526952557,4.1238749e-05,30,1.14499998,1
500106300001670,68323542,2458437.7399436231,58437.235428200001,16.0886803,0.0184009112,0,zg,8.9870971999999991,10.4745124,0.531000018,-0.0120000001,20181115235428,500,0x6,0x3,20.8999996,26.304575,0.0342914239,-0.0617510341,4.05536666e-05,30,1.10899997,1
500106300001670,68323682,2458437.74134403,58437.236828699999,16.084034,0.0183926448,0,zg,8.9870763999999994,10.4745203,1.27199996,-0.0350000001,20181115236817,500,0x6,0x3,20.8899994,26.3019238,0.0369538292,-0.0606216155,4.78192123e-05,30,1.11099994,3
500106300001670,68435741,2458438.8618601165,58438.357419,16.3216743,0.0189331658,32768,zg,8.9870836999999995,10.4744688,0.686999977,0.0540000014,20181116357303,500,0x6,0x3,17.6000004,23.2396431,0.0730931982,-0.497630686,0.0866572857,30,1.86500001,3
500106300001670,68623935,2458440.7436649646,58440.239351900003,16.1649094,0.0185490921,32768,zg,8.9870994999999994,10.4744996,0.841000021,0.0359999985,20181118239352,500,0x6,0x3,18.1700001,24.4500732,0.0969914272,-0.0230462234,0.0125214858,30,1.13,1
500106300001670,69626820,2458450.7717643608,58450.268206000001,16.2588348,0.0187657215,32768,zg,8.9870993000000006,10.474475999999999,0.848999977,0.0520000011,20181128268206,500,0x6,0x3,17.9799995,23.926939,0.0379888453,-0.128450006,0.00419983221,30,1.33099997,3
500106300001670,69626958,2458450.773141549,58450.269583300003,16.1119862,0.0184437018,32768,zg,8.9870903000000002,10.474526300000001,0.842000008,-0.0299999993,20181128269572,500,0x6,0x3,18.4599991,24.126461,0.0517777763,-0.0302849654,0.00145061885,30,1.33899999,1
500106300001670,70312949,2458457.6324708909,58457.129490699997,16.1324768,0.0184831358,0,zg,8.9871041999999992,10.474470699999999,1.17200005,0.00499999989,20181205129468,500,0x6,0x3,20.0599995,26.3047829,0.0400438756,-0.0529185124,9.10401359e-05,30,1.08700001,3
500106300001670,71226487,2458466.7670207783,58466.264872699998,15.8898048,0.0181188434,32768,zg,8.9870441000000003,10.4744723,0.69599998,0.00200000009,20181214264861,500,0x6,0x3,17.6000004,23.4964409,0.066439189,0.256548345,0.0201598946,30,1.65499997,3
500106300001670,71709418,2458471.5958762541,58471.094189800002,16.237175,0.018712284,0,zg,8.9870923000000005,10.4745179,1.33599997,-0.00999999978,20181219094178,500,0x6,0x3,19.4200001,25.9198246,0.0432020985,-0.0806209072,0.000225389682,30,1.08599997,1
500106300001670,71709510,2458471.596790567,58471.095104200002,16.2238464,0.0186804496,32768,zg,8.9871025000000007,10.4745252,1.19200003,0.0670000017,20181219095093,500,0x6,0x3,19.6000004,26.0204353,0.0439555608,-0.104024209,0.000193645144,30,1.08500004,3
500106300001670,71817476,2458472.6763500366,58472.174768500001,16.1054878,0.0184315555,0,zg,8.9871198000000003,10.474508699999999,0.976000011,-0.0179999992,20181220174734,500,0x6,0x3,20.4500008,26.300703,0.0411531143,-0.065952383,7.59398245e-05,30,1.18799996,3
500106300001670,72815374,2458482.6543436931,58482.153749999998,16.121109,0.0184610467,0,zg,8.9871207000000002,10.474473700000001,0.651000023,-0,20181230153738,500,0x6,0x3,20.8600006,26.2923908,0.0355685018,-0.0798963532,4.76830646e-05,30,1.20899999,1
500106300001670,73315391,2458487.6540036346,58487.153912000002,16.1244812,0.0184675418,0,zg,8.9871227000000005,10.4745069,0.911000013,-0.00600000005,20190104153900,500,0x6,0x3,21.2999992,26.2867413,0.0323233977,-0.0840076357,3.1855725e-05,30,1.26400006,3
500106300001670,73316464,2458487.6647317479,58487.164641199997,16.1088219,0.0184377637,0,zg,8.9871142000000006,10.4744995,0.843999982,-0.0189999994,20190104164502,500,0x6,0x3,21.4799995,26.273159,0.0321390517,-0.0754408762,3.00413321e-05,30,1.31700003,1
500106300001670,73414480,2458488.6447952823,58488.144803199997,16.121151,0.0184611268,0,zg,8.9871209000000007,10.4744919,1.51999998,-0.00499999989,20190105144803,500,0x6,0x3,21.6900005,26.2815151,0.0286133941,-0.0861834437,2.33069095e-05,30,1.23699999,3
500106300001670,73610359,2458490.6033949917,58490.103599499998,16.0284729,0.0183002241,0,zg,8.9871339999999993,10.4745226,1.28699994,-0.0140000004,20190107103576,500,0x6,0x3,20.8400002,26.2772751,0.0380588993,-0.0379298814,5.15505526e-05,30,1.12199998,3
500106300001670,73714621,2458491.6459062858,58491.146215300003,16.0777969,0.018381672,0,zg,8.9871257,10.474500900000001,1.01900005,-0.00300000003,20190108146215,500,0x6,0x3,20.8400002,26.2540054,0.034404669,-0.0561323091,4.32923989e-05,30,1.26699996,3
500106300001670,73818271,2458492.6823071516,58492.182719900004,16.1943264,0.0186127685,32768,zg,8.9871288000000007,10.4744855,0.959999979,-0.0289999992,20190109182720,500,0x6,0x3,17.8700008,23.5749588,0.0571728386,-0.0216553062,0.0149935,30,1.523,3
500106300001670,73915009,2458493.6495832745,58493.150092600001,16.030859,0.0183039457,0,zg,8.9871206000000008,10.4745004,1.07799995,-0.0810000002,20190110150081,500,0x6,0x3,21.2199993,26.2266884,0.0363271944,-0.0391609631,3.98031843e-05,30,1.31400001,1
500106300001670,73916500,2458493.6644891752,58493.165000000001,16.1154709,0.0184502881,0,zg,8.9871254,10.4744884,1.03299999,-0.023,20190110165000,500,0x6,0x3,21.25,26.2468204,0.0339437164,-0.0811010003,3.43363718e-05,30,1.40499997,3
