n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,resists_mundane,is_candidate
648,0.36484912020343585,31,0.047839506172839504,0.9121453698509594,0.24985134429715747,0.04102465186360103,0.7776926044409197,5,0.0,0.2284161941695445,623209300000464,175.8753651,27.0506066,,,,unknown,0.008353512123469544,1.956315448857956,0.058916121806133585,0.1752185977761184,False,False,False
699,0.33553857078607374,35,0.05007153075822604,0.7940469983393839,0.997225015163674,0.07002095325243606,0.7689937140242692,5,0.0,0.3035929227396533,623210200022514,174.2977341,27.187729,,,,unknown,0.0016688751039874426,0.5051913431874204,0.01175646868932241,0.02057382020631422,False,False,False
609,0.20191982994858526,45,0.07389162561576355,1.0307304833397564,4.44477632218026,0.08609670026584838,0.7650550056935271,6,0.010319937742367917,0.20191982994858526,623210400002626,174.8642204,26.837035,,,,unknown,0.006119589666475259,1.6225870349447866,0.04544384489282287,0.07952672856244002,False,False,False
827,0.45624785396853174,59,0.07134220072551391,0.8204879947638906,0.997225015163674,0.055642599402360354,0.7528672306388925,8,0.016813329846799792,0.23380021814314245,623210300011720,173.9337252,26.9742116,,,,unknown,0.005080548624425706,1.641239588989405,0.03563094163591257,0.062354147862846994,False,False,False
833,0.4900186385560201,147,0.17647058823529413,3.292279965427057,1.757922045606902,0.16650533016194705,0.739410481204885,32,0.013201096366908596,0.4900186385560201,623210300001518,174.115976,26.9794672,,,,unknown,0.004916761923406933,1.1305209123349909,0.03643740497174063,0.06376545870054609,False,False,False
830,0.2421576761868064,72,0.08674698795180723,0.720602152147031,1.0000543860884066,0.0744434274483949,0.7387017717938122,10,0.019655066657223098,0.23238449929354887,623210300002923,174.03366445,26.86117775,,,,unknown,0.0033986857010069225,1.0262765485510432,0.023835687994242346,0.0417124539899241,False,False,False
827,0.4263384790822855,74,0.08948004836759371,0.8521380402515688,0.997225015163674,0.04863936310069846,0.733345163960787,10,0.024021009036334477,0.4263384790822855,623210300002805,174.3491344,26.8700212,,,,unknown,0.0038136963414246708,1.2856026356829333,0.02823686833485221,0.049414519585991364,False,False,False
824,0.29788653165743395,36,0.043689320388349516,0.7431224853635039,0.25151490772882396,0.04550434632460133,0.7163486961026196,3,0.0,0.23706913674569374,623210300026875,173.87769435,26.8317996,,,,unknown,0.003408721590166462,1.1310095741815034,0.025238407601099678,0.044167213301924434,False,False,False
822,0.2678386621686628,49,0.05961070559610705,0.8320942860902518,0.9971526776928572,0.033452470803779125,0.714541936533809,5,0.02180744074168575,0.2678386621686628,623210300011630,173.99656975,26.982329,,,,unknown,0.0036042542516264665,1.1334600975698004,0.025277382891933056,0.04423542006088284,False,False,False
660,0.2571629168705867,78,0.11818181818181818,0.8848588987266934,0.9972267695908789,0.0863973016558283,0.7122259744782428,10,0.027284945008336246,0.2571629168705867,623209300008934,175.96348905000002,27.019387350000002,,,,unknown,0.007817279236629346,1.658810404669161,0.057975948316045446,0.14610076669593663,False,False,False
648,0.3151695979013516,60,0.09259259259259259,0.7275961253552856,0.9972267695908789,0.08365566254317372,0.7086738185521075,6,0.028743160894980118,0.2712596917240241,623209300000575,176.17047575,27.0356043,,,,unknown,0.003065039653732894,0.7313603480556159,0.022760870288026248,0.03983152300404593,False,False,False
813,0.16334095213138422,45,0.055350553505535055,1.0239264497470968,0.185345633165872,0.027287407953846207,0.700155522763143,5,0.0,0.16334095213138422,623210300002110,173.6609065,26.9291965,,,,unknown,0.0070698114434963565,1.85400311592668,0.05234536706917341,0.09160439237105344,False,False,False
829,0.2800729429155715,87,0.10494571773220748,0.8061555515921347,0.997225015163674,0.09064191857702401,0.6998229874413685,12,0.03099481232850807,0.24466227479080904,623210300013037,173.814403,26.8525399,,,,unknown,0.00290438325961202,0.8196794759461613,0.021504252135862767,0.05846577457109317,False,False,False
734,0.2844803320368765,37,0.05040871934604905,1.1311865870969868,0.15929373116504433,0.03441388247695154,0.6975470304827338,2,0.0,0.2176322573592383,623210200007908,173.940489,27.1598612,,,,unknown,0.0030066052051790277,0.643681401771871,0.022289703004738978,0.0390069802582932,False,False,False
637,0.3602549709723827,9,0.0141287284144427,0.9413466923409758,0.9675775904183306,0.029255572213798275,0.6912233283358605,2,0.0,0.3602549709723827,623210200008271,173.9010579,27.1278326,,,,unknown,0.00014942971899120126,0.03419494222660027,0.0010567839354028957,0.0018493718869550672,False,False,False
820,0.2781788817842864,15,0.018292682926829267,0.938765614272804,0.1560225379446292,0.03228225045222591,0.6903153248643322,2,0.0,0.21139206253974463,623210300003215,173.91595815,26.837942400000003,,,,unknown,0.004736033808619884,1.1732583151449556,0.03321478775133638,0.058125878564838654,False,False,False
