jname,bname,ra,dec,pos_err_arcsec,match_radius_arcsec,pmra,pmdec,p0_s,p1,edot_w,dist_kpc,assoc,binary,bincomp,ptype,allwise_match,allwise_dist_arcsec,allwise_n_control_hits,allwise_p_chance,catwise_match,catwise_dist_arcsec,catwise_n_control_hits,catwise_p_chance,designation,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,W4mag,ph_qual,cc_flags,catwise_name,W1mag_cat,W2mag_cat,pmra_catwise,pmdec_catwise,w1_w2,t_colour_k,shape_class,p_chance,veto_reason,verdict,ring_candidate,f_min_300K_W2,f_min_500K_W2,f_min_700K_W2,ring_radius_300K_au,ring_radius_500K_au,ring_radius_700K_au
J1959+3141_P,,299.7945833333334,31.683333333333334,60.01357608167604,8.0,,,0.51453,,,11.161,,,,,True,4.805325,8,0.32808157711903657,True,3.464581,16,0.6615331171838814,J195910.84+314104.4,13.504,0.047,13.86,0.073,11.097,8.766,AABC,0000,J195910.58+314056.8,16.031,16.295,-30.76,-3.1399999,-0.35599995,,unfit,0.32808157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J1959+3620,,299.90845833333333,36.34141666666667,0.3852203803746607,1.5,,,0.406081181,3.6e-17,2.122382456221696e+24,49.998,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,12878.476460878892,1535.920689309301,979.3849533498956,0.0640918940469248,0.023073081856892923,0.011771980539231085
J2000+04,,300.0625,4.116666666666666,900.1243472276993,8.0,,,0.777,,,2.765,,,,,True,5.311849,6,0.26558157711903657,True,5.271241,12,0.5365331171838814,J200015.31+040702.4,15.81,0.053,16.448,0.269,12.022,8.833,ABUU,0000,J200015.29+040702.6,15.724,16.01,-22.609999,15.19,-0.63799953,,unfit,0.26558157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J2000+22,,300.0,22.216666666666665,600.1606721287227,8.0,,,1.0505,,,4.147,,,,,True,3.777106,4,0.20308157711903657,True,3.661182,12,0.5365331171838814,J200000.20+221302.4,14.023,0.029,14.254,0.047,12.089,9.143,AABU,0000,J200000.20+221302.3,14.003,14.057,3.28,-14.31,-0.23099995,,unfit,0.20308157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J2000+2806_P,,300.16541666666666,28.1,60.01458849785973,8.0,,,0.72986,,,7.627,,,,,False,,3,0.17183157711903657,True,3.424788,9,0.4427831171838814,,,,,,,,,,J200039.87+280557.5,14.59,14.681,-105.34,41.420002,-0.0909996,,unfit,0.17183157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J2000+2920,,300.06878333333333,29.335408333333334,0.1433729917000782,1.5,,,3.07378325868,3.74364e-14,5.089019242567476e+24,5.418,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,63.07057342541768,7.52196107241162,4.796403580784146,0.09924492983819243,0.035728174741749275,0.01822866058252514
J2000+3157_P,,300.0141666666667,31.95,60.01349791143729,8.0,,,0.0035,,,8.631,,,He[why+25],,False,,7,0.29683157711903657,True,3.31007,12,0.5365331171838814,,,,,,,,,,J200003.31+315656.8,15.692,16.711,-101.38,103.86,-1.019,,unfit,0.29683157711903657,non_degenerate_companion,rejected,False,inf,inf,inf,,,
J2000+3207_P,,300.0808333333333,32.11666666666667,60.01344887312099,8.0,,,0.38844,,,12.636,,,,,False,,3,0.17183157711903657,True,2.875385,9,0.4427831171838814,,,,,,,,,,J200019.24+320701.9,15.166,15.323,-73.92,5.32,-0.15699959,,unfit,0.17183157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J2001+0701,,300.46232899999995,7.027679166666666,0.0013745794739199,1.5,,,0.0068199585607571,1.4381459311021315e-20,1.7898535034371576e+26,2.984,,ELL1,He[mzl+23],,False,,0,0.07808157711903659,False,,1,0.19278311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,0.5439550620039603,0.06487349930904711,0.04136680333605481,0.5885725799564858,0.2118861287843349,0.10810516774710965
J2001+2856_P,,300.28833333333336,28.933333333333334,60.0143597628164,8.0,,,1.44555,,,7.669,,,,,False,,4,0.20308157711903657,True,2.808793,11,0.5052831171838814,,,,,,,,,,J200108.98+285600.2,13.431,13.472,-32.219997,3.0700002,-0.041000366,,unfit,0.20308157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J2001+4209_P,,300.4125,42.15,61.02190976891955,8.0,,,,,,7.239,,,,"RRAT[zhx+23],RRAT[hzw+25]",True,1.56903,7,0.29683157711903657,True,1.4213,12,0.5365331171838814,J200139.11+420900.8,15.217,0.034,15.829,0.117,12.562,9.213,ABUU,0h00,J200139.11+420900.6,15.027,15.147,-15.78,1.8299999,-0.61200047,,unfit,0.29683157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J2001+4258,,300.29643187978,42.96918363738192,44.60826739991695,8.0,,,0.7191661378516744,1.7326714983322365e-14,1.8390277274656014e+26,3.28,,,,,False,,8,0.32808157711903657,True,3.34922,12,0.5365331171838814,,,,,,,,,,J200111.00+425812.0,16.168,16.063,-43.93,19.49,0.10499954,4652.621099435878,companion,0.32808157711903657,chance_coincidence,rejected,False,0.6396498190111518,0.07628630559807152,0.04864421735408857,0.5966029839066088,0.21477707420637918,0.10958013990121387
J2001-0349,,300.472125,-3.82875,1.565757670977508,3.131515341955016,,,1.344724016036617,1.1211352611695015e-16,1.8201964583664506e+23,2.941,,,,,False,,2,0.14058157711903657,False,,2,0.22403311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.14058157711903657,,no_counterpart,False,519.582667433527,61.96678397028384,39.51332659974216,0.01876940109113506,0.006756984392808621,0.0034474410167390926
J2002+1637,,300.6990416666667,16.621305555555555,1.4907352942213918,2.9814705884427837,,,0.27649748362,2.25e-16,4.20212246617115e+25,4.39,,,,,False,,1,0.10933157711903659,False,,3,0.2552831171838814,,,,,,,,,,,,,,,,,no_counterpart,0.10933157711903659,,no_counterpart,False,5.014679787623911,0.5980637895693371,0.38135737133082714,0.2851843145533402,0.10266635323920248,0.05238079246898085
J2002+30,,300.7416666666667,30.58333333333333,364.2652688970543,8.0,,,0.421794,,,6.697,,,,,False,,7,0.29683157711903657,True,7.989808,15,0.6302831171838814,,,,,,,,,,J200257.43+303503.4,10.778,10.889,5.44,-9.13,-0.11100006,,unfit,0.29683157711903657,chance_coincidence,rejected,False,inf,inf,inf,,,
J2002+3217,B2000+32,300.5211424932825,32.28920351760881,47.13990401799779,8.0,,,0.6967605101537256,1.0513888043173293e-13,1.2270789313636264e+27,5.733,,,,,False,,5,0.23433157711903657,False,,13,0.5677831171838814,,,,,,,,,,,,,,,,,no_counterpart,0.23433157711903657,,no_counterpart,False,0.292869573846681,0.034928389169848834,0.022272203920296687,1.5410883318434803,0.5547917994636529,0.2830570405426801
J2002+4050,B2000+40,300.6858585787092,40.84909506286266,45.13937386582909,8.0,,,0.9050668203089066,1.7387830852070605e-15,9.258981397084099e+24,5.903,,,,,False,,2,0.14058157711903657,True,7.17323,14,0.5990331171838814,,,,,,,,,,J200245.15+405100.2,15.207,15.455,-2.1599998,31.36,-0.24800014,,unfit,0.14058157711903657,chance_coincidence,rejected,False,41.149562870230746,4.907604184424465,3.129350186293634,0.13386680194460798,0.04819204870005888,0.02458777994900963
J2003+2916,,300.7633083333333,29.26693333333333,0.1351446546768238,1.5,,,1.0098766696,3.41e-16,1.307100853596429e+24,7.238,,,,,False,,0,0.07808157711903659,False,,0,0.16153311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.07808157711903659,,no_counterpart,False,438.23890568006107,52.26551480207756,33.327279938692755,0.05029743425875873,0.018107076333153144,0.009238304251608747
J2003+3032_P,,300.9741666666667,30.53333333333333,60.013908934340485,8.0,,,0.00179,,,6.285,,,UL[why+25],,False,,6,0.26558157711903657,False,,2,0.22403311718388141,,,,,,,,,,,,,,,,,no_counterpart,0.22403311718388141,,no_counterpart,False,inf,inf,inf,,,
