jname,bname,ra,dec,pos_err_arcsec,match_radius_arcsec,pmra,pmdec,p0_s,p1,edot_w,dist_kpc,assoc,binary,bincomp,ptype,allwise_match,allwise_dist_arcsec,allwise_n_control_hits,allwise_p_chance,catwise_match,catwise_dist_arcsec,catwise_n_control_hits,catwise_p_chance,designation,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,W4mag,ph_qual,cc_flags,catwise_name,W1mag_cat,W2mag_cat,pmra_catwise,pmdec_catwise,w1_w2,t_colour_k,shape_class,p_chance,veto_reason,verdict,ring_candidate,f_min_300K_W2,f_min_500K_W2,f_min_700K_W2,ring_radius_300K_au,ring_radius_500K_au,ring_radius_700K_au,localised,colour_source,w1_w2_err,colour_secure,e_W1mag_cat,e_W2mag_cat,p_chance_ring,p_chance_any,p_chance_trials,allwise_p_chance_ring,catwise_p_chance_ring,allwise_n_control_ring_hits,catwise_n_control_ring_hits,allwise_n_sources_in_radius,catwise_n_sources_in_radius,allwise_n_sources_in_beam,catwise_n_sources_in_beam
J0032+6946,,8.5,69.71666666666667,1429.1523843300745,8.0,,,0.03680412,,,2.814,,,,,True,5.51146,2,0.2337842159017142,True,5.289979,12,0.7336957272911901,J003401.05+694300.3,15.147,0.035,15.234,0.075,12.59,9.332,AAUU,0h00,J003400.99+694300.5,15.1,15.154,-24.2,-0.12,-0.08699989318847656,,unfit,0.2337842159017142,position_not_localised,rejected,False,inf,inf,inf,,,,False,allwise,0.0827647295498853,False,0.017,0.026,0.00038776011008826014,0.2337842159017142,1.0,0.00038776011008826014,0.03394669531106836,0,1,1,1,1,1
J0039+3546,,9.786737935416667,35.77123113333333,0.0121489803379468,1.5,,,0.5366865103118023,6.338470025417663e-17,1.6187587892576568e+24,4.053,,,,,True,1.433118,0,0.006021710715294639,True,1.473404,0,0.012610396662580901,J003908.89+354615.3,14.66,0.029,14.6,0.052,12.654,8.461,AAUU,0000,J003908.90+354615.4,14.65,14.69,-2.7,2.0300002,0.05999946594238281,,unfit,0.006021710715294639,single_band_no_colour,rejected,False,110.95680408536025,13.232997826414726,8.43806522635659,0.05597348559862571,0.02015045481550526,0.010280844293625132,True,allwise,0.05953990311699311,False,0.018,0.022,1.3632191370290395e-05,0.006021710715294639,0.9999999457987949,1.3632191370290395e-05,9.480569452974685e-05,0,0,1,1,1,1
J0040-7337,,10.194583333333334,-73.61869444444444,3.231523354710458,6.463046709420916,,,0.0598885618793744,3.4040798759210995e-14,6.256447804467987e+29,36.33,"EXGAL:SMC,SNR:DEM_S5[cls+24],PWN:DEM_S5[cab+24]",,,,False,,3,0.20554231746946167,True,2.542799,6,0.4216104602614751,,,,,,,,,,J004046.56-733709.8,18.321,16.953,-133.57,888.68,1.3680000305175781,723.4684255548096,ring_band,0.001760056037541432,nebula_cluster_or_optical_association,rejected,False,0.023066719854952237,0.002750997167044163,0.0017541825244393675,34.79807304396917,12.527306295828902,6.391482803994338,True,catwise,0.23020425578089318,False,0.185,0.137,0.001760056037541432,0.4216104602614751,0.9924003319792992,0.0002530799531105327,0.001760056037541432,0,0,0,1,0,1
J0050+03,,12.629166666666668,3.8,657.2751124532775,8.0,,,1.36656,,,1.366,,,,,False,,4,0.29628421590171417,True,2.710062,8,0.6086957272911901,,,,,,,,,,J005031.17+034800.1,17.539,16.969,-202.53,-254.50998,0.5699996948242188,1422.6244438199399,debris_disk,0.6086957272911901,position_not_localised,rejected,False,inf,inf,inf,,,,False,catwise,0.250906362333996,False,0.115,0.223,0.0026966953110683545,0.6086957272911901,1.0,0.00038776011008826014,0.0026966953110683545,0,0,0,1,0,1
J0051+0423,,12.875416666666666,4.380277777777778,6.704289716783241,8.0,,,0.354731800307637,8.33025383989672e-18,7.367456887547042e+23,0.624,,,,,True,3.481897,3,0.26503421590171417,True,3.577767,7,0.5774457272911901,J005129.95+042251.7,15.846,0.055,16.04,0.216,12.025,8.085,ABUU,0000,J005129.93+042251.6,15.849,15.88,-29.890001,8.29,-0.1940011978149414,,unfit,0.26503421590171417,position_not_localised,rejected,False,5.778757197712559,0.6891896541818141,0.43946408301435425,0.03776157361596577,0.01359416650174768,0.006935799235585551,False,allwise,0.2228923560547622,False,0.026,0.064,0.00038776011008826014,0.26503421590171417,1.0,0.00038776011008826014,0.03394669531106836,0,1,1,2,1,1
J0054+69,,13.616666666666667,69.43333333333334,178.19784969881013,8.0,,,,,,3.059,,,,RRAT[kkl+15],True,7.617959,11,0.5150342159017142,True,7.176878,15,0.8274457272911901,J005426.55+692559.6,16.834,0.092,17.58,,12.33,9.006,AUUU,0000,J005426.63+692559.4,16.504,16.963,57.37,-3.98,-0.4589996337890625,,unfit,0.5150342159017142,position_not_localised,rejected,False,inf,inf,inf,,,,False,catwise,0.11788129611332208,False,0.03,0.114,0.0026966953110683545,0.5150342159017142,1.0,0.00038776011008826014,0.0026966953110683545,0,0,1,1,0,0
J0054+6946,,13.750859350187714,69.77284701456308,1.4142135623730951,2.8284271247461903,,,0.8329113287435861,7.1940970896673425e-16,4.915183362612406e+24,4.278,,,,,True,2.822941,0,0.021410526987714278,False,,1,0.07608696591139877,J005500.41+694619.6,14.301,0.036,14.354,0.045,12.402,8.93,AAUU,0000,,,,,,-0.053000450134277344,,unfit,0.021410526987714278,chance_coincidence,rejected,False,40.7122127776818,4.855444671794395,3.0960904989936817,0.0975351473733667,0.03511265305441201,0.017914618905312252,True,allwise,0.05762811856509504,False,,,4.847001376103253e-05,0.021410526987714278,1.0,4.847001376103253e-05,0.0003370869138835444,0,0,1,0,1,1
J0058+6125,,14.5,61.41666666666666,434.7529851936354,8.0,,,0.637,,,3.794,,,,,False,,4,0.29628421590171417,True,7.170916,9,0.6399457272911901,,,,,,,,,,J005800.98+612501.1,16.762,16.884,68.42,-1.16,-0.12200164794921875,,unfit,0.6399457272911901,position_not_localised,rejected,False,inf,inf,inf,,,,False,catwise,0.13629746228718786,False,0.044,0.129,0.0026966953110683545,0.6399457272911901,1.0,0.00038776011008826014,0.0026966953110683545,0,0,0,1,0,0
J0102+4839,,15.711119750000002,48.66187875,0.0007767704083284,1.5,-3.4,-2.2,0.0029641124215881,1.1412965219709528e-20,1.730111992195867e+27,2.293,"GRS:4FGL_J0102.8+4839[aab+22],GRS:3FGL_J0102.8+4840[bbc+24]",ELL1,He[hrm+11],"HE[aab+22],HE[bbc+24]",False,,0,0.006021710715294639,True,1.325986,0,0.012610396662580901,,,,,,,,,,J010250.53+483942.4,17.366,17.183,-32.329998,89.380005,0.1829986572265625,3238.5012837378667,companion,0.012610396662580901,non_degenerate_companion,rejected,False,0.033228961166748595,0.003962972568634216,0.0025270026839759128,1.8299043550871177,0.6587655678313624,0.3361048815466135,True,catwise,0.18278401901879088,False,0.059,0.173,9.480569452974685e-05,0.012610396662580901,0.9999999999999994,1.3632191370290395e-05,9.480569452974685e-05,0,0,0,1,0,1
J0108+6905,B0105+68,17.127669497282913,69.09942783003635,1.4142135623730951,2.8284271247461903,,,1.0711181098585134,4.8094564700787376e-17,1.5450539494596614e+23,2.265,,,,,False,,0,0.021410526987714278,True,2.029561,1,0.07608696591139877,,,,,,,,,,J010830.83+690556.2,16.848,16.544,-8.620001,-74.23,0.3039989471435547,2262.124705055178,companion,0.07608696591139877,chance_coincidence,rejected,False,363.0576860525219,43.29920647948863,27.6098835136283,0.01729271192706638,0.0062253762937438985,0.003176212394767295,True,catwise,0.09750897327175666,False,0.042,0.088,0.0003370869138835444,0.07608696591139877,1.0,4.847001376103253e-05,0.0003370869138835444,0,0,0,1,0,1
