source_id,ra,dec,phot_g_mean_mag,bp_rp,parallax,teff_gspphot,classprob_dsc_combmod_quasar,classprob_dsc_combmod_galaxy,phot_variable_flag,global_sigma,feature_resid,feature_index,class
4255266649881792640,283.0175095184571,-3.9657781269805383,12.276657104492188,1.1465816497802734,0.3099228418342653,32827.02734375,1.569241514509656e-09,1.2942689975314892e-10,VARIABLE,4.945519355781814,7.704875949908662,160,known_variable
4255324202451649920,282.57825193514105,-3.8797386810068404,12.836780548095703,1.4916048049926758,,,1.0247453384980287e-13,1.2342879496252124e-10,NOT_AVAILABLE,4.0219890190873455,7.30264569839051,114,clean
4255476652264494080,283.9207792606609,-3.7040721140011215,13.094972610473633,3.1560468673706055,0.23574703383575138,3808.86669921875,1.0218016618370948e-13,5.103848116708165e-13,VARIABLE,4.544510589376613,6.22754571492428,191,known_variable
4255442704841503360,283.75384427355647,-3.967453874154495,13.29836654663086,4.1057233810424805,0.056550634534118634,3530.574462890625,1.0202982122370363e-13,5.4721543268909656e-11,VARIABLE,2.5685523393532916,7.364967090279611,264,known_variable
4255704422966901248,283.16523768784805,-3.5949187809662484,13.405303955078125,1.6863012313842773,6.526863516424087,4412.74072265625,1.0589242021219122e-13,5.289273251156412e-13,NOT_AVAILABLE,5.421179270951259,6.476983152175191,89,clean
4259195338029771776,282.9208422819759,-1.7598466849563448,8.801913261413574,0.1800069808959961,3.61453176082219,10500.955078125,1.7204228493217233e-13,8.593425450398318e-13,NOT_AVAILABLE,15.910127754806469,7.557347955424138,45,clean
4255849592861496704,283.6120482584084,-3.060787592306679,12.431413650512695,1.9895458221435547,0.9306522529227177,,4.412089790739593e-11,2.27524932228107e-09,NOT_AVAILABLE,11.290103929739205,9.3490026090835,190,clean
4259056937001856768,282.064330021899,-2.336710222825101,12.81290340423584,2.33145809173584,1.6271169573091206,,1.0212674889792384e-13,5.101179353060592e-13,NOT_AVAILABLE,8.512071012698582,6.182655718403677,162,clean
4255692435764556160,283.0313481514637,-3.7540811559873233,13.21992015838623,1.7002534866333008,6.262958780357112,4249.24853515625,1.0202511578627504e-11,5.09610340038158e-11,NOT_AVAILABLE,3.8309524910501196,6.290659688558438,89,clean
4255725932163118592,283.37060784914746,-3.554465476854099,8.731673240661621,0.29058265686035156,5.151994772368229,9761.5205078125,1.0202511578627504e-11,5.09610340038158e-11,NOT_AVAILABLE,12.69408439360232,6.587693228091145,42,clean
