star_id,ra,dec,teff,logg,fe_h,snr,flag_sp,age,ruwe,vsini,chi2_sp,survey,Rb,Sr,Y,Zr,Ru,Ba,La,Ce,Nd,Sm,Eu,n_measured,chi2_null,chi2_s,a_s,chi2_r,a_r,chi2_sr,a_sr_s,a_sr_r,chi2_f,a_f,chi2_natural,fission_lr,enrich_lr,natural_class,classification,fission_lr_raw,lr_noba,flagged_core,n_flagged,lr_without_Rb,lr_without_Sr,lr_without_Y,lr_without_Zr,lr_without_Ru,lr_without_Ba,lr_without_La,lr_without_Ce,lr_without_Nd,lr_without_Sm,lr_without_Eu,lr_loo_min,lr_loo_driver,sample,peer_Rb,peer_Sr,peer_Y,peer_Zr,peer_Ru,peer_Ba,peer_La,peer_Ce,peer_Nd,peer_Sm,peer_Eu,veto_low_snr_or_flagged,veto_s_process_star,veto_r_process_star,veto_young_ba_enhancement,veto_nlte_saturated_lines,veto_single_element_driver,veto_teff_peer_residual,first_veto,vet_pass,veto_reasons
210925001601158,280.7129211425781,-34.66175079345703,5079.381,4.0255027,0.0271146,64.24561,104,14.794149,0.8938701,25.620941,4.243722,GALAH,-0.5663328,,0.63113374,0.402345,,0.8371867,-0.7526743,1.3898154,,0.47291607,,6,1764.5520369771584,543.1833742399427,11.96835521044019,863.8553351174949,44.40099301682491,543.1833742398398,11.96835523254589,0.0,360.37064688766657,98.8697669070937,543.1833742398398,91.40636367608664,702.0906950447459,S_PROCESS,FISSION,31.981175739748537,95.53214656680487,True,1,-13.505194262768647,91.40636367608664,111.69118877438933,92.41259431916018,91.40636367608664,95.53214656680487,91.40636367608664,24.738696111961445,91.40636367608664,128.3094278039213,91.40636367608664,-13.505194262768647,Rb,dwarf,-1.1417855880400083,,0.9871288114364845,0.9455048629377549,,1.2293806507963567,-0.7446687777717921,1.7329794073378504,,0.8621184993718303,,True,True,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;s_process_star;single_element_driver
170203001901003,94.44845581054688,-62.77983474731445,5884.656,4.6064014,0.08784352,45.152332,18,0.59284925,1.1977248,5.9053946,1.405879,GALAH,,,0.09833911,0.8678735,,-0.1699307,-0.8866917,0.96104145,1.2921877,,,5,549.694213197196,477.1208228469034,1.0917521712054974,320.6037599785263,7.091119615741471,320.6037599782718,0.0,7.091119636234126,164.06783402244764,7.775835613745927,320.6037599782718,78.26796297791208,192.81318958737415,R_PROCESS,FISSION,80.5123236178247,20.51547359782052,True,1,78.26796297791208,78.26796297791208,75.35269718964354,79.3196169759562,78.26796297791208,20.51547359782052,78.26796297791208,63.49281595659032,26.407428049988027,78.26796297791208,78.26796297791208,20.51547359782052,Ba,dwarf,,,0.05781198529208004,1.2016377196437724,,-0.34354611145333447,-0.9728834563730129,0.8821088163275429,1.157875778174258,,,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
151219002601021,65.26725006103516,-63.77063751220703,5551.3535,4.4166346,-0.14867014,110.47753,12,10.767723,1.3777193,13.101929,1.805054,GALAH,,,-0.00870564,0.20087697,,-0.5789488,-0.2383922,1.5255864,0.48928633,,,5,617.0855256397913,521.7405410393749,1.362747956712703,473.51281103671283,7.30095383465722,473.5128110407603,0.0,7.300953433495721,333.2392194180294,9.051507034119831,473.51281103671283,70.13679580934172,141.92315311088095,R_PROCESS,FISSION,87.02142345968207,21.79985055901183,True,1,70.13679580934172,70.13679580934172,67.95934359379677,70.23413333774582,70.13679580934172,21.79985055901183,70.13679580934172,4.447486554440772,89.73702694968276,70.13679580934172,70.13679580934172,4.447486554440772,Ce,dwarf,,,0.06743436560447183,0.38614585469545665,,-0.5779140707817628,-0.2820565525579994,1.3230866133598038,0.4171338587463025,,,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver
210925001601222,280.5498352050781,-33.97366714477539,6172.437,4.50695,0.597271,58.37326,88,0.6388588,0.8627403,7.647815,2.4871051,GALAH,,,-0.48463738,-0.5567669,,-0.6756618,-0.8409291,0.7752854,-0.87072676,,,3,556.8666274830958,556.8666274830958,0.0,547.6447550717093,1.5979646778313568,547.6447550452018,0.0,1.5979672127020514,421.67851871105825,6.694329500821692,547.6447550452018,62.98311816707178,67.5940543860188,R_PROCESS,INSUFFICIENT,13.471169354133536,61.876565721115426,True,3,62.98311816707178,62.98311816707178,67.24891064725188,62.98311816707178,62.98311816707178,61.876565721115426,62.98311816707178,0.0,62.98311816707178,62.98311816707178,62.98311816707178,0.0,Ce,dwarf,,,-0.5619930111598603,0.10484406431133012,,-0.6235008114915038,-0.8420283467678616,1.3726366201469735,-0.4958585224656914,,,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver
160124002601172,68.69316864013672,-63.95366668701172,4747.021,4.4123864,-0.39766985,58.25632,72,0.015664605,1.141032,14.076071,1.9882529,GALAH,-0.37194368,,-0.4251262,0.0021311922,,0.65797573,-0.033349294,1.4916049,0.33890903,-0.030088425,,7,702.9289526923378,536.2752115842071,2.050491477005935,463.971377531709,10.852367862355814,463.97137753223814,0.0,10.852367794694832,342.81097479194625,15.333696708727079,463.971377531709,60.580201369881365,180.05898895019578,R_PROCESS,FISSION,54.017513268151276,70.8373344878421,True,1,31.787797542159467,60.580201369881365,5.888643490901629,60.49181074637502,60.580201369881365,70.8373344878421,72.9352391092988,0.8322674336001654,76.68518758161397,60.580201369881365,60.580201369881365,0.8322674336001654,Ce,dwarf,-0.5200150251972372,,-0.5067462962323555,-0.06127850332503432,,0.7480895106285153,0.050518282550162,1.4303645206998692,0.4873780054250001,0.014148643639615599,,True,True,False,True,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;s_process_star;young_ba_enhancement;single_element_driver
170203001901215,91.76103973388672,-62.64230728149414,5769.2256,4.2424455,0.088726535,55.40849,16,9.845773,1.0061401,4.9039135,1.2730387,GALAH,,,-0.32541117,-0.25103056,,-0.29112393,0.6060411,0.87358016,0.6218948,0.62541014,,7,545.4539755279035,447.58372486282485,1.0861205354128682,268.2732925930593,4.852283340771259,268.27329259185,0.0,4.852283385232703,156.45880195243404,4.5076526590581105,268.27329259185,55.90724531970798,194.49758678773472,R_PROCESS,FISSION,53.09249369088964,28.813495209815834,False,0,55.90724531970798,55.90724531970798,45.07421378029548,55.738823574036104,55.90724531970798,28.813495209815834,57.11917706979533,33.06675499110328,50.68732108291964,55.79206834092247,55.90724531970798,28.813495209815834,Ba,dwarf,,,-0.24882874378934206,0.146223504679112,,-0.2181795203323351,0.48933098567033284,0.93679066259974,0.6679713386870916,0.5749057580381065,,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
170203001901387,95.3899154663086,-62.70219421386719,6214.9604,4.130713,0.11347294,64.15861,16,4.280999,1.0023038,9.307354,1.0895569,GALAH,,,-0.46579272,,,-0.15890828,1.4194869,0.123668484,0.51824915,,,5,535.4099150783328,513.3204570204636,0.5408504733228442,316.43225407069724,5.1038134629864675,316.43225407138897,0.0,5.103813428635922,209.53484286511946,4.767145128843367,316.43225407069724,53.44870560278889,162.93753610660667,R_PROCESS,FISSION,48.17163409334509,25.601399834897435,False,0,53.44870560278889,53.44870560278889,37.16689905481117,53.44870560278889,53.44870560278889,25.601399834897435,29.303139610316485,54.733097755848135,53.90460006277128,53.44870560278889,53.44870560278889,25.601399834897435,Ba,dwarf,,,-0.44512136648110895,,,-0.180073082850494,1.1693313569714185,-0.018671038573280063,0.6389225847437112,,,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
170203002501381,159.21961975097656,13.078194618225098,5938.5664,4.2883615,0.11310929,54.374657,16,6.3746257,1.1325723,2.5693264,1.1417952,GALAH,,,-0.23510042,-0.28040618,,-0.044351526,,,0.9590112,,,3,335.6079438119231,317.2856467405235,0.4988508353293648,161.31824111993035,5.5702814536626155,161.31824111966154,0.0,5.570281472464488,57.176995896442094,5.884026233229781,161.31824111966154,52.07062261160972,139.21547395774053,R_PROCESS,INSUFFICIENT,49.145692215501754,31.825633838870996,True,1,52.07062261160972,52.07062261160972,41.14672815855464,52.07062261160972,52.07062261160972,31.825633838870996,52.07062261160972,52.07062261160972,0.0,52.07062261160972,52.07062261160972,0.0,Nd,dwarf,,,-0.19852989038925264,0.09020880235051687,,-0.03339005545842931,,,1.0152370381172529,,,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver
170506006401384,288.8527526855469,-16.85619354248047,5956.913,4.1052756,-0.17426702,84.43645,76,8.602895,0.834009,23.54763,1.701115,GALAH,,,-0.18453631,,,-0.24964118,,,1.1252145,,,3,396.7367307317696,327.41129897312544,1.7342664498639182,166.66893711005775,8.749841122103707,166.668937110513,0.0,8.7498410473642,65.91161076277996,7.76721020020294,166.66893711005775,50.3786631736389,165.41255998449483,R_PROCESS,INSUFFICIENT,53.72897903036708,14.878640970396773,False,0,50.3786631736389,50.3786631736389,46.43300081500226,50.3786631736389,50.3786631736389,14.878640970396773,50.3786631736389,50.3786631736389,0.0,50.3786631736389,50.3786631736389,0.0,Nd,dwarf,,,-0.010943886162973926,,,-0.2823361070274817,,,1.1202154819341423,,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;nlte_saturated_lines;single_element_driver
140711001301285,242.9327850341797,-25.443056106567383,4728.649,4.198554,-0.022926241,122.13964,0,0.0058267373,2.6271777,8.221488,2.302892,GALAH,-0.58878595,0.11842664,0.09602357,0.12894653,0.6004023,-0.08991119,0.6620674,0.9899679,0.113882445,-0.01530853,0.27086586,11,651.3930111823479,431.2596893093934,1.4568552745255368,475.4903731770951,3.2757641072723427,428.71971633059167,1.2175870903149544,0.5533399374045995,333.5884188600862,4.033289266062715,428.71971633059167,47.56564873525272,158.90229616113083,S_PLUS_R,FISSION,6.454279725195363,26.09563182188694,False,0,30.471469802253438,37.66304485737672,21.334566237308366,53.175688189761985,46.837737157385334,26.09563182188694,39.519348642288605,18.299993397042464,97.97272958932703,56.64300802182538,48.106166395363715,18.299993397042464,Ce,dwarf,-0.7114429239409239,-0.05746205819812189,0.010755647957345696,0.36471865832809797,0.41781917148119196,-0.04779902344739269,0.528185984149418,1.119918628026706,0.2334479381108293,0.16427046471486428,0.12115958201191979,False,False,False,False,False,False,True,teff_peer_residual,False,teff_peer_residual
