star_id,ra,dec,teff,logg,fe_h,snr,flag_sp,age,ruwe,vsini,chi2_sp,survey,Rb,Sr,Y,Zr,Mo,Ru,Ba,La,Ce,Nd,Sm,Eu,n_measured,chi2_null,chi2_s,a_s,chi2_r,a_r,chi2_sr,a_sr_s,a_sr_r,chi2_f,a_f,chi2_natural,fission_lr,enrich_lr,natural_class,classification,fission_lr_raw,lr_noba,flagged_core,n_flagged,lr_without_Rb,lr_without_Sr,lr_without_Y,lr_without_Zr,lr_without_Mo,lr_without_Ru,lr_without_Ba,lr_without_La,lr_without_Ce,lr_without_Nd,lr_without_Sm,lr_without_Eu,lr_loo_min,lr_loo_driver,sample,peer_Rb,peer_Sr,peer_Y,peer_Zr,peer_Mo,peer_Ru,peer_Ba,peer_La,peer_Ce,peer_Nd,peer_Sm,peer_Eu,veto_low_snr_or_flagged,veto_s_process_star,veto_r_process_star,veto_young_ba_enhancement,veto_nlte_saturated_lines,veto_single_element_driver,veto_teff_peer_residual,first_veto,vet_pass,veto_reasons,vet_pass_screen,first_veto_screen,veto_reasons_screen,sig_Rb,sig_Sr,sig_Y,sig_Zr,sig_Mo,sig_Ru,sig_Ba,sig_La,sig_Ce,sig_Nd,sig_Sm,sig_Eu,fission_lr_screen,enrich_lr_screen,lr_noba_screen,lr_loo_min_screen,lr_loo_driver_screen,chi2_f_screen,chi2_natural_screen,a_f_screen,chi2_best,reduced_chi2_best,reduced_chi2_f,z_Rb,z_Sr,z_Y,z_Zr,z_Mo,z_Ru,z_Ba,z_La,z_Ce,z_Nd,z_Sm,z_Eu,veto_unexplained_by_all_templates,n_heavy_coherent,veto_heavy_peak_incoherent,veto_la_cn_blend,below_threshold_after_refit
160817001601077,248.4927978515625,-71.470947265625,5090.9365,2.4314597,-0.4995321,78.58169,10,11.591767,1.397019,5.047025,2.7156732,GALAH,,,0.60374254,0.064814456,,,-0.5800087,1.1618078,0.22811928,0.7797608,0.56262404,0.73651916,8,216.9235491266681,472.53276494728,1.572324724568241,438.6544864892807,3.139153275823798,428.7954148775422,0.580863810880612,2.2854943301611383,107.69670038909909,3.8579170283254682,115.08448398295398,3.6938917969274456,54.6134243687845,S_PLUS_R,UNEXPLAINED_BY_ALL_TEMPLATES,35.26019038703231,-16.042326441806548,False,0,3.6938917969274456,3.6938917969274456,15.129627071199785,4.10359992784187,3.6938917969274456,3.6938917969274456,-16.042326441806548,-0.7376340447274998,4.189468345146274,-0.661415909712268,3.8877523038009727,2.913791931394229,-16.042326441806548,Ba,giant,,,0.7096897994896301,0.2942058518617614,,,-0.6817538891576664,0.9034900623218788,0.1972992749038927,0.6798992900576564,0.308586729818204,0.2730250284114701,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged;nlte_saturated_lines;single_element_driver,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,38.33907187605925,124.91656142687008,-56.33647142069378,-56.33647142069378,Ba,352.1172711254237,428.7954148775422,3.412688294187031,107.69670038909909,15.385242912728442,15.385242912728442,,,7.646010197355061,2.8894175427278204,,,-5.369824083252488,7.866386873584085,1.7057757656524657,6.775657068798875,2.9249716761912237,1.4225439674191136,True,2,False,False,True
140610005701116,293.8567810058594,-27.87588882446289,5047.164,3.244254,-0.27242625,49.55891,84,4.7484174,3.359819,17.325502,1.7604749,GALAH,,,0.14454089,-0.2961635,,,-0.4069652,1.3043789,0.9877896,0.6011948,0.27203456,,7,191.2605497751551,259.424006025438,1.95150656046245,213.7284793992202,6.916162401168083,213.72847939761343,0.0,6.916162583663234,85.40703959072428,3.8439322416408026,121.92856537437295,18.260762891824335,52.926755092215416,R_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,43.39181069327783,10.93335751092841,False,0,18.260762891824335,18.260762891824335,19.4162259519369,14.27661610278971,18.260762891824335,18.260762891824335,10.93335751092841,9.973753460158242,12.06734241069773,21.389167952113517,13.523957420460306,18.260762891824335,9.973753460158242,La,giant,,,0.2161967728314849,-0.0803242040419505,,,-0.4323447496804126,1.0639046136620616,0.9282918729115064,0.470348087507443,0.1261443160000347,,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates,False,low_snr_or_flagged,low_snr_or_flagged,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,38.28427244152422,116.46531392411688,12.986240050974374,12.986240050974374,Ba,137.159934514565,213.72847939761343,6.66809393106796,85.40703959072428,14.234506598454047,14.234506598454047,,,2.3292468496708936,-0.7888699792875397,,,-3.4053568098747395,9.263062912002683,8.025664468538524,4.687337360869407,1.1956721263742782,,True,3,False,False,False
161116002201266,7.188624858856201,-72.69310760498047,5082.1333,3.342564,-0.25206625,58.556416,28,4.736343,1.0606961,13.495621,1.7930856,GALAH,,,0.009049062,-0.15067452,,,-0.32630494,0.988373,1.2192881,0.4036329,0.39550763,,7,153.0302609663525,302.16252440934085,1.5336430611937522,261.0465604044944,5.428819234074539,261.0465603305024,0.0,5.428824482644916,76.3645998845504,3.124241004971182,96.97773381456904,10.306566965009317,38.33283054090105,R_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,47.20921759678214,4.398693641615747,False,0,10.306566965009317,10.306566965009317,9.116576065611468,9.197077062530937,10.306566965009317,10.306566965009317,4.398693641615747,6.652669982897081,3.8263362536139702,18.81947591637742,7.860150196552894,10.306566965009317,3.8263362536139702,Ce,giant,,,0.0673682007522644,0.077610573585482,,,-0.3839513396705466,0.7149143346526334,1.1035004381413065,0.2613902360312196,0.2632498197869759,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,38.04350453473215,113.056697341071,13.548798905201435,13.089789515606569,Ce,184.9595512610381,261.0465603305024,5.257287384856781,76.3645998845504,12.727433314091734,12.727433314091734,,,0.7258071770225621,0.7622192128402265,,,-3.0241868559156027,6.224520857922878,9.54045221750169,2.604930798397728,2.4952410205486584,,True,3,False,False,False
131216002101292,115.01490020751952,-58.21023178100586,4969.137,2.4606578,-0.6208909,53.0026,28,7.6488576,1.6969934,19.572832,1.9960625,GALAH,,,0.55373883,0.532493,,,0.14221159,0.47075817,1.5182801,,-0.0044105244,0.036161054,7,253.51261844179007,207.00834614073275,4.972312431977635,208.0464328264312,24.584721313527627,202.96536182422892,2.117231200598576,13.713971770363232,209.80971280234772,3.648493736007352,111.25154301452982,-49.27908489390895,71.13053771363013,S_PLUS_R,UNEXPLAINED_BY_ALL_TEMPLATES,41.4400700556766,-57.918954628077195,True,2,-49.27908489390895,-49.27908489390895,-28.33668733217167,-35.984129599787956,-49.27908489390895,-49.27908489390895,-57.918954628077195,-45.906938598436525,-30.549585761582076,-49.27908489390895,-26.816622895421112,-46.54299416628809,-57.918954628077195,Ba,giant,,,0.6565436292667906,0.6773333153001427,,,0.0468831597907757,0.1732588555855121,1.4083377506182124,,-0.2517208434261948,-0.3251142674862183,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver;heavy_peak_incoherent,False,low_snr_or_flagged,low_snr_or_flagged;nlte_saturated_lines;single_element_driver,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,32.56909580140041,198.7168958660983,-0.4705561024122033,-22.041035854565365,Ce,137.82717022142813,202.96536182422892,26.46336775811004,111.25154301452982,18.541923835754968,34.96828546705795,,,7.0734274157419845,6.652140843282101,,,0.3692744912017067,1.5085071149620644,12.175961650281033,,-2.385962409214239,-1.6939448468343212,True,1,True,False,True
150603003301329,271.59161376953125,-49.565223693847656,4692.75,2.5814626,-0.12571993,44.202274,0,5.6435595,0.898792,3.3385527,1.5578829,GALAH,-0.038737,0.15180023,0.22863421,-0.4800051,,0.18084995,-0.6167299,0.38524145,0.65637356,0.62990993,0.24398364,0.31656352,11,119.17089092226223,324.12030842059886,0.4609481923637721,289.59983444168165,1.4687972379584466,289.5998346290889,0.0,1.4687928361145737,85.32075733485476,1.4134780892193397,106.47499674485039,10.577119704997813,16.925066793703735,R_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,38.245691554173504,8.576508848178612,False,0,9.663067511362286,10.620047500352321,10.767119786574497,9.779884370765995,10.577119704997813,10.5715078563141,8.576508848178612,12.23127842546834,6.63790113105901,2.8984093592782756,10.732031198346348,10.578921024650008,2.8984093592782756,Nd,giant,-0.0842966120925983,0.0466447797596458,0.2532452927034118,-0.4012207796942376,,0.0718209554106944,-0.7356786301556352,0.0838960751506574,0.6019685352936387,0.5548192155684074,0.1788859006298359,0.1953715578319207,False,False,False,False,True,True,False,unexplained_by_all_templates,False,unexplained_by_all_templates;nlte_saturated_lines;single_element_driver,False,single_element_driver,single_element_driver,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,32.48542263080165,60.46922752728,12.785931384760858,9.59090918909061,Nd,224.62898918007835,289.59983444168165,1.7062743222509071,85.32075733485476,8.532075733485476,8.532075733485476,-0.47934535758830066,0.32337601915057607,2.728397803991189,-3.940419104580497,,0.4318893679725345,-5.794561481159841,0.7304551669492932,5.204394895467204,5.52914938262803,1.695588766634518,1.0179456169865098,True,2,False,False,False
191108001601205,72.932373046875,-23.71199989318848,4717.69,3.3891556,-0.16605395,87.73451,100,14.794149,5.1618423,26.863003,2.3642535,GALAH,-0.99898535,-0.15589274,0.1014455,0.08169883,,0.7282019,0.5853332,1.019138,0.86474025,-0.8018421,0.2760438,-0.35367608,11,388.38123790188104,285.5422830113447,2.902354401734293,358.0934645561901,7.540548623990134,285.5422830116693,2.9023543931867177,0.0,377.6413853877222,1.0831059437206938,344.133087273043,-16.754149057339617,22.12407531441903,S_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,13.94425943549129,-8.510921252830542,True,2,-24.465031457695858,-24.589761092256424,-17.011917778623115,-15.055470893968334,-16.754149057339617,-16.63718918907935,-8.510921252830542,-9.219547116117752,-5.436333206064887,38.0242241753987,-17.307205152484897,-15.46913240762538,-24.589761092256424,Sr,giant,-1.062069202653367,-0.3642718098610786,0.1616836853809634,0.242218756045622,,0.9510600972078372,0.7666378149341636,1.0053247705403416,1.1902904274087938,-0.8472595923064438,0.2415002706660539,-0.5633840366488347,True,True,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;s_process_star;nlte_saturated_lines;single_element_driver;la_cn_blend,False,low_snr_or_flagged,low_snr_or_flagged;s_process_star;single_element_driver,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,32.45251449540558,189.3131845556656,56.22419784607151,-3.558220378591585,La,220.63725402053356,285.5422830113447,10.721578554535116,344.133087273043,34.4133087273043,37.76413853877222,-6.039364205647608,-2.525400878054133,1.741937263375951,2.3788484099384237,,5.719121138645108,6.0384110266710636,8.7530277403871,10.290806016145053,-8.443515870169517,2.2890856386043184,-2.9354032754359722,True,2,False,True,True
140304001501046,107.75724029541016,-59.6697883605957,4043.606,2.4338923,-0.562177,52.74231,8284,14.794149,0.991085,20.941483,2.0313592,GALAH,-0.37937844,0.18808793,-0.06383452,-0.4081864,0.6129671,0.034409218,-0.029716447,0.5515784,1.3135554,0.24377814,-0.07887931,-0.40115812,12,431.33669226427946,699.3767704175693,1.4371974607394256,765.5388520944358,1.3377920764751663,699.3767704305016,1.4371971971966273,0.0,359.27748168637373,2.643300241974646,400.964322440374,20.843420377000143,36.029605288952865,S_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,7.979804233073423,17.572002656464406,False,0,20.251617083308787,19.027587970751057,10.821490957283345,7.296964427510346,14.332767674090803,16.117051205958745,17.572002656464406,18.50593904388012,6.102606472919916,32.65617540170652,33.310662939072074,23.056355863937966,6.102606472919916,Ce,giant,-0.0359461320968703,-0.0209508130577429,-0.1424933990389478,-0.5516223128548903,0.9124398980057734,0.8769679918776421,-0.1481542448688709,0.4260293764668985,1.9529270425505012,0.1490833518633897,-0.2722759662915864,-0.6525253044654269,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged;single_element_driver,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,32.370360638603586,76.78446551348145,26.53453353470195,1.223441703179816,Ce,634.6360491403622,699.3767704175693,4.382704045073443,359.27748168637373,32.6615892442158,32.6615892442158,-0.20440455572476712,-0.14524648973564483,-1.535186193871029,-5.417523742770164,7.150563314947189,5.273574398702303,-1.1669346442832875,3.7092958014257373,16.88427706028159,1.4857166078342945,-2.5807962966510742,-3.3998565657382667,True,2,False,False,False
230208001601144,99.60116577148438,1.4485278129577637,4865.0664,2.436711,-0.45318395,78.85072,2,4.847692,1.1417274,5.3753476,1.7796687,GALAH,,-0.08289477,0.26122236,0.14568423,,,0.23603427,0.5787667,0.86933786,1.1683596,0.11439958,,8,186.3108898524249,222.643703205652,3.243843189389699,253.3793117733645,7.670737476381846,219.8904170926812,2.6454449544608405,1.3794213396743278,71.15028645528912,4.110052194017776,100.31358579425003,14.581649669480456,57.580301698567894,S_PLUS_R,UNEXPLAINED_BY_ALL_TEMPLATES,40.1477337986193,12.510267900670186,False,1,14.581649669480456,4.30583250336997,19.491310770097243,14.361863317715553,14.581649669480456,14.581649669480456,12.510267900670186,17.842159348611546,12.549296224225799,-6.335905681510383,12.15656918512964,14.581649669480456,-6.335905681510383,Nd,giant,,-0.2907220118652833,0.3532279166461911,0.2700660597329047,,,0.133049458795094,0.2880013648687008,0.7919841922183972,1.0326009973780217,-0.0793293445972555,,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged;single_element_driver,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,27.881607802560893,233.6660177957748,14.6890028198615,-29.293956292131995,Nd,164.12720148755943,219.8904170926812,5.473323449845699,71.15028645528912,10.164326636469875,10.164326636469875,,-2.0154994269642947,3.805584150440821,2.6523388496510596,,,1.0479620277404487,2.5075319039539448,6.847199223231063,10.29056854367335,-0.751931511035759,,True,3,False,False,False
230511003401363,276.1452941894531,-44.34597396850586,4451.304,1.6693447,-0.9363153,54.838234,0,7.195677,0.9795136,5.806102,0.9857865,GALAH,,,-0.12347913,-0.115115605,,,0.19619521,1.0358965,0.17837739,0.58106434,0.4577012,0.19607355,8,81.10005587807709,143.35461863582017,1.43556216882988,106.43241660124664,3.039390134426067,106.51809236892126,0.02575811927237,2.990194546034047,22.65619187693158,2.251470342457169,46.07198733732021,11.707897730194315,29.221932000572753,R_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,24.77476000533745,11.964222023965858,False,0,11.707897730194315,11.707897730194315,11.037077462386463,10.71331164933833,11.707897730194315,11.707897730194315,11.964222023965858,6.7669218568583505,11.759318765471198,9.257029538924488,10.701799185587255,7.297321148563187,6.7669218568583505,La,giant,,,-0.0602503803911378,-0.1331079479887909,,,0.1761595516123564,0.7727903284688351,0.216252992383956,0.4832779700301037,0.2257820837571029,-0.1359186721980051,False,False,False,False,False,True,False,unexplained_by_all_templates,False,unexplained_by_all_templates;single_element_driver;la_cn_blend,True,,,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,26.942018234126017,97.94246087453276,27.725293138990967,14.095063236576417,La,52.54838013299461,106.43241660124664,2.7642866893856226,22.65619187693158,3.2365988395616543,3.2365988395616543,,,-0.6491216630088994,-1.3072630525922677,,,1.3875180146192405,6.728427848201655,1.869642520673559,4.816192400423832,2.140099155819247,-0.7081778850820011,True,2,False,True,False
230801003301091,16.180583953857422,-71.64983367919922,4183.534,0.9787477,-0.75072724,86.58429,8,0.82134014,0.9711076,10.794243,1.3860475,GALAH,-0.22384407,0.70935154,-0.033403605,-0.103532776,-0.2180402,0.21197908,0.3581452,0.76193434,0.70443875,0.6771779,0.54430926,0.53456616,12,126.98012903625973,260.77093012870364,1.435397050571825,139.1461913765631,3.494845886412762,139.14619136294064,0.0,3.4948461821264063,45.78512214791521,2.6597035775292848,58.28922125913632,6.252049555610554,40.59750344417226,R_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,36.54561401663031,6.2350606000555935,False,0,2.059811725122003,9.540884072245642,5.336961011535024,3.8264755084158892,8.75003512604506,4.748037750069315,6.2350606000555935,4.654574005741772,3.6743470372637788,2.8642632914597392,6.935913112681661,7.251656873481238,2.059811725122003,Rb,giant,-0.1386719475264158,0.6031090209862412,0.0062696580976028,-0.1339640339315314,-0.0995587304405215,0.0504574709708572,0.1366257468554372,0.5183541697182754,0.5447968060627213,0.5777400966678248,0.5092211189694519,0.4810163726893112,True,False,False,True,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;young_ba_enhancement;nlte_saturated_lines;single_element_driver;la_cn_blend,False,low_snr_or_flagged,low_snr_or_flagged;young_ba_enhancement,0.17585778345015043,0.1442431627495737,0.09281831715776796,0.10182185423571896,0.12760391843513272,0.16629479847547848,0.12696019061107305,0.11485451667217969,0.11566542266381946,0.10034440691936945,0.10550075829111372,0.19192730394605143,26.645330905105496,179.34988292995166,26.09129827920391,15.896997761231129,Ce,85.85552955272965,139.14619136294064,3.3512559167357368,45.78512214791521,4.162283831628655,4.162283831628655,-0.7885459762190422,4.181196595316776,0.06754763811270083,-1.3156707362783127,-0.7802168746967755,0.30342182337289136,1.0761306059627258,4.513137007905169,4.710109499588035,5.757571492071909,4.826705771766414,2.506242534540679,True,3,False,True,True
