star_id,ra,dec,teff,logg,fe_h,snr,flag_sp,age,ruwe,vsini,chi2_sp,survey,Rb,Sr,Y,Zr,Ru,Ba,La,Ce,Nd,Sm,Eu,n_measured,chi2_null,chi2_s,a_s,chi2_r,a_r,chi2_sr,a_sr_s,a_sr_r,chi2_f,a_f,chi2_natural,fission_lr,enrich_lr,natural_class,classification,fission_lr_raw,lr_noba,flagged_core,n_flagged,lr_without_Rb,lr_without_Sr,lr_without_Y,lr_without_Zr,lr_without_Ru,lr_without_Ba,lr_without_La,lr_without_Ce,lr_without_Nd,lr_without_Sm,lr_without_Eu,lr_loo_min,lr_loo_driver,sample,peer_Rb,peer_Sr,peer_Y,peer_Zr,peer_Ru,peer_Ba,peer_La,peer_Ce,peer_Nd,peer_Sm,peer_Eu,veto_low_snr_or_flagged,veto_s_process_star,veto_r_process_star,veto_young_ba_enhancement,veto_nlte_saturated_lines,veto_single_element_driver,veto_teff_peer_residual,first_veto,vet_pass,veto_reasons,vet_pass_screen,first_veto_screen,veto_reasons_screen,sig_Rb,sig_Sr,sig_Y,sig_Zr,sig_Ru,sig_Ba,sig_La,sig_Ce,sig_Nd,sig_Sm,sig_Eu,fission_lr_screen,enrich_lr_screen,lr_noba_screen,lr_loo_min_screen,lr_loo_driver_screen,chi2_f_screen,chi2_natural_screen,a_f_screen,chi2_best,reduced_chi2_best,reduced_chi2_f,z_Rb,z_Sr,z_Y,z_Zr,z_Ru,z_Ba,z_La,z_Ce,z_Nd,z_Sm,z_Eu,veto_unexplained_by_all_templates,n_heavy_coherent,veto_heavy_peak_incoherent,veto_la_cn_blend,below_threshold_after_refit
210925001601158,280.7129211425781,-34.66175079345703,5079.381,4.0255027,0.0271146,64.24561,104,14.794149,0.8938701,25.620941,4.243722,GALAH,-0.5663328,,0.63113374,0.402345,,0.8371867,-0.7526743,1.3898154,,0.47291607,,7,312.13594725679997,543.1833742399427,11.96835521044019,863.8553351174949,44.40099301682491,543.1833742398398,11.96835523254589,0.0,172.60017423379713,65.27254653697214,90.56893163027081,-41.01562130176316,110.78350781326458,S_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,31.981175739748537,-36.11740895308259,True,1,-46.18869963692273,-41.01562130176316,-24.68950995000163,-41.01823426116671,-41.01562130176316,-36.11740895308259,-3.027312704611532,-44.98480369789153,-41.01562130176316,-36.67853108788937,-41.01562130176316,-46.18869963692273,Rb,dwarf,-1.1417855880400083,,0.9871288114364845,0.9455048629377548,,1.2293806507963567,-0.7446687777717921,1.7329794073378504,,0.8621184993718303,,True,True,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;s_process_star;nlte_saturated_lines;single_element_driver;heavy_peak_incoherent,False,low_snr_or_flagged,low_snr_or_flagged;s_process_star;single_element_driver,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,91.40636367608664,702.0906950447459,95.53214656680488,-13.505194262768647,Rb,360.37064688766657,543.1833742398398,98.8697669070937,90.56893163027081,15.094821938378468,28.766695705632856,-2.859163651496204,,10.223546480928936,4.084873612966,,10.899891189097826,-3.3735505443497353,6.141715664588408,,3.852907068050968,,True,1,True,False,True
170203001901003,94.44845581054688,-62.77983474731445,5884.656,4.6064014,0.08784352,45.152332,18,0.59284925,1.1977248,5.9053946,1.405879,GALAH,,,0.09833911,0.8678735,,-0.1699307,-0.8866917,0.96104145,1.2921877,,,6,113.06504183816281,477.1208228469034,1.0917521712054974,320.6037599785263,7.091119615741471,320.6037599782718,0.0,7.091119636234126,93.52002471808909,2.567246406136621,103.76602866363359,5.123001972772251,9.772508560036862,R_PROCESS,NORMAL,80.5123236178247,-0.08495257472435469,True,1,5.123001972772251,5.123001972772251,5.124151261937776,5.447624679588678,5.123001972772251,-0.08495257472435469,11.318471704016801,4.074387266397537,0.0,5.123001972772251,5.123001972772251,-0.08495257472435469,Ba,dwarf,,,0.05781198529208,1.2016377196437724,,-0.3435461114533344,-0.9728834563730128,0.8821088163275429,1.157875778174258,,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,78.26796297791208,192.81318958737413,20.51547359782052,20.51547359782052,Ba,164.06783402244764,320.6037599782718,7.775835613745927,93.52002471808909,18.704004943617818,18.704004943617818,,,0.5987501448045718,5.191446819285819,,-3.04593636710759,-4.40742463200443,3.1262122978326983,6.875979672337469,,,True,2,False,False,True
151219002601021,65.26725006103516,-63.77063751220703,5551.3535,4.4166346,-0.14867014,110.47753,12,10.767723,1.3777193,13.101929,1.805054,GALAH,,,-0.00870564,0.20087697,,-0.5789488,-0.2383922,1.5255864,0.48928633,,,6,59.28112245761113,521.7405410393749,1.362747956712703,473.5128110367128,7.30095383465722,473.5128110407603,0.0,7.300953433495721,54.94674935110651,0.8987086363510052,59.153427415453194,2.1033390321733414,2.1671865532523107,R_PROCESS,NORMAL,87.02142345968207,-0.304159022071385,True,1,2.1033390321733414,2.1033390321733414,2.0528285615053505,1.8776877113263595,2.1033390321733414,-0.304159022071385,3.806409891886961,0.6003490639433409,0.001083214796160803,2.1033390321733414,2.1033390321733414,-0.304159022071385,Ba,dwarf,,,0.0674343656044718,0.3861458546954566,,-0.5779140707817628,-0.2820565525579994,1.3230866133598038,0.4171338587463025,,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged;single_element_driver,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,70.13679580934172,141.92315311088095,21.79985055901183,4.447486554440772,Ce,333.2392194180294,473.5128110367128,9.051507034119831,54.94674935110651,10.989349870221302,10.989349870221302,,,0.6984077084793231,1.6682695927133644,,-5.123881268254349,-1.2777923082348577,4.689046935278982,2.4771257741533015,,,True,2,False,False,True
210925001601222,280.5498352050781,-33.97366714477539,6172.437,4.50695,0.597271,58.37326,88,0.6388588,0.8627403,7.647815,2.4871051,GALAH,,,-0.48463738,-0.5567669,,-0.6756618,-0.8409291,0.7752854,-0.87072676,,,6,111.5295698361943,556.8666274830958,0.0,547.6447550717093,1.5979646778313568,547.6447550452018,0.0,1.5979672127020514,111.5295698361943,0.0,111.5295698361943,0.0,0.0,R_PROCESS,NORMAL,13.471169354133536,0.0,True,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rb,dwarf,,,-0.5619930111598603,0.1048440643113301,,-0.6235008114915038,-0.8420283467678616,1.3726366201469735,-0.4958585224656914,,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver;heavy_peak_incoherent,False,low_snr_or_flagged,low_snr_or_flagged;single_element_driver,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,62.98311816707178,67.5940543860188,61.87656572111543,0.0,Ce,421.6785187110583,547.6447550452018,6.694329500821692,111.5295698361943,22.305913967238858,22.305913967238858,,,-5.82047814326179,0.45295880388259524,,-5.528060814337104,-3.8146156685880994,4.864653207100014,-2.9446277269963423,,,True,1,True,False,True
160124002601172,68.69316864013672,-63.95366668701172,4747.021,4.4123864,-0.39766985,58.25632,72,0.015664605,1.141032,14.076071,1.9882529,GALAH,-0.37194368,,-0.4251262,0.0021311922,,0.65797573,-0.033349294,1.4916049,0.33890903,-0.030088425,,8,107.43324562653522,536.2752115842071,2.050491477005935,463.971377531709,10.852367862355814,463.9713775322381,0.0,10.852367794694832,89.8019736055036,2.6285865444293433,94.60826532547804,2.4031458599872195,8.81563601051581,R_PROCESS,NORMAL,54.01751326815128,4.183186384515086,True,1,0.7413560701233095,2.4031458599872195,-12.96103000012507,2.2457345110913494,2.4031458599872195,4.183186384515086,3.5545081856241367,0.8736377576920873,1.9809703550369306,1.7482844754765594,2.4031458599872195,-12.96103000012507,Y,dwarf,-0.5200150251972372,,-0.5067462962323555,-0.0612785033250343,,0.7480895106285153,0.050518282550162,1.4303645206998692,0.4873780054250001,0.0141486436396155,,True,True,False,True,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;s_process_star;young_ba_enhancement;nlte_saturated_lines;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged;s_process_star;young_ba_enhancement;single_element_driver,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,60.580201369881365,180.05898895019578,70.8373344878421,0.8322674336001654,Ce,342.81097479194625,463.971377531709,15.33369670872708,89.8019736055036,12.8288533722148,12.8288533722148,-1.3021779866989576,,-5.2482961226012375,-0.26474209820215466,,6.632684726471231,0.22886145449345097,5.069242107353692,2.8942666572841396,0.06323192127547352,,True,2,False,False,True
170203001901215,91.76103973388672,-62.64230728149414,5769.2256,4.2424455,0.088726535,55.40849,16,9.845773,1.0061401,4.9039135,1.2730387,GALAH,,,-0.32541117,-0.25103056,,-0.29112393,0.6060411,0.87358016,0.6218948,0.62541014,,7,49.055242389685326,447.58372486282485,1.0861205354128682,268.2732925930593,4.852283340771259,268.27329259185,0.0,4.852283385232703,22.498227986497696,2.9759287436593436,35.4211129985411,6.461442506021701,13.278507201593815,R_PROCESS,UNEXPLAINED_BY_ALL_TEMPLATES,53.09249369088964,4.283644835009127,False,0,6.461442506021701,6.461442506021701,5.232682171123668,6.463127533086652,6.461442506021701,4.283644835009127,5.898044738497859,5.027262708020952,3.532875706264525,6.436014872987709,6.461442506021701,3.532875706264525,Nd,dwarf,,,-0.248828743789342,0.146223504679112,,-0.2181795203323351,0.4893309856703328,0.93679066259974,0.6679713386870916,0.5749057580381065,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,55.90724531970798,194.49758678773472,28.813495209815837,28.813495209815837,Ba,156.45880195243404,268.27329259185,4.507652659058111,22.498227986497696,3.749704664416283,3.749704664416283,,,-2.5770823406719905,0.6317307919530364,,-1.9344155366131104,2.2168014321949125,3.32000591730477,3.9667099295907873,2.5693201807201556,,True,3,False,False,True
170203001901387,95.3899154663086,-62.70219421386719,6214.9604,4.130713,0.11347294,64.15861,16,4.280999,1.0023038,9.307354,1.0895569,GALAH,,,-0.46579272,,,-0.15890828,1.4194869,0.123668484,0.51824915,,,5,66.26429087708334,513.3204570204636,0.5408504733228442,316.43225407069724,5.103813462986468,316.43225407138897,0.0,5.103813428635922,44.010193473485124,2.7341793360664766,58.33665125436948,7.163228890442177,11.127048701799108,R_PROCESS,NORMAL,48.17163409334509,5.632048634198597,False,0,7.163228890442177,7.163228890442177,5.1402030545759025,7.163228890442177,7.163228890442177,5.632048634198597,3.461695933682856,7.778490387672175,3.7830808110774896,7.163228890442177,7.163228890442177,3.461695933682856,La,dwarf,,,-0.4451213664811089,,,-0.180073082850494,1.1693313569714183,-0.01867103857328,0.6389225847437112,,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver,False,low_snr_or_flagged,low_snr_or_flagged,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,53.44870560278889,162.93753610660667,25.601399834897435,25.601399834897435,Ba,209.53484286511943,316.43225407069724,4.767145128843367,44.010193473485124,11.002548368371281,11.002548368371281,,,-4.610055878373103,,,-1.5965575901038893,5.297386641668826,-0.06617055551502721,3.794205550980877,,,True,2,False,False,True
170203002501381,159.21961975097656,13.078194618225098,5938.5664,4.2883615,0.11310929,54.374657,16,6.3746257,1.1325723,2.5693264,1.1417952,GALAH,,,-0.23510042,-0.28040618,,-0.044351526,,,0.9590112,,,4,40.81522870425831,317.2856467405235,0.4988508353293648,161.31824111993035,5.570281453662616,161.31824111966154,0.0,5.570281472464488,12.900973736162356,4.326426922023512,28.0111037545303,7.555065009183972,13.957127484047977,R_PROCESS,INSUFFICIENT,49.14569221550176,6.195201686596036,True,1,7.555065009183972,7.555065009183972,6.165984178407867,7.552800889659551,7.555065009183972,6.195201686596036,7.555065009183972,7.555065009183972,0.0,7.555065009183972,7.555065009183972,0.0,Nd,dwarf,,,-0.1985298903892526,0.0902088023505168,,-0.0333900554584293,,,1.0152370381172529,,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver;heavy_peak_incoherent,False,low_snr_or_flagged,low_snr_or_flagged;single_element_driver,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,52.07062261160972,139.21547395774053,31.825633838871,0.0,Nd,57.176995896442094,161.31824111966154,5.884026233229781,12.900973736162356,4.300324578720786,4.300324578720786,,,-2.056144586940615,0.3897299430422391,,-0.2960417272380743,,,6.0289276002522465,,,True,1,True,False,True
170506006401384,288.8527526855469,-16.85619354248047,5956.913,4.1052756,-0.17426702,84.43645,76,8.602895,0.834009,23.54763,1.701115,GALAH,,,-0.18453631,,,-0.24964118,,,1.1252145,,,3,50.53262545577948,327.41129897312544,1.7342664498639182,166.66893711005775,8.749841122103707,166.668937110513,0.0,8.7498410473642,20.12301087978748,4.542412473012224,38.60993522801478,9.243462174113649,15.204807287996001,R_PROCESS,INSUFFICIENT,53.72897903036708,5.186321313744232,False,0,9.243462174113649,9.243462174113649,8.921239050919871,9.243462174113649,9.243462174113649,5.186321313744232,9.243462174113649,9.243462174113649,0.0,9.243462174113649,9.243462174113649,0.0,Nd,dwarf,,,-0.0109438861629739,,,-0.2823361070274817,,,1.1202154819341423,,,True,False,False,False,True,True,False,low_snr_or_flagged,False,low_snr_or_flagged;unexplained_by_all_templates;nlte_saturated_lines;single_element_driver;heavy_peak_incoherent,False,low_snr_or_flagged,low_snr_or_flagged;nlte_saturated_lines;single_element_driver,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,50.3786631736389,165.41255998449483,14.878640970396772,0.0,Nd,65.91161076277996,166.66893711005775,7.76721020020294,20.12301087978748,10.06150543989374,10.06150543989374,,,-0.11334420348479293,,,-2.5032383935435765,,,6.652336137959751,,,True,1,True,False,True
140711001301285,242.9327850341797,-25.443056106567383,4728.649,4.198554,-0.022926241,122.13964,0,0.0058267373,2.6271777,8.221488,2.302892,GALAH,-0.58878595,0.11842664,0.09602357,0.12894653,0.6004023,-0.08991119,0.6620674,0.9899679,0.113882445,-0.01530853,0.27086586,11,31.776098002489594,431.2596893093934,1.4568552745255368,475.4903731770951,3.2757641072723427,428.71971633059167,1.2175870903149544,0.5533399374045995,18.617657538618474,1.938762436880468,25.20977508708719,3.296058774234359,6.57922023193556,S_PLUS_R,NORMAL,6.454279725195363,2.6752336657759628,False,0,2.0882926681347174,3.225068806422234,2.9337078839427324,3.297044009215048,3.2761759891315485,2.6752336657759628,2.255483053620871,1.8030260190033465,4.9666579384252305,3.3789579708929445,3.029773188954353,1.8030260190033465,Ce,dwarf,-0.7114429239409239,-0.0574620581981218,0.0107556479573456,0.3647186583280979,0.4178191714811919,-0.0477990234473926,0.528185984149418,1.119918628026706,0.2334479381108293,0.1642704647148642,0.1211595820119197,False,False,False,False,True,True,True,nlte_saturated_lines,False,nlte_saturated_lines;single_element_driver;teff_peer_residual,False,teff_peer_residual,teff_peer_residual,0.39934250963302165,0.3470209791929012,0.0965544406021805,0.23146490014686893,0.3095646136107937,0.11278834159610647,0.22073740054644114,0.2821653593196727,0.1683942991909168,0.22375792723387478,0.32526598346583985,47.56564873525272,158.90229616113083,26.09563182188694,18.299993397042464,Ce,333.5884188600862,428.71971633059167,4.033289266062715,18.617657538618474,1.8617657538618473,1.8617657538618473,-1.7815356661996964,-0.16558669833670178,0.11139464834828844,1.5756974733390545,1.3496993942805862,-0.4237940089460687,2.3928250620052602,3.9690152991385457,1.3863173470389163,0.7341436647434015,0.3724938609347207,False,2,False,False,True
