star_id,ra,dec,teff,logg,fe_h,snr,flag_sp,age,ruwe,vsini,chi2_sp,survey,Rb,Sr,Y,Zr,Mo,Ru,Ba,La,Ce,Nd,Sm,Eu,n_measured,chi2_null,chi2_s,a_s,chi2_r,a_r,chi2_sr,a_sr_s,a_sr_r,chi2_f,a_f,chi2_natural,fission_lr,enrich_lr,natural_class,classification,fission_lr_raw,lr_noba,flagged_core,n_flagged,lr_without_Rb,lr_without_Sr,lr_without_Y,lr_without_Zr,lr_without_Mo,lr_without_Ru,lr_without_Ba,lr_without_La,lr_without_Ce,lr_without_Nd,lr_without_Sm,lr_without_Eu,lr_loo_min,lr_loo_driver,sample,peer_Rb,peer_Sr,peer_Y,peer_Zr,peer_Mo,peer_Ru,peer_Ba,peer_La,peer_Ce,peer_Nd,peer_Sm,peer_Eu,veto_low_snr_or_flagged,veto_s_process_star,veto_r_process_star,veto_young_ba_enhancement,veto_nlte_saturated_lines,veto_single_element_driver,veto_teff_peer_residual,first_veto,vet_pass,veto_reasons
140304001501093,107.25627899169922,-59.81913757324219,4240.4536,3.2280867,0.011449605,70.005905,92,,1.0662625,19.61256,1.480768,GALAH,0.60093075,-0.24294929,0.82801557,-0.29817423,0.6580974,0.6320822,-0.12423064,1.4673636,1.3671334,0.87284136,0.48477978,-0.5456714,12,2349.4779209841145,1439.1699963071896,7.2165760669176136,1531.5666299314257,12.672251571156334,1439.1699963072783,7.216576062005448,0.0,1153.9233112017234,17.650012017154666,1439.1699963071896,142.6233425527331,597.7773048911955,S_PROCESS,FISSION,7.515467334797961,81.18361941450871,False,0,174.55458539821018,15.575457799635615,188.71380268307848,83.11531837471273,127.10377030023756,103.91132483702643,81.18361941450871,115.64596716004235,89.66446905956292,177.3690787929869,164.82424570501212,109.55009825941772,15.575457799635615,Sr,giant,0.8567957215268305,-1.0173251566243486,0.8122755088940343,-0.5064921468881399,1.8354374619761065,1.9322273508556775,-0.06255162758985527,1.5409942510525487,2.0664117146718595,0.8292073983415794,0.536277733110681,-0.5512335853444176,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
140304001501009,108.84906768798828,-59.51797866821289,4186.5137,2.9831202,0.22202608,60.590546,24,13.297544,1.0075519,9.814929,1.834202,GALAH,-0.07309291,-0.46168873,0.033889502,-0.5672878,0.07119552,-0.110853456,-0.33117324,0.78552204,0.77138597,0.35779685,-0.022275552,-0.81548554,11,866.3833080957089,721.5918328236526,1.3287880162744872,737.1918266018164,2.750746298004527,715.1845024459063,0.9547646323949444,0.8960491177496241,459.72885383422647,6.066124612722447,715.1845024459063,127.72782430583993,203.32722713074122,S_PLUS_R,FISSION,28.1837131406904,121.71366320267833,True,1,98.90119377867353,91.1128644296893,130.87177485051754,114.87399108466275,119.04528378468854,131.05198898831173,121.71366320267833,107.701079511089,48.21961051827313,127.09256855009932,154.17223778635378,127.72782430583993,48.21961051827313,Ce,giant,-0.30911574054207663,-0.7045827208114163,0.2421014454392228,-0.47308651858400064,0.8179234347796127,0.2981637033101889,0.019696040708246987,0.9985300225100727,1.3436778430252283,0.5780605295771782,0.1347427215380161,-0.9628585265071691,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
140304001501345,108.23072814941406,-58.78441619873047,4217.4507,2.6126077,0.6578759,118.973175,92,14.35833,1.228868,23.103312,2.37889,GALAH,0.26610485,-0.00969692,-0.6059887,0.3106103,-0.6654054,0.08557271,-0.40779027,0.9187878,0.9320422,0.26065317,0.07527452,-0.23109718,12,815.0603725265119,607.0889112665936,1.4381193825055496,596.9743398394236,2.644927712070146,587.265644813948,0.6350564452606179,1.4766872448772965,349.33405236176924,4.41105210410955,587.265644813948,118.9657962260894,232.8631600823713,S_PLUS_R,FISSION,25.762579753377338,111.38146267170961,False,0,116.95725719409864,95.15672842999402,73.00925119647286,121.10510632391569,135.04845539172695,116.67973957975943,111.38146267170961,72.54616005232828,79.95154129033403,101.6352064511623,130.31058582126195,87.32967319278603,72.54616005232828,La,giant,0.13519750347877446,-0.15350757679303495,-0.22597640000681324,0.3474785056352534,-0.058824596924998154,0.4561401789483679,0.005346453881325319,1.1334016662592459,1.159566078317244,0.6433502476406272,0.22298575567074352,-0.2331142375129942,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
140304001501294,107.10923767089844,-58.877098083496094,4220.5615,2.3634768,0.07076635,90.594734,28,10.826713,0.97013104,19.314465,2.2842035,GALAH,-0.43150946,-0.26136327,0.53740793,-0.25752223,0.018529804,0.48884162,-0.1632072,1.5178291,1.0217458,0.70010805,-0.048991214,-0.4297113,12,1661.9665223135432,1173.6582981326644,2.854367459569258,1468.423013472777,3.2073570001337557,1173.6582981335544,2.8543674465953877,0.0,1003.099041461566,6.351762779977689,1173.6582981326644,85.2796283355492,329.4337404259886,S_PROCESS,FISSION,54.982294240396755,55.84067198939181,False,0,56.01491973730759,-12.688126705266086,165.44424341205217,34.93949006541436,83.28308771996308,74.93377445909414,55.84067198939181,42.89397293541646,73.22417757876417,69.80121771130109,159.5109476573556,122.92035317020867,-12.688126705266086,Sr,giant,-0.5697870427358074,-0.7344181804241952,0.873589721597823,-0.2927716049758503,0.61066402981916,0.7075047402981831,-0.04890689506057978,1.4430727458774715,1.3569439369647798,0.7322154152417534,-0.19395097084726778,-0.5236565618316301,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver
140304001501303,107.22774505615234,-58.98405838012695,4214.752,2.8551562,-0.082416184,75.366,28,12.818638,1.2623999,19.985083,1.3418589,GALAH,0.5317193,-0.25233853,0.107625164,-0.45699924,-0.34762397,0.5062765,,0.94669807,1.3419343,0.5231434,-0.3282623,-0.68645144,9,1429.6396944640617,1216.5728787338514,2.245944538442586,1211.1497497247526,5.1241454684174235,1206.3416185353776,0.904442042415851,2.8902823470493404,1048.0925821016067,6.4145033890197904,1206.3416185353776,79.12451821688546,190.7735561812275,S_PLUS_R,FISSION,17.938196440931677,79.12451821688546,True,2,91.80680339260317,0.1422757932609784,62.48916589397436,52.1343895414559,79.12451821688546,60.704688328390375,79.12451821688546,71.71278370912887,13.744897010635412,120.10130420182293,74.76695862665429,79.12451821688546,0.1422757932609784,Sr,giant,0.8027985497203458,-0.9530926017956192,0.13928166624926175,-0.7255148758215683,0.6149671907301859,1.5429561806506353,,0.8623492579627022,1.9420598087618526,0.4381670551548108,-0.4316328562697361,-0.7433712621074662,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver
210925001601385,282.4723205566406,-34.037803649902344,5479.316,2.898714,-0.01850044,43.967537,88,0.5830793,0.88010025,19.08508,3.6837838,GALAH,,,-0.31724682,0.28630963,,,-0.6970913,-0.7381247,-0.9025873,1.1232307,0.3596099,0.9818839,6,792.6522955246696,792.6522955246696,0.0,733.4194907713756,1.5816790616741783,733.4194907553327,0.0,1.5816794926122055,589.2091584366303,3.037014118607055,733.4194907553327,72.1051661593512,101.72156854401965,R_PROCESS,FISSION,68.72087041496229,47.88019093678887,True,2,72.1051661593512,72.1051661593512,71.29488194778435,71.55027967937679,72.1051661593512,72.1051661593512,47.88019093678887,72.1051661593512,72.1051661593512,0.0,74.51270126034825,74.61006997239036,0.0,Nd,giant,,,-0.31885618773131896,0.7783814080754516,,,-1.0440655536946366,-1.0413163465894142,-0.8637833324430392,1.0259099222975556,0.12181868389199446,0.4792507408414062,True,False,False,False,False,True,False,low_snr_or_flagged,False,low_snr_or_flagged;single_element_driver
210925001601174,281.09307861328125,-34.354888916015625,4980.464,2.794989,-0.6270517,104.822685,72,4.110434,0.9547676,6.03822,7.955927,GALAH,,,-0.043271657,-0.40489978,,,-0.5328126,0.98369265,-0.086794116,0.91625774,0.44088963,,6,486.4680163883397,430.3279912204825,0.8579426400134502,288.8449276083345,3.7799778062624396,288.8449276091588,0.0,3.7799777778343704,167.9502763707434,3.545372656910559,288.8449276083345,60.447325618795546,159.25887000879817,R_PROCESS,FISSION,70.20890738195487,32.10807811918858,True,1,60.447325618795546,60.447325618795546,60.06648254388314,57.33314232435913,60.447325618795546,60.447325618795546,32.10807811918858,46.252576967439694,60.447325618795546,29.769875170196727,54.76486702291008,60.447325618795546,29.769875170196727,Nd,giant,,,0.06707910307568576,-0.22533607973051106,,,-0.5613810975804192,0.7136933195258819,-0.15533198245521962,0.779552041804056,0.1735879268087262,,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
170115004201185,100.85028839111328,-63.38805389404297,4115.428,1.1475552,-0.9143271,43.08576,24,8.375606,1.1806529,6.1408653,4.455856,GALAH,-0.124790795,-0.19026282,-0.07026454,0.37237233,0.117638096,-0.19463597,0.26418105,1.2224224,0.5158775,0.7826347,-0.042188283,0.22843325,12,541.9100917945053,287.5254419230303,1.9268912763805863,322.1183849088119,3.7321791843595205,286.3639601203866,1.6023226618879851,0.5395131748852033,174.5304424538706,4.050132984831623,286.3639601203866,55.916758833258,183.68982467031736,S_PROCESS,FISSION,65.9438056661829,45.086608429507976,False,0,51.38147952569517,49.3117499012107,27.90301572749152,63.761911230864484,57.41093551172743,59.26360404057259,45.086608429507976,23.39838829234322,54.938827523918974,29.115442045413943,64.3858100818438,54.86806280185773,23.39838829234322,La,giant,-0.027607560970709377,-0.20007260755832523,0.03305865025784471,0.4134249860588135,0.024689879660372505,-0.31568677916249466,0.14256233432289844,0.9656216674945,0.5154808543533537,0.6828712082600041,-0.17413461620049608,0.04861952362323585,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
150827004601193,37.815040588378906,-78.6348876953125,4994.576,2.4422204,-0.52895993,59.742573,28,8.6639185,0.95825213,13.199612,2.452525,GALAH,,,-0.11437497,0.6694339,,,-0.24548215,1.0838627,1.072173,0.6944391,0.8538695,-0.10092342,8,650.3515742206487,360.13697542193904,2.929944584438248,291.67988827594576,6.801972734488091,291.6798882737099,0.0,6.801972870159238,180.76148874985606,6.059352669583613,291.6798882737099,55.45919976192691,234.7950427353963,R_PROCESS,FISSION,56.4464576936474,24.51283490953103,False,0,55.45919976192691,55.45919976192691,44.57697318337863,57.907968747879934,55.45919976192691,55.45919976192691,24.51283490953103,48.07994387398547,32.30439411706615,70.97320680817397,53.00008901023452,38.73732795068335,24.51283490953103,Ba,giant,,,-0.010392940106077497,0.8412467136382393,,,-0.32409320752272075,0.817506386686194,1.0268576049503941,0.5794450349267753,0.6106450461510384,-0.5087420775679782,True,False,False,False,False,False,False,low_snr_or_flagged,False,low_snr_or_flagged
170203001601307,74.66954040527344,24.597888946533203,4784.65,2.4577634,-0.134503,60.82165,0,3.4477854,0.9850731,5.2453,2.1643417,GALAH,-0.16257128,-0.84759706,-0.15554342,-0.06067093,,,-0.021714933,1.1712108,0.26889575,0.39804056,-0.34985182,0.16697377,9,352.7217154496215,334.76720034088663,0.3054333177622533,340.40525390309193,0.4768117943982766,334.64327323007296,0.27819912715872436,0.0659894556603677,229.67658410044376,1.5254278660693312,334.64327323007296,52.4833445648146,61.522565674588876,S_PROCESS,FISSION,61.59374151570336,48.363686914911185,False,1,39.44838580288477,52.4833445648146,43.368203860989624,51.696177428425386,52.4833445648146,52.4833445648146,48.363686914911185,10.926191928421957,49.7051026668845,42.93174878351505,66.6829987455662,53.38448850379639,10.926191928421957,La,giant,-0.2421818915732285,-1.0062922391115348,-0.11889290821855866,0.01616102908118397,,,-0.1559743478963218,0.8947460148918857,0.20245408323409947,0.30827390756416334,-0.4490129431868045,-0.008484686472717627,False,False,False,False,False,False,False,,True,
