spec_id,wavelength,significance,ra,dec,redshift,simbad_id,simbad_otype,simbad_sptype,n_lines_in_spectrum,search_mode,data_release,route,identifier,n_exposures_in_file,n_tested,n_present,frac_present,combined_sig,combined_sig_raw,null_exposure_bias_sig,null_exposure_scatter,null_calibrated,stack_sig,stack_ew_A,stack_over_coadd_F,coadd_sig_cal,mean_F,chi2_p,dominant_frac,max_exposure_sig,ratio_to_coadd,coadd_recovered,on_sky_line,sky_corr,n_cosmic_flagged,persistence_class,basis,coadd_ew_A,coadd_sig,mean_exposure_ew_A,n_other_epochs,self_found,other_releases,other_best_sig,second_epoch,error,other_best_err_rel,known_line_match,known_line_label,known_line_wave_vac,known_line_dv_kms,known_line_frame,nearest_any_label,nearest_any_dv_kms,z0_star_label,z0_star_dv_kms,telluric_band,oh_gap_A,oh_density_per_100A,band_blue_label,band_blue_dA,band_red_label,band_red_dA,between_band_heads,n_other_candidates_within_3A,nearest_other_candidate_dA,plate_n_other_candidates,plate_other_fibre_same_wavelength,simbad_id_3as,simbad_otype_3as,simbad_sptype_3as,nist_context,verdict
06b1cbbc-5e0f-11f0-9405-525400f334e1,7141.67364109735,10.613091011810706,113.09477,41.652699,7.54794164095074e-05,,,,2,emission,SDSS-DR17,sdss_full_spec,2701-54154-0455,6,6,6,1.0,8.873847173467475,8.455278417589138,-0.19526218189744793,1.0,True,8.915585804865046,1.4788860520174272,0.9902931743611065,5.6978896628180085,11.972596319332242,0.5948106639289745,0.2278628487543872,5.33641196177941,0.9513654199688816,True,False,0.554437115393566,0,persistent,present at >= 2.5 sigma in 6/6 exposures; combined 8.9 sigma; chi2 p=0.59,1.495480210090433,5.383827387186058,1.4887325352309526,0,True,,,none,,,True,[Ar III],7137.76,141.9,star,[Ar III],141.9,[Ar III],164.5,H2O 7200,99.12,0.0,TiO head 7128.0,13.7,CN head 7261.5,119.9,True,0,7.126,2,0,,,,,KILLED_known_line_rest_frame
0099505f-89f2-11ef-b380-525400f334e1,8818.400000000296,11.274439778564076,154.79347540945454,-6.537852427702424,0.0010105966588044,,,,25,absorption,DESI-DR1,desi_cframe,TARGETID 39627630525288102 (main/bright/hpx26848),1,1,1,1.0,7.611676083322743,8.13618592144383,0.030158402097597833,1.031719337421017,True,,,,7.856786614887117,10.441131144966182,,1.0,7.611676083322743,0.9999999546798156,True,False,,0,single_exposure_only,only one testable exposure (7.6 sigma): persistence undecidable,0.3866583822181612,8.13617231596028,0.3866583375820203,0,True,,,none,,,True,Mg I,8809.18,10.8,star,Mg I,10.8,Fe I,-280.0,,11.12,5.83,VO head 8635.1,183.3,TiO head 8870.8,52.4,False,5,1.6,0,0,,,,,KILLED_known_line_rest_frame
003d883c-88e8-11ef-847b-525400f334e1,8820.000000000295,11.135437496913305,184.16292796503947,-0.6270586195025074,0.0012733078721071,Gaia DR3 3698099848403791744,PM*,,25,absorption,DESI-DR1,desi_cframe,TARGETID 39627769696489720 (sv3/bright/hpx26276),4,4,2,0.5,7.381761696393884,7.030811491214999,-0.2228724320215729,1.0,True,,,,9.741149531195104,9.272949077437204,0.9623713079007095,0.29507346228074854,5.043572061644948,0.9320221591084458,True,False,0.023760187733153606,0,persistent,individual exposures are low S/N (max 5.0 sigma) but every one is consistent with the 7.4-sigma mean (chi2 p=0.96),0.5003669672547122,9.01208427513681,0.48043041946951504,4,True,"DESI-DR1,DESI-EDR",8.899072082586674,confirmed,,,True,Mg I,8809.18,-13.4,star,Mg I,-13.4,Fe I,-225.6,,9.52,5.83,VO head 8637.4,182.6,TiO head 8873.1,53.1,False,1,1.6,0,0,,,,,KILLED_known_line_rest_frame
05811e92-5e33-11f0-9c48-525400f334e1,6478.8809526878,8.802036657205672,37.955845,23.828541,-0.0002375935146119,,,,4,emission,SDSS-DR17,sdss_full_spec,3241-54884-0559,14,14,3,0.21428571428571427,7.359160787355537,7.224281633514924,-0.04101978266850136,1.0,True,3.9123917255024683,0.5747417916122809,1.0356733870822765,3.647316732011404,8.872495799824248,0.8357362524388003,0.11750990798438025,3.1312432833074233,1.0329644667741382,True,False,0.4621530980934808,0,persistent,individual exposures are low S/N (max 3.1 sigma) but every one is consistent with the 7.4-sigma mean (chi2 p=0.84),0.5555497655736737,3.553999815654575,0.6150251443972454,0,True,,,none,,,True,CN head,6479.79,29.2,star,CN head,29.2,CN head,-42.1,H2O 6500,1.31,5.83,CN head 6478.3,0.6,ZrO head 6495.3,16.4,True,0,3.519,7,0,,,,,KILLED_known_line_rest_frame
0043521b-85ec-11ef-8227-525400f334e1,8534.40000000023,8.368718586165413,310.7028071627347,-2.6738129951117666,-0.0012591051267473,,,,2,absorption,DESI-DR1,desi_cframe,TARGETID 39627723500427166 (main/bright/hpx30020),3,3,3,1.0,7.192443122174045,7.458154646123335,0.10999729951011102,1.0,True,,,,7.366003347688571,6.347908685974129,0.6455385227952357,0.3998765019355885,4.817499160724963,1.0159306483070738,True,False,-0.7947711163747654,0,persistent,present at >= 2.5 sigma in 3/3 exposures; combined 7.2 sigma; chi2 p=0.65,1.0474018132823164,7.60814439463713,1.0804433639666475,0,True,,,none,,,True,Ca II,8544.44,25.3,star,Ca II,25.3,Ca II,-352.2,,6.85,3.33,VO head 8512.6,21.8,VO head 8615.5,81.1,True,0,4.0,0,0,,,,,KILLED_known_line_rest_frame
003a811c-87b4-11ef-a50c-525400f334e1,6135.200000000085,8.237017215615072,210.79452886601536,45.05443936768047,-0.000563934274802,,,,22,absorption,DESI-DR1,desi_cframe,TARGETID 39633166566163874 (main/bright/hpx10698),1,1,1,1.0,7.1432541962784795,7.520806954449706,-0.03361594204170021,1.0231982841616154,True,,,,7.383139691843127,16.167927814181425,,1.0,7.1432541962784795,1.0000000402722755,True,False,,0,single_exposure_only,only one testable exposure (7.1 sigma): persistence undecidable,0.5023161388851322,7.520806921988044,0.5023161900599933,0,True,,,none,,,True,Fe I,6138.32,16.8,star,Fe I,16.8,Zr I,-51.2,,1.6,2.5,YO head 6130.2,5.0,TiO head 6156.7,21.5,True,0,7.465,0,0,,,,,KILLED_known_line_rest_frame
00995baf-8a0f-11ef-9298-525400f334e1,6102.400000000078,10.079668476538252,254.536855725815,33.438500670902584,-0.0003420248546884,,,,22,absorption,DESI-DR1,desi_cframe,TARGETID 39632951863936457 (main/bright/hpx9335),1,1,1,1.0,7.125907551367308,6.812685721605476,-0.5427158535653919,1.0,True,,,,7.355400715062487,25.959169808114495,,1.0,7.125907551367308,1.0000001146049482,True,False,,0,single_exposure_only,only one testable exposure (7.1 sigma): persistence undecidable,0.7384772132354682,6.812685307923953,0.7384772570476682,0,True,,,none,,,True,Ca I,6104.41,3.9,star,Ca I,3.9,Ca I,-98.7,,3.09,3.33,YO head 5971.6,130.8,C2 Swan 6121.7,19.3,True,2,0.0,0,0,,,,,KILLED_known_line_rest_frame
05f997a2-5e34-11f0-b94f-525400f334e1,7095.777679633888,8.809370434446926,121.76493,6.83959,6.064536137273535e-05,SDSS J080703.58+065022.5,*,F9,1,emission,SDSS-DR17,sdss_full_spec,2076-53442-0558,7,7,4,0.5714285714285714,7.093132144856494,7.177992401616599,0.019681568846119837,1.0,True,7.321138414847888,1.1036506131256987,0.9837389043900499,7.241295187897619,8.328672319309874,0.01874633406609267,0.3058176120675389,5.249885029772014,0.973256102439717,True,False,-0.0682198881785806,0,partial,present in 4/7 exposures; combined 7.1 sigma; dominant share 31%,1.1237864039608638,7.4129524748689954,1.1878356723963142,0,True,,,none,,,True,CN head,7089.95,228.0,star,CN head,228.0,CN head,246.2,H2O 7200,89.95,0.0,CN head 7090.4,5.4,TiO head 7127.9,32.1,True,0,33.378,4,0,SDSS J080703.58+065022.5,*,F9,,KILLED_known_line_rest_frame
0355938b-5e33-11f0-9d68-525400f334e1,6523.790409982095,9.476172159581,36.950729,23.784439,6.716226380376611e-06,,,,2,emission,SDSS-DR17,sdss_full_spec,3241-54884-0464,14,14,2,0.14285714285714285,6.576587134860485,6.630915349030457,0.010467582907435323,1.0,True,8.312871384011784,0.6061656940487908,1.1212697086952443,6.736344829388888,6.316800115678257,0.573260478173415,0.12952890942495027,3.1157608465320883,0.9167007857483153,True,False,-0.18610264577995367,4,persistent,individual exposures are low S/N (max 3.1 sigma) but every one is consistent with the 6.6-sigma mean (chi2 p=0.57),0.5410259582746987,6.732977991560119,0.49998477398282726,0,True,,,none,,,True,sky OH,6524.2,-18.9,obs,sky OH,-18.9,Fe II,271.8,H2O 6500,0.41,9.17,ZrO head 6496.8,27.0,TiO head 6653.1,129.3,True,0,41.39,7,0,,,,,KILLED_known_line_rest_frame
01977afd-5de1-11f0-8f4d-525400f334e1,6743.727297598055,8.28684095682902,310.46691,76.379416,-0.0004409307439345,,,,1,emission,SDSS-DR17,sdss_full_spec,2190-54386-0467,7,7,4,0.5714285714285714,6.494008341871364,6.89676441645089,0.007913930510626405,1.0539104011804157,True,7.258963074219969,2.8420769725235036,1.0460649399581359,6.85205115140873,5.1412813117169165,0.710297070972385,0.22151091358746955,3.3883601113218176,1.0438062798759786,True,False,-0.35269068306555507,0,persistent,individual exposures are low S/N (max 3.4 sigma) but every one is consistent with the 6.5-sigma mean (chi2 p=0.71),2.7234936302359687,6.685612264214054,3.0934253854100993,0,True,,,none,,,True,sky OH,6744.46,-32.6,obs,sky OH,-32.6,S I,-76.2,,0.73,3.33,TiO head 6713.3,30.4,CaH head 6748.9,5.2,True,2,0.0,0,0,,,,,KILLED_known_line_rest_frame
03dea51d-5e1a-11f0-96fc-525400f334e1,7568.328950209744,8.033844633162968,174.45614,67.552624,-0.0010646332520991,SDSS J113749.46+673309.4,Pe*,A0,3,emission,SDSS-DR17,sdss_full_spec,2858-54464-0621,7,7,3,0.42857142857142855,6.331448331669204,5.746413964126869,-0.23314334173927298,1.0,True,4.918394832087043,0.40836659646224194,0.8949412959642296,5.388700609859587,21.296720670397622,0.8740638494643191,0.18899757427616332,3.112617429357426,0.9903101485762962,True,True,-0.11279008879280226,0,persistent,individual exposures are low S/N (max 3.1 sigma) but every one is consistent with the 6.3-sigma mean (chi2 p=0.87),0.45893492967324173,5.469412995536377,0.4621174929711751,1,True,SDSS-DR17,-0.6459545025459099,not_seen,,,True,DIB,7564.28,160.4,obs,DIB,160.4,TiO head,-910.7,,5.46,1.67,CN head 7431.1,137.2,TiO head 7583.3,15.0,True,0,26.095,0,0,SDSS J113749.46+673309.4,Pe*,A0,,KILLED_known_line_rest_frame
00421c0d-87ed-11ef-be9b-525400f334e1,4077.6000000001086,10.291625428438763,208.34652138360013,52.52701103745251,-0.0002286505419394,,,,18,absorption,DESI-DR1,desi_cframe,TARGETID 39633286300959724 (main/bright/hpx11089),1,1,1,1.0,6.249378281685398,5.911492204196556,-0.5391509630905894,1.0,True,,,,6.4506401891888965,55.62187226299549,,1.0,6.249378281685399,0.9999998772812424,True,False,,0,single_exposure_only,only one testable exposure (6.2 sigma): persistence undecidable,0.8100811888250652,5.911488857020649,0.8100811770814761,0,True,,,none,,,True,Sr II,4078.86,-24.2,star,Sr II,-24.2,[S II],7.3,,1162.56,0.0,CN head 3883.6,194.0,CN head 4216.2,138.6,False,1,1.6,0,0,,,,,KILLED_known_line_rest_frame
005fb0c4-8843-11ef-9e0b-525400f334e1,3755.2000000000353,9.993191012305818,199.61081648912204,17.944841923064203,0.0011425276125834,,,,22,absorption,DESI-DR1,desi_cframe,TARGETID 39628216222093287 (sv1/other/hpx27984),8,8,3,0.375,6.064050280387885,6.067094994485493,-0.5519822293082851,1.2491530152173533,True,,,,3.0356986994578437,14.27891695423949,0.795915316741576,0.17697041288528584,3.090385275574176,1.1094008462575862,True,False,0.6023528509080618,0,persistent,individual exposures are low S/N (max 3.1 sigma) but every one is consistent with the 6.1-sigma mean (chi2 p=0.8),1.0319104826439067,3.693340887748609,1.020757761570731,1,True,DESI-EDR,3.4506842510049,not_seen,,,True,H Balmer,3751.22,-24.1,star,H Balmer,-24.1,H Balmer,318.4,,1484.96,0.0,CN head 3595.1,160.1,CN head 3888.9,133.7,False,0,20.0,0,0,,,,,KILLED_known_line_rest_frame
0064fbb1-87cb-11ef-b96e-525400f334e1,8695.200000000266,10.71717213399978,168.785942347389,50.845875902173134,0.0004783976449774,,,,22,absorption,DESI-DR1,desi_cframe,TARGETID 39633259545495750 (sv1/bright/hpx5961),15,10,3,0.3,5.935311489217171,5.351209960900927,-0.194648292201011,1.0,True,,,,6.330814564185543,3.083365229913722,0.3123015869162844,0.207519522781355,3.817218785864326,0.9422080063111383,True,False,0.44646707104934713,0,partial,present in 3/10 exposures; combined 5.9 sigma; dominant share 21%,0.4070233902054664,5.802307693474942,0.4151653537505653,1,True,DESI-EDR,6.1655902949989025,confirmed,,,True,Fe I,8691.02,0.9,star,Fe I,0.9,S I,-38.5,,37.82,0.83,VO head 8630.5,64.7,TiO head 8866.1,170.9,False,0,7.2,0,0,,,,,KILLED_known_line_rest_frame
04254954-5e34-11f0-89f1-525400f334e1,6599.332342635646,10.006467569941464,120.74229,7.291201,0.0001720893051242,,,,5,emission,SDSS-DR17,sdss_full_spec,2076-53442-0479,7,7,4,0.5714285714285714,5.796851726675031,7.448022158507746,0.17768979978034216,1.1987537759574802,True,3.113125172898198,1.2684207765460047,0.8993054616544227,3.566002206834118,8.081693609737975,0.2019240079021117,0.26833064771593435,3.6023423816899913,0.9723855943382184,True,False,-0.13460651548541092,0,partial,present in 4/7 exposures; combined 5.8 sigma; dominant share 27%,1.4317796902326065,9.238605330309213,1.3822790080791176,0,True,,,none,,,True,sky OH,6598.42,41.4,obs,sky OH,41.4,Fe I,209.2,H2O 6500,0.91,7.5,ZrO head 6497.9,101.4,TiO head 6654.2,54.8,True,0,3.04,4,0,,,,,KILLED_known_line_rest_frame
002105fe-8790-11ef-ad96-525400f334e1,4456.000000000195,8.135959796061362,198.3769358424691,74.72526635011418,-0.0001665600264822,,,,23,absorption,DESI-DR1,desi_cframe,TARGETID 39633524784891421 (sv1/backup/hpx11999),2,2,1,0.5,5.671549176804167,8.030960722796962,0.18657669497171336,1.3542904315510904,True,,,,3.594241988810852,14.040860127858917,0.5949857716144002,0.5864130191639323,5.38543501759967,0.9950292245360653,True,False,,0,partial,present in 1/2 exposures; combined 5.7 sigma; dominant share 59%,1.5590348111980576,7.23044120923915,2.0628356701854553,1,True,DESI-EDR,7.877841176124982,confirmed,,,True,Ca I,4456.03,47.9,star,Ca I,47.9,Ca I,-2.0,,784.16,0.0,C2 Swan 4383.0,73.0,C2 Swan 4737.6,281.6,False,0,4.0,0,0,,,,,KILLED_known_line_rest_frame
000e4a25-8679-11ef-b168-525400f334e1,8681.600000000264,10.759461729028716,288.0515052438038,61.70182500891298,-0.0010644493432363,,,,25,absorption,DESI-DR1,desi_cframe,TARGETID 39633408611063132 (main/bright/hpx16001),2,2,1,0.5,5.660565891160643,5.469370293322386,-0.2105518149583957,1.0,True,,,,4.472951045290934,11.78821155461474,0.47652610412220187,0.5824606215493352,5.3262474502323895,0.9930147507038264,True,False,,0,partial,present in 1/2 exposures; combined 5.7 sigma; dominant share 58%,0.15035623206167625,3.8250070458718195,0.14928059463228271,0,True,,,none,,,True,Fe I,8691.01,-5.4,star,Fe I,-5.4,N I,-36.7,,24.22,1.67,VO head 8617.2,64.4,TiO head 8852.4,170.8,False,0,4.0,0,0,,,,,KILLED_known_line_rest_frame
