target_id,tier,ra,dec,n_events,n_visits,visits_exact,duty_cycle,p_binomial,p_timing,timing_period_d,first_mjd,last_mjd,polarities,grey_confirmed,notes
3834721387994870784,interest,149.71091879424344,1.790028019543926,2,0,False,,,1.0,,61090.20004827992,61091.21579302594,dip,2,denominator_approximate
3836261597626954880,interest,150.2094534369941,2.2645968989104484,2,0,False,,,1.0,,61091.28275112204,61095.16163103953,flash,0,denominator_approximate
3848445629571704576,interest,149.2129083590178,3.3019431265286663,2,0,False,,,1.0,,61090.18851185376,61094.13962644496,"dip,flash",0,denominator_approximate
3900748779230100992,interest,187.3575594036633,6.776852402608384,2,0,False,,,1.0,,61095.19886464735,61098.22700001939,dip,1,denominator_approximate
3900882198094123264,interest,187.91914110433743,7.298865250642109,2,0,False,,,1.0,,61091.26096341167,61094.19720545357,flash,2,denominator_approximate
4830042606729264512,interest,57.89664118245094,-49.17328140266913,4,0,False,,,1.0,,61090.104298484046,61098.05383082383,flash,2,denominator_approximate
4830592293823664256,interest,61.555525185393876,-48.88029303499363,6,0,False,,,1.0,,61090.104298484046,61098.06049439458,flash,3,denominator_approximate
4830896446227707264,interest,63.447787756250136,-48.13302265490444,2,0,False,,,1.0,,61094.108123312966,61095.09486140936,"dip,flash",1,denominator_approximate
4831041409963988736,interest,61.673167334532216,-48.06623816999406,2,0,False,,,1.0,,61096.06614050915,61098.058760022635,"dip,flash",0,denominator_approximate
4837105250950554368,interest,63.94814560607756,-46.433930781982674,3,0,False,,,1.0,,61033.284792668026,61098.04884821577,flash,0,denominator_approximate
3835227644380180224,watch,150.98218582280816,1.5766438723996092,1,0,False,,,1.0,,61090.19332057845,61090.19332057845,flash,0,denominator_approximate
3836060524437954048,watch,150.61986987104112,2.099755449037101,1,0,False,,,1.0,,61095.10702053385,61095.10702053385,flash,0,denominator_approximate
3836605980989228928,watch,151.44804214400156,3.1412121071597774,1,0,False,,,1.0,,61105.19375984784,61105.19375984784,flash,0,denominator_approximate
4830404380414624128,watch,61.2543329460448,-50.08871865838252,1,0,False,,,1.0,,61097.130085089404,61097.130085089404,dip,0,denominator_approximate
4979406588439269888,watch,10.203840263661869,-45.4151635119937,1,0,False,,,1.0,,61034.15207893891,61034.15207893891,flash,0,denominator_approximate
4992406835967044736,watch,7.591733100714104,-43.669591336977135,1,0,False,,,1.0,,61026.20657059325,61026.20657059325,dip,0,denominator_approximate
