target_id,night,mjd,polarity,bands,dflux_njy,dflux_err_njy,strongest_band,a,a_err,sep_arcsec,sep_sigma,grey_z,grey_tested,colour_temp_k,verdict,alert_ids,per_band,reasons
4979406588439269888,n61229,61230.410236050564,dip,"[""r""]",-9905.078125,333.9343566894531,r,-0.07716792820926766,0.0026020247079273657,0.009901488909501191,0.1979923671674184,,False,,kept,"[""170644274346983531""]","{""r"": {""mjd"": 61230.410236050564, ""dflux_njy"": -9905.078125, ""dflux_err_njy"": 333.9343566894531, ""a"": -0.07716792820926766, ""a_err"": 0.0026020247079273657, ""baseline_source"": ""rubin_template"", ""snr"": 6.961546421051025, ""reliability"": 0.5393887162208557}}","[""greyness_untested_single_band""]"
6855388448668487424,n61230,61231.35371256588,dip,"[""r""]",-13538.447265625,683.6209716796875,r,-0.09560634667410514,0.004831946369161514,0.024299127193568935,0.48573847856019303,,False,,kept,"[""170648689987551397""]","{""r"": {""mjd"": 61231.35371256588, ""dflux_njy"": -13538.447265625, ""dflux_err_njy"": 683.6209716796875, ""a"": -0.09560634667410514, ""a_err"": 0.004831946369161514, ""baseline_source"": ""rubin_template"", ""snr"": 10.790186882019043, ""reliability"": 0.993724524974823}}","[""greyness_untested_single_band""]"
4980947416545289088,n61230,61231.36049265176,flash,"[""g""]",4967.74658203125,1560.788330078125,g,0.0305651054084246,0.009603149568360113,0.027886855256337332,0.5577092157042677,,False,,kept,"[""170648691262619678""]","{""g"": {""mjd"": 61231.36049265176, ""dflux_njy"": 4967.74658203125, ""dflux_err_njy"": 1560.788330078125, ""a"": 0.0305651054084246, ""a_err"": 0.009603149568360113, ""baseline_source"": ""rubin_template"", ""snr"": 15.412679672241211, ""reliability"": 0.9721880555152893}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
4980790564339300096,n61230,61231.36093291649,flash,"[""g""]",55.58852005004883,855.245361328125,g,0.0007891856056578097,0.012141847439658942,0.03506745870868183,0.7012613890414026,,False,,kept,"[""170648691439829006""]","{""g"": {""mjd"": 61231.36093291649, ""dflux_njy"": 55.58852005004883, ""dflux_err_njy"": 855.245361328125, ""a"": 0.0007891856056578097, ""a_err"": 0.012141847439658942, ""baseline_source"": ""rubin_template"", ""snr"": 10.694557189941406, ""reliability"": 0.8698211908340454}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
4979845293578294528,n61230,61231.36093291649,dip,"[""g""]",-976.845947265625,1024.1973876953125,g,-0.00966003016222442,0.010128302537413118,0.04289182337036593,0.8577337914946176,,False,,kept,"[""170648691402604568""]","{""g"": {""mjd"": 61231.36093291649, ""dflux_njy"": -976.845947265625, ""dflux_err_njy"": 1024.1973876953125, ""a"": -0.00966003016222442, ""a_err"": 0.010128302537413118, ""baseline_source"": ""rubin_template"", ""snr"": 16.886152267456055, ""reliability"": 0.94772869348526}}","[""greyness_untested_single_band""]"
4986628623189814272,n61230,61231.363373970176,flash,"[""i""]",12525.0732421875,3535.173828125,i,0.01880214098042459,0.005306877617975579,0.017431674494423833,0.3485166626298001,,False,,kept,"[""170648691668418570""]","{""i"": {""mjd"": 61231.363373970176, ""dflux_njy"": 12525.0732421875, ""dflux_err_njy"": 3535.173828125, ""a"": 0.01880214098042459, ""a_err"": 0.005306877617975579, ""baseline_source"": ""rubin_template"", ""snr"": 14.205246925354004, ""reliability"": 0.8728890419006348}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
4980813825882086400,n61230,61231.36293817206,dip,"[""i""]",-3856.364990234375,3088.226318359375,i,-0.004093974131350281,0.003278507301438219,0.021574050721342556,0.43140036039619284,,False,,kept,"[""170648691571949584""]","{""i"": {""mjd"": 61231.36293817206, ""dflux_njy"": -3856.364990234375, ""dflux_err_njy"": 3088.226318359375, ""a"": -0.004093974131350281, ""a_err"": 0.003278507301438219, ""baseline_source"": ""rubin_template"", ""snr"": 28.185815811157227, ""reliability"": 0.5877376794815063}}","[""greyness_untested_single_band""]"
4992406835967044736,n61232,61233.40148012704,dip,"[""g""]",-6418.7841796875,288.4015808105469,g,-0.06454854714690027,0.0029004226274911464,0.03404765100020402,0.6808803162029675,,False,,kept,"[""170657517638516750""]","{""g"": {""mjd"": 61233.40148012704, ""dflux_njy"": -6418.7841796875, ""dflux_err_njy"": 288.4015808105469, ""a"": -0.06454854714690027, ""a_err"": 0.0029004226274911464, ""baseline_source"": ""rubin_template"", ""snr"": 9.32068157196045, ""reliability"": 0.5996176600456238}}","[""greyness_untested_single_band""]"
4830042606729264512,n61232,61233.412142025074,flash,"[""g""]",1692.3768310546875,296.3164978027344,g,0.023342711151395353,0.004087055923211403,0.06896303626759395,1.3790585354311051,,False,,kept,"[""170657518915682402""]","{""g"": {""mjd"": 61233.412142025074, ""dflux_njy"": 1692.3768310546875, ""dflux_err_njy"": 296.3164978027344, ""a"": 0.023342711151395353, ""a_err"": 0.004087055923211403, ""baseline_source"": ""rubin_template"", ""snr"": 25.34066390991211, ""reliability"": 0.508127748966217}}","[""greyness_untested_single_band"", ""colour_temperature_untestable""]"
6005444382488412672,n61233,61234.05029235984,dip,"[""g""]",-378.8591003417969,270.1904602050781,g,-0.007311356506646888,0.00521423326655684,0.03313275610393925,0.662213569873075,,False,,kept,"[""170661828916937145""]","{""g"": {""mjd"": 61234.05029235984, ""dflux_njy"": -378.8591003417969, ""dflux_err_njy"": 270.1904602050781, ""a"": -0.007311356506646888, ""a_err"": 0.00521423326655684, ""baseline_source"": ""rubin_template"", ""snr"": 20.82618522644043, ""reliability"": 0.6665453314781189}}","[""greyness_untested_single_band""]"
