star_key,ra,dec
kepler:892376,291.06387,36.635811
kepler:893507,291.31253,36.633228
kepler:893647,291.33795,36.690239
kepler:1026474,291.14911,36.72382
kepler:1027016,291.26682,36.779949
kepler:1028018,291.47131,36.799839
kepler:1161620,291.10931,36.80006
kepler:1294953,291.46692,36.914066
kepler:1296779,291.84061,36.997452
kepler:1436265,292.24551,37.096619
kepler:1569863,290.6265,37.142689
kepler:1570924,290.86359,37.126041
kepler:1572802,291.29581,37.155861
kepler:1573138,291.36459,37.10321
kepler:1720048,291.19669,37.247513
kepler:1722506,291.74109,37.200199
kepler:1871176,292.07089,37.30397
kepler:1871967,292.24173,37.320408
kepler:1872340,292.32199,37.365021
kepler:1872885,292.4404,37.346512
kepler:1873543,292.58456,37.39547
kepler:1995351,286.09695,37.455002
kepler:1995461,286.13028,37.41069
kepler:2010191,290.38721,37.47818
kepler:2012690,291.00357,37.43721
kepler:2013754,291.25433,37.443241
kepler:2017692,292.14713,37.471458
kepler:2019477,292.55194,37.421211
kepler:2141927,286.42209,37.594158
kepler:2142183,286.51041,37.595631
kepler:2157356,290.80032,37.517891
kepler:2158047,290.9588,37.578388
kepler:2158750,291.13217,37.573528
kepler:2159486,291.29648,37.549629
kepler:2164031,292.26224,37.588928
kepler:2164790,292.42688,37.553822
kepler:2164791,292.42737,37.556019
kepler:2167198,292.94672,37.529095
kepler:2168263,293.16968,37.594292
kepler:2282712,285.88242,37.641129
kepler:2283703,286.21823,37.637058
kepler:2283749,286.23285,37.643372
kepler:2285420,286.77643,37.639549
kepler:2285548,286.81836,37.651829
kepler:2297729,290.25195,37.639591
kepler:2298664,290.45224,37.689732
kepler:2300039,290.79013,37.66103
kepler:2301169,291.04935,37.61565
kepler:2303102,291.47736,37.628551
kepler:2303352,291.53162,37.652901
kepler:2304604,291.80884,37.63979
kepler:2307249,292.38458,37.69051
kepler:2308761,292.71338,37.695129
kepler:2421862,285.80234,37.758759
kepler:2424688,286.76575,37.740971
kepler:2436635,290.16589,37.731709
kepler:2437317,290.21808,37.764069
kepler:2438151,290.28506,37.748619
kepler:2438406,290.31512,37.742451
kepler:2438502,290.32791,37.726742
kepler:2438873,290.39313,37.710258
kepler:2439140,290.45212,37.72506
kepler:2439144,290.45276,37.72295
kepler:2441337,290.98215,37.777081
kepler:2441384,290.99658,37.798618
kepler:2441470,291.01389,37.794312
kepler:2441562,291.03546,37.788029
kepler:2442004,291.1416,37.765549
kepler:2442866,291.33533,37.70396
kepler:2443037,291.37418,37.711681
kepler:2443939,291.57889,37.723438
kepler:2446436,292.13046,37.734261
kepler:2448088,292.46289,37.764278
kepler:2554317,285.84857,37.840351
kepler:2555396,286.18774,37.866611
kepler:2555941,286.35663,37.872013
kepler:2557555,286.88281,37.821178
kepler:2557669,286.91983,37.878159
kepler:2570846,290.34338,37.841518
kepler:2574427,291.16,37.872631
kepler:2577743,291.85959,37.896381
kepler:2579041,292.13519,37.868488
kepler:2584118,293.24402,37.844101
kepler:2584908,293.42279,37.844929
kepler:2692704,285.77542,37.922798
kepler:2692708,285.77667,37.923931
kepler:2695006,286.49142,37.920231
kepler:2696734,287.06738,37.986691
kepler:2696906,287.12411,37.95554
kepler:2710323,290.82202,37.958511
kepler:2710813,290.94043,37.989979
kepler:2712904,291.40845,37.914188
kepler:2713086,291.44598,37.949532
kepler:2715113,291.90137,37.906689
kepler:2715135,291.90326,37.90229
kepler:2716857,292.2688,37.908482
kepler:2717094,292.3179,37.968262
kepler:2718155,292.54471,37.978298
kepler:2718653,292.66193,37.968441
kepler:2721129,293.21091,37.925678
kepler:2832720,286.04691,38.08839
kepler:2833554,286.29669,38.05714
kepler:2834564,286.62314,38.080341
kepler:2834612,286.64011,38.04509
kepler:2834637,286.64944,38.069069
kepler:2849645,290.85345,38.020741
kepler:2849692,290.86502,38.051949
kepler:2850378,291.01462,38.073799
kepler:2851576,291.2691,38.05608
kepler:2852669,291.48618,38.041592
kepler:2852941,291.54343,38.048759
kepler:2852942,291.54361,38.05872
kepler:2854839,291.95761,38.070049
kepler:2857612,292.51617,38.034039
kepler:2858134,292.63409,38.061581
kepler:2860579,293.16162,38.036999
kepler:2860930,293.24023,38.031799
kepler:2862041,293.47433,38.01466
kepler:2865498,294.18088,38.08725
kepler:2968811,285.45087,38.117222
kepler:2987160,290.87015,38.112019
kepler:2987282,290.8996,38.192539
kepler:2987327,290.91064,38.156651
kepler:2992668,292.08804,38.118629
kepler:2994233,292.43051,38.1175
kepler:2994666,292.52618,38.158352
kepler:2996903,293.01413,38.178059
kepler:3097331,285.68076,38.218842
kepler:3097429,285.72293,38.255539
kepler:3097891,285.89813,38.25626
kepler:3100568,286.84348,38.260239
kepler:3101129,287.02847,38.223209
kepler:3102749,287.61005,38.248508
kepler:3102763,287.61542,38.22607
kepler:3103752,287.92276,38.22205
kepler:3109825,289.74576,38.20657
kepler:3111399,290.14362,38.23555
kepler:3112821,290.52286,38.262508
kepler:3112828,290.52368,38.260288
kepler:3112890,290.53809,38.259689
kepler:3115294,291.14581,38.294701
kepler:3116390,291.41901,38.267719
kepler:3117164,291.59344,38.211842
kepler:3118883,291.96957,38.27985
kepler:3119250,292.0488,38.288898
kepler:3119943,292.19904,38.272861
kepler:3120477,292.32611,38.259201
kepler:3120841,292.40869,38.254051
kepler:3122450,292.78796,38.245178
kepler:3123231,292.98007,38.262871
kepler:3123292,292.99603,38.204479
kepler:3128078,294.05139,38.26012
kepler:3128488,294.14017,38.292171
kepler:3129539,294.36691,38.251011
kepler:3130391,294.54572,38.268139
kepler:3215863,285.2977,38.391129
kepler:3216700,285.64215,38.378811
kepler:3217078,285.78049,38.345821
kepler:3217410,285.9068,38.346371
kepler:3217852,286.07541,38.397461
kepler:3217974,286.12466,38.382191
kepler:3219046,286.54498,38.326881
kepler:3219508,286.71033,38.379131
kepler:3219623,286.75433,38.379311
kepler:3219941,286.86963,38.32502
kepler:3220938,287.24258,38.33252
kepler:3222369,287.74994,38.388039
kepler:3222610,287.83792,38.374828
kepler:3222875,287.91837,38.316158
kepler:3228725,289.73746,38.332607
kepler:3228931,289.78857,38.31036
kepler:3233794,291.12241,38.32579
kepler:3234139,291.21042,38.32901
kepler:3236443,291.79471,38.341583
kepler:3236788,291.88025,38.372452
kepler:3238207,292.24615,38.317345
kepler:3239219,292.48163,38.30246
kepler:3240964,292.92487,38.369911
kepler:3242039,293.20349,38.341801
kepler:3245458,294.00385,38.341492
kepler:3248885,294.7836,38.342571
kepler:3322667,285.05814,38.495411
kepler:3323215,285.30899,38.412922
kepler:3323808,285.54395,38.458912
kepler:3325023,286.02966,38.437191
kepler:3326330,286.54092,38.470982
kepler:3327742,287.07358,38.48476
kepler:3328203,287.25613,38.403042
kepler:3328418,287.34024,38.47971
kepler:3330684,288.11703,38.437733
kepler:3330773,288.14572,38.420818
kepler:3335194,289.53217,38.422489
kepler:3336651,289.92499,38.423229
kepler:3336705,289.93582,38.44199
kepler:3337674,290.20035,38.402431
kepler:3339825,290.82324,38.452751
kepler:3339968,290.86551,38.466301
kepler:3340807,291.0975,38.420238
kepler:3341455,291.27393,38.474682
kepler:3342210,291.45972,38.439751
kepler:3346631,292.55295,38.426338
kepler:3347281,292.72614,38.454082
kepler:3352122,293.92435,38.40826
kepler:3354358,294.47247,38.48938
kepler:3354855,294.57831,38.495682
kepler:3354968,294.60345,38.49025
kepler:3355476,294.71118,38.407761
kepler:3424832,285.31091,38.502762
kepler:3425756,285.6925,38.544041
kepler:3426313,285.90982,38.537479
kepler:3426331,285.9155,38.574558
kepler:3430610,287.52087,38.538677
kepler:3439126,290.15723,38.52438
kepler:3441470,290.85504,38.569061
kepler:3441906,290.97894,38.582981
kepler:3444822,291.7532,38.56916
kepler:3448722,292.73993,38.593842
kepler:3448787,292.75705,38.588772
kepler:3449953,293.03137,38.51852
kepler:3452854,293.73074,38.55928
kepler:3452996,293.76651,38.565948
kepler:3454793,294.20596,38.529861
kepler:3455586,294.3989,38.53614
kepler:3456972,294.72922,38.57449
kepler:3458671,295.08514,38.51413
kepler:3458698,295.09036,38.536308
kepler:3459143,295.18921,38.553429
kepler:3525734,285.04678,38.691978
kepler:3525783,285.07251,38.679329
kepler:3526481,285.37735,38.639252
kepler:3526555,285.41013,38.695389
kepler:3527709,285.89099,38.614182
kepler:3527753,285.90509,38.63953
kepler:3528198,286.08051,38.632339
kepler:3530274,286.89526,38.657063
kepler:3539331,289.93506,38.64043
kepler:3539632,290.0209,38.636372
kepler:3540012,290.12808,38.648689
kepler:3540153,290.16412,38.651791
kepler:3540728,290.31378,38.671879
kepler:3541346,290.48615,38.625332
kepler:3544900,291.51022,38.676189
kepler:3545104,291.56519,38.672138
kepler:3546821,292.00742,38.617329
kepler:3547283,292.13123,38.620125
kepler:3548321,292.39093,38.643742
kepler:3550411,292.91833,38.696899
kepler:3550598,292.96246,38.691669
kepler:3555013,294.04105,38.680809
kepler:3556533,294.42532,38.624641
kepler:3557532,294.66299,38.63303
