star,channels,n_channels,ra,dec,phot_g_mean_mag,bp_rp,ruwe,abs_b,ipd_frac_multi_peak,non_single_star,systematics,main_id,otype,families,trace_verdict,in_groups
gaia:1171631692114042240,"ignition(score=1.67,pct=0.0308); cenotaph(score=1.98,pct=0.0286)",2,220.79976444098304,6.958128766811694,10.461626052856445,0.7462377548217773,1.0527637004852295,56.68846175771552,0.0,0.0,,BD+07  2831,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1335693734810016000,"ignition(score=2.13,pct=0.0121); cenotaph(score=2.28,pct=0.0174)",2,260.3319033192103,34.287036810151314,9.712657928466797,0.6730203628540039,1.0362838506698608,32.58834918629176,0.0,0.0,,BD+34  2950,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1338459113930564480,"ignition(score=1.67,pct=0.0308); cenotaph(score=2.01,pct=0.0273)",2,257.1179926255471,35.630628069378886,11.123824119567871,0.6864223480224609,0.9873225092887878,35.43689296897201,0.0,0.0,,TYC 2603-53-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1340186549774902400,"ignition(score=2,pct=0.0160); cenotaph(score=2.03,pct=0.0263)",2,257.8085807736905,37.14562144174501,11.98835277557373,1.0153207778930664,0.9601626992225647,35.150369304896024,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1383946386709817216,"tailings(score=2.64,pct=0.2970); ignition(score=1.43,pct=0.0477); cenotaph(score=1.71,pct=0.0455)",3,238.102357,41.687862,11.33879280090332,0.7408685684204102,0.9460300207138062,50.464130695469315,0.0,0.0,,TYC 3057-1444-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:142907271473579008,"ignition(score=2.22,pct=0.0100); cenotaph(score=1.78,pct=0.0405)",2,46.46324766416026,39.47541103810696,12.566873550415039,1.3522682189941406,1.0832358598709106,16.396598408233043,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1465845885422313600,"tailings(score=3.52,pct=0.1505); ignition(score=1.41,pct=0.0496); cenotaph(score=2.53,pct=0.0113)",3,194.443304,32.240097,12.02861213684082,0.8249063491821289,0.9779164791107178,84.70644167745834,0.0,0.0,,TYC 2532-1685-1,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1520110701262890624,"ignition(score=1.64,pct=0.0329); cenotaph(score=2.27,pct=0.0177)",2,191.9357293410892,36.59694917585821,12.152609825134277,1.4485502243041992,1.0658808946609497,80.49901520063112,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1521943174829496192,"tailings(score=2.06,pct=0.5005); ignition(score=1.45,pct=0.0466); cenotaph(score=1.88,pct=0.0339)",3,190.47835,39.723938,11.980836868286133,0.9356021881103516,1.0251215696334839,77.24995590834308,0.0,0.0,,NGP 40 141,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1531808199312686720,"tailings(score=4.22,pct=0.0971); ignition(score=2.07,pct=0.0137); cenotaph(score=3.18,pct=0.0041,FLAG)",3,186.892533,37.575478,10.241822242736816,0.6852817535400391,1.1232072114944458,78.40726141322394,0.0,0.0,,BD+38  2338,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1537114545507342208,"ignition(score=1.98,pct=0.0166); cenotaph(score=2.81,pct=0.0072)",2,181.85725241047453,42.22600400977469,10.273911476135254,0.6564455032348633,0.8639422059059143,72.4339417587848,12.0,0.0,ipd_frac_multi_peak>2 (resolved double in the IPD),TYC 3019-646-1,*,,SYSTEMATIC:ipd_frac_multi_peak>2 (resolved double in the IPD),cenotaph+ignition@0.05
gaia:1581586969056512000,"ignition(score=1.89,pct=0.0199); cenotaph(score=2.49,pct=0.0122)",2,187.57380206993537,60.85213271129091,11.134821891784668,0.7462558746337891,0.9012603759765625,56.086364401046005,1.0,0.0,,TYC 4155-617-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1611431700364781056,"tailings(score=1.58,pct=0.7475); ignition(score=1.63,pct=0.0334); cenotaph(score=1.81,pct=0.0383)",3,215.369212,57.767002,12.421642303466797,1.128382682800293,1.0077083110809326,55.510834853034766,0.0,0.0,,2MASS J14212861+5746012,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1637211885076967936,"ignition(score=2.1,pct=0.0128); cenotaph(score=2.35,pct=0.0155)",2,262.5059323077204,67.59205514553011,10.905097961425781,0.8131141662597656,1.005784511566162,32.65324109117353,0.0,0.0,,TYC 4421-2283-1,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:1687154761227199488,"ignition(score=1.72,pct=0.0279); cenotaph(score=1.78,pct=0.0405)",2,202.9212827915761,72.16155197036903,12.415521621704102,0.7768611907958984,1.2105287313461304,44.62813093435951,0.0,0.0,,TYC 4405-1564-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2120508508899473024,"ignition(score=1.92,pct=0.0188); cenotaph(score=1.93,pct=0.0312)",2,277.75895668436124,48.61948748927417,11.156390190124512,0.6875333786010742,0.8326259255409241,23.231413907882168,0.0,0.0,,TYC 3530-2254-1,*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:222323145219132544,"ignition(score=1.58,pct=0.0366); cenotaph(score=2.2,pct=0.0198)",2,51.701346366431885,36.5631505309069,11.135697364807129,0.8706197738647461,1.1129708290100098,16.56724035375617,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2289542203874035328,"ignition(score=1.69,pct=0.0296); cenotaph(score=1.89,pct=0.0333)",2,296.00589207575,75.77246398231276,12.343897819519043,0.8426685333251953,1.266703486442566,23.09447255171258,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2294021231990541184,"ignition(score=1.7,pct=0.0290); cenotaph(score=2.46,pct=0.0127)",2,281.2804297975239,78.3314828230602,12.58951187133789,0.8781824111938477,1.0564755201339722,26.84128433149934,1.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2506977259693951616,"ignition(score=2.65,pct=0.0042); cenotaph(score=2.25,pct=0.0182)",2,33.02114513975733,-0.3164075202071723,12.641530990600586,1.923095703125,1.2303217649459839,56.92515114644149,0.0,0.0,,UCAC4 449-002770,PM*,,UNEXPLAINED,cenotaph+ignition@0.05
gaia:2516769780833827968,"ignition(score=1.95,pct=0.0176); cenotaph(score=1.97,pct=0.0292)",2,34.03756136990428,4.929903182142595,11.740674018859863,1.1181535720825195,1.0326935052871704,51.964039526563894,0.0,0.0,,,,,UNEXPLAINED,cenotaph+ignition@0.05
