kepoi_name,source_id,ra,dec,g_mag,sep_arcsec,pa_deg,is_target,delta_g_mag,flux_ratio_to_target,aperture_weight,flux_fraction,required_depth_ppm,required_depth_percent,excluded_by_arithmetic,exclusion_note
K00897.01,2075964612812129792,299.56186668701406,43.503515948478444,15.233003616333008,0.1665119604935651,201.44377118970635,True,0.0,1.0,0.9763799782144953,0.9509176567370622,30764.851191420334,3.0764851191420335,False,the target itself
K00897.01,2075964608505447680,299.56359315807026,43.500933513953925,20.01879119873047,10.445797996898838,154.80081997361907,False,4.785787582397461,0.01218105676454911,0.8425905981543,0.009995985609975066,2926658.8955086353,292.66588955086354,True,would need a 293 % eclipse of its own light to make the observed 29255 ppm --- impossible
K00897.01,2075964608505490048,299.56056956170295,43.5072275282001,20.30978775024414,13.649336869880644,345.36906440667855,False,5.076784133911133,0.009317219918052773,0.7580560678160697,0.006878784772209977,4252908.205966591,425.2908205966591,True,would need a 425 % eclipse of its own light to make the observed 29255 ppm --- impossible
K00897.01,2075964612805775232,299.55869002207396,43.50007868341796,20.329017639160156,15.059951323474436,213.7014366379664,False,5.096014022827148,0.009153651858859387,0.7142075648002104,0.0063671177729739195,4594675.526340335,459.46755263403344,True,would need a 459 % eclipse of its own light to make the observed 29255 ppm --- impossible
K00897.01,2075964612812125184,299.5616813684992,43.49926513587084,20.05777359008789,15.467508257787578,182.01856154877433,False,4.824769973754883,0.011751464974565242,0.700869863485188,0.008021460387091863,3647071.579619933,364.7071579619933,True,would need a 365 % eclipse of its own light to make the observed 29255 ppm --- impossible
K00897.01,2075964612805781888,299.5612678138582,43.49914057686061,20.44304084777832,15.989083689281482,185.83230937053116,False,5.2100372314453125,0.008241098546243978,0.6834008690786092,0.00548510165256178,5333509.21420874,533.350921420874,True,would need a 533 % eclipse of its own light to make the observed 29255 ppm --- impossible
K00897.01,2075964544086309376,299.5632610272018,43.49812435675085,20.759225845336914,19.889589764506425,169.62961394061008,False,5.526222229003906,0.006159012824569803,0.5421109770567076,0.0032517964757668664,8996516.363438984,899.6516363438985,True,would need a 900 % eclipse of its own light to make the observed 29255 ppm --- impossible
K00897.01,2075964539785972864,299.56919522902933,43.501571221798855,19.606719970703125,20.37375841339829,110.56043094853024,False,4.373716354370117,0.01780383079881236,0.5237796388848237,0.009082096592358284,3221154.9290749663,322.1154929074966,True,would need a 322 % eclipse of its own light to make the observed 29255 ppm --- impossible
