n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
6,6,1.5000000613777181e+34,0.268883,0.868,5567.0,3000.0,3.0,True,3879.3216937999996,4.0307693046434e+21,1.20923079139302e+22,9.163989094867456e+37,4.7617484136952685e+38,-3.7859932868815704,-4.501675168961064,0,0,[],kepler_okamoto2021:kepler:7267949,kepler:7267949,7267949,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,25.109,own,own,own,4.56,False,False,-;-,bolometric,False,,
6,6,6.699999878012995e+34,0.809342,1.282,5660.0,3000.0,3.0,True,3911.78552,2.620433968193763e+22,7.861301904581289e+22,1.5190164620257536e+39,7.893041069286376e+39,-4.355487685671015,-5.071169567750509,0,0,[],kepler_okamoto2021:kepler:7287601,kepler:7287601,7287601,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,15.659,own,own,own,4.57,False,False,-;-,bolometric,False,,
6,6,7.100000092450793e+34,0.502253,1.186,5964.0,3000.0,3.0,True,4013.5832032,1.3513773139649213e+22,4.054131941894763e+22,5.625583635898659e+38,2.9231390038813594e+39,-3.8989092313784184,-4.614591113457912,0,0,[],kepler_okamoto2021:kepler:7293816,kepler:7293816,7293816,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,4.091,own,own,own,4.45,False,False,-;-,bolometric,False,,
1,1,1.2000000243433737e+34,0.331372,0.843,5187.0,3000.0,3.0,True,3740.2391098,4.907411902981486e+21,1.472223570894446e+22,1.2310662287922073e+38,6.396807767250946e+38,-4.01110016283819,-4.726782044917684,0,0,[],kepler_okamoto2021:kepler:7300533,kepler:7300533,7300533,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,31.06,own,own,own,,False,False,-;-,bolometric,False,,
20,20,3.2999999369605736e+35,3.5308479999999998,1.434,5857.0,3000.0,3.0,True,3978.5077258,1.4026278098407372e+23,4.207883429522212e+23,1.8811192072538439e+40,9.77458212617204e+40,-4.755902386250597,-5.471584268330091,0,0,[],kepler_okamoto2021:kepler:7353813,kepler:7353813,7353813,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,1.694,own,own,own,4.51,False,False,-;-,bolometric,False,,
5,5,2.099999887858399e+34,0.538847,1.156,5988.0,3000.0,3.0,True,4021.3380448,1.3744716646816783e+22,4.123414994045034e+22,5.7704055436768e+38,2.9983906745775975e+39,-4.43898706487029,-5.1546689469497835,0,0,[],kepler_okamoto2021:kepler:7354508,kepler:7354508,7354508,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,17.794,own,own,own,4.36,False,False,-;-,bolometric,False,,
1,1,8.599999782446499e+33,0.8039179999999999,0.809,5812.0,3000.0,3.0,True,3963.5114848,1.0208036514321266e+22,3.0624109542963793e+22,3.6933117868508876e+38,1.9191010989056196e+39,-4.632917531783974,-5.348599413863468,0,0,[],kepler_okamoto2021:kepler:7435701,kepler:7435701,7435701,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,20.648,own,own,own,4.538,False,False,-;-,bolometric,False,,
1,1,1.5000000613777181e+34,0.32731899999999997,0.788,5492.0,3000.0,3.0,True,3852.6901088,4.0780276331851237e+21,1.2234082899555374e+22,9.32562389330132e+37,4.8457363186428526e+38,-3.793586619349213,-4.509268501428707,0,0,[],kepler_okamoto2021:kepler:7509982,kepler:7509982,7509982,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,21.402,own,own,own,4.534,False,False,-;-,bolometric,False,,
78,78,3.6000001473065235e+35,4.344501999999999,1.004,5809.0,3000.0,3.0,True,3962.5065802,8.498981561218201e+22,2.5496944683654605e+23,8.872642442513303e+39,4.610360252347519e+40,-4.391750461755663,-5.107432343835157,0,0,[],kepler_okamoto2021:kepler:7532880,kepler:7532880,7532880,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,2.187,own,own,own,4.41,False,False,-;-,bolometric,False,,
5,5,6.300000158751213e+34,1.5215159999999999,1.144,5781.0,3000.0,3.0,True,3953.0963961999996,3.875016447727666e+22,1.1625049343183e+23,2.731574030143831e+39,1.419367501453439e+40,-4.63707241470685,-5.352754296786344,0,0,[],kepler_okamoto2021:kepler:7612227,kepler:7612227,7612227,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.0,False,5.464,own,own,own,4.324,False,False,-;-,bolometric,False,,
