n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
1,1,5.199999816635277e+34,7.231968999999999,0.9,5145.0,3000.0,3.0,True,3724.232305,1.227783936541937e+23,3.683351809625811e+23,1.540584664284128e+40,8.005112735704653e+40,-5.471682242051401,-6.1873641241308945,0,0,[],kepler_shibayama2013:kepler:10000785,kepler:10000785,10000785,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,2.5,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.62,False,False,,bolometric,False,,
1,1,3.1999999823863273e+34,0.442392,0.77,5669.0,3000.0,3.0,True,3914.8943162,5.162341076499031e+21,1.5487023229497095e+22,1.3282281868090127e+38,6.90167611079489e+38,-3.6181227163909,-4.333804598470394,0,0,[],kepler_shibayama2013:kepler:10011070,kepler:10011070,10011070,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,23.97,okamoto2021_stars,okamoto2021_stars,okamoto2021_stars,4.557,False,False,-,bolometric,False,,
1,1,3.1999999823863273e+34,1.8682869999999998,0.8,5769.0,3000.0,3.0,True,3949.0462761999997,2.3296019811096643e+22,6.988805943328994e+22,1.2732838780244063e+39,6.616177107589815e+39,-4.599775264264025,-5.315457146343519,0,0,[],kepler_shibayama2013:kepler:10081606,kepler:10081606,10081606,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,7.5,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.48,False,False,,bolometric,False,,
23,23,1.1000000053962454e+36,0.0208,1.1,5490.0,3000.0,3.0,True,3851.97442,5.050964698740172e+20,1.515289409622052e+21,4.0650336931061845e+36,2.1122534672817798e+37,-0.5676714623140313,-1.2833533443935252,0,0,[],kepler_shibayama2013:kepler:10120296,kepler:10120296,10120296,kepler_shibayama2013,kepler,own,fraction,True,1.0,False,3.9,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.36,False,False,,bolometric,False,"[2.899999920593182e+35, 2.899999920593182e+35, 1.700000069561414e+35, 2.300000094112501e+35, 2.099999887858399e+34, 3.099999928776878e+34, 1.0000000409184788e+35, 6.800000179210452e+34, 2.1000000859288054e+35, 4.399999882935697e+34, 1.8000000736532618e+35, 4.399999882935697e+34, 3.9000001100644656e+34, 1.1000000053962454e+36, 1.5999999664343629e+35, 5.799999841186364e+35, 1.0000000409184788e+35, 1.2000000243433737e+34, 4.500000184133154e+34, 3.999999916085907e+34, 2.299999995077298e+34, 1.2999999541588192e+35, 2.1000000859288054e+35]",
15,15,2.400000098204349e+35,2.057821,1.3,5753.0,3000.0,3.0,True,3943.6300777999995,6.786432516267806e+22,2.0359297548803415e+23,6.330892687769784e+39,3.2896283377450656e+40,-4.421253692563219,-5.136935574642713,0,0,[],kepler_shibayama2013:kepler:10220756,kepler:10220756,10220756,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,5.0,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.24,False,False,,bolometric,False,,
3,3,5.500000225051633e+34,3.259376,0.9,5270.0,3000.0,3.0,True,3771.50018,5.441757556642805e+22,1.6325272669928417e+23,4.5458116076964137e+39,2.362072999849966e+40,-4.917248726008495,-5.632930608087989,0,0,[],kepler_shibayama2013:kepler:10252382,kepler:10252382,10252382,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,17.8,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.5,False,False,,bolometric,False,,
2,2,6.89999986143789e+33,1.825875,0.6,5363.0,3000.0,3.0,True,3805.9416698,1.3391182337000174e+22,4.017354701100052e+22,5.549208400345613e+38,2.883453267355986e+39,-4.905381953019955,-5.621063835099449,0,0,[],kepler_shibayama2013:kepler:10262272,kepler:10262272,10262272,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,6.0,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.62,False,False,,bolometric,False,,
1,1,7.499999811712575e+34,10.361737,0.7,5336.0,3000.0,3.0,True,3796.0063231999998,1.0378150462416337e+23,3.113445138724901e+23,1.1972437924508536e+40,6.221061232713981e+40,-5.203121341472865,-5.918803223552352,0,0,[],kepler_shibayama2013:kepler:10287991,kepler:10287991,10287991,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,0.9,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.63,False,False,,bolometric,False,,
2,2,2.5999999083176385e+35,1.770154,1.2,5689.0,3000.0,3.0,True,3921.7819882,5.00649216464894e+22,1.5019476493946821e+23,4.011464571746386e+39,2.0844181353081807e+40,-4.188329628318485,-4.904011510397972,0,0,[],kepler_shibayama2013:kepler:10321061,kepler:10321061,10321061,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,0.3,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.33,False,False,,bolometric,False,,
1,1,1.5000000613777181e+34,0.0019711159999999998,0.8,5161.0,3000.0,3.0,True,3730.3450282,2.6382339327542415e+19,7.914701798262725e+19,4.852578867820376e+34,2.5214739440399852e+35,-0.5098813257772434,-1.2255632078567373,0,0,[],kepler_shibayama2013:kepler:10324091,kepler:10324091,10324091,kepler_shibayama2013,kepler,santos2021,ppm,False,2.828,True,0.68,santos2021,shibayama2013_stars,shibayama2013_stars,4.514,False,False,,bolometric,False,[1.5000000613777181e+34],
3,3,5.800000138291974e+34,0.99878,1.1,5544.0,3000.0,3.0,True,3871.1974912,2.410691529109493e+22,7.232074587328478e+22,1.3403404135058327e+39,6.964613086889942e+39,-4.363787108574954,-5.079468990654448,0,0,[],kepler_shibayama2013:kepler:10346286,kepler:10346286,10346286,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,7.0,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.268,False,False,,bolometric,False,,
1,1,9.299999786330634e+33,0.20147237599999998,1.1,5380.0,3000.0,3.0,True,3812.1704799999998,4.956178581116825e+21,1.4868535743350475e+22,1.2494620490986214e+38,6.492395253503793e+38,-4.128240130916261,-4.843922012995755,0,0,[],kepler_shibayama2013:kepler:10352333,kepler:10352333,10352333,kepler_shibayama2013,kepler,santos2021,ppm,False,2.828,True,5.2,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.53,False,False,,bolometric,False,,
1,1,1.5999999911931637e+34,0.356203,0.872,5495.0,3000.0,3.0,True,3853.763105,5.432610697417304e+21,1.6297832092251908e+22,1.433888978093238e+38,7.450705687411515e+38,-3.952395546193216,-4.66807742827271,0,0,[],kepler_shibayama2013:kepler:10387363,kepler:10387363,10387363,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,26.513,okamoto2021_stars,okamoto2021_stars,okamoto2021_stars,4.39,False,False,-,bolometric,False,,
3,3,1.700000044802613e+34,0.106239,1.0,5368.0,3000.0,3.0,True,3807.7758207999996,2.16303710306352e+21,6.48911130919056e+21,3.6024553218126803e+37,1.8718906948129355e+38,-3.3261496705107163,-4.04183155259021,0,0,[],kepler_shibayama2013:kepler:10398088,kepler:10398088,10398088,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,5.6,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,3.96,False,False,,bolometric,False,,
57,57,4.4000001800413065e+35,0.27448285199999994,1.3,5118.0,3000.0,3.0,True,3713.8755208,9.75936986262658e+21,2.9278109587879743e+22,3.4525129456442766e+38,1.793978350693552e+39,-2.8946826214402535,-3.6103645035197474,0,0,[],kepler_shibayama2013:kepler:10422252,kepler:10422252,10422252,kepler_shibayama2013,kepler,santos2021,ppm,False,2.828,True,5.2,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.48,False,False,,bolometric,False,,
8,8,6.3999998657374515e+35,7.161747999999999,1.0,5202.0,3000.0,3.0,True,3745.9252168,1.4894398561614457e+23,4.468319568484338e+23,2.0584347564583446e+40,1.0695940746754565e+41,-4.507357141408654,-5.223039023488148,0,0,[],kepler_shibayama2013:kepler:10453475,kepler:10453475,10453475,kepler_shibayama2013,kepler,mcquillan2014,ppm,False,1.0,False,15.2,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.52,False,False,,bolometric,False,,
