n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
5,5,7.909999703457207e+32,,0.276574,2877.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:100100909,tess:100100909,100100909,tess_gunther2020,tess,,,True,1.0,False,0.179332,own,own,own,4.95262,False,True,,bolometric,False,,
8,0,,,1.0,5777.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:101936401,tess:101936401,101936401,tess_gunther2020,tess,,,True,1.0,False,,,,,,True,True,,bolometric,False,,
10,9,2.239000004465495e+34,,0.74158,4315.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:101963752,tess:101963752,101963752,tess_gunther2020,tess,,,True,1.0,False,0.373952,own,own,own,4.52383,False,True,,bolometric,False,,
13,11,9.039999696463667e+34,0.043396,1.10499,5435.0,3000.0,3.0,True,3832.1807449999997,1.0701879842449616e+21,3.210563952734884e+21,1.253697487642542e+37,6.5144032377550115e+37,-2.142024339663095,-2.857706221742589,0,0,[],tess_gunther2020:tess:102032397,tess:102032397,102032397,tess_gunther2020,tess,tu2022_stars,fraction,True,1.0,False,3.715193,own,own,own,4.32907,False,True,,bolometric,False,,
1,1,2.028999972351754e+33,,0.37266,3282.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:102064049,tess:102064049,102064049,tess_gunther2020,tess,,,True,1.0,False,,,own,own,4.85214,False,True,,bolometric,False,,
22,12,2.2759999586901694e+33,,0.400067,3268.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:102071750,tess:102071750,102071750,tess_gunther2020,tess,,,True,1.0,False,1.4681,own,own,own,4.8266,False,True,,bolometric,False,,
2,2,3.931999931624963e+33,,0.41615,3411.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:102086756,tess:102086756,102086756,tess_gunther2020,tess,,,True,1.0,False,,,own,own,4.81191,False,True,,bolometric,False,,
3,3,5.564000115760636e+33,,0.462559,3300.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:111755544,tess:111755544,111755544,tess_gunther2020,tess,,,True,1.0,False,4.13737,own,own,own,4.77036,False,True,,bolometric,False,,
10,5,3.819000145868974e+33,,0.194325,3144.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:114794572,tess:114794572,114794572,tess_gunther2020,tess,,,True,1.0,False,,,own,own,5.07434,False,True,,bolometric,False,,
1,1,1.8369999597912338e+33,,0.229226,2975.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:114818487,tess:114818487,114818487,tess_gunther2020,tess,,,True,1.0,False,0.317704,own,own,own,5.01582,False,True,,bolometric,False,,
15,10,1.9780000304287974e+34,,0.882104,3831.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:114819903,tess:114819903,114819903,tess_gunther2020,tess,,,True,1.0,False,1.411197,own,own,own,4.3164,False,True,,bolometric,False,,
21,10,4.821999901193647e+33,,0.50311,3417.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:114851071,tess:114851071,114851071,tess_gunther2020,tess,,,True,1.0,False,2.56401,own,own,own,4.73468,False,True,,bolometric,False,,
1,1,5.0200000543820786e+32,,0.299449,3062.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:114858562,tess:114858562,114858562,tess_gunther2020,tess,,,True,1.0,False,0.346339,own,own,own,4.92631,False,True,,bolometric,False,,
12,11,1.9199999321770696e+32,,0.23448,3190.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:114953216,tess:114953216,114953216,tess_gunther2020,tess,,,True,1.0,False,1.0584,own,own,own,5.00804,False,True,,bolometric,False,,
28,18,1.870000036903474e+33,,0.284433,3261.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:114985772,tess:114985772,114985772,tess_gunther2020,tess,,,True,1.0,False,,,own,own,4.94334,False,True,,bolometric,False,,
7,6,1.3639999686618263e+34,,0.665803,4107.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_gunther2020:tess:115015715,tess:115015715,115015715,tess_gunther2020,tess,,,True,1.0,False,1.582995,own,own,own,,False,True,,bolometric,False,,
