n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,tier,first_veto,flags,centroid
1,1,3e+34,0.01472735,1.49,5987.0,3000.0,3.0,True,4021.0157498,6.241519584687296e+20,1.8724558754061888e+21,5.583906738090001e+36,2.901483052529424e+37,-2.2698169014084897,-2.985498783487984,0,0,[],kepler_okamoto2021:kepler:10287183,kepler:10287183,10287183,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,5.815,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,6e+33,0.0218222099999999,1.015,5749.0,3000.0,3.0,True,3942.2731642,4.388854552215274e+20,1.3166563656645822e+21,3.2925276625924004e+36,1.7108475590808107e+37,-2.73937818204616,-3.4550600641256537,0,0,[],kepler_okamoto2021:kepler:10351715,kepler:10351715,10351715,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,5.788,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
4,4,4e+34,0.00356203,0.872,5495.0,3000.0,3.0,True,3853.763105,5.432610697417303e+19,1.6297832092251908e+20,1.433888978093238e+35,7.450705687411513e+35,-0.5544555351306997,-1.2701374172101936,0,0,[],kepler_okamoto2021:kepler:10387363,kepler:10387363,10387363,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,26.513,own,own,own,4.39,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,9e+33,0.01483119,0.731,5158.0,3000.0,3.0,True,3729.2002888,1.6581013101314674e+20,4.974303930394401e+20,7.645735036470876e+35,3.972840463313111e+36,-1.9291767339961725,-2.644858616075666,0,0,[],kepler_okamoto2021:kepler:10489544,kepler:10489544,10489544,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,17.577,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
35,35,2e+35,0.04435289,1.011,5641.0,3000.0,3.0,True,3905.2034602,8.948598355020148e+20,2.684579506506044e+21,9.585950311449352e+36,4.981005893478292e+37,-1.680605177842267,-2.396287059921761,0,0,[],kepler_okamoto2021:kepler:10489814,kepler:10489814,10489814,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,3.198,own,own,own,4.66,False,False,-,bolometric,False,none,below_ceiling,,not_checked
3,3,2e+34,0.0096309799999999,1.243,5697.0,3000.0,3.0,True,3924.5290378,2.9202236331183276e+20,8.760670899354982e+20,1.7870093168661595e+36,9.28557279123342e+36,-1.951096821113076,-2.66677870319257,0,0,[],kepler_okamoto2021:kepler:10529366,kepler:10529366,10529366,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,10.464,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
77,77,1e+36,0.03702822,0.984,5242.0,3000.0,3.0,True,3761.0094088,7.416921969128208e+20,2.2250765907384625e+21,7.233328929405872e+36,3.758547964076629e+37,-0.8593382147138442,-1.575020096793338,0,0,[],kepler_okamoto2021:kepler:10537061,kepler:10537061,10537061,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,1.279,own,own,own,3.84,False,False,-,bolometric,False,none,below_ceiling,,not_checked
7,7,1e+35,0.0130737999999999,1.194,5836.0,3000.0,3.0,True,3971.5275232,3.607798802015383e+20,1.0823396406046149e+21,2.4539522894872348e+36,1.2751110134225582e+37,-1.3898661147830609,-2.105547996862555,0,0,[],kepler_okamoto2021:kepler:10610702,kepler:10610702,10610702,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,3.93,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
1,1,1e+34,0.00613964,0.753,5468.0,3000.0,3.0,True,3844.0829408,7.004156207602058e+19,2.101246862280617e+20,2.09911573717026e+35,1.0907325323238862e+36,-1.322036384570339,-2.037718266649833,0,0,[],kepler_okamoto2021:kepler:10731303,kepler:10731303,10731303,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,22.013,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
12,12,1e+34,0.01654416,1.039,5892.0,3000.0,3.0,True,3990.0712288,3.4388733253776625e+20,1.0316619976132986e+21,2.28363619253284e+36,1.1866121734410063e+37,-2.358626917367026,-3.07430879944652,0,0,[],kepler_okamoto2021:kepler:10801794,kepler:10801794,10801794,kepler_okamoto2021,kepler,mcquillan2014,ppm,False,5.485,own,own,own,,False,False,-,bolometric,False,none,below_ceiling,,not_checked
