n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
1,0,,0.012332,1.35,5942.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:101407479,tess:101407479,101407479,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.52,tu2022_stars,tu2022_stars,tu2022_stars,4.22,False,False,,bolometric,False,,
9,0,,0.004328,0.75,5153.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:101544692,tess:101544692,101544692,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,9.87,tu2022_stars,tu2022_stars,tu2022_stars,4.62,False,False,,bolometric,False,,
1,0,,0.017886,1.21,5199.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:101628447,tess:101628447,101628447,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,1.27,tu2022_stars,tu2022_stars,tu2022_stars,4.22,False,False,,bolometric,False,,
1,1,9.120000209768441e+33,0.006863,0.8,5125.0,3000.0,3.0,True,3716.565625,9.231796940649203e+19,2.769539082194761e+20,3.1763767958834956e+35,1.6504937983359154e+36,-1.541937166428255,-2.257619048507749,0,0,[],tess_tu2022:tess:101871538,tess:101871538,101871538,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.3,tu2022_stars,tu2022_stars,tu2022_stars,4.57,False,False,,bolometric,False,,
3,2,1.579999955712473e+34,0.008292,0.88,5351.0,3000.0,3.0,True,3801.5324042,1.3101166504764713e+20,3.930349951429414e+20,5.369917320900678e+35,2.790290889673236e+36,-1.531310524260526,-2.24699240634002,0,0,[],tess_tu2022:tess:10202502,tess:10202502,10202502,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.61,tu2022_stars,tu2022_stars,tu2022_stars,4.52,False,False,,bolometric,False,,
7,7,3.0899999481747337e+35,0.043396,1.10499,5435.0,3000.0,3.0,True,3832.1807449999997,1.0701879842449616e+21,3.210563952734884e+21,1.253697487642542e+37,6.5144032377550115e+37,-1.608234283415264,-2.323916165494758,0,0,[],tess_tu2022:tess:102032397,tess:102032397,102032397,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,3.715193,gunther2020_stars,gunther2020_stars,gunther2020_stars,4.32907,False,False,,bolometric,False,,
1,0,,0.005274,1.57,5748.2,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:102073117,tess:102073117,102073117,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,3.23,tu2022_stars,tu2022_stars,tu2022_stars,4.06,False,False,,bolometric,False,,
4,0,,0.014936,1.07,5850.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:102625324,tess:102625324,102625324,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.93,tu2022_stars,tu2022_stars,tu2022_stars,4.4,False,False,,bolometric,False,,
6,0,,0.04206,0.94,5482.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:102841799,tess:102841799,102841799,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,5.48,tu2022_stars,tu2022_stars,tu2022_stars,4.48,False,False,,bolometric,False,,
1,0,,0.02482,1.01,5957.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:102925898,tess:102925898,102925898,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.92,tu2022_stars,tu2022_stars,tu2022_stars,4.47,False,False,,bolometric,False,,
1,0,,0.001733,1.18,5907.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:102951242,tess:102951242,102951242,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,6.02,tu2022_stars,tu2022_stars,tu2022_stars,4.33,False,False,,bolometric,False,,
1,0,,0.003647,0.78,5165.07,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:103224787,tess:103224787,103224787,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,9.61,tu2022_stars,tu2022_stars,tu2022_stars,4.59,False,False,,bolometric,False,,
2,2,1.0000000409184788e+35,0.070136,1.07,5215.0,3000.0,3.0,True,3750.840145,1.667086219441106e+21,5.001258658323318e+21,2.4374725978801194e+37,1.2665479144755808e+38,-2.386939724279351,-3.102621606358845,0,0,[],tess_tu2022:tess:10357422,tess:10357422,10357422,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,1.36,tu2022_stars,tu2022_stars,tu2022_stars,4.33,False,False,,bolometric,False,,
1,0,,0.007842,1.12,5776.99,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:103890734,tess:103890734,103890734,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,11.15,tu2022_stars,tu2022_stars,tu2022_stars,4.35,False,False,,bolometric,False,,
2,2,2.7700000242125033e+34,0.00541,0.83,5258.0,3000.0,3.0,True,3767.0110088,7.693918986782248e+19,2.3081756960346748e+20,2.416707352609248e+35,1.2557579765233479e+36,-0.9407442905210459,-1.6564261726005398,0,0,[],tess_tu2022:tess:104091860,tess:104091860,104091860,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,4.63,tu2022_stars,tu2022_stars,tu2022_stars,4.56,False,False,GM21,bolometric,False,"[9.120000209768441e+33, 2.7700000242125033e+34]",
4,0,,0.006517,1.07,5298.4,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1045151,tess:1045151,1045151,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,11.79,tu2022_stars,tu2022_stars,tu2022_stars,4.34,False,False,,bolometric,False,,
2,0,,0.004123,0.96,5688.77,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1045390,tess:1045390,1045390,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,12.97,tu2022_stars,tu2022_stars,tu2022_stars,4.48,False,False,,bolometric,False,,
2,0,,0.005589,0.98,5939.0,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:1046434,tess:1046434,1046434,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,12.97,tu2022_stars,tu2022_stars,tu2022_stars,4.49,False,False,,bolometric,False,,
1,0,,0.014879,0.79,5512.54,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:105576710,tess:105576710,105576710,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,7.6,tu2022_stars,tu2022_stars,tu2022_stars,4.63,False,False,GB42,bolometric,False,,
3,0,,0.012009,0.78,5142.55,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:105643008,tess:105643008,105643008,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,3.98,tu2022_stars,tu2022_stars,tu2022_stars,4.6,False,False,,bolometric,False,,
1,0,,0.009937,1.01,5902.03,3000.0,3.0,False,,,,,,,,0,0,[],tess_tu2022:tess:105643619,tess:105643619,105643619,tess_tu2022,tess,tu2022_stars,fraction,True,1.0,False,4.95,tu2022_stars,tu2022_stars,tu2022_stars,4.46,False,False,,bolometric,False,,
