record_key,star_key,star_id,catalogue,mission,tier,first_veto,flags,xi_conservative_max,xi_nominal_max,n_above_conservative,n_above_nominal,n_independent,n_flares,e_flare_max_erg,e_mag_conservative_erg,e_mag_nominal_erg,amplitude_frac,amplitude_source,amplitude_unit,prot,prot_source,teff_k,radius_rsun,logg,t_spot_k,params_assumed,catalogue_flag,centroid,ruwe,gaia_nss,gmag,plx,vari_class,n_neighbours_12arcsec,gaia_reached,stage2_pulls
kepler_yang2019:kepler:11507705,kepler:11507705,11507705,kepler_yang2019,kepler,interest,,stellar_params_assumed;no_peak_times,0.4396738925383516,1.1553557746178384,4,6,6,6,1.6110165427418977e+34,5.853641317359701e+33,1.1265337967723798e+33,0.000116,santos2021,ppm,5.54,santos2021,6367.0,1.0,4.22,4138.3319338,True,,not_checked,0.836,0.0,11.561056,2.6155,,1,True,"[{""t_peak"": null, ""e_flare_erg"": 1.6110165427418975e+34, ""xi_conservative"": 0.43967389253835165, ""product"": ""kepler_tpf"", ""quarter"": null}, {""t_peak"": null, ""e_flare_erg"": 7.705485366297167e+33, ""xi_conservative"": 0.11937389253835562, ""product"": ""kepler_tpf"", ""quarter"": null}, {""t_peak"": null, ""e_flare_erg"": 7.709034690644308e+33, ""xi_conservative"": 0.11957389253835515, ""product"": ""kepler_tpf"", ""quarter"": null}, {""t_peak"": null, ""e_flare_erg"": 1.0609624171364942e+34, ""xi_conservative"": 0.2582738925383552, ""product"": ""kepler_tpf"", ""quarter"": null}]"
kepler_yang2019:kepler:8487271,kepler:8487271,8487271,kepler_yang2019,kepler,interest,,single_flare_above;stellar_params_assumed;no_peak_times,0.104033661760603,0.8197155438400969,1,10,14,14,4.566673896495287e+34,3.5939028922871146e+34,6.916469341011135e+33,0.0003799999999999,santos2021,ppm,16.73,yang2019_stars,6075.0,1.0,4.22,4049.103625,True,,not_checked,1.205,0.0,12.43294,2.0534,,1,True,"[{""t_peak"": null, ""e_flare_erg"": 4.566673896495287e+34, ""xi_conservative"": 0.10403366176060302, ""product"": ""kepler_tpf"", ""quarter"": null}]"
