n_flares,n_independent,e_flare_max_erg,amplitude_frac,radius_rsun,teff_k,b_gauss,geometric_factor,assessable,t_spot_k,a_spot_nominal_cm2,a_spot_conservative_cm2,e_mag_nominal_erg,e_mag_conservative_erg,xi_nominal_max,xi_conservative_max,n_above_nominal,n_above_conservative,flares_above,record_key,star_key,star_id,catalogue,mission,amplitude_source,amplitude_unit,amplitude_unit_guessed,amplitude_scale,amplitude_scaled,prot,prot_source,teff_source,radius_source,logg,params_assumed,has_peak_times,catalogue_flag,energy_kind,energy_log10_input,energies_json,t_peaks_json
95,94,3.1131496654470344e+34,5.7198519999999995,1.0,4508.0,3000.0,3.0,True,3465.9781088,1.3368683348001818e+23,4.0106050044005443e+23,1.7503931486617382e+40,9.095309600107779e+40,-5.749935604753759,-6.465617486833246,0,0,[],kepler_yang2019:kepler:4774574,kepler:4774574,4774574,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,3.28,yang2019_stars,yang2019_stars,,4.68,True,True,,bolometric,True,,
23,23,4.6967776419022665e+33,,1.0,3373.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4814229,kepler:4814229,4814229,kepler_yang2019,kepler,,,True,1.0,False,16.64,yang2019_stars,yang2019_stars,,4.95,True,True,,bolometric,True,,
135,133,1.2761449317491557e+35,,1.0,4970.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4814290,kepler:4814290,4814290,kepler_yang2019,kepler,,,True,1.0,False,3.41,yang2019_stars,yang2019_stars,,4.54,True,True,,bolometric,True,,
2,2,6.136206975096904e+33,,1.0,4325.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4814530,kepler:4814530,4814530,kepler_yang2019,kepler,,,True,1.0,False,1.04,yang2019_stars,yang2019_stars,,4.6,True,True,,bolometric,True,,
31,31,1.5488166189124731e+35,2.154934,1.0,5263.0,3000.0,3.0,True,3768.8827498,4.445765464860958e+22,1.3337296394582872e+23,3.356776851245779e+39,1.7442324168086295e+40,-4.33592247157457,-5.051604353654064,0,0,[],kepler_yang2019:kepler:4815965,kepler:4815965,4815965,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,8.07,yang2019_stars,yang2019_stars,,3.9,True,True,,bolometric,True,,
106,104,2.1100852418604875e+35,0.35159392799999994,1.0,5190.0,3000.0,3.0,True,3741.37762,7.323973777549864e+21,2.1971921332649595e+22,2.244516595357255e+38,1.1662850344770843e+39,-3.0268228208071477,-3.7425047028866416,0,0,[],kepler_yang2019:kepler:4819301,kepler:4819301,4819301,kepler_yang2019,kepler,santos2021,ppm,False,2.828,True,3.46,yang2019_stars,yang2019_stars,,3.85,True,True,,bolometric,True,,
135,131,1.2534297545829904e+35,4.808769,1.0,4562.0,3000.0,3.0,True,3488.9979848,1.1114318048499524e+23,3.3342954145498575e+23,1.3268654337922373e+40,6.89459503840522e+40,-5.024726880419188,-5.7404087624986815,0,0,[],kepler_yang2019:kepler:4819423,kepler:4819423,4819423,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.76,yang2019_stars,yang2019_stars,,4.55,True,True,,bolometric,True,,
12,12,4.0982646498098293e+34,3.5094499999999997,1.0,4312.0,3000.0,3.0,True,3380.6702848,8.576769961265117e+22,2.5730309883795356e+23,8.9947333404198e+39,4.673800543842247e+40,-5.34138829269537,-6.057070174774864,0,0,[],kepler_yang2019:kepler:4819564,kepler:4819564,4819564,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,0.39,yang2019_stars,yang2019_stars,,4.58,True,True,,bolometric,True,,
69,67,4.7896083249779125e+33,2.932906,1.0,3635.0,3000.0,3.0,True,3064.851545,9.016177551210105e+22,2.7048532653630317e+23,9.694743718793175e+39,5.037536606192707e+40,-6.3062363329624205,-7.021918215041914,0,0,[],kepler_yang2019:kepler:4819766,kepler:4819766,4819766,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,11.38,yang2019_stars,yang2019_stars,,4.85,True,True,,bolometric,True,,
8,8,1.7988709151287985e+34,1.416159,1.0,4957.0,3000.0,3.0,True,3651.0348058,3.051300118095359e+22,9.153900354286077e+22,1.9086664449376237e+39,9.917721772001488e+39,-5.025730038514098,-5.741411920593592,0,0,[],kepler_yang2019:kepler:4821181,kepler:4821181,4821181,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,8.1,yang2019_stars,yang2019_stars,,4.55,True,True,,bolometric,True,,
10,10,2.6804024115654467e+34,2.491653,0.977,5356.0,3000.0,3.0,True,3803.3708512,4.849476406783737e+22,1.4548429220351214e+23,3.8242381173923936e+39,1.987132415869554e+40,-5.1543449259288465,-5.87002680800834,0,0,[],kepler_yang2019:kepler:4824987,kepler:4824987,4824987,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,6.995,okamoto2021_stars,okamoto2021_stars,okamoto2021_stars,4.51,False,True,-,bolometric,True,,
26,25,4.633402194242096e+34,,1.0,5158.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4825003,kepler:4825003,4825003,kepler_yang2019,kepler,,,True,1.0,False,21.07,yang2019_stars,yang2019_stars,,4.6,True,True,,bolometric,True,,
42,42,6.284923560377479e+34,2.1059069999999998,1.0,5741.0,3000.0,3.0,True,3939.5559002,4.114403561568554e+22,1.2343210684705657e+23,2.988566889937044e+39,1.5529049085567187e+40,-4.677162980633298,-5.392844862712792,0,0,[],kepler_yang2019:kepler:4827910,kepler:4827910,4827910,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,1.77,yang2019_stars,yang2019_stars,,4.58,True,True,,bolometric,True,,
10,10,8.267991091178719e+34,0.13334585599999998,1.0,5217.0,3000.0,3.0,True,3751.5952138000002,2.767664709099049e+21,8.302994127297146e+21,5.214022054023788e+37,2.70928533280615e+38,-2.799772863794445,-3.5154547458739387,0,0,[],kepler_yang2019:kepler:4830001,kepler:4830001,4830001,kepler_yang2019,kepler,santos2021,ppm,False,2.828,True,1.0,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.55,False,True,,bolometric,True,,
6,6,5.865431942902701e+33,0.09825199999999999,1.0,6005.0,3000.0,3.0,True,4026.806105,1.8725943090328966e+21,5.617782927098689e+21,2.9018048253286143e+37,1.5078220173353067e+38,-3.6943681985450922,-4.410050080624586,0,0,[],kepler_yang2019:kepler:4830016,kepler:4830016,4830016,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,12.45,yang2019_stars,yang2019_stars,,4.42,True,True,,bolometric,True,,
20,19,2.4389337302789127e+34,0.72453,0.8,5298.0,3000.0,3.0,True,3781.9348167999997,9.523578477624617e+21,2.8570735432873848e+22,3.3281500408454417e+38,1.7293574897870212e+39,-4.135002897078536,-4.85068477915803,0,0,[],kepler_yang2019:kepler:4831454,kepler:4831454,4831454,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,5.2,shibayama2013_stars,shibayama2013_stars,shibayama2013_stars,4.59,False,True,,bolometric,True,,
75,71,4.326134324915946e+33,3.4053269999999998,1.0,4218.0,3000.0,3.0,True,3338.7814408,8.524364111014693e+22,2.557309233304408e+23,8.912419859364225e+39,4.631029204441411e+40,-6.313895637693875,-7.029577519773369,0,0,[],kepler_yang2019:kepler:4832949,kepler:4832949,4832949,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,9.75,yang2019_stars,yang2019_stars,,4.69,True,True,,bolometric,True,,
2,2,1.1324003632355623e+34,0.5353089999999999,1.0,4864.0,3000.0,3.0,True,3613.8898432,1.1707101652915709e+22,3.512130495874713e+22,4.5360385185457774e+38,2.356994753763225e+39,-4.602676733786268,-5.318358615865762,0,0,[],kepler_yang2019:kepler:4838980,kepler:4838980,4838980,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,14.74,yang2019_stars,yang2019_stars,,4.64,True,True,,bolometric,True,,
54,51,2.2136043521669194e+31,,1.0,3336.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4841888,kepler:4841888,4841888,kepler_yang2019,kepler,,,True,1.0,False,29.14,yang2019_stars,yang2019_stars,,5.03,True,True,,bolometric,True,,
7,7,1.9678862897068308e+34,0.703707,1.0,6081.0,3000.0,3.0,True,4050.9985162,1.3324204355018149e+22,3.9972613065054446e+22,5.507627720296296e+38,2.861847312218381e+39,-4.446964577103202,-5.162646459182696,0,0,[],kepler_yang2019:kepler:4843454,kepler:4843454,4843454,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,5.75,yang2019_stars,yang2019_stars,,4.39,True,True,,bolometric,True,,
1,1,3.0026174208612616e+34,,1.0,6053.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4844774,kepler:4844774,4844774,kepler_yang2019,kepler,,,True,1.0,False,,,yang2019_stars,,4.38,True,True,,bolometric,True,,
37,37,1.0002302850208324e+34,,1.0,3958.0,3000.0,3.0,False,,,,,,,,0,0,[],kepler_yang2019:kepler:4844804,kepler:4844804,4844804,kepler_yang2019,kepler,,,True,1.0,False,4.65,yang2019_stars,yang2019_stars,,4.7,True,True,,bolometric,True,,
42,42,9.799411610955923e+33,0.708944,1.0,4162.0,3000.0,3.0,True,3313.5256648,1.801860647128181e+22,5.4055819413845445e+22,8.66132729879125e+38,4.5005576827469253e+39,-4.946384450258762,-5.662066332338256,0,0,[],kepler_yang2019:kepler:4846603,kepler:4846603,4846603,kepler_yang2019,kepler,mcquillan2014,ppm,False,1.0,False,11.83,yang2019_stars,yang2019_stars,,4.64,True,True,,bolometric,True,,
1,1,1.378478510016478e+34,0.04917609199999999,1.0,5204.0,3000.0,3.0,True,3746.6821472,1.0224486632564806e+21,3.0673459897694416e+21,1.1707520231840783e+37,6.083405961656638e+37,-2.929064916961842,-3.644746799041336,0,0,[],kepler_yang2019:kepler:4846856,kepler:4846856,4846856,kepler_yang2019,kepler,santos2021,ppm,False,2.828,True,13.8,yang2019_stars,yang2019_stars,,4.53,True,True,,bolometric,True,,
