key,source,period_days,toi,tic_id,kepoi_name
TOI-2180.01,tess_only,260.1740061,2180.01,298663873,
TOI-1873.02,tess_only,900.1930987,1873.02,328933398,
TOI-199.01,tess_only,104.8724252,199.01,309792357,
TOI-2008.01,tess_only,723.8345008,2008.01,70887357,
TOI-2009.01,tess_only,1071.0898448,2009.01,243187830,
TOI-201.01,tess_only,52.9787392,201.01,350618622,
TOI-2010.01,tess_only,1134.6723963,2010.01,26547036,
TOI-2110.01,tess_only,32.76639,2110.01,394029948,
TOI-2112.02,tess_only,155.8237,2112.02,427320001,
TOI-1892.01,tess_only,1837.8897313,1892.01,63698669,
TOI-1894.01,tess_only,739.2389832,1894.01,280865159,
TOI-1895.01,tess_only,748.0739416,1895.01,384159646,
TOI-1897.01,tess_only,48.5340395,1897.01,420645189,
TOI-1897.02,tess_only,48.5338626,1897.02,420645189,
TOI-1898.01,tess_only,45.5221456,1898.01,91987762,
TOI-203.01,tess_only,51.94509,203.01,259962054,
TOI-204.01,tess_only,43.8297863,204.01,281781375,
TOI-2134.02,tess_only,95.8531625,2134.02,75878355,
TOI-2144.01,tess_only,37.3415931,2144.01,428988981,
TOI-2239.01,tess_only,92.1950921,2239.01,388130235,
TOI-224.01,tess_only,705.5844658,224.01,70797900,
TOI-2248.01,tess_only,62.1624516,2248.01,179580045,
TOI-286.02,tess_only,39.3617849,286.02,150030205,
TOI-288.01,tess_only,711.7473963,288.01,47316976,
TOI-3354.01,tess_only,46.3810093,3354.01,260367888,
TOI-3457.01,tess_only,32.6012979,3457.01,357312511,
TOI-282.01,tess_only,56.0045056,282.01,29781292,
TOI-282.02,tess_only,31.32312,282.02,29781292,
TOI-282.03,tess_only,84.2607645,282.03,29781292,
TOI-4049.01,tess_only,31.4001189,4049.01,259274960,
TOI-4298.01,tess_only,722.2619756,4298.01,146282666,
TOI-4312.01,tess_only,726.1175225,4312.01,251086776,
TOI-4314.01,tess_only,73.580982,4314.01,459952217,
TOI-4317.01,tess_only,358.2825093,4317.01,422914082,
TOI-4348.01,tess_only,602.2450921,4348.01,350299588,
TOI-4349.01,tess_only,749.1605231,4349.01,313889049,
TOI-4353.01,tess_only,718.1809317,4353.01,176797879,
TOI-4356.01,tess_only,579.6472035,4356.01,149389419,
TOI-4358.01,tess_only,97.6087634,4358.01,273418421,
TOI-4361.01,tess_only,741.4238314,4361.01,334632624,
TOI-4302.01,tess_only,38.7619532,4302.01,182078202,
TOI-4304.03,tess_only,31.7180208,4304.03,366443426,
TOI-4305.01,tess_only,183.0019106,4305.01,372068780,
TOI-4305.02,tess_only,374.3644315,4305.02,372068780,
TOI-4307.01,tess_only,32.696666,4307.01,141186075,
TOI-4320.02,tess_only,46.4093732,4320.02,404518509,
TOI-4326.01,tess_only,1826.0790324,4326.01,303586471,
TOI-4328.01,tess_only,703.79367,4328.01,77175217,
TOI-4344.01,tess_only,731.4808779,4344.01,38939275,
TOI-4347.01,tess_only,35.3573239,4347.01,32498058,
TOI-4404.01,tess_only,39.6251926,4404.01,342314656,
TOI-4406.01,tess_only,30.083503,4406.01,206541859,
TOI-4409.01,tess_only,92.4918048,4409.01,382200986,
TOI-4582.01,tess_only,31.0343214,4582.01,219854519,
TOI-4494.01,tess_only,32.535016,4494.01,40466976,
TOI-4600.01,tess_only,82.6901439,4600.01,232608943,
TOI-4600.02,tess_only,482.8191,4600.02,232608943,
TOI-4695.01,tess_only,35.7861915,4695.01,139550876,
TOI-4706.01,tess_only,735.982363,4706.01,37117064,
TOI-4503.01,tess_only,710.6982018,4503.01,167719618,
TOI-4504.01,tess_only,82.9294114,4504.01,349972412,
TOI-4507.01,tess_only,104.6162557,4507.01,179582003,
TOI-4510.01,tess_only,194.2432864,4510.01,340458804,
TOI-4629.01,tess_only,714.6970956,4629.01,304339227,
TOI-4630.01,tess_only,721.5621758,4630.01,292202337,
TOI-4631.01,tess_only,33.6356252,4631.01,313006381,
TOI-4632.01,tess_only,63.1448519,4632.01,336075472,
TOI-4633.01,tess_only,271.938639,4633.01,307958020,
TOI-4635.01,tess_only,49.1077047,4635.01,337129672,
TOI-4636.01,tess_only,42.8289152,4636.01,405484221,
TOI-4554.01,tess_only,703.9376608,4554.01,369768787,
TOI-4555.01,tess_only,522.6272677,4555.01,141770198,
TOI-4557.01,tess_only,32.291901,4557.01,258917846,
TOI-4562.01,tess_only,225.1037885,4562.01,349576261,
TOI-4563.01,tess_only,743.4843888,4563.01,418255064,
TOI-4187.01,tess_only,30.8812601,4187.01,176780257,
TOI-4189.01,tess_only,46.9621053,4189.01,7422496,
TOI-4191.01,tess_only,742.8561164,4191.01,167905035,
TOI-4127.01,tess_only,56.4043748,4127.01,141488193,
TOI-5311.01,tess_only,39.0536929,5311.01,306401382,
TOI-5312.01,tess_only,46.1965072,5312.01,399724238,
TOI-5393.01,tess_only,30.0017176,5393.01,313425396,
TOI-5396.01,tess_only,32.1400505,5396.01,202428245,
TOI-5696.02,tess_only,32.429738,5696.02,393546540,
TOI-5496.01,tess_only,43.8418559,5496.01,323658120,
