era,dt_hours,flux,flux_err,n
tess,-3.09094214876033,1.0042801347771313,0.0058856623094333295,135
tess,-3.0394264462809915,1.0039483911139266,0.006282988543481993,136
tess,-2.9879107438016526,0.9908520516097311,0.006840597022436114,130
tess,-2.9363950413223137,1.004872730909326,0.006198191693087334,136
tess,-2.8848793388429748,1.0030681086835427,0.0059449336008569435,135
tess,-2.8333636363636363,0.9983863569204752,0.006029010003301002,133
tess,-2.781847933884297,1.005038758187633,0.006518333279310866,137
tess,-2.730332231404959,0.9998905621942208,0.007512473181405704,132
tess,-2.6788165289256196,0.997909729172093,0.006029834361377586,137
tess,-2.6273008264462807,1.0002320230585975,0.006329805466223086,132
tess,-2.5757851239669423,1.0035094479065818,0.005775983968483474,136
tess,-2.524269421487603,1.0032109592828486,0.0066469851366334765,135
tess,-2.4727537190082645,0.991361948070621,0.006277010353166433,136
tess,-2.4212380165289256,1.0016707421964322,0.006462143409090485,130
tess,-2.3697223140495867,0.9987959874869413,0.005537635871683182,136
tess,-2.3182066115702478,1.006351850608086,0.006358809613090451,135
tess,-2.266690909090909,0.995021684344792,0.005574461633238177,133
tess,-2.21517520661157,0.9996857662233651,0.006456902414901211,137
tess,-2.163659504132231,1.0047274437754257,0.0058200739511329045,132
tess,-2.1121438016528926,0.9950419175740882,0.006722274738563805,137
tess,-2.0606280991735533,1.0128735879163022,0.006599656321145215,132
tess,-2.009112396694215,0.9999939754195992,0.005719579466055949,136
tess,-1.957596694214876,0.9979937843753814,0.005460764286752656,135
tess,-1.906080991735537,1.0020463525854943,0.005694208661083091,137
tess,-1.8545652892561983,0.9942826335498309,0.006925242511633569,130
tess,-1.8030495867768592,0.9944328522449621,0.005560967314961374,137
tess,-1.7515338842975208,1.01264138918172,0.006427086493995722,137
tess,-1.7000181818181817,1.0029418360867473,0.005859755369491793,134
tess,-1.648502479338843,1.0077815648221466,0.006171642641766005,139
tess,-1.596986776859504,0.9964097444687736,0.006308723608620713,134
tess,-1.545471074380165,0.998744527249031,0.005598142817537805,138
tess,-1.4939553719008263,1.0060750988891336,0.0060191588366400985,135
tess,-1.4424396694214876,1.0057080971755772,0.0061493445840640525,137
tess,-1.3909239669421487,0.99668516956801,0.006448717212949454,137
tess,-1.33940826446281,0.9902058794775299,0.005927631203915367,139
tess,-1.2878925619834711,0.988221304736563,0.006497337185437697,130
tess,-1.236376859504132,1.0027732451872167,0.006041281427324453,138
tess,-1.1848611570247933,1.0011825692227871,0.006109631816572515,136
tess,-1.1333454545454544,0.9907125604469937,0.005420007930758243,134
tess,-1.0818297520661158,0.9964730954268162,0.006247216858875462,139
tess,-1.0303140495867769,1.001806393978269,0.005875530655534725,134
tess,-0.978798347107438,0.996656400918298,0.005556951543110591,137
tess,-0.9272826446280991,1.0004278456670417,0.005570331705564513,134
tess,-0.8757669421487602,0.9856508223783894,0.006553180720705131,137
tess,-0.8242512396694215,0.9863511575112958,0.00632499836329271,137
tess,-0.7727355371900826,0.9803317674698567,0.006097576798257649,139
tess,-0.7212198347107439,0.9863521471236552,0.006517292002379058,130
tess,-0.6697041322314049,0.9765752408346628,0.006107065003271779,138
tess,-0.6181884297520659,0.9739163536371551,0.0061494183708479455,136
tess,-0.5666727272727272,0.9655622873835464,0.0056304406509669145,134
tess,-0.5151570247933883,0.9707758632723323,0.005634438390187573,138
tess,-0.4636413223140496,0.9774911260164628,0.006061168941197903,134
