n_epochs,max_depth,n_dips,dip_duty_cycle,asymmetry,best_period_d,period_power,score,n_dip_events,out_of_dip_rms,max_event_depth,source_id,ra,dec,g_mag,bp_rp,parallax,hr_class,secular_slope_mag_yr,secular_sigma,secular_total_mag,secular_score,is_secular_fader,glint_max_brighten,glint_sigma,glint_events,glint_score,is_glint,resists_mundane,is_candidate,shared_epoch_frac,rejected_shared_epoch
884,0.2389127334377129,44,0.049773755656108594,1.049091530056619,0.38414201513981494,0.02547460142950088,0.7853031113745469,5,0.0,0.2389127334377129,754207100004930,174.8330424,46.9685588,,,,unknown,0.006876483837032006,2.100195516448511,0.04866851961940126,0.0851699093339522,False,0.06882887993621356,4.202081597884357,0,0.0,False,False,False,0.6666666666666666,
876,0.4157410148565738,95,0.10844748858447488,1.0950144657163055,0.9973042701255215,0.0640008462265448,0.7224552181727861,11,0.028015131967409606,0.3104050379787566,754207100016321,174.92323215,46.9390473,,,,unknown,0.0017395331283712638,0.5449326807632782,0.01231159764105198,0.06618815301469809,False,0.36447964076801265,8.895493660264997,4,0.16878542448049294,False,False,False,0.9615384615384616,
660,0.40739349280343107,24,0.03636363636363636,0.7808429346139837,5.643141052480796,0.03763519441064315,0.7187094416768071,3,0.0,0.40739349280343107,754207200006377,173.8658233,46.86970335,,,,unknown,-0.0017111439855301159,0.2504363665340961,-0.012063658822297648,0.0,False,0.5641923588172812,10.042568840907755,12,0.0,False,False,False,0.9664429530201343,
661,0.4717650163920235,16,0.024205748865355523,0.9347155765954736,0.9971532532416165,0.03798197035390448,0.7186054088938287,3,0.0,0.29713616143866395,754207200012391,173.8617714,46.9280201,,,,unknown,-0.0008084966912460147,0.19488964994514005,-0.0057210042729812375,0.0,False,0.426336907380219,6.809901257132372,5,0.0,False,False,False,0.9710144927536232,
849,0.3335411306517724,53,0.0624263839811543,0.8573834340111975,0.9973042701255215,0.07194294667859295,0.7143255222935482,8,0.028030531234291316,0.25970115466733734,754207100004922,174.9274736,46.9703338,,,,unknown,-0.022153573224226272,4.388210334505422,-0.156760922400653,0.0,False,0.8033651803671911,15.490540326297792,9,0.0,False,False,False,0.965,
691,0.4428838861976314,83,0.12011577424023155,0.8928122590319363,0.9971532532416165,0.05559884925463487,0.7007222680692441,14,0.029913644765740884,0.24161376812704838,754207200005585,174.0308925,46.9657007,,,,unknown,0.005393581387711322,0.9117789365373963,0.03817323326974675,0.09521224913114767,False,0.5494104473597299,13.593026255284451,9,0.0,False,False,False,0.9922480620155039,
660,0.3389582765966126,11,0.016666666666666666,0.862159260949206,24.670264653524786,0.03342481724957367,0.689972554825128,2,0.0,0.3142618491332728,754207200006710,173.8476959,46.8280767,,,,unknown,0.005863258027295228,1.4022251516199096,0.041480628673883094,0.0725911001792954,False,0.5188881714786131,8.475708861884774,7,0.0,False,False,False,0.9477611940298507,
674,0.32804206312809014,68,0.10089020771513353,0.9962087652179301,0.3149884890252017,0.042983539128323034,0.6844195599593088,7,0.04089512610073141,0.28906082154415025,754207200023093,173.93128205,46.8281212,,,,unknown,0.004484457862846324,0.6592950915934512,0.03171990818659392,0.05550983932653935,False,0.48335274627694447,9.62061573799188,9,0.0,False,False,False,1.0,
869,0.2930161452715545,58,0.0667433831990794,0.8730937544734886,0.9972287559662,0.059009308586343096,0.6837092015406272,5,0.02952933529448996,0.2479607008752186,754207100025896,174.8251759,46.9466689,,,,unknown,0.0065940137964449795,2.3862786041845947,0.04666935475924841,0.08167137082868471,False,0.5219584633008558,11.132672427167423,7,0.0,False,False,False,0.9766081871345029,
671,0.3383673629107622,65,0.09687034277198212,0.886999806647663,0.12490535488719129,0.04974194267000513,0.679538560695402,6,0.04184628550119885,0.2563829139081847,754207200005905,174.6635594,46.9366252,,,,unknown,0.004210591985884984,0.9308805637458254,0.029800598538590465,0.05215104744253331,False,0.6206816690546109,12.352369934827506,8,0.0,False,False,False,0.9943502824858758,
878,0.2761911915271016,115,0.13097949886104784,0.9624833255146075,0.9972287559662,0.09323323560248811,0.6740938102710651,16,0.030740644444634268,0.2761911915271016,754207100005228,174.81168830000001,46.929196649999994,,,,unknown,0.006481374092866417,1.8461248846077751,0.04587211861105696,0.08027620756934967,False,0.5133456055906098,14.354959762330623,4,0.3266445714542806,False,False,False,0.95,
693,0.30066954766384746,63,0.09090909090909091,0.9141102865851352,0.8532248484579863,0.04712691914239335,0.6724530140647912,4,0.02446963673083027,0.22082860555778194,754207200006193,174.6038813,46.9047032,,,,unknown,-0.0023494552254373162,0.4280744413049668,-0.016628339489190694,0.0,False,0.4650008612337637,12.116210672059168,6,0.0,False,False,False,1.0,
692,0.24697080180558317,105,0.15173410404624277,0.8168301586659652,0.3325161914311554,0.04226977033778334,0.6724284473669855,14,0.04067782622484553,0.2367771291922416,754207200022824,174.12019985,46.8797908,,,,unknown,0.006484193823233331,1.2301372076250037,0.045892087768264436,0.10872024450355364,False,0.368124310378263,9.57559816153583,3,0.21993615284615184,False,False,False,1.0,
