key,ks,w1,w2,w3,teff_k,class,k_w1,w1_w2,f_k_sensitivity_pct,f_k_est_pct
HD  88955,3.775,3.724,3.349,3.762,6000.0,SATURATED,0.05099999999999971,0.375,,
HD  89449,4.02,3.654,3.392,3.721,6000.0,SATURATED,0.36599999999999966,0.262,,
HD  90132,4.686,4.629,4.376,4.718,6000.0,SATURATED,0.057000000000000384,0.2529999999999992,,
HD  91324,3.582,2.779,3.3,3.645,6000.0,SATURATED,0.8029999999999999,-0.5209999999999999,,
HD  95418,2.285,1.156,0.845,2.461,6000.0,SATURATED,1.1290000000000002,0.31099999999999994,,
HD  97603,2.144,0.761,0.585,2.34,6000.0,SATURATED,1.383,0.17600000000000005,,
HD   9826,2.859,1.816,1.709,2.853,6000.0,SATURATED,1.043,0.10699999999999998,,
HD  99211,3.546,2.698,3.206,3.519,6000.0,SATURATED,0.8479999999999999,-0.508,,
HD 116842,3.145,3.593,3.254,3.598,8080.0,SATURATED,-0.44799999999999995,0.33899999999999997,,
HD 120136,3.507,,,,6280.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 126660,2.739,,,,6280.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 128167,3.336,3.478,3.146,3.507,6670.0,SATURATED,-0.14200000000000035,0.3320000000000003,,
HD 131156,1.971,,,,5550.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 135379,3.875,3.796,3.574,3.853,8550.0,SATURATED,0.07900000000000018,0.22199999999999998,,
HD 139006,2.206,0.942,0.935,2.263,9200.0,SATURATED,1.264,0.006999999999999895,,
HD 139664,3.802,3.681,3.087,3.65,6670.0,SATURATED,0.121,0.5939999999999999,,
HD 141004,2.989,2.05,1.948,3.0,5930.0,SATURATED,0.9390000000000001,0.10199999999999987,,
HD 141795,3.425,3.441,3.109,3.458,4440.0,SATURATED,-0.016000000000000014,0.33199999999999985,,
HD 141891,2.152,,,,7020.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 142091,2.423,1.598,1.38,2.525,5170.0,SATURATED,0.825,0.2180000000000002,,
HD 142860,2.703,,,,6350.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 146233,4.186,,,,5770.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 149661,4.039,,,,5170.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 152391,4.835,,,,5480.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 160032,3.83,3.723,3.333,3.738,6670.0,SATURATED,0.1070000000000002,0.3899999999999997,,
HD 160915,3.877,3.711,3.389,3.729,6550.0,SATURATED,0.16599999999999993,0.32200000000000006,,
HD 161868,3.622,3.677,3.356,3.646,9200.0,SATURATED,-0.05500000000000016,0.3210000000000002,,
HD 162003,3.502,,,,6550.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 164259,3.639,3.705,3.319,3.715,6820.0,SATURATED,-0.06600000000000028,0.3860000000000001,,
HD 165777,3.412,3.455,3.059,3.434,8080.0,SATURATED,-0.04300000000000015,0.3959999999999999,,
HD 172167,0.129,-2.034,-2.082,0.017,9700.0,SATURATED,2.163,0.04800000000000004,,
HD 172555,4.298,4.335,4.065,3.624,7800.0,SATURATED,-0.03699999999999992,0.2699999999999996,,
HD 173667,3.19,2.399,2.289,3.09,6550.0,SATURATED,0.7909999999999999,0.10999999999999988,,
HD 177724,2.876,2.023,1.611,2.949,9700.0,SATURATED,0.8529999999999998,0.41200000000000014,,
HD 178253,4.049,4.026,3.594,3.974,8840.0,SATURATED,0.023000000000000576,0.43199999999999994,,
HD 182572,3.037,,,,5550.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 185144,2.9,,,,5270.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 185395,3.537,3.515,3.052,3.517,6750.0,SATURATED,0.021999999999999797,0.4630000000000001,,
HD 187642,0.102,,,,7800.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 188228,3.8,4.1,3.724,4.086,9700.0,SATURATED,-0.2999999999999998,0.37599999999999945,,
HD 191408,3.008,,,,5100.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 192425,4.767,4.76,4.5,4.765,9200.0,SATURATED,0.007000000000000561,0.2599999999999998,,
HD 195627,4.044,4.06,3.582,4.045,7220.0,SATURATED,-0.016000000000000014,0.47799999999999976,,
HD 197157,3.82,3.915,3.497,3.927,7440.0,SATURATED,-0.0950000000000002,0.41800000000000015,,
HD 197692,3.094,2.421,2.752,3.145,6550.0,SATURATED,0.673,-0.33099999999999996,,
HD 202730,4.145,3.751,3.402,3.838,8080.0,SATURATED,0.3939999999999997,0.34899999999999975,,
HD 203280,2.066,0.058,0.216,1.986,7500.0,SATURATED,2.008,-0.158,,
HD 203608,2.969,3.706,3.637,4.239,6050.0,SATURATED,-0.7370000000000001,0.06899999999999995,,
HD 206860,4.559,4.506,4.294,4.558,5930.0,SATURATED,0.052999999999999936,0.21200000000000063,,
HD 207129,4.236,4.116,3.817,4.156,5770.0,SATURATED,0.1200000000000001,0.2989999999999995,,
HD 209100,2.237,,,,4440.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 210027,2.564,1.388,1.306,2.671,6550.0,SATURATED,1.1760000000000002,0.08199999999999985,,
HD 210302,3.704,3.81,3.542,3.821,6350.0,SATURATED,-0.10599999999999987,0.26800000000000024,,
HD 215648,2.961,,,,6350.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 216435,4.612,4.589,4.34,4.627,5930.0,SATURATED,0.022999999999999687,0.24900000000000055,,
HD 216956,0.945,-1.472,-0.75,1.111,8270.0,SATURATED,2.417,-0.722,,
HD 219482,4.437,4.387,4.01,4.412,6350.0,SATURATED,0.05000000000000071,0.3769999999999998,,
HD 219571,3.043,1.933,1.269,2.938,6670.0,SATURATED,1.11,0.6640000000000001,,
HD 222368,2.946,,,,6280.0,INSUFFICIENT_PHOTOMETRY,,,,
HD 224392,4.824,4.818,4.573,4.902,9200.0,SATURATED,0.006000000000000227,0.24499999999999922,,
