object_id,rank,line_id,line_name,line_flag,n_dith,wl_um,wl_err_um,flux,flux_err,ew,fwhm_um,snr,snr_di,cont,qual,aon,ra,dec,point_like_prob,point_like_flag,spurious_flag,det_quality_flag,mumax_minus_mag,flux_h,flux_vis,segmentation_area,field,names,n_ranks,gaia_idx,gaia_sep_arcsec,gaia_source_id,gaia_g,gaia_bp_rp,gaia_parallax,gaia_plx_over_err,gaia_ruwe,gaia_pmra,gaia_pmdec,gaia_var_flag,resel_um,low_snr,few_dithers,band_edge,fwhm_resel,broad,non_positive_flux,stellar_line,stellar_line_name,stellar_band_name,industrial_flag,single_line_z,galaxy_pattern,galaxy_z,galaxy_ids,blend,n_neighbours_blend_radius,n_dispersion_neighbours,not_point_like,point_like_below_min,spurious,recurrent_wavelength,recurrence_n_stars,vetoes,survivor,p_single,p_global,significant_after_trials
-512395052277946886,4,11,PaBeta,1,0,1.5034373,0.0020475618,3.249737e-16,2.5480556e-16,-3.087316,0.0067207944,6.994364,1.19,1.0526091e-16,282,0.3,51.2395053,-27.79468861,0.9952982,,0,386,-2.8477154,378.27457,333.62015,2109,EDF-F,PaBeta,1,4925,0.008746345508939402,5060643519724082432,17.71306,1.522308,0.5747,6.7582,1.062,2.512,-5.689,NOT_AVAILABLE,0.003340971777777778,False,True,False,2.0116286059950754,False,False,True,Mg I 1.503,,,"[{""line"": ""H-alpha"", ""z"": 1.2902}, {""line"": ""[O III] 5007"", ""z"": 2.0019}, {""line"": ""H-beta"", ""z"": 2.0918}, {""line"": ""[O II] 3727"", ""z"": 3.0338}, {""line"": ""Ly-alpha"", ""z"": 11.3671}, {""line"": ""Mg II 2799"", ""z"": 4.3718}, {""line"": ""C IV 1549"", ""z"": 8.7028}, {""line"": ""[S III] 9531"", ""z"": 0.5771}, {""line"": ""Pa-beta"", ""z"": 0.1726}]",False,,,False,0,1,False,False,False,True,15,few_dithers|stellar_line|recurrent_wavelength,False,1.3323245946738813e-12,4.587366781659481e-07,True
-523750527278114436,4,11,PaBeta,0,0,1.5400996,0.0010650378,5.418475e-16,2.739327e-16,-1.0278547,0.0051950105,6.991553,3.16,5.2716355e-16,212,1.49,52.37505279,-27.81144367,,,0,386,-2.762391,,1350.3726,6651,EDF-F,PaBeta,1,3512,0.029194110605151705,5060420834259350656,16.202589,1.856426,2.2869,56.1766,0.976,7.577,11.058,NOT_AVAILABLE,0.0034224435555555554,False,True,False,1.5179243764494192,False,False,True,Br17,,Er fibre C-band,"[{""line"": ""H-alpha"", ""z"": 1.3461}, {""line"": ""[O III] 5007"", ""z"": 2.0751}, {""line"": ""H-beta"", ""z"": 2.1672}, {""line"": ""[O II] 3727"", ""z"": 3.1322}, {""line"": ""Ly-alpha"", ""z"": 11.6687}, {""line"": ""Mg II 2799"", ""z"": 4.5028}, {""line"": ""C IV 1549"", ""z"": 8.9394}, {""line"": ""[S III] 9531"", ""z"": 0.6155}, {""line"": ""Pa-beta"", ""z"": 0.2012}]",True,1.62029,"[{""lambda_um"": 1.3123, ""line"": ""[O III] 5007""}, {""lambda_um"": 1.5401, ""line"": ""He I 5876""}]",False,0,1,False,False,False,True,13,few_dithers|stellar_line|galaxy_pattern|recurrent_wavelength,False,1.3592994285917109e-12,4.6802446415669773e-07,True
-541733861278301773,4,11,PaBeta,1,0,1.5974,0.00050493906,2.1531203000000002e-16,9.205086e-17,-2.109637,0.001744689,6.9888816,0.0,1.0206117000000001e-16,212,0.06,54.17338619,-27.83017739,0.99827915,,0,386,-2.9568033,683.2354,275.30478,2072,EDF-F,PaBeta,1,8829,0.00614421879090154,5081469579921361408,17.96747,1.839607,0.961,8.4815,1.038,3.437,-1.549,NOT_AVAILABLE,0.0035497777777777776,False,True,False,0.4914924564917992,False,False,True,Si I 1.596,,Er fibre L-band,"[{""line"": ""H-alpha"", ""z"": 1.4334}, {""line"": ""[O III] 5007"", ""z"": 2.1895}, {""line"": ""H-beta"", ""z"": 2.285}, {""line"": ""[O II] 3727"", ""z"": 3.2859}, {""line"": ""Mg II 2799"", ""z"": 4.7075}, {""line"": ""C IV 1549"", ""z"": 9.3092}, {""line"": ""[S III] 9531"", ""z"": 0.6756}, {""line"": ""Pa-beta"", ""z"": 0.2459}]",True,2.28502,"[{""lambda_um"": 1.5974, ""line"": ""H-beta""}, {""lambda_um"": 1.42615, ""line"": ""H-gamma""}]",False,0,0,False,False,False,True,17,few_dithers|stellar_line|galaxy_pattern|recurrent_wavelength,False,1.3854306427283375e-12,4.770217808897221e-07,True
-538338972276993244,0,11,PaBeta,0,0,1.5974883,0.001372787,3.5579087000000005e-16,3.1129445e-16,-1.2779773,0.003522414,6.9865656,2.67,2.7840155e-16,252,1.36,53.83389727,-27.69932444,,,0,386,-2.8805017,,740.78284,4236,EDF-F,PaBeta,1,13842,0.01120756824254954,5057470573980430464,16.962788,1.966092,1.828,27.6544,1.028,8.185,1.346,NOT_AVAILABLE,0.003549974,False,True,False,0.9922365628593337,False,False,True,Si I 1.596,,Er fibre L-band,"[{""line"": ""H-alpha"", ""z"": 1.4335}, {""line"": ""[O III] 5007"", ""z"": 2.1897}, {""line"": ""H-beta"", ""z"": 2.2852}, {""line"": ""[O II] 3727"", ""z"": 3.2862}, {""line"": ""Mg II 2799"", ""z"": 4.7079}, {""line"": ""C IV 1549"", ""z"": 9.3098}, {""line"": ""[S III] 9531"", ""z"": 0.6757}, {""line"": ""Pa-beta"", ""z"": 0.2459}]",True,0.26927,"[{""lambda_um"": 1.6274, ""line"": ""Pa-beta""}, {""lambda_um"": 1.59749, ""line"": ""[Fe II] 1.257""}]",False,0,0,False,False,False,True,17,few_dithers|stellar_line|galaxy_pattern|recurrent_wavelength,False,1.4084836050119713e-12,4.849592154924869e-07,True
-521540323276129103,3,11,PaBeta,1,0,1.6318998,0.001195936,4.443676e-16,1.7399477000000002e-16,-2.5330741,0.008705684,6.9737844,2.86,1.7542623e-16,212,1.4,52.15403239,-27.61291034,0.99586225,,0,386,-2.7991514,808.10645,329.60922,2153,EDF-F,PaBeta,1,3895,0.006263013649523802,5060476741850667648,17.816193,2.431328,1.9366,18.5687,1.005,3.673,-18.041,NOT_AVAILABLE,0.003626444,False,True,False,2.4006117287348157,False,False,False,,,,"[{""line"": ""H-alpha"", ""z"": 1.4859}, {""line"": ""[O III] 5007"", ""z"": 2.2584}, {""line"": ""H-beta"", ""z"": 2.356}, {""line"": ""[O II] 3727"", ""z"": 3.3785}, {""line"": ""Mg II 2799"", ""z"": 4.8308}, {""line"": ""C IV 1549"", ""z"": 9.5319}, {""line"": ""[S III] 9531"", ""z"": 0.7118}, {""line"": ""Pa-beta"", ""z"": 0.2728}]",True,0.27142,"[{""lambda_um"": 1.5982, ""line"": ""[Fe II] 1.257""}, {""lambda_um"": 1.6319, ""line"": ""Pa-beta""}]",False,0,1,False,False,False,True,18,few_dithers|galaxy_pattern|recurrent_wavelength,False,1.5426339591223167e-12,5.311489263672823e-07,True
-515537890276718803,1,11,PaBeta,0,0,1.3041183,0.00056273903,3.5223015000000003e-16,1.2623996000000001e-16,-2.5478034,0.0034631626,6.968878,3.59,1.3824856000000002e-16,212,2.07,51.55378903,-27.67188038,0.9890522,,0,386,-2.8044863,597.48987,173.46164,1482,EDF-F,PaBeta,1,4961,0.008530322392165527,5060648471824157952,18.502014,2.36692,1.3551,9.2408,0.995,-1.724,-1.728,NOT_AVAILABLE,0.002898040666666667,False,True,False,1.1950013813930835,False,False,False,,,InGaAs telecom 1310,"[{""line"": ""H-alpha"", ""z"": 0.9866}, {""line"": ""[O III] 5007"", ""z"": 1.6039}, {""line"": ""H-beta"", ""z"": 1.6819}, {""line"": ""[O II] 3727"", ""z"": 2.499}, {""line"": ""Ly-alpha"", ""z"": 9.7276}, {""line"": ""Mg II 2799"", ""z"": 3.6596}, {""line"": ""C IV 1549"", ""z"": 7.4164}, {""line"": ""[S III] 9531"", ""z"": 0.368}, {""line"": ""Pa-beta"", ""z"": 0.0171}]",True,6.95419,"[{""lambda_um"": 1.32529, ""line"": ""O III] 1666""}, {""lambda_um"": 1.30412, ""line"": ""He II 1640""}]",False,0,0,False,False,False,True,12,few_dithers|galaxy_pattern|recurrent_wavelength,False,1.5973929433796743e-12,5.500031565138858e-07,True
-540270170276524207,1,8,SIII9068,0,0,1.4677719,0.0014465426,3.992358e-16,2.8440685000000005e-16,-2.416937,0.0048167505,6.9459667,5.14,1.6518254000000001e-16,252,1.97,54.02701705,-27.65242072,,,0,386,-3.0707283,655.05005,765.71643,3213,EDF-F,SIII9068,1,8956,0.017678588080727847,5081487928020713856,16.572355,0.809872,0.4823,9.9438,1.046,-3.317,-3.25,VARIABLE,0.0032617153333333333,False,True,False,1.4767537960087667,False,False,False,,H2O 1.4 band,,"[{""line"": ""H-alpha"", ""z"": 1.2359}, {""line"": ""[O III] 5007"", ""z"": 1.9307}, {""line"": ""H-beta"", ""z"": 2.0184}, {""line"": ""[O II] 3727"", ""z"": 2.9381}, {""line"": ""Ly-alpha"", ""z"": 11.0738}, {""line"": ""Mg II 2799"", ""z"": 4.2444}, {""line"": ""C IV 1549"", ""z"": 8.4726}, {""line"": ""[S III] 9531"", ""z"": 0.5397}, {""line"": ""Pa-beta"", ""z"": 0.1448}]",True,1.2338,"[{""lambda_um"": 1.59442, ""line"": ""[Ar III] 7136""}, {""lambda_um"": 1.49958, ""line"": ""[S II] 6716""}, {""lambda_um"": 1.46777, ""line"": ""H-alpha""}]",False,0,0,False,False,False,True,6,few_dithers|galaxy_pattern|recurrent_wavelength,False,1.879387158842146e-12,6.470974308224159e-07,True
-523082199277792537,2,11,PaBeta,0,0,1.5984833,0.0010676873,2.6921028000000004e-16,1.7011819000000002e-16,-1.6687773,0.0038863802,6.944543,3.03,1.6132187e-16,212,1.66,52.30821994,-27.77925375,,,0,386,-2.9053593,,544.4599,3725,EDF-F,PaBeta,1,3534,0.019238159565898454,5060423999652323200,17.151178,1.572357,1.0852,16.3419,0.988,9.309,-8.866,NOT_AVAILABLE,0.0035521851111111114,False,True,False,1.094081552181371,False,False,True,CO 5-2 bandhead,,Er fibre L-band,"[{""line"": ""H-alpha"", ""z"": 1.435}, {""line"": ""[O III] 5007"", ""z"": 2.1917}, {""line"": ""H-beta"", ""z"": 2.2872}, {""line"": ""[O II] 3727"", ""z"": 3.2888}, {""line"": ""Mg II 2799"", ""z"": 4.7114}, {""line"": ""C IV 1549"", ""z"": 9.3162}, {""line"": ""[S III] 9531"", ""z"": 0.6768}, {""line"": ""Pa-beta"", ""z"": 0.2467}]",False,,,False,0,0,False,False,False,True,17,few_dithers|stellar_line|recurrent_wavelength,False,1.898437084955483e-12,6.536565680322772e-07,True
-532069907279151859,4,7,SII6718,1,0,1.5780748,0.0015629383,2.5839688000000004e-16,2.4672879000000004e-16,-1.0347692,0.0025279606,6.895152,1.68,2.497145e-16,212,0.6,53.20699074,-27.91518596,,,0,386,-2.9597616,,1399.673,7037,EDF-F,SII6718,1,13959,0.009913696603968854,5057487032295187328,16.15614,1.06396,0.2651,7.0748,1.034,9.489,-24.293,VARIABLE,0.003506832888888889,False,True,False,0.7208671414054644,False,False,True,CO 4-1 bandhead,,Er fibre L-band,"[{""line"": ""H-alpha"", ""z"": 1.4039}, {""line"": ""[O III] 5007"", ""z"": 2.151}, {""line"": ""H-beta"", ""z"": 2.2453}, {""line"": ""[O II] 3727"", ""z"": 3.2341}, {""line"": ""Ly-alpha"", ""z"": 11.9811}, {""line"": ""Mg II 2799"", ""z"": 4.6385}, {""line"": ""C IV 1549"", ""z"": 9.1845}, {""line"": ""[S III] 9531"", ""z"": 0.6554}, {""line"": ""Pa-beta"", ""z"": 0.2308}]",True,0.45919,"[{""lambda_um"": 1.59652, ""line"": ""Pa-gamma""}, {""lambda_um"": 1.57807, ""line"": ""He I 1.083""}]",False,0,1,False,False,False,True,6,few_dithers|stellar_line|galaxy_pattern|recurrent_wavelength,False,2.690361940999767e-12,9.263265909914527e-07,True
-531335567277758719,1,9,SIII9530,0,0,1.5549163,0.00044068845,1.9589282000000002e-16,7.549568000000001e-17,-1.5776743,0.0026739205,6.8950925,2.3,1.2416557000000001e-16,282,1.1,53.13355677,-27.77587199,0.99891376,,0,386,-2.922966,861.49,208.178,1223,EDF-F,SIII9530,1,14043,0.022544765533159237,5057502111924074496,18.341656,2.548397,1.7606,13.1227,1.041,9.37,4.012,NOT_AVAILABLE,0.0034553695555555554,False,True,False,0.7738450133939686,False,False,True,Br16,,Er fibre C-band,"[{""line"": ""H-alpha"", ""z"": 1.3686}, {""line"": ""[O III] 5007"", ""z"": 2.1047}, {""line"": ""H-beta"", ""z"": 2.1977}, {""line"": ""[O II] 3727"", ""z"": 3.1719}, {""line"": ""Ly-alpha"", ""z"": 11.7906}, {""line"": ""Mg II 2799"", ""z"": 4.5558}, {""line"": ""C IV 1549"", ""z"": 9.035}, {""line"": ""[S III] 9531"", ""z"": 0.6311}, {""line"": ""Pa-beta"", ""z"": 0.2127}]",False,,,False,0,0,False,False,False,True,6,few_dithers|stellar_line|recurrent_wavelength,False,2.691488252575797e-12,9.267143947091303e-07,True
