star_key,segment,flare_t_peak,id,gmag,sep_arcsec,pa_deg,is_target,flux_ratio_to_target,capture_fraction,flux_fraction,required_amplitude,excluded_by_arithmetic
kepler:8487271,1.0,143.50742764165625,2127129523106372992,12.43294,0.13029254983604535,340.3814838400148,True,1.0,0.9675953026487549,0.9993811543722684,0.0010698310517110116,False
kepler:8487271,1.0,143.50742764165625,2127129527407930368,17.134285,11.951723260089802,179.45009420750299,False,0.013166247053455291,0.045507494229251995,0.0006188456277315343,1.7276828719973962,False
kepler:7191877,5.0,448.7215127805248,2102728615609376768,14.824497,0.1615454306948898,331.6190403377122,True,1.0,0.7225582440738638,0.9530869672665597,0.0018147972771731843,False
kepler:7191877,5.0,448.7215127805248,2102728615604719488,17.89858,4.466679516447105,188.87729789944666,False,0.05893411958445182,0.42346642978238624,0.03291891085598428,0.052543039490936506,False
kepler:7191877,5.0,448.7215127805248,2102728615604718720,19.261904,6.61999102265626,280.4965842206493,False,0.016789478241961576,0.12125859298294832,0.0026854025380931143,0.6440969681710436,False
kepler:7191877,5.0,448.7215127805248,2102728615609375872,16.065022,9.431566346917581,299.70916245345194,False,0.3189994982780613,0.022339418601389816,0.009399863272902473,0.18400902043871104,False
kepler:7191877,5.0,448.7215127805248,2102728611307543808,18.844002,9.850998215789673,153.41551977684986,False,0.02467163890115847,0.05865641447351564,0.0019088560664604394,0.9061236535826821,False
kepler:7191877,6.0,605.8392407656647,2102728615609376768,14.824497,0.1615454306948898,331.6190403377122,True,1.0,0.882666671633267,0.9204257344316198,0.0033274862280235377,False
kepler:7191877,6.0,605.8392407656647,2102728615604719488,17.89858,4.466679516447105,188.87729789944666,False,0.05893411958445182,0.6913329083300805,0.04248602052501638,0.07208733407818935,False
kepler:7191877,6.0,605.8392407656647,2102728615604718720,19.261904,6.61999102265626,280.4965842206493,False,0.016789478241961576,0.42264467002094613,0.007399538270204494,0.41390473883649825,False
kepler:7191877,6.0,605.8392407656647,2102728615609375872,16.065022,9.431566346917581,299.70916245345194,False,0.3189994982780613,0.07873341855035573,0.026190339784371724,0.1169402146155904,False
kepler:7191877,6.0,605.8392407656647,2102728611307543808,18.844002,9.850998215789673,153.41551977684986,False,0.02467163890115847,0.13598009556197363,0.0034983669887876066,0.8754667434993935,False
kepler:7191877,9.0,850.2225013193674,2102728615609376768,14.824497,0.1615454306948898,331.6190403377122,True,1.0,0.6393354567499813,0.9496664820077699,0.003452047508071973,False
kepler:7191877,9.0,850.2225013193674,2102728615604719488,17.89858,4.466679516447105,188.87729789944666,False,0.05893411958445182,0.40355300595829935,0.03532723978568981,0.0927979041839084,False
kepler:7191877,9.0,850.2225013193674,2102728615604718720,19.261904,6.61999102265626,280.4965842206493,False,0.016789478241961576,0.11570871268516247,0.0028856628036924388,1.1360626780507956,False
kepler:7191877,9.0,850.2225013193674,2102728615609375872,16.065022,9.431566346917581,299.70916245345194,False,0.3189994982780613,0.021236969739412317,0.010062939641600866,0.32577894029709903,False
kepler:7191877,9.0,850.2225013193674,2102728611307543808,18.844002,9.850998215789673,153.41551977684986,False,0.02467163890115847,0.05614830136302155,0.002057675761246984,1.5932023278185004,False
kepler:7191877,13.0,1230.9621040667407,2102728615609376768,14.824497,0.1615454306948898,331.6190403377122,True,1.0,0.63951052956376,0.9497557946702424,0.002540679812638975,False
kepler:7191877,13.0,1230.9621040667407,2102728615604719488,17.89858,4.466679516447105,188.87729789944666,False,0.05893411958445182,0.4028215761457587,0.0352568718290268,0.06844127823243072,False
kepler:7191877,13.0,1230.9621040667407,2102728615604718720,19.261904,6.61999102265626,280.4965842206493,False,0.016789478241961576,0.11559431644780593,0.0028822917163761983,0.8371898516536633,False
kepler:7191877,13.0,1230.9621040667407,2102728615609375872,16.065022,9.431566346917581,299.70916245345194,False,0.3189994982780613,0.02122283964859408,0.010054436720345885,0.23999607751000504,False
kepler:7191877,13.0,1230.9621040667407,2102728611307543808,18.844002,9.850998215789673,153.41551977684986,False,0.02467163890115847,0.0559654207466498,0.0020506050640086136,1.1767382304901184,False
kepler:6963577,6.0,570.2237491309643,2077138856868886016,12.768557,0.6666189675639514,201.0052571930515,True,1.0,0.9478434423841173,1.0,0.0012847191597441742,False
kepler:6963577,9.0,863.4022628120147,2077138856868886016,12.768557,0.6666189675639514,201.0052571930515,True,1.0,0.8965444093975045,1.0,0.0009789938310581661,False
kepler:6963577,11.0,1043.8112576901913,2077138856868886016,12.768557,0.6666189675639514,201.0052571930515,True,1.0,0.8961851275829493,1.0,0.0007921249733975789,False
kepler:10288777,6.0,613.3587241196074,2086384409624949248,14.464823,0.0760898393901744,173.58797651918925,True,1.0,0.8162403155779343,0.9973451976897353,0.0015073118523295913,False
kepler:10288777,6.0,613.3587241196074,2086384405325348736,19.744421,6.3809476896862956,275.06948756924305,False,0.007729667274430889,0.23862966223082197,0.002253786046632056,0.6670155046829792,False
kepler:10288777,6.0,613.3587241196074,2086384409616733056,20.884703,9.555280406046032,272.1947957166615,False,0.0027042572331472795,0.0368344980395666,0.00012171110775940859,12.35146294382098,False
kepler:10288777,6.0,613.3587241196074,2086384405321899520,18.926561,11.162728373797986,53.84556835176156,False,0.016417415890754548,0.006334131015018153,0.00012706305746080566,11.831214102536876,False
kepler:10288777,6.0,613.3587241196074,2086384405321879424,19.454494,11.833651931795304,125.8750276845151,False,0.010095587564264022,0.012341720365131212,0.00015224209841240181,9.874471338863758,False
kepler:5093466,4.0,401.1507661668584,2101166828062130816,14.080159,0.4971606176332171,185.01995252467282,True,1.0,0.5478179981014394,0.9976957879040144,0.0010069396428728171,False
kepler:5093466,4.0,401.1507661668584,2101166823762309120,20.220396,8.52101088568949,297.8485433265458,False,0.0034986878756074194,0.0655226197035436,0.00041750174507651104,2.406264050905168,False
kepler:5093466,4.0,401.1507661668584,2101166828062873984,18.516106,8.808816512719972,242.74645927078976,False,0.016812070402660355,0.06162007036599804,0.001886710350909041,0.5324714733683121,False
kepler:5093466,4.0,437.25771568948403,2101166828062130816,14.080159,0.4971606176332171,185.01995252467282,True,1.0,0.5478179981014394,0.9976957879040144,0.0005228151173083843,False
kepler:5093466,4.0,437.25771568948403,2101166823762309120,20.220396,8.52101088568949,297.8485433265458,False,0.0034986878756074194,0.0655226197035436,0.00041750174507651104,1.2493611021806106,False
kepler:5093466,4.0,437.25771568948403,2101166828062873984,18.516106,8.808816512719972,242.74645927078976,False,0.016812070402660355,0.06162007036599804,0.001886710350909041,0.27646556353485824,False
kepler:5093466,5.0,523.8590424535796,2101166828062130816,14.080159,0.4971606176332171,185.01995252467282,True,1.0,0.836914923078103,0.995941674606218,0.0006692618599329241,False
kepler:5093466,5.0,523.8590424535796,2101166823762309120,20.220396,8.52101088568949,297.8485433265458,False,0.0034986878756074194,0.2163131000198882,0.0009006179841576215,0.7400982317215343,False
kepler:5093466,5.0,523.8590424535796,2101166828062873984,18.516106,8.808816512719972,242.74645927078976,False,0.016812070402660355,0.15783310215105034,0.00315770740962438,0.21108535119501665,False
kepler:5093466,5.0,487.69001794653013,2101166828062130816,14.080159,0.4971606176332171,185.01995252467282,True,1.0,0.836914923078103,0.995941674606218,0.0008053604215335676,False
kepler:5093466,5.0,487.69001794653013,2101166823762309120,20.220396,8.52101088568949,297.8485433265458,False,0.0034986878756074194,0.2163131000198882,0.0009006179841576215,0.8906018100825898,False
kepler:5093466,5.0,487.69001794653013,2101166828062873984,18.516106,8.808816512719972,242.74645927078976,False,0.016812070402660355,0.15783310215105034,0.00315770740962438,0.25401087017720947,False
kepler:5093466,5.0,481.35530567821115,2101166828062130816,14.080159,0.4971606176332171,185.01995252467282,True,1.0,0.836914923078103,0.995941674606218,0.0008506768544529635,False
kepler:5093466,5.0,481.35530567821115,2101166823762309120,20.220396,8.52101088568949,297.8485433265458,False,0.0034986878756074194,0.2163131000198882,0.0009006179841576215,0.9407146491362509,False
kepler:5093466,5.0,481.35530567821115,2101166828062873984,18.516106,8.808816512719972,242.74645927078976,False,0.016812070402660355,0.15783310215105034,0.00315770740962438,0.2683036839924997,False
kepler:5093466,10.0,997.5715350364335,2101166828062130816,14.080159,0.4971606176332171,185.01995252467282,True,1.0,0.6864773979588644,0.9984421183562062,0.001794092156866149,False
kepler:5093466,10.0,997.5715350364335,2101166823762309120,20.220396,8.52101088568949,297.8485433265458,False,0.0034986878756074194,0.11044731888989703,0.0005620268036971221,3.187209510016587,False
kepler:5093466,10.0,997.5715350364335,2101166828062873984,18.516106,8.808816512719972,242.74645927078976,False,0.016812070402660355,0.04072660310294935,0.0009958548400966463,1.7987532936565833,False
kepler:4562996,8.0,773.0421598237008,2053180081875190912,13.312296,1.069149417090439,41.876198537802566,True,1.0,0.8333864206415152,0.8597952048216062,0.006466560200964462,False
kepler:4562996,8.0,773.0421598237008,2053180086180056960,18.092266,1.8704108148957852,336.463575961744,False,0.012246500371285959,0.7631326063475119,0.009641855288627358,0.576643943104752,False
kepler:4562996,8.0,773.0421598237008,2053180051821788928,18.74793,4.365275980446758,234.3610128636953,False,0.006694935541455277,0.6496819168531233,0.004487410272867716,1.2390035932521,False
kepler:4562996,8.0,773.0421598237008,2053180051820184832,14.967456,5.383705325642081,215.88401509079034,False,0.21773888768264385,0.5565069134006462,0.1250129958457771,0.044474715727463296,False
kepler:4562996,8.0,773.0421598237008,2053180086174617472,19.37698,5.863933560116583,351.178332826803,False,0.0037508215280447005,0.2745792683119523,0.0010625337711216063,5.2326971655785215,False
kepler:4562996,10.0,926.6470361957327,2053180081875190912,13.312296,1.069149417090439,41.876198537802566,True,1.0,0.8059773537685676,0.9187134852404845,0.0011155248935714273,False
kepler:4562996,10.0,926.6470361957327,2053180086180056960,18.092266,1.8704108148957852,336.463575961744,False,0.012246500371285959,0.8119883052794201,0.011334934797645517,0.09041496763249199,False
kepler:4562996,10.0,926.6470361957327,2053180051821788928,18.74793,4.365275980446758,234.3610128636953,False,0.006694935541455277,0.3699636036992384,0.0028233365671969566,0.36299170802119707,False
kepler:4562996,10.0,926.6470361957327,2053180051820184832,14.967456,5.383705325642081,215.88401509079034,False,0.21773888768264385,0.2612264398128295,0.06483512963120142,0.015806982552130602,False
kepler:4562996,10.0,926.6470361957327,2053180086174617472,19.37698,5.863933560116583,351.178332826803,False,0.0037508215280447005,0.5363421752978043,0.002293113763471541,0.4469240816443451,False
kepler:4562996,10.0,961.3640200635418,2053180081875190912,13.312296,1.069149417090439,41.876198537802566,True,1.0,0.8059773537685676,0.9187134852404845,0.0010058461535451015,False
kepler:4562996,10.0,961.3640200635418,2053180086180056960,18.092266,1.8704108148957852,336.463575961744,False,0.012246500371285959,0.8119883052794201,0.011334934797645517,0.08152534106602057,False
kepler:4562996,10.0,961.3640200635418,2053180051821788928,18.74793,4.365275980446758,234.3610128636953,False,0.006694935541455277,0.3699636036992384,0.0028233365671969566,0.3273022550962098,False
kepler:4562996,10.0,961.3640200635418,2053180051820184832,14.967456,5.383705325642081,215.88401509079034,False,0.21773888768264385,0.2612264398128295,0.06483512963120142,0.014252835316217936,False
kepler:4562996,10.0,961.3640200635418,2053180086174617472,19.37698,5.863933560116583,351.178332826803,False,0.0037508215280447005,0.5363421752978043,0.002293113763471541,0.40298237272806986,False
kepler:4562996,11.0,1012.5693874103017,2053180081875190912,13.312296,1.069149417090439,41.876198537802566,True,1.0,0.8718285688199953,0.8175075223553312,0.0016826216604807671,False
kepler:4562996,11.0,1012.5693874103017,2053180086180056960,18.092266,1.8704108148957852,336.463575961744,False,0.012246500371285959,0.8922724736035822,0.010246372884457136,0.1342480778547153,False
kepler:4562996,11.0,1012.5693874103017,2053180051821788928,18.74793,4.365275980446758,234.3610128636953,False,0.006694935541455277,0.8443236398815958,0.005300489888697035,0.25951485496733667,False
kepler:4562996,11.0,1012.5693874103017,2053180051820184832,14.967456,5.383705325642081,215.88401509079034,False,0.21773888768264385,0.8071717488012546,0.16480205179444113,0.008346715649127881,False
kepler:4562996,11.0,1012.5693874103017,2053180086174617472,19.37698,5.863933560116583,351.178332826803,False,0.0037508215280447005,0.6094656120619573,0.0021435630770735075,0.6417146663111115,False
kepler:4562996,14.0,1331.5186657635495,2053180081875190912,13.312296,1.069149417090439,41.876198537802566,True,1.0,0.9106015208004054,0.8803028070674866,0.0015413192667591037,False
kepler:4562996,14.0,1331.5186657635495,2053180086180056960,18.092266,1.8704108148957852,336.463575961744,False,0.012246500371285959,0.928952594572772,0.010997887363597691,0.12337166514418511,False
kepler:4562996,14.0,1331.5186657635495,2053180051821788928,18.74793,4.365275980446758,234.3610128636953,False,0.006694935541455277,0.6755838196091524,0.004372495336921585,0.3103096910494366,False
kepler:4562996,14.0,1331.5186657635495,2053180051820184832,14.967456,5.383705325642081,215.88401509079034,False,0.21773888768264385,0.48313746058067825,0.10169753530922836,0.01334179508863787,False
kepler:4562996,14.0,1331.5186657635495,2053180086174617472,19.37698,5.863933560116583,351.178332826803,False,0.0037508215280447005,0.7251133214177523,0.0026292749227657623,0.516046331012041,False
kepler:8747865,3.0,293.57110131019726,2126964257067156352,12.39318,0.12153557869094771,73.97852217948642,True,1.0,0.9811521108799123,0.9939125271079658,0.0009560338768149701,False
kepler:8747865,3.0,293.57110131019726,2126964257067157120,17.010796,8.318801908752391,347.8108490170182,False,0.01422176833706209,0.4225436878614211,0.006087472892034093,0.15609335160234025,False
kepler:8747865,12.0,1119.8826652774587,2126964257067156352,12.39318,0.12153557869094771,73.97852217948642,True,1.0,0.9911124173535801,0.9926619157645369,0.0004111661345769281,False
kepler:8747865,12.0,1119.8826652774587,2126964257067157120,17.010796,8.318801908752391,347.8108490170182,False,0.01422176833706209,0.5151701011140616,0.007338084235463181,0.05562064290215529,False
kepler:7174965,8.0,799.4844633112662,2104828094401537152,11.584251,0.05820612095207417,7.286692416923758,True,1.0,0.9707251225660143,0.9661668754709396,0.00023387956793608546,False
kepler:7174965,8.0,799.4844633112662,2104828098699879680,19.449825,5.897745927986387,59.7285626943607,False,0.000714118690607117,0.926127651002993,0.000658259484580976,0.34327905131992625,False
kepler:7174965,8.0,799.4844633112662,2104828094402822912,15.162494,7.057261642727206,58.742581434249004,False,0.03704271412542972,0.899809326663906,0.033174865044479404,0.0068113823850175365,False
kepler:7174965,14.0,1364.2928620688617,2104828094401537152,11.584251,0.05820612095207417,7.286692416923758,True,1.0,0.9900583186785901,0.9654868197591308,0.0002348324830484449,False
kepler:7174965,14.0,1364.2928620688617,2104828098699879680,19.449825,5.897745927986387,59.7285626943607,False,0.000714118690607117,0.9544918687036414,0.0006647038668895098,0.3410957548593151,False
