star_key,tier,energy_erg,energy_raw,t_start,t_end,t_peak,segment,above,xi_conservative_stage1,match_method,rank,flux_column,outcome,reason,detected_t_start,detected_t_peak,detected_t_end,amplitude,peak_sigma,ed_s,n_points,t_rise_days,t_decay_days,e_remeasured_bol_erg,e_remeasured_band_erg,e_ratio_remeasured_over_catalogue,n_in_flare_cadences,n_core_cadences,n_baseline_cadences,aperture_excess_a,shift_dx_px,shift_dy_px,shift_dx_err_px,shift_dy_err_px,baseline_x,baseline_y,diff_snr_peak,aperture_source,diff_x,diff_y,diff_sigma_px,z_target,d_target_px,d_target_arcsec,neighbour,consistent_neighbours,excluded_neighbours,unresolved_neighbours,wcs_anchor_dx_px,wcs_anchor_dy_px
kepler:9418692,vetoed_excess,7.830689431433731e+34,34.8938,304.6462,304.8096,304.6462,3.0,conservative,0.6184056407604814,time_overlap,,pdcsap_flux,on_target,difference-image centroid 0.214 px (2.1 sigma) from the target; every neighbour rejected at > 3.0 sigma or excluded by arithmetic,304.62574543990195,304.6870436645113,304.8505055946298,0.00817142040709351,56.91464177478937,28.609754305590624,9.0,0.0612982246093452,0.1634619301185012,3.695600135966949e+34,4.267635119628112e+34,0.4719380289980823,9.0,2.0,73.0,0.00192882195305957,0.00016910161456711807,-1.983365344115917e-05,3.9209162243515264e-05,2.854282526660784e-05,3.348386193325402,1.915472840776521,27.415405845292902,pipeline,3.554753916674181,1.8731211300387967,0.10045691849417542,2.1329822383666093,0.2142728228691183,0.8528058350190909,,[],[],[],-0.026646536256645703,-0.042875616955083906
kepler:9418692,vetoed_excess,2.649110048516262e+34,34.4231,337.0321,337.1138,337.0321,3.0,conservative,0.14770564076048062,time_overlap,,pdcsap_flux,on_target,difference-image centroid 0.266 px (2.6 sigma) from the target; every neighbour rejected at > 3.0 sigma or excluded by arithmetic,337.0320499227382,337.0729153440334,337.1342136268504,0.003447053787150267,24.00902434340304,11.14029468406429,5.0,0.040865421295166016,0.06129828281700611,1.439022303700624e+34,1.661765855410678e+34,0.5432097109391907,5.0,3.0,78.0,0.0013153220713665536,0.00010419869726829845,9.0537207199759e-06,8.009499363657644e-05,5.108904216662253e-05,3.3660341251647368,1.889280459283007,11.435164466814623,pipeline,3.628992430428714,1.883232236436382,0.103164391838644,2.5778252489850297,0.26593977407784164,1.0584403008298098,,[],[],[],-0.00892347030038998,-0.06917950961440966
kepler:9418692,vetoed_excess,3.6124346556446176e+34,34.5578,837.2256,837.3278,837.2256,9.0,conservative,0.2824056407604829,time_overlap,,pdcsap_flux,on_target,difference-image centroid 0.115 px (1.1 sigma) from the target; every neighbour rejected at > 3.0 sigma or excluded by arithmetic,837.2460608542897,837.2460608542897,837.3686667354777,0.004816214479759662,32.18215718456676,14.053914875388314,6.0,0.0,0.12260588118806481,1.8153825848900722e+34,2.0963822355772915e+34,0.5025371412749133,6.0,2.0,77.0,0.0013632192716692322,6.842011925837592e-05,-9.3303675498424e-05,5.8343439788181784e-05,5.049751202138047e-05,3.23817391097202,1.6283003410370225,16.66068251520286,pipeline,3.3403925373607817,1.5843342993936804,0.10233238518721421,1.121313877703015,0.11474672364887373,0.45669196012251745,,[],[],[],-0.07187003848784856,-0.0037862777843229445
kepler:9418692,vetoed_excess,9.649393118055756e+34,34.9845,1204.5398,1204.6829,1204.5398,13.0,conservative,0.7091056407604797,time_overlap,,pdcsap_flux,on_target,difference-image centroid 0.190 px (1.9 sigma) from the target; every neighbour rejected at > 3.0 sigma or excluded by arithmetic,1204.5398193793371,1204.5398193793371,1204.6828592033125,0.013723517949228992,94.43015105825062,41.773787801871606,6.0,0.0,0.14303982397541404,5.396034311636294e+34,6.231276298249195e+34,0.5592097083845967,6.0,2.0,80.0,0.004048716321317573,0.0002849309877565413,-0.00011193097644942214,7.271258070612742e-05,7.026731753989516e-05,3.2000168554275357,1.6368597299085976,22.753869000280467,pipeline,3.3685501073846713,1.558533476146908,0.10066105963241583,1.8829688125367365,0.18954163592473966,0.7543757109804639,,[],[],[],-0.1263743824087582,-0.06182666798479941
kepler:9418692,vetoed_excess,4.9739337910677485e+34,34.6967,1204.1311,1204.2946,1204.1311,13.0,conservative,0.4213056407604825,time_overlap,,pdcsap_flux,undetected_in_pixels,difference-image peak SNR 1.5 < 3.0,1204.1924365418963,1204.1924365418963,1204.274173728656,0.0017429943320739216,11.993369242517153,6.2261472070565205,4.0,0.0,0.08173718675971031,8.042484468470973e+33,9.287365489754197e+33,0.16169263215593593,4.0,4.0,82.0,0.0008141138155453032,0.00011385321800538861,-6.930048312081549e-05,0.00011796442962291386,8.353374590039745e-05,3.1998612701232996,1.6373425890082471,1.4554163188037723,pipeline,,,,,,,,[],[],[],-0.12653051041630503,-0.061342124605049175
kepler:9418692,vetoed_excess,9.77912505721236e+34,34.9903,1522.9352,1523.16,1522.9352,16.0,conservative,0.7149056407604804,time_overlap,,pdcsap_flux,on_target,difference-image centroid 0.100 px (1.0 sigma) from the target; every neighbour rejected at > 3.0 sigma or excluded by arithmetic,1522.914749077987,1522.9556162641384,1523.1599523141049,0.012737213003638503,81.41247325342209,42.82272540847834,11.0,0.04086718615144491,0.2043360499665141,5.531528448362914e+34,6.387743317170039e+34,0.5656465599939605,11.0,2.0,77.0,0.0022286564470044494,4.858768064197605e-05,-9.115302878160879e-07,3.698714678088286e-05,3.9436057170491824e-05,2.5595485156331574,2.1673197018722536,44.61178552746422,pipeline,2.632238669503394,2.2368425865379735,0.10030071382518041,1.0005156863547524,0.10035243753467198,0.39940270138799444,,[],[],[],-0.034441088523766705,-0.10818548846602027
kepler:7842033,watch,1.6326759670752475e+34,34.2129,315.0056,315.0873,315.0056,3.0,nominal,-0.19466692327572419,time_overlap,,pdcsap_flux,on_target,difference-image centroid 0.171 px (1.5 sigma) from the target; every neighbour rejected at > 3.0 sigma or excluded by arithmetic,315.0055495952256,315.0055495952256,315.14857797091827,0.0029028679300839855,21.338800038284965,15.110070915118657,6.0,0.0,0.14302837569266558,3.0195562157953554e+34,3.486947634514013e+34,1.849452234667572,6.0,5.0,75.0,0.0012645388208500918,-0.00025817361971958164,-0.00015656383794201054,8.78103374942907e-05,7.104118726943275e-05,3.4683444004752997,1.9296258543641212,12.5875003455098,pipeline,3.3803567045318044,1.7976521863882133,0.11611224127116901,1.47061003154886,0.1707558267990027,0.6796081906600308,,[],['2078654258770128768'],[],0.06643095966517976,0.016366352831233888
kepler:7842033,watch,5.754399373371543e+33,33.76,738.8371,738.8779,738.8371,8.0,nominal,-0.6475669232757237,time_overlap,,pdcsap_flux,undetected_in_pixels,difference-image centroid needs >= 3 pixels above 20% of the peak; got 2,738.8370787519962,738.8370787519962,738.9392438344657,0.001958551796932495,14.212707325728609,9.497799113419893,6.0,0.0,0.10216508246958256,1.8980148081639523e+34,2.191804945037792e+34,3.298371706605918,6.0,4.0,83.0,0.0010136792709701432,8.424902952660258e-05,9.385795277605524e-05,4.4262980238061833e-05,4.7152913831281444e-05,2.908587190164654,2.351226120957463,8.74553312934616,pipeline,,,,,,,,[],[],[],-0.09674129143223675,-0.011006107495714623
kepler:7670654,watch,2.7033358263617664e+34,34.4319,443.7357,443.8379,443.7357,5.0,nominal,-0.35496366923623995,unmatched,,pdcsap_flux,untestable,catalogue flare not re-detected in the light curve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kepler:7670654,watch,1.1838590542018188e+34,34.0733,679.847,679.9083,679.847,7.0,nominal,-0.7135636692362355,time_overlap,,pdcsap_flux,on_target,difference-image centroid 0.239 px (2.2 sigma) from the target; every neighbour rejected at > 3.0 sigma or excluded by arithmetic,679.8470398783684,679.8879053359851,679.9900688808411,0.003756492816866519,8.352233875341513,23.303768122187464,7.0,0.040865457616746426,0.10216354485601187,1.088417916569352e+34,1.256892075627245e+34,0.9193813340416481,7.0,6.0,82.0,0.002053501174664613,-0.00021100272133223186,-0.00031727276559978534,0.0001049120280013609,9.53371535677144e-05,2.35875150498252,1.3281869374377822,9.94276591154618,pipeline,2.228605588080468,1.1440299500832543,0.10728298986767147,2.2294262804043163,0.23917951705133678,0.9519344778643204,,[],[],[],-0.2330024304388334,-0.09435277687910482
